year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_p_mhab_avi
1992,NUTS,2010,AT,0,0.513
1993,NUTS,2010,AT,0,0.381
1995,NUTS,2010,AT,0,0.252
1996,NUTS,2010,AT,0,0.251
1997,NUTS,2010,AT,0,0.628
1998,NUTS,2010,AT,0,0.125
1999,NUTS,2010,AT,0,0.251
2000,NUTS,2010,AT,0,0.25
2001,NUTS,2010,AT,0,1.396
2002,NUTS,2010,AT,0,0.413
2003,NUTS,2010,AT,0,0.263
2004,NUTS,2010,AT,0,0.491
2005,NUTS,2010,AT,0,0.427
2006,NUTS,2010,AT,0,0.606
2007,NUTS,2010,AT,0,0.081
2008,NUTS,2010,AT,0,0.481
2009,NUTS,2010,AT,0,1.08
2010,NUTS,2010,AT,0,0.623
2011,NUTS,2010,AT,0,1.134
2012,NUTS,2010,AT,0,0.714
2001,NUTS,2010,AT1,1,1.484
2002,NUTS,2010,AT1,1,0.097
2003,NUTS,2010,AT1,1,0.038
2004,NUTS,2010,AT1,1,0.581
2005,NUTS,2010,AT1,1,0.575
2006,NUTS,2010,AT1,1,0.142
2008,NUTS,2010,AT1,1,0.141
2009,NUTS,2010,AT1,1,1.122
2010,NUTS,2010,AT1,1,0.559
2011,NUTS,2010,AT1,1,0.417
2012,NUTS,2010,AT1,1,0.553
2009,NUTS,2010,AT11,2,1.167
2012,NUTS,2010,AT11,2,4.374
2009,NUTS,2010,AT112,3,2.235
2012,NUTS,2010,AT112,3,3.322
2012,NUTS,2010,AT113,3,7.675
2001,NUTS,2010,AT12,2,0.78
2003,NUTS,2010,AT12,2,0.084
2006,NUTS,2010,AT12,2,0.316
2009,NUTS,2010,AT12,2,1.454
2011,NUTS,2010,AT12,2,0.311
2012,NUTS,2010,AT12,2,0.155
2009,NUTS,2010,AT121,3,4.142
2001,NUTS,2010,AT122,3,1.632
2003,NUTS,2010,AT122,3,0.527
2012,NUTS,2010,AT122,3,0.988
2001,NUTS,2010,AT123,3,2.822
2001,NUTS,2010,AT126,3,1.45
2009,NUTS,2010,AT126,3,1.094
2006,NUTS,2010,AT127,3,1.63
2009,NUTS,2010,AT127,3,3.173
2011,NUTS,2010,AT127,3,1.57
2001,NUTS,2010,AT13,2,2.445
2002,NUTS,2010,AT13,2,0.21
2004,NUTS,2010,AT13,2,1.242
2005,NUTS,2010,AT13,2,1.225
2008,NUTS,2010,AT13,2,0.299
2009,NUTS,2010,AT13,2,0.792
2010,NUTS,2010,AT13,2,1.183
2011,NUTS,2010,AT13,2,0.587
2012,NUTS,2010,AT13,2,0.291
2001,NUTS,2010,AT130,3,2.445
2002,NUTS,2010,AT130,3,0.21
2004,NUTS,2010,AT130,3,1.242
2005,NUTS,2010,AT130,3,1.225
2008,NUTS,2010,AT130,3,0.299
2009,NUTS,2010,AT130,3,0.792
2010,NUTS,2010,AT130,3,1.183
2011,NUTS,2010,AT130,3,0.587
2012,NUTS,2010,AT130,3,0.291
2002,NUTS,2010,AT2,1,1.144
2005,NUTS,2010,AT2,1,0.57
2006,NUTS,2010,AT2,1,1.42
2008,NUTS,2010,AT2,1,0.567
2009,NUTS,2010,AT2,1,1.7
2012,NUTS,2010,AT2,1,1.133
2002,NUTS,2010,AT21,2,3.572
2012,NUTS,2010,AT21,2,1.798
2002,NUTS,2010,AT211,3,7.418
2012,NUTS,2010,AT212,3,7.878
2005,NUTS,2010,AT22,2,0.836
2006,NUTS,2010,AT22,2,2.082
2008,NUTS,2010,AT22,2,0.831
2009,NUTS,2010,AT22,2,2.49
2012,NUTS,2010,AT22,2,0.827
2005,NUTS,2010,AT221,3,2.649
2008,NUTS,2010,AT221,3,1.282
2009,NUTS,2010,AT221,3,7.622
2012,NUTS,2010,AT221,3,2.466
2006,NUTS,2010,AT225,3,5.239
2008,NUTS,2010,AT225,3,2.624
2006,NUTS,2010,AT226,3,14.049
2000,NUTS,2010,AT3,1,0.69
2001,NUTS,2010,AT3,1,2.131
2002,NUTS,2010,AT3,1,0.342
2003,NUTS,2010,AT3,1,0.682
2004,NUTS,2010,AT3,1,0.678
2005,NUTS,2010,AT3,1,0.169
2006,NUTS,2010,AT3,1,0.671
2007,NUTS,2010,AT3,1,0.224
2008,NUTS,2010,AT3,1,0.834
2009,NUTS,2010,AT3,1,0.666
2010,NUTS,2010,AT3,1,0.997
2011,NUTS,2010,AT3,1,2.653
2012,NUTS,2010,AT3,1,0.661
2001,NUTS,2010,AT31,2,2.33
2002,NUTS,2010,AT31,2,0.726
2003,NUTS,2010,AT31,2,0.723
2006,NUTS,2010,AT31,2,0.714
2007,NUTS,2010,AT31,2,0.235
2008,NUTS,2010,AT31,2,0.356
2010,NUTS,2010,AT31,2,2.129
