year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_hes_total_fte_t
2019,NUTS,2010,AT33,2,2200.0
2011,NUTS,2010,AT34,2,44.0
2013,NUTS,2010,AT34,2,57.0
2019,NUTS,2010,AT34,2,85.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,569.0
2013,NUTS,2010,BA,0,868.0
2014,NUTS,2010,BA,0,1371.0
2019,NUTS,2010,BA,0,1590.0
2011,NUTS,2010,BE,0,22709.0
2012,NUTS,2010,BE,0,22770.0
2013,NUTS,2010,BE,0,23156.0
2014,NUTS,2010,BE,0,23733.0
2015,NUTS,2010,BE,0,26156.0
2016,NUTS,2010,BE,0,24953.0
2017,NUTS,2010,BE,0,25060.0
2018,NUTS,2010,BE,0,25363.0
2019,NUTS,2010,BE,0,25872.0
2020,NUTS,2010,BE,0,28064.0
2011,NUTS,2010,BE1,1,4017.0
2012,NUTS,2010,BE1,1,4046.0
2013,NUTS,2010,BE1,1,4069.0
2014,NUTS,2010,BE1,1,4471.0
2015,NUTS,2010,BE1,1,5121.0
2016,NUTS,2010,BE1,1,4984.0
2017,NUTS,2010,BE1,1,5069.0
2018,NUTS,2010,BE1,1,4818.0
2019,NUTS,2010,BE1,1,4809.0
2011,NUTS,2010,BE10,2,4017.0
2012,NUTS,2010,BE10,2,4046.0
2013,NUTS,2010,BE10,2,4069.0
2014,NUTS,2010,BE10,2,4471.0
2015,NUTS,2010,BE10,2,5121.0
2016,NUTS,2010,BE10,2,4984.0
2017,NUTS,2010,BE10,2,5069.0
2018,NUTS,2010,BE10,2,4818.0
2019,NUTS,2010,BE10,2,4809.0
2011,NUTS,2010,BE2,1,13140.0
2012,NUTS,2010,BE2,1,13399.0
2013,NUTS,2010,BE2,1,13808.0
2014,NUTS,2010,BE2,1,14013.0
2015,NUTS,2010,BE2,1,14154.0
