year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_t_bes_rse_pc_emp_hc
1998,NUTS,2010,AT,0,0.3823
2002,NUTS,2010,AT,0,0.5268
2004,NUTS,2010,AT,0,0.5639
2006,NUTS,2010,AT,0,0.6057
2007,NUTS,2010,AT,0,0.637
2009,NUTS,2010,AT,0,0.6826
2011,NUTS,2010,AT,0,0.7467
2013,NUTS,2010,AT,0,0.8348
2015,NUTS,2010,AT,0,0.9091
2017,NUTS,2010,AT,0,0.9336
2019,NUTS,2010,AT,0,1.0347
2002,NUTS,2010,AT1,1,0.6233
2004,NUTS,2010,AT1,1,0.6265
2006,NUTS,2010,AT1,1,0.6332
2007,NUTS,2010,AT1,1,0.6634
2009,NUTS,2010,AT1,1,0.6783
2011,NUTS,2010,AT1,1,0.7266
2013,NUTS,2010,AT1,1,0.797
2015,NUTS,2010,AT1,1,0.8277
2017,NUTS,2010,AT1,1,0.7846
2019,NUTS,2010,AT1,1,0.8379
2002,NUTS,2010,AT11,2,0.159
2004,NUTS,2010,AT11,2,0.1535
2006,NUTS,2010,AT11,2,0.143
2007,NUTS,2010,AT11,2,0.1692
2009,NUTS,2010,AT11,2,0.1607
2011,NUTS,2010,AT11,2,0.2718
2013,NUTS,2010,AT11,2,0.347
2015,NUTS,2010,AT11,2,0.3656
2017,NUTS,2010,AT11,2,0.4015
2019,NUTS,2010,AT11,2,0.4293
2002,NUTS,2010,AT12,2,0.2762
2004,NUTS,2010,AT12,2,0.2734
2006,NUTS,2010,AT12,2,0.3145
2007,NUTS,2010,AT12,2,0.3094
2009,NUTS,2010,AT12,2,0.3354
2011,NUTS,2010,AT12,2,0.4261
2013,NUTS,2010,AT12,2,0.4131
2015,NUTS,2010,AT12,2,0.4397
2017,NUTS,2010,AT12,2,0.4369
2019,NUTS,2010,AT12,2,0.5295
2002,NUTS,2010,AT13,2,1.0459
2004,NUTS,2010,AT13,2,1.0659
2006,NUTS,2010,AT13,2,1.04
2007,NUTS,2010,AT13,2,1.1148
2009,NUTS,2010,AT13,2,1.1163
2011,NUTS,2010,AT13,2,1.109
2013,NUTS,2010,AT13,2,1.2501
2015,NUTS,2010,AT13,2,1.2881
2017,NUTS,2010,AT13,2,1.1847
2019,NUTS,2010,AT13,2,1.1914
2002,NUTS,2010,AT2,1,0.5726
2004,NUTS,2010,AT2,1,0.6782
2006,NUTS,2010,AT2,1,0.7472
2007,NUTS,2010,AT2,1,0.7805
2009,NUTS,2010,AT2,1,0.851
2011,NUTS,2010,AT2,1,0.9634
2013,NUTS,2010,AT2,1,1.0059
2015,NUTS,2010,AT2,1,1.1488
2017,NUTS,2010,AT2,1,1.2205
2019,NUTS,2010,AT2,1,1.4716
2002,NUTS,2010,AT21,2,0.4852
2004,NUTS,2010,AT21,2,0.6173
2006,NUTS,2010,AT21,2,0.6804
2007,NUTS,2010,AT21,2,0.7034
2009,NUTS,2010,AT21,2,0.7654
2011,NUTS,2010,AT21,2,0.7353
2013,NUTS,2010,AT21,2,0.7518
2015,NUTS,2010,AT21,2,0.8944
2017,NUTS,2010,AT21,2,0.9398
2019,NUTS,2010,AT21,2,1.0997
2002,NUTS,2010,AT22,2,0.6132
2004,NUTS,2010,AT22,2,0.7054
2006,NUTS,2010,AT22,2,0.7768
2007,NUTS,2010,AT22,2,0.8149
2009,NUTS,2010,AT22,2,0.8893
2011,NUTS,2010,AT22,2,1.0637
2013,NUTS,2010,AT22,2,1.1179
2015,NUTS,2010,AT22,2,1.2599
2017,NUTS,2010,AT22,2,1.3424
2019,NUTS,2010,AT22,2,1.6318
2002,NUTS,2010,AT3,1,0.3971
2004,NUTS,2010,AT3,1,0.4496
2006,NUTS,2010,AT3,1,0.4777
2007,NUTS,2010,AT3,1,0.502
2009,NUTS,2010,AT3,1,0.5611
2011,NUTS,2010,AT3,1,0.615
2013,NUTS,2010,AT3,1,0.7433
2015,NUTS,2010,AT3,1,0.8242
2017,NUTS,2010,AT3,1,0.9037
2019,NUTS,2010,AT3,1,0.9735
2002,NUTS,2010,AT31,2,0.45
2004,NUTS,2010,AT31,2,0.5173
2006,NUTS,2010,AT31,2,0.5694
2007,NUTS,2010,AT31,2,0.5972
2009,NUTS,2010,AT31,2,0.654
2011,NUTS,2010,AT31,2,0.7152
2013,NUTS,2010,AT31,2,0.9132
2015,NUTS,2010,AT31,2,1.0181
2017,NUTS,2010,AT31,2,1.0626
2019,NUTS,2010,AT31,2,1.1972
2002,NUTS,2010,AT32,2,0.2732
2004,NUTS,2010,AT32,2,0.2742
2006,NUTS,2010,AT32,2,0.3038
2007,NUTS,2010,AT32,2,0.3154
2009,NUTS,2010,AT32,2,0.3622
2011,NUTS,2010,AT32,2,0.4304
2013,NUTS,2010,AT32,2,0.4496
2015,NUTS,2010,AT32,2,0.4921
2017,NUTS,2010,AT32,2,0.6838
2019,NUTS,2010,AT32,2,0.7313
2002,NUTS,2010,AT33,2,0.3642
2004,NUTS,2010,AT33,2,0.4318
2006,NUTS,2010,AT33,2,0.4221
2007,NUTS,2010,AT33,2,0.4659
2009,NUTS,2010,AT33,2,0.5221
2011,NUTS,2010,AT33,2,0.5895
2013,NUTS,2010,AT33,2,0.6206
2015,NUTS,2010,AT33,2,0.6804
2017,NUTS,2010,AT33,2,0.7869
2019,NUTS,2010,AT33,2,0.7913
2002,NUTS,2010,AT34,2,0.4438
2004,NUTS,2010,AT34,2,0.4799
2006,NUTS,2010,AT34,2,0.4839
2007,NUTS,2010,AT34,2,0.4778
2009,NUTS,2010,AT34,2,0.5665
2011,NUTS,2010,AT34,2,0.5457
2013,NUTS,2010,AT34,2,0.7625
2015,NUTS,2010,AT34,2,0.8363
2017,NUTS,2010,AT34,2,0.8435
2019,NUTS,2010,AT34,2,0.8297
1998,NUTS,2010,BE,0,0.4623
1999,NUTS,2010,BE,0,0.479
2000,NUTS,2010,BE,0,0.4843
2001,NUTS,2010,BE,0,0.517
2002,NUTS,2010,BE,0,0.4814
2003,NUTS,2010,BE,0,0.4875
2004,NUTS,2010,BE,0,0.4722
2005,NUTS,2010,BE,0,0.4746
2006,NUTS,2010,BE,0,0.4627
2007,NUTS,2010,BE,0,0.4678
2008,NUTS,2010,BE,0,0.4956
2009,NUTS,2010,BE,0,0.4999
2010,NUTS,2010,BE,0,0.5718
2011,NUTS,2010,BE,0,0.6337
2013,NUTS,2010,BE,0,0.6772
2015,NUTS,2010,BE,0,0.8212
2017,NUTS,2010,BE,0,0.8906
2019,NUTS,2010,BE,0,1.0446
1999,NUTS,2010,BE1,1,0.6365
2000,NUTS,2010,BE1,1,0.6502
2001,NUTS,2010,BE1,1,0.7086
2002,NUTS,2010,BE1,1,0.6198
