year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_t_total_pc_act_hc_hes
2004,NUTS,2010,BG,0,0.1324
2005,NUTS,2010,BG,0,0.1533
2006,NUTS,2010,BG,0,0.1474
2007,NUTS,2010,BG,0,0.1727
2008,NUTS,2010,BG,0,0.183
2009,NUTS,2010,BG,0,0.234
2010,NUTS,2010,BG,0,0.2282
2011,NUTS,2010,BG,0,0.2506
2012,NUTS,2010,BG,0,0.2538
2013,NUTS,2010,BG,0,0.2497
2014,NUTS,2010,BG,0,0.2965
2015,NUTS,2010,BG,0,0.2851
2016,NUTS,2010,BG,0,0.3138
2017,NUTS,2010,BG,0,0.2838
2018,NUTS,2010,BG,0,0.3019
2019,NUTS,2010,BG,0,0.2866
2003,NUTS,2010,BG3,1,0.1011
2004,NUTS,2010,BG3,1,0.1117
2005,NUTS,2010,BG3,1,0.1521
2006,NUTS,2010,BG3,1,0.1393
2007,NUTS,2010,BG3,1,0.1549
2009,NUTS,2010,BG3,1,0.1913
2011,NUTS,2010,BG3,1,0.1935
2012,NUTS,2010,BG3,1,0.2124
2013,NUTS,2010,BG3,1,0.2155
2014,NUTS,2010,BG3,1,0.2755
2015,NUTS,2010,BG3,1,0.2716
2016,NUTS,2010,BG3,1,0.249
2017,NUTS,2010,BG3,1,0.2536
2018,NUTS,2010,BG3,1,0.2677
2019,NUTS,2010,BG3,1,0.2596
2003,NUTS,2010,BG32,2,0.0952
2004,NUTS,2010,BG32,2,0.1132
2005,NUTS,2010,BG32,2,0.2658
2008,NUTS,2010,BG32,2,0.258
2009,NUTS,2010,BG32,2,0.2647
2010,NUTS,2010,BG32,2,0.2642
2011,NUTS,2010,BG32,2,0.309
2012,NUTS,2010,BG32,2,0.2979
2013,NUTS,2010,BG32,2,0.2852
2014,NUTS,2010,BG32,2,0.3792
2015,NUTS,2010,BG32,2,0.3822
2016,NUTS,2010,BG32,2,0.2959
2017,NUTS,2010,BG32,2,0.3078
2018,NUTS,2010,BG32,2,0.3153
2019,NUTS,2010,BG32,2,0.2616
2006,NUTS,2010,BG33,2,0.1645
2007,NUTS,2010,BG33,2,0.1857
2008,NUTS,2010,BG33,2,0.1726
2009,NUTS,2010,BG33,2,0.2561
2010,NUTS,2010,BG33,2,0.2766
2012,NUTS,2010,BG33,2,0.2894
2013,NUTS,2010,BG33,2,0.3139
2014,NUTS,2010,BG33,2,0.4353
2015,NUTS,2010,BG33,2,0.4284
2003,NUTS,2010,BG34,2,0.1126
2004,NUTS,2010,BG34,2,0.1119
2005,NUTS,2010,BG34,2,0.1451
2006,NUTS,2010,BG34,2,0.1324
2007,NUTS,2010,BG34,2,0.1618
2010,NUTS,2010,BG34,2,0.1564
2011,NUTS,2010,BG34,2,0.1665
2016,NUTS,2010,BG34,2,0.1918
2017,NUTS,2010,BG34,2,0.169
2003,NUTS,2010,BG4,1,0.135
2004,NUTS,2010,BG4,1,0.1457
2005,NUTS,2010,BG4,1,0.1513
2006,NUTS,2010,BG4,1,0.1521
2007,NUTS,2010,BG4,1,0.186
2009,NUTS,2010,BG4,1,0.2674
2011,NUTS,2010,BG4,1,0.298
2012,NUTS,2010,BG4,1,0.2858
2013,NUTS,2010,BG4,1,0.2733
2014,NUTS,2010,BG4,1,0.3052
2015,NUTS,2010,BG4,1,0.2867
2016,NUTS,2010,BG4,1,0.3608
2017,NUTS,2010,BG4,1,0.2977
2018,NUTS,2010,BG4,1,0.317
2019,NUTS,2010,BG4,1,0.2942
2000,NUTS,2010,BG41,2,0.1867
2002,NUTS,2010,BG41,2,0.1958
2003,NUTS,2010,BG41,2,0.1687
2004,NUTS,2010,BG41,2,0.1866
2005,NUTS,2010,BG41,2,0.1974
2008,NUTS,2010,BG41,2,0.257
2009,NUTS,2010,BG41,2,0.3565
2010,NUTS,2010,BG41,2,0.34
2012,NUTS,2010,BG41,2,0.3717
2013,NUTS,2010,BG41,2,0.3488
2014,NUTS,2010,BG41,2,0.3839
2015,NUTS,2010,BG41,2,0.3568
2016,NUTS,2010,BG41,2,0.4783
2017,NUTS,2010,BG41,2,0.3702
2018,NUTS,2010,BG41,2,0.3857
2019,NUTS,2010,BG41,2,0.3145
2003,NUTS,2010,BG42,2,0.0847
2004,NUTS,2010,BG42,2,0.0856
2005,NUTS,2010,BG42,2,0.0814
2009,NUTS,2010,BG42,2,0.1268
2012,NUTS,2010,BG42,2,0.1468
2013,NUTS,2010,BG42,2,0.1534
2014,NUTS,2010,BG42,2,0.1814
2015,NUTS,2010,BG42,2,0.1727
2016,NUTS,2010,BG42,2,0.1659
2017,NUTS,2010,BG42,2,0.1813
2018,NUTS,2010,BG42,2,0.203
2019,NUTS,2010,BG42,2,0.2607
2010,NUTS,2010,CH,0,1.399
2012,NUTS,2010,CH,0,1.4527
2015,NUTS,2010,CH,0,1.4239
2017,NUTS,2010,CH,0,1.4504
2019,NUTS,2010,CH,0,1.5154
1998,NUTS,2010,CY,0,0.1038
1999,NUTS,2010,CY,0,0.1103
2000,NUTS,2010,CY,0,0.1248
2001,NUTS,2010,CY,0,0.129
2002,NUTS,2010,CY,0,0.1544
2003,NUTS,2010,CY,0,0.181
2004,NUTS,2010,CY,0,0.2201
2005,NUTS,2010,CY,0,0.2479
2006,NUTS,2010,CY,0,0.2515
2007,NUTS,2010,CY,0,0.2538
2008,NUTS,2010,CY,0,0.2503
2009,NUTS,2010,CY,0,0.2845
2010,NUTS,2010,CY,0,0.3012
2011,NUTS,2010,CY,0,0.3419
2012,NUTS,2010,CY,0,0.3401
2013,NUTS,2010,CY,0,0.4151
2014,NUTS,2010,CY,0,0.4005
2015,NUTS,2010,CY,0,0.408
2016,NUTS,2010,CY,0,0.4103
2017,NUTS,2010,CY,0,0.4199
2018,NUTS,2010,CY,0,0.439
2019,NUTS,2010,CY,0,0.4667
1998,NUTS,2010,CZ,0,0.3143
1999,NUTS,2010,CZ,0,0.3247
2000,NUTS,2010,CZ,0,0.3415
2001,NUTS,2010,CZ,0,0.3441
2002,NUTS,2010,CZ,0,0.3482
2003,NUTS,2010,CZ,0,0.3544
2004,NUTS,2010,CZ,0,0.3896
2005,NUTS,2010,CZ,0,0.4806
2006,NUTS,2010,CZ,0,0.4913
2007,NUTS,2010,CZ,0,0.5209
2008,NUTS,2010,CZ,0,0.5228
2009,NUTS,2010,CZ,0,0.5317
2010,NUTS,2010,CZ,0,0.5363
2011,NUTS,2010,CZ,0,0.5664
2012,NUTS,2010,CZ,0,0.5855
2013,NUTS,2010,CZ,0,0.6172
2014,NUTS,2010,CZ,0,0.6277
2015,NUTS,2010,CZ,0,0.6516
2016,NUTS,2010,CZ,0,0.6107
2017,NUTS,2010,CZ,0,0.6523
2018,NUTS,2010,CZ,0,0.6869
2019,NUTS,2010,CZ,0,0.712
2020,NUTS,2010,CZ,0,0.7249
1999,NUTS,2010,CZ0,1,0.3214
2000,NUTS,2010,CZ0,1,0.3383
2001,NUTS,2010,CZ0,1,0.3413
2002,NUTS,2010,CZ0,1,0.3453
2003,NUTS,2010,CZ0,1,0.3514
2004,NUTS,2010,CZ0,1,0.3867
2005,NUTS,2010,CZ0,1,0.4754
2006,NUTS,2010,CZ0,1,0.4857
2007,NUTS,2010,CZ0,1,0.5143
2008,NUTS,2010,CZ0,1,0.5159
2009,NUTS,2010,CZ0,1,0.5239
2010,NUTS,2010,CZ0,1,0.5285
2011,NUTS,2010,CZ0,1,0.5581
2012,NUTS,2010,CZ0,1,0.5764
2013,NUTS,2010,CZ0,1,0.6064
2014,NUTS,2010,CZ0,1,0.6168
2015,NUTS,2010,CZ0,1,0.6383
2016,NUTS,2010,CZ0,1,0.5965
2017,NUTS,2010,CZ0,1,0.6367
2018,NUTS,2010,CZ0,1,0.6681
2019,NUTS,2010,CZ0,1,0.6918
2020,NUTS,2010,CZ0,1,0.705
2001,NUTS,2010,CZ01,2,1.0889
2002,NUTS,2010,CZ01,2,1.1052
2003,NUTS,2010,CZ01,2,1.1148
2004,NUTS,2010,CZ01,2,1.2535
2005,NUTS,2010,CZ01,2,1.4985
2006,NUTS,2010,CZ01,2,1.5425
2007,NUTS,2010,CZ01,2,1.6592
2008,NUTS,2010,CZ01,2,1.6608
2009,NUTS,2010,CZ01,2,1.6641
2010,NUTS,2010,CZ01,2,1.5739
2011,NUTS,2010,CZ01,2,1.7055
2012,NUTS,2010,CZ01,2,1.5659
2013,NUTS,2010,CZ01,2,1.7448
2014,NUTS,2010,CZ01,2,1.7887
2015,NUTS,2010,CZ01,2,1.7226
2016,NUTS,2010,CZ01,2,1.5586
2017,NUTS,2010,CZ01,2,1.7426
2018,NUTS,2010,CZ01,2,1.7948
2019,NUTS,2010,CZ01,2,1.8252
2020,NUTS,2010,CZ01,2,1.8394
2001,NUTS,2010,CZ02,2,0.0
2002,NUTS,2010,CZ02,2,0.0
2003,NUTS,2010,CZ02,2,0.0
2004,NUTS,2010,CZ02,2,0.0002
2005,NUTS,2010,CZ02,2,0.0045
2006,NUTS,2010,CZ02,2,0.0115
2007,NUTS,2010,CZ02,2,0.0111
2008,NUTS,2010,CZ02,2,0.0164
2009,NUTS,2010,CZ02,2,0.018
2010,NUTS,2010,CZ02,2,0.0219
2011,NUTS,2010,CZ02,2,0.0263
2012,NUTS,2010,CZ02,2,0.0291
2013,NUTS,2010,CZ02,2,0.0433
2014,NUTS,2010,CZ02,2,0.0589
2015,NUTS,2010,CZ02,2,0.0602
2016,NUTS,2010,CZ02,2,0.0502
2017,NUTS,2010,CZ02,2,0.0509
2018,NUTS,2010,CZ02,2,0.0525
2019,NUTS,2010,CZ02,2,0.0552
2020,NUTS,2010,CZ02,2,0.0556
2001,NUTS,2010,CZ03,2,0.2884
2002,NUTS,2010,CZ03,2,0.3368
2003,NUTS,2010,CZ03,2,0.2818
2004,NUTS,2010,CZ03,2,0.2993
2005,NUTS,2010,CZ03,2,0.3683
2006,NUTS,2010,CZ03,2,0.3784
2007,NUTS,2010,CZ03,2,0.3649
2008,NUTS,2010,CZ03,2,0.3439
2009,NUTS,2010,CZ03,2,0.3374
2010,NUTS,2010,CZ03,2,0.4378
2011,NUTS,2010,CZ03,2,0.5033
2012,NUTS,2010,CZ03,2,0.4984
2013,NUTS,2010,CZ03,2,0.5337
2014,NUTS,2010,CZ03,2,0.5544
2015,NUTS,2010,CZ03,2,0.5394
2016,NUTS,2010,CZ03,2,0.5413
2017,NUTS,2010,CZ03,2,0.5643
2018,NUTS,2010,CZ03,2,0.591
2019,NUTS,2010,CZ03,2,0.5883
2020,NUTS,2010,CZ03,2,0.5742
2001,NUTS,2010,CZ04,2,0.0561
2002,NUTS,2010,CZ04,2,0.0507
2003,NUTS,2010,CZ04,2,0.0461
2004,NUTS,2010,CZ04,2,0.075
2005,NUTS,2010,CZ04,2,0.0341
2006,NUTS,2010,CZ04,2,0.054
2007,NUTS,2010,CZ04,2,0.07
2008,NUTS,2010,CZ04,2,0.0727
2009,NUTS,2010,CZ04,2,0.07
2010,NUTS,2010,CZ04,2,0.0701
2011,NUTS,2010,CZ04,2,0.0653
2012,NUTS,2010,CZ04,2,0.0642
2013,NUTS,2010,CZ04,2,0.0924
2014,NUTS,2010,CZ04,2,0.0958
2015,NUTS,2010,CZ04,2,0.0971
2016,NUTS,2010,CZ04,2,0.0946
2017,NUTS,2010,CZ04,2,0.099
2018,NUTS,2010,CZ04,2,0.1101
2019,NUTS,2010,CZ04,2,0.0951
2020,NUTS,2010,CZ04,2,0.1166
2001,NUTS,2010,CZ05,2,0.2091
2002,NUTS,2010,CZ05,2,0.2092
2003,NUTS,2010,CZ05,2,0.2239
2004,NUTS,2010,CZ05,2,0.2287
2005,NUTS,2010,CZ05,2,0.2911
2006,NUTS,2010,CZ05,2,0.3112
2007,NUTS,2010,CZ05,2,0.3229
2008,NUTS,2010,CZ05,2,0.3076
2009,NUTS,2010,CZ05,2,0.3047
2010,NUTS,2010,CZ05,2,0.3121
2011,NUTS,2010,CZ05,2,0.3438
2012,NUTS,2010,CZ05,2,0.3195
2013,NUTS,2010,CZ05,2,0.3581
2014,NUTS,2010,CZ05,2,0.3524
2015,NUTS,2010,CZ05,2,0.3576
2016,NUTS,2010,CZ05,2,0.3522
2017,NUTS,2010,CZ05,2,0.3772
2018,NUTS,2010,CZ05,2,0.3925
2019,NUTS,2010,CZ05,2,0.4271
2020,NUTS,2010,CZ05,2,0.4349
2001,NUTS,2010,CZ06,2,0.5218
2002,NUTS,2010,CZ06,2,0.507
2003,NUTS,2010,CZ06,2,0.5323
2004,NUTS,2010,CZ06,2,0.5707
2005,NUTS,2010,CZ06,2,0.8059
2006,NUTS,2010,CZ06,2,0.7283
2007,NUTS,2010,CZ06,2,0.7602
2008,NUTS,2010,CZ06,2,0.7992
2009,NUTS,2010,CZ06,2,0.8446
2010,NUTS,2010,CZ06,2,0.8153
2011,NUTS,2010,CZ06,2,0.8213
2012,NUTS,2010,CZ06,2,0.975
2013,NUTS,2010,CZ06,2,0.9483
2014,NUTS,2010,CZ06,2,0.925
2015,NUTS,2010,CZ06,2,1.0808
2016,NUTS,2010,CZ06,2,0.9521
2017,NUTS,2010,CZ06,2,1.0385
2018,NUTS,2010,CZ06,2,1.0866
2019,NUTS,2010,CZ06,2,1.1466
2020,NUTS,2010,CZ06,2,1.192
2001,NUTS,2010,CZ07,2,0.1765
2002,NUTS,2010,CZ07,2,0.1782
2003,NUTS,2010,CZ07,2,0.2129
2004,NUTS,2010,CZ07,2,0.2695
2005,NUTS,2010,CZ07,2,0.3213
2006,NUTS,2010,CZ07,2,0.3327
2007,NUTS,2010,CZ07,2,0.2711
2008,NUTS,2010,CZ07,2,0.2858
2009,NUTS,2010,CZ07,2,0.3192
2010,NUTS,2010,CZ07,2,0.3652
2011,NUTS,2010,CZ07,2,0.3585
2012,NUTS,2010,CZ07,2,0.433
2013,NUTS,2010,CZ07,2,0.496
2014,NUTS,2010,CZ07,2,0.4969
2015,NUTS,2010,CZ07,2,0.5371
2016,NUTS,2010,CZ07,2,0.5414
2017,NUTS,2010,CZ07,2,0.4791
2018,NUTS,2010,CZ07,2,0.49
2019,NUTS,2010,CZ07,2,0.5502
2020,NUTS,2010,CZ07,2,0.5729
2001,NUTS,2010,CZ08,2,0.2828
2002,NUTS,2010,CZ08,2,0.2797
2003,NUTS,2010,CZ08,2,0.292
2004,NUTS,2010,CZ08,2,0.3014
2005,NUTS,2010,CZ08,2,0.3174
2006,NUTS,2010,CZ08,2,0.3875
2007,NUTS,2010,CZ08,2,0.4962
2008,NUTS,2010,CZ08,2,0.4705
2009,NUTS,2010,CZ08,2,0.4232
2010,NUTS,2010,CZ08,2,0.4354
2011,NUTS,2010,CZ08,2,0.4794
2012,NUTS,2010,CZ08,2,0.5286
2013,NUTS,2010,CZ08,2,0.4447
2014,NUTS,2010,CZ08,2,0.5025
2015,NUTS,2010,CZ08,2,0.5055
2016,NUTS,2010,CZ08,2,0.506
2017,NUTS,2010,CZ08,2,0.5033
2018,NUTS,2010,CZ08,2,0.5648
2019,NUTS,2010,CZ08,2,0.5515
2020,NUTS,2010,CZ08,2,0.5594
2003,NUTS,2010,DE,0,0.6258
2004,NUTS,2010,DE,0,0.6104
2005,NUTS,2010,DE,0,0.6039
2006,NUTS,2010,DE,0,0.6184
2007,NUTS,2010,DE,0,0.6379
2008,NUTS,2010,DE,0,0.662
2009,NUTS,2010,DE,0,0.7214
2010,NUTS,2010,DE,0,0.7681
2011,NUTS,2010,DE,0,0.7859
2012,NUTS,2010,DE,0,0.811
2013,NUTS,2010,DE,0,0.8367
2014,NUTS,2010,DE,0,0.8434
2015,NUTS,2010,DE,0,0.8494
2016,NUTS,2010,DE,0,0.8362
2017,NUTS,2010,DE,0,0.8499
2018,NUTS,2010,DE,0,0.8679
2019,NUTS,2010,DE,0,0.8715
2003,NUTS,2010,DE1,1,0.6615
2005,NUTS,2010,DE1,1,0.6257
2006,NUTS,2010,DE1,1,0.6297
2007,NUTS,2010,DE1,1,0.6741
2008,NUTS,2010,DE1,1,0.7048
2009,NUTS,2010,DE1,1,0.7659
2010,NUTS,2010,DE1,1,0.8264
2011,NUTS,2010,DE1,1,0.8366
2012,NUTS,2010,DE1,1,0.87
2013,NUTS,2010,DE1,1,0.8618
2014,NUTS,2010,DE1,1,0.8792
2015,NUTS,2010,DE1,1,0.8689
2016,NUTS,2010,DE1,1,0.8529
2017,NUTS,2010,DE1,1,0.8688
2018,NUTS,2010,DE1,1,0.8752
2019,NUTS,2010,DE1,1,0.8589
2003,NUTS,2010,DE11,2,0.3735
2005,NUTS,2010,DE11,2,0.3587
2006,NUTS,2010,DE11,2,0.3528
2007,NUTS,2010,DE11,2,0.3607
2008,NUTS,2010,DE11,2,0.3684
2009,NUTS,2010,DE11,2,0.4023
2010,NUTS,2010,DE11,2,0.4408
2011,NUTS,2010,DE11,2,0.4343
2012,NUTS,2010,DE11,2,0.4792
2013,NUTS,2010,DE11,2,0.4691
2014,NUTS,2010,DE11,2,0.4645
2015,NUTS,2010,DE11,2,0.4572
2016,NUTS,2010,DE11,2,0.4604
2017,NUTS,2010,DE11,2,0.4665
2018,NUTS,2010,DE11,2,0.4656
2019,NUTS,2010,DE11,2,0.4557
2003,NUTS,2010,DE12,2,0.8525
2005,NUTS,2010,DE12,2,0.8478
2006,NUTS,2010,DE12,2,0.8889
2007,NUTS,2010,DE12,2,0.9059
2008,NUTS,2010,DE12,2,0.9529
2009,NUTS,2010,DE12,2,1.0741
2010,NUTS,2010,DE12,2,1.1648
2011,NUTS,2010,DE12,2,1.183
2012,NUTS,2010,DE12,2,1.1954
2013,NUTS,2010,DE12,2,1.185
2014,NUTS,2010,DE12,2,1.193
2015,NUTS,2010,DE12,2,1.1631
2016,NUTS,2010,DE12,2,1.1537
2017,NUTS,2010,DE12,2,1.1573
2018,NUTS,2010,DE12,2,1.1755
2019,NUTS,2010,DE12,2,1.1176
2003,NUTS,2010,DE13,2,0.7083
2005,NUTS,2010,DE13,2,0.6444
2006,NUTS,2010,DE13,2,0.6198
2007,NUTS,2010,DE13,2,0.7042
2008,NUTS,2010,DE13,2,0.7489
2009,NUTS,2010,DE13,2,0.8092
2010,NUTS,2010,DE13,2,0.8526
2011,NUTS,2010,DE13,2,0.881
2012,NUTS,2010,DE13,2,0.9082
2013,NUTS,2010,DE13,2,0.9259
2014,NUTS,2010,DE13,2,0.9877
2015,NUTS,2010,DE13,2,0.9831
2016,NUTS,2010,DE13,2,0.9567
2017,NUTS,2010,DE13,2,0.9763
2018,NUTS,2010,DE13,2,0.9698
2019,NUTS,2010,DE13,2,0.9801
2003,NUTS,2010,DE14,2,0.9699
2005,NUTS,2010,DE14,2,0.8667
2006,NUTS,2010,DE14,2,0.8759
2007,NUTS,2010,DE14,2,0.9887
2008,NUTS,2010,DE14,2,1.0287
2009,NUTS,2010,DE14,2,1.0671
2010,NUTS,2010,DE14,2,1.1371
2011,NUTS,2010,DE14,2,1.1429
2012,NUTS,2010,DE14,2,1.1928
2013,NUTS,2010,DE14,2,1.1568
2014,NUTS,2010,DE14,2,1.2032
