year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pc_emp_hc_total_rse_t
2014,NUTS,2010,BG31,2,0.1434
2015,NUTS,2010,BG31,2,0.2243
2016,NUTS,2010,BG31,2,0.2419
2017,NUTS,2010,BG31,2,0.2933
2018,NUTS,2010,BG31,2,0.3365
2019,NUTS,2010,BG31,2,0.3303
2003,NUTS,2010,BG32,2,0.1274
2004,NUTS,2010,BG32,2,0.161
2005,NUTS,2010,BG32,2,0.2695
2006,NUTS,2010,BG32,2,0.2355
2007,NUTS,2010,BG32,2,0.2359
2008,NUTS,2010,BG32,2,0.2511
2009,NUTS,2010,BG32,2,0.2927
2010,NUTS,2010,BG32,2,0.3246
2011,NUTS,2010,BG32,2,0.3772
2012,NUTS,2010,BG32,2,0.3845
2013,NUTS,2010,BG32,2,0.3906
2014,NUTS,2010,BG32,2,0.4864
2015,NUTS,2010,BG32,2,0.552
2016,NUTS,2010,BG32,2,0.4048
2017,NUTS,2010,BG32,2,0.4549
2018,NUTS,2010,BG32,2,0.5039
2019,NUTS,2010,BG32,2,0.4421
2003,NUTS,2010,BG33,2,0.2669
2004,NUTS,2010,BG33,2,0.2773
2005,NUTS,2010,BG33,2,0.2415
2006,NUTS,2010,BG33,2,0.2602
2007,NUTS,2010,BG33,2,0.2581
2008,NUTS,2010,BG33,2,0.2799
2009,NUTS,2010,BG33,2,0.3402
2010,NUTS,2010,BG33,2,0.3976
2011,NUTS,2010,BG33,2,0.3689
2012,NUTS,2010,BG33,2,0.4368
2013,NUTS,2010,BG33,2,0.4623
2014,NUTS,2010,BG33,2,0.5608
2015,NUTS,2010,BG33,2,0.5601
2016,NUTS,2010,BG33,2,0.5454
2017,NUTS,2010,BG33,2,0.5623
2018,NUTS,2010,BG33,2,0.5927
2019,NUTS,2010,BG33,2,0.6119
2003,NUTS,2010,BG34,2,0.1639
2004,NUTS,2010,BG34,2,0.1572
2005,NUTS,2010,BG34,2,0.1619
2006,NUTS,2010,BG34,2,0.1828
2007,NUTS,2010,BG34,2,0.203
2008,NUTS,2010,BG34,2,0.2079
2009,NUTS,2010,BG34,2,0.2482
2010,NUTS,2010,BG34,2,0.1932
2011,NUTS,2010,BG34,2,0.1844
2012,NUTS,2010,BG34,2,0.2191
2013,NUTS,2010,BG34,2,0.2256
2014,NUTS,2010,BG34,2,0.2436
2015,NUTS,2010,BG34,2,0.2901
2016,NUTS,2010,BG34,2,0.276
2017,NUTS,2010,BG34,2,0.2679
2018,NUTS,2010,BG34,2,0.287
2019,NUTS,2010,BG34,2,0.3142
2003,NUTS,2010,BG4,1,0.5972
2004,NUTS,2010,BG4,1,0.5891
2005,NUTS,2010,BG4,1,0.6048
2006,NUTS,2010,BG4,1,0.5732
2007,NUTS,2010,BG4,1,0.5918
2008,NUTS,2010,BG4,1,0.5767
2009,NUTS,2010,BG4,1,0.6438
2010,NUTS,2010,BG4,1,0.6445
2011,NUTS,2010,BG4,1,0.7217
2012,NUTS,2010,BG4,1,0.7138
2013,NUTS,2010,BG4,1,0.7576
2014,NUTS,2010,BG4,1,0.7992
2015,NUTS,2010,BG4,1,0.8394
2016,NUTS,2010,BG4,1,0.9873
2017,NUTS,2010,BG4,1,0.8995
2018,NUTS,2010,BG4,1,0.9764
2019,NUTS,2010,BG4,1,0.9674
2000,NUTS,2010,BG41,2,0.9828
2002,NUTS,2010,BG41,2,0.966
2003,NUTS,2010,BG41,2,0.9275
2004,NUTS,2010,BG41,2,0.9147
2005,NUTS,2010,BG41,2,0.9152
2006,NUTS,2010,BG41,2,0.8537
2007,NUTS,2010,BG41,2,0.8614
2008,NUTS,2010,BG41,2,0.8304
2009,NUTS,2010,BG41,2,0.9305
2010,NUTS,2010,BG41,2,0.8892
2011,NUTS,2010,BG41,2,1.0026
2012,NUTS,2010,BG41,2,1.0029
2013,NUTS,2010,BG41,2,1.0682
2014,NUTS,2010,BG41,2,1.1371
2015,NUTS,2010,BG41,2,1.1775
2016,NUTS,2010,BG41,2,1.3957
2017,NUTS,2010,BG41,2,1.2468
2018,NUTS,2010,BG41,2,1.3177
2019,NUTS,2010,BG41,2,1.2723
2003,NUTS,2010,BG42,2,0.1007
2004,NUTS,2010,BG42,2,0.109
2005,NUTS,2010,BG42,2,0.1163
2006,NUTS,2010,BG42,2,0.1225
2007,NUTS,2010,BG42,2,0.1637
2008,NUTS,2010,BG42,2,0.1742
2009,NUTS,2010,BG42,2,0.1763
2010,NUTS,2010,BG42,2,0.2217
2011,NUTS,2010,BG42,2,0.2297
2012,NUTS,2010,BG42,2,0.2157
2013,NUTS,2010,BG42,2,0.2428
2014,NUTS,2010,BG42,2,0.2498
2015,NUTS,2010,BG42,2,0.2738
2016,NUTS,2010,BG42,2,0.2975
2017,NUTS,2010,BG42,2,0.3305
2018,NUTS,2010,BG42,2,0.4004
2019,NUTS,2010,BG42,2,0.4597
2012,NUTS,2010,CH,0,1.4304
2015,NUTS,2010,CH,0,1.6205
2017,NUTS,2010,CH,0,1.6088
2019,NUTS,2010,CH,0,1.7114
1998,NUTS,2010,CY,0,0.2073
1999,NUTS,2010,CY,0,0.2409
2000,NUTS,2010,CY,0,0.275
2001,NUTS,2010,CY,0,0.2924
2002,NUTS,2010,CY,0,0.3292
2003,NUTS,2010,CY,0,0.3425
2004,NUTS,2010,CY,0,0.3749
2005,NUTS,2010,CY,0,0.4213
2006,NUTS,2010,CY,0,0.4302
2007,NUTS,2010,CY,0,0.4163
2008,NUTS,2010,CY,0,0.4218
2009,NUTS,2010,CY,0,0.4571
2010,NUTS,2010,CY,0,0.4649
2011,NUTS,2010,CY,0,0.5031
2012,NUTS,2010,CY,0,0.5131
2013,NUTS,2010,CY,0,0.6241
2014,NUTS,2010,CY,0,0.6096
2015,NUTS,2010,CY,0,0.6054
2016,NUTS,2010,CY,0,0.6153
2017,NUTS,2010,CY,0,0.637
2018,NUTS,2010,CY,0,0.68
2019,NUTS,2010,CY,0,0.7171
1998,NUTS,2010,CZ,0,0.5647
1999,NUTS,2010,CZ,0,0.62
2000,NUTS,2010,CZ,0,0.6522
2001,NUTS,2010,CZ,0,0.6309
2002,NUTS,2010,CZ,0,0.655
2003,NUTS,2010,CZ,0,0.6762
2004,NUTS,2010,CZ,0,0.7362
2005,NUTS,2010,CZ,0,0.7971
2006,NUTS,2010,CZ,0,0.832
2007,NUTS,2010,CZ,0,0.876
2008,NUTS,2010,CZ,0,0.8966
2009,NUTS,2010,CZ,0,0.8872
2010,NUTS,2010,CZ,0,0.9027
2011,NUTS,2010,CZ,0,0.9571
2012,NUTS,2010,CZ,0,0.9907
2013,NUTS,2010,CZ,0,1.0618
2014,NUTS,2010,CZ,0,1.116
2015,NUTS,2010,CZ,0,1.1472
2016,NUTS,2010,CZ,0,1.12
2017,NUTS,2010,CZ,0,1.1737
2018,NUTS,2010,CZ,0,1.2039
2019,NUTS,2010,CZ,0,1.2365
2020,NUTS,2010,CZ,0,1.2816
1999,NUTS,2010,CZ0,1,0.6118
2000,NUTS,2010,CZ0,1,0.6452
2001,NUTS,2010,CZ0,1,0.6242
2002,NUTS,2010,CZ0,1,0.6473
2003,NUTS,2010,CZ0,1,0.668
2004,NUTS,2010,CZ0,1,0.7294
2005,NUTS,2010,CZ0,1,0.788
2006,NUTS,2010,CZ0,1,0.8218
2007,NUTS,2010,CZ0,1,0.8643
2008,NUTS,2010,CZ0,1,0.8844
2009,NUTS,2010,CZ0,1,0.8733
2010,NUTS,2010,CZ0,1,0.8888
2011,NUTS,2010,CZ0,1,0.942
2012,NUTS,2010,CZ0,1,0.9745
2013,NUTS,2010,CZ0,1,1.0422
2014,NUTS,2010,CZ0,1,1.0955
2015,NUTS,2010,CZ0,1,1.1227
2016,NUTS,2010,CZ0,1,1.0933
2017,NUTS,2010,CZ0,1,1.145
2018,NUTS,2010,CZ0,1,1.1705
2019,NUTS,2010,CZ0,1,1.201
2020,NUTS,2010,CZ0,1,1.2453
2001,NUTS,2010,CZ01,2,2.0876
2002,NUTS,2010,CZ01,2,2.1592
2003,NUTS,2010,CZ01,2,2.2504
2004,NUTS,2010,CZ01,2,2.5082
2005,NUTS,2010,CZ01,2,2.6772
2006,NUTS,2010,CZ01,2,2.7363
2007,NUTS,2010,CZ01,2,2.9466
2008,NUTS,2010,CZ01,2,2.9681
2009,NUTS,2010,CZ01,2,2.7407
2010,NUTS,2010,CZ01,2,2.7091
2011,NUTS,2010,CZ01,2,2.9272
2012,NUTS,2010,CZ01,2,2.9018
2013,NUTS,2010,CZ01,2,3.0983
2014,NUTS,2010,CZ01,2,3.1927
2015,NUTS,2010,CZ01,2,3.1415
2016,NUTS,2010,CZ01,2,3.1069
2017,NUTS,2010,CZ01,2,3.3594
2018,NUTS,2010,CZ01,2,3.4803
2019,NUTS,2010,CZ01,2,3.3729
2020,NUTS,2010,CZ01,2,3.5209
2001,NUTS,2010,CZ02,2,0.4045
2002,NUTS,2010,CZ02,2,0.4474
2003,NUTS,2010,CZ02,2,0.5071
2004,NUTS,2010,CZ02,2,0.4981
2005,NUTS,2010,CZ02,2,0.5123
2006,NUTS,2010,CZ02,2,0.5416
2007,NUTS,2010,CZ02,2,0.5284
2008,NUTS,2010,CZ02,2,0.5698
2009,NUTS,2010,CZ02,2,0.5459
2010,NUTS,2010,CZ02,2,0.5594
2011,NUTS,2010,CZ02,2,0.5744
2012,NUTS,2010,CZ02,2,0.549
2013,NUTS,2010,CZ02,2,0.555
2014,NUTS,2010,CZ02,2,0.5611
2015,NUTS,2010,CZ02,2,0.6249
2016,NUTS,2010,CZ02,2,0.5724
2017,NUTS,2010,CZ02,2,0.5893
2018,NUTS,2010,CZ02,2,0.6468
2019,NUTS,2010,CZ02,2,0.6616
2020,NUTS,2010,CZ02,2,0.6574
2001,NUTS,2010,CZ03,2,0.3828
2002,NUTS,2010,CZ03,2,0.4067
2003,NUTS,2010,CZ03,2,0.3104
2004,NUTS,2010,CZ03,2,0.3196
2005,NUTS,2010,CZ03,2,0.4261
2006,NUTS,2010,CZ03,2,0.4111
2007,NUTS,2010,CZ03,2,0.3766
2008,NUTS,2010,CZ03,2,0.39
2009,NUTS,2010,CZ03,2,0.4264
2010,NUTS,2010,CZ03,2,0.5326
2011,NUTS,2010,CZ03,2,0.6313
2012,NUTS,2010,CZ03,2,0.6126
2013,NUTS,2010,CZ03,2,0.6807
2014,NUTS,2010,CZ03,2,0.7566
2015,NUTS,2010,CZ03,2,0.7373
2016,NUTS,2010,CZ03,2,0.7374
2017,NUTS,2010,CZ03,2,0.7526
2018,NUTS,2010,CZ03,2,0.7883
2019,NUTS,2010,CZ03,2,0.8527
2020,NUTS,2010,CZ03,2,0.8535
2001,NUTS,2010,CZ04,2,0.1193
2002,NUTS,2010,CZ04,2,0.0971
2003,NUTS,2010,CZ04,2,0.0959
2004,NUTS,2010,CZ04,2,0.1373
2005,NUTS,2010,CZ04,2,0.0892
2006,NUTS,2010,CZ04,2,0.1279
2007,NUTS,2010,CZ04,2,0.1495
2008,NUTS,2010,CZ04,2,0.141
2009,NUTS,2010,CZ04,2,0.1412
2010,NUTS,2010,CZ04,2,0.143
2011,NUTS,2010,CZ04,2,0.1499
2012,NUTS,2010,CZ04,2,0.1608
2013,NUTS,2010,CZ04,2,0.1752
2014,NUTS,2010,CZ04,2,0.1987
2015,NUTS,2010,CZ04,2,0.1859
2016,NUTS,2010,CZ04,2,0.1766
2017,NUTS,2010,CZ04,2,0.1943
2018,NUTS,2010,CZ04,2,0.2022
2019,NUTS,2010,CZ04,2,0.1902
2020,NUTS,2010,CZ04,2,0.2043
2001,NUTS,2010,CZ05,2,0.3331
2002,NUTS,2010,CZ05,2,0.3817
2003,NUTS,2010,CZ05,2,0.3785
2004,NUTS,2010,CZ05,2,0.4416
2005,NUTS,2010,CZ05,2,0.4745
2006,NUTS,2010,CZ05,2,0.5333
2007,NUTS,2010,CZ05,2,0.5654
2008,NUTS,2010,CZ05,2,0.5684
2009,NUTS,2010,CZ05,2,0.5555
2010,NUTS,2010,CZ05,2,0.567
2011,NUTS,2010,CZ05,2,0.6179
2012,NUTS,2010,CZ05,2,0.6268
2013,NUTS,2010,CZ05,2,0.6628
2014,NUTS,2010,CZ05,2,0.6682
2015,NUTS,2010,CZ05,2,0.6494
2016,NUTS,2010,CZ05,2,0.6403
2017,NUTS,2010,CZ05,2,0.6625
2018,NUTS,2010,CZ05,2,0.6509
2019,NUTS,2010,CZ05,2,0.7305
2020,NUTS,2010,CZ05,2,0.7407
2001,NUTS,2010,CZ06,2,0.7654
2002,NUTS,2010,CZ06,2,0.8204
2003,NUTS,2010,CZ06,2,0.8568
2004,NUTS,2010,CZ06,2,0.8964
2005,NUTS,2010,CZ06,2,0.9908
2006,NUTS,2010,CZ06,2,1.0216
2007,NUTS,2010,CZ06,2,1.058
2008,NUTS,2010,CZ06,2,1.1251
2009,NUTS,2010,CZ06,2,1.1543
2010,NUTS,2010,CZ06,2,1.134
2011,NUTS,2010,CZ06,2,1.1759
2012,NUTS,2010,CZ06,2,1.2704
2013,NUTS,2010,CZ06,2,1.368
2014,NUTS,2010,CZ06,2,1.4896
2015,NUTS,2010,CZ06,2,1.6666
2016,NUTS,2010,CZ06,2,1.5454
2017,NUTS,2010,CZ06,2,1.5909
2018,NUTS,2010,CZ06,2,1.5335
2019,NUTS,2010,CZ06,2,1.5925
2020,NUTS,2010,CZ06,2,1.7291
2001,NUTS,2010,CZ07,2,0.3059
2002,NUTS,2010,CZ07,2,0.2831
