year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_gov_pc_emp_hc_rse_t
2011,NUTS,2010,AT,0,0.0838
2013,NUTS,2010,AT,0,0.0862
2015,NUTS,2010,AT,0,0.0921
2017,NUTS,2010,AT,0,0.1577
2019,NUTS,2010,AT,0,0.1644
2011,NUTS,2010,AT1,1,0.1499
2013,NUTS,2010,AT1,1,0.1507
2019,NUTS,2010,AT1,1,0.2982
2011,NUTS,2010,AT11,2,0.0202
2013,NUTS,2010,AT11,2,0.0216
2011,NUTS,2010,AT12,2,0.0204
2013,NUTS,2010,AT12,2,0.0225
2015,NUTS,2010,AT12,2,0.0389
2017,NUTS,2010,AT12,2,0.0549
2011,NUTS,2010,AT13,2,0.3033
2013,NUTS,2010,AT13,2,0.2983
2015,NUTS,2010,AT13,2,0.3094
2017,NUTS,2010,AT13,2,0.5459
2019,NUTS,2010,AT13,2,0.5708
2015,NUTS,2010,AT2,1,0.0296
2019,NUTS,2010,AT2,1,0.0768
2011,NUTS,2010,AT21,2,0.0222
2019,NUTS,2010,AT3,1,0.0542
2011,NUTS,2010,AT31,2,0.02
2013,NUTS,2010,AT31,2,0.0167
2015,NUTS,2010,AT31,2,0.0214
2017,NUTS,2010,AT31,2,0.0444
2019,NUTS,2010,AT31,2,0.0423
2015,NUTS,2010,AT32,2,0.1165
2017,NUTS,2010,AT32,2,0.1052
2019,NUTS,2010,AT32,2,0.1049
2013,NUTS,2010,AT33,2,0.027
2019,NUTS,2010,AT33,2,0.0498
2011,NUTS,2010,AT34,2,0.0299
2013,NUTS,2010,AT34,2,0.0283
2015,NUTS,2010,AT34,2,0.0336
2017,NUTS,2010,AT34,2,0.0344
2019,NUTS,2010,AT34,2,0.0353
2011,NUTS,2010,BE,0,0.0719
2012,NUTS,2010,BE,0,0.0885
2013,NUTS,2010,BE,0,0.0905
2014,NUTS,2010,BE,0,0.0994
2015,NUTS,2010,BE,0,0.1
2016,NUTS,2010,BE,0,0.105
2017,NUTS,2010,BE,0,0.108
2018,NUTS,2010,BE,0,0.123
2019,NUTS,2010,BE,0,0.126
2011,NUTS,2010,BE1,1,0.1913
2012,NUTS,2010,BE1,1,0.2871
2013,NUTS,2010,BE1,1,0.2984
2014,NUTS,2010,BE1,1,0.2741
2015,NUTS,2010,BE1,1,0.2895
2016,NUTS,2010,BE1,1,0.3008
2017,NUTS,2010,BE1,1,0.2979
2018,NUTS,2010,BE1,1,0.3133
2019,NUTS,2010,BE1,1,0.3204
2011,NUTS,2010,BE10,2,0.1913
2012,NUTS,2010,BE10,2,0.2871
2013,NUTS,2010,BE10,2,0.2984
2014,NUTS,2010,BE10,2,0.2741
2015,NUTS,2010,BE10,2,0.2895
2016,NUTS,2010,BE10,2,0.3008
2017,NUTS,2010,BE10,2,0.2979
2018,NUTS,2010,BE10,2,0.3133
2019,NUTS,2010,BE10,2,0.3204
2011,NUTS,2010,BE2,1,0.0813
2012,NUTS,2010,BE2,1,0.0926
2013,NUTS,2010,BE2,1,0.0948
2014,NUTS,2010,BE2,1,0.1069
2015,NUTS,2010,BE2,1,0.1046
2016,NUTS,2010,BE2,1,0.1135
2017,NUTS,2010,BE2,1,0.1181
2018,NUTS,2010,BE2,1,0.1404
2019,NUTS,2010,BE2,1,0.1439
2011,NUTS,2010,BE3,1,0.0136
2012,NUTS,2010,BE3,1,0.0151
2013,NUTS,2010,BE3,1,0.015
2014,NUTS,2010,BE3,1,0.024
2015,NUTS,2010,BE3,1,0.0246
2016,NUTS,2010,BE3,1,0.0193
2017,NUTS,2010,BE3,1,0.0192
2018,NUTS,2010,BE3,1,0.017
2019,NUTS,2010,BE3,1,0.0169
2011,NUTS,2010,BG,0,0.204
2012,NUTS,2010,BG,0,0.1922
2013,NUTS,2010,BG,0,0.19
2014,NUTS,2010,BG,0,0.1793
2015,NUTS,2010,BG,0,0.1646
2016,NUTS,2010,BG,0,0.1708
2017,NUTS,2010,BG,0,0.1628
2018,NUTS,2010,BG,0,0.1593
2019,NUTS,2010,BG,0,0.1606
2011,NUTS,2010,BG3,1,0.035
2012,NUTS,2010,BG3,1,0.0395
2013,NUTS,2010,BG3,1,0.0396
2014,NUTS,2010,BG3,1,0.0342
2015,NUTS,2010,BG3,1,0.0302
2016,NUTS,2010,BG3,1,0.0298
2017,NUTS,2010,BG3,1,0.0309
2018,NUTS,2010,BG3,1,0.0309
2011,NUTS,2010,BG31,2,0.0455
2012,NUTS,2010,BG31,2,0.0535
2013,NUTS,2010,BG31,2,0.0506
2014,NUTS,2010,BG31,2,0.0461
2015,NUTS,2010,BG31,2,0.0453
2016,NUTS,2010,BG31,2,0.0452
2018,NUTS,2010,BG31,2,0.0572
2011,NUTS,2010,BG32,2,0.0152
2012,NUTS,2010,BG32,2,0.0157
2013,NUTS,2010,BG32,2,0.0293
2014,NUTS,2010,BG32,2,0.0144
2016,NUTS,2010,BG32,2,0.0101
2017,NUTS,2010,BG32,2,0.0096
2018,NUTS,2010,BG32,2,0.0096
2019,NUTS,2010,BG32,2,0.0101
2011,NUTS,2010,BG33,2,0.0563
2012,NUTS,2010,BG33,2,0.064
2013,NUTS,2010,BG33,2,0.0581
2014,NUTS,2010,BG33,2,0.055
2015,NUTS,2010,BG33,2,0.0453
2016,NUTS,2010,BG33,2,0.047
2017,NUTS,2010,BG33,2,0.0425
2018,NUTS,2010,BG33,2,0.0453
2019,NUTS,2010,BG33,2,0.0482
2011,NUTS,2010,BG34,2,0.0239
2012,NUTS,2010,BG34,2,0.027
