year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_total_rse_f_pc_emp_fte
2011,NUTS,2010,AT,0,0.4545
2013,NUTS,2010,AT,0,0.4895
2015,NUTS,2010,AT,0,0.5259
2017,NUTS,2010,AT,0,0.5687
2019,NUTS,2010,AT,0,0.6248
2011,NUTS,2010,AT1,1,0.6339
2013,NUTS,2010,AT1,1,0.6481
2015,NUTS,2010,AT1,1,0.6811
2017,NUTS,2010,AT1,1,0.7005
2019,NUTS,2010,AT1,1,0.7758
2011,NUTS,2010,AT11,2,0.077
2013,NUTS,2010,AT11,2,0.0739
2015,NUTS,2010,AT11,2,0.0827
2017,NUTS,2010,AT11,2,0.1071
2019,NUTS,2010,AT11,2,0.0934
2011,NUTS,2010,AT12,2,0.1636
2013,NUTS,2010,AT12,2,0.1804
2015,NUTS,2010,AT12,2,0.1955
2017,NUTS,2010,AT12,2,0.2199
2019,NUTS,2010,AT12,2,0.309
2011,NUTS,2010,AT13,2,1.1836
2013,NUTS,2010,AT13,2,1.1808
2015,NUTS,2010,AT13,2,1.2426
2017,NUTS,2010,AT13,2,1.2533
2019,NUTS,2010,AT13,2,1.3156
2011,NUTS,2010,AT2,1,0.4129
2013,NUTS,2010,AT2,1,0.442
2015,NUTS,2010,AT2,1,0.4905
2017,NUTS,2010,AT2,1,0.5829
2019,NUTS,2010,AT2,1,0.6652
2011,NUTS,2010,AT21,2,0.2428
2013,NUTS,2010,AT21,2,0.2297
2015,NUTS,2010,AT21,2,0.2621
2017,NUTS,2010,AT21,2,0.431
2019,NUTS,2010,AT21,2,0.4827
2011,NUTS,2010,AT22,2,0.4876
2013,NUTS,2010,AT22,2,0.5372
2015,NUTS,2010,AT22,2,0.5913
2017,NUTS,2010,AT22,2,0.6494
2019,NUTS,2010,AT22,2,0.7439
2011,NUTS,2010,AT3,1,0.2558
2013,NUTS,2010,AT3,1,0.3177
2015,NUTS,2010,AT3,1,0.3454
2017,NUTS,2010,AT3,1,0.3876
2019,NUTS,2010,AT3,1,0.4117
2011,NUTS,2010,AT31,2,0.188
2013,NUTS,2010,AT31,2,0.2482
2015,NUTS,2010,AT31,2,0.2632
2017,NUTS,2010,AT31,2,0.2818
2019,NUTS,2010,AT31,2,0.343
2011,NUTS,2010,AT32,2,0.2644
2013,NUTS,2010,AT32,2,0.3315
2015,NUTS,2010,AT32,2,0.3917
2017,NUTS,2010,AT32,2,0.422
