year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_bes_rse_f_fte
2019,NUTS,2010,BG41,2,1971.0
2011,NUTS,2010,BG42,2,136.0
2012,NUTS,2010,BG42,2,103.0
2014,NUTS,2010,BG42,2,79.0
2015,NUTS,2010,BG42,2,170.0
2016,NUTS,2010,BG42,2,174.0
2017,NUTS,2010,BG42,2,225.0
2018,NUTS,2010,BG42,2,258.0
2019,NUTS,2010,BG42,2,272.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
2011,NUTS,2010,CY,0,57.0
2012,NUTS,2010,CY,0,59.0
2013,NUTS,2010,CY,0,64.0
2014,NUTS,2010,CY,0,68.0
2015,NUTS,2010,CY,0,62.0
2016,NUTS,2010,CY,0,72.0
2017,NUTS,2010,CY,0,88.0
2018,NUTS,2010,CY,0,123.0
2019,NUTS,2010,CY,0,145.0
2011,NUTS,2010,CZ,0,1832.0
2012,NUTS,2010,CZ,0,2040.0
2013,NUTS,2010,CZ,0,2218.0
2014,NUTS,2010,CZ,0,2468.0
2015,NUTS,2010,CZ,0,2362.0
2016,NUTS,2010,CZ,0,2328.0
2017,NUTS,2010,CZ,0,2445.0
2018,NUTS,2010,CZ,0,2583.0
2019,NUTS,2010,CZ,0,2790.0
2020,NUTS,2010,CZ,0,3020.0
2011,NUTS,2010,CZ0,1,1832.0
2012,NUTS,2010,CZ0,1,2040.0
2013,NUTS,2010,CZ0,1,2218.0
2014,NUTS,2010,CZ0,1,2468.0
2015,NUTS,2010,CZ0,1,2362.0
2016,NUTS,2010,CZ0,1,2328.0
2017,NUTS,2010,CZ0,1,2445.0
2018,NUTS,2010,CZ0,1,2583.0
2019,NUTS,2010,CZ0,1,2790.0
2020,NUTS,2010,CZ0,1,3020.0
2011,NUTS,2010,CZ01,2,434.0
2012,NUTS,2010,CZ01,2,525.0
2013,NUTS,2010,CZ01,2,631.0
2014,NUTS,2010,CZ01,2,624.0
2015,NUTS,2010,CZ01,2,635.0
2016,NUTS,2010,CZ01,2,829.0
2017,NUTS,2010,CZ01,2,748.0
2018,NUTS,2010,CZ01,2,817.0
2019,NUTS,2010,CZ01,2,826.0
2020,NUTS,2010,CZ01,2,828.0
2011,NUTS,2010,CZ02,2,391.0
2012,NUTS,2010,CZ02,2,422.0
2013,NUTS,2010,CZ02,2,340.0
2014,NUTS,2010,CZ02,2,307.0
2015,NUTS,2010,CZ02,2,318.0
2016,NUTS,2010,CZ02,2,164.0
2017,NUTS,2010,CZ02,2,238.0
2018,NUTS,2010,CZ02,2,291.0
2019,NUTS,2010,CZ02,2,317.0
2020,NUTS,2010,CZ02,2,335.0
2011,NUTS,2010,CZ03,2,86.0
2012,NUTS,2010,CZ03,2,99.0
2013,NUTS,2010,CZ03,2,117.0
2014,NUTS,2010,CZ03,2,123.0
2015,NUTS,2010,CZ03,2,132.0
2016,NUTS,2010,CZ03,2,138.0
2017,NUTS,2010,CZ03,2,155.0
2018,NUTS,2010,CZ03,2,172.0
2019,NUTS,2010,CZ03,2,198.0
2020,NUTS,2010,CZ03,2,204.0
2011,NUTS,2010,CZ04,2,62.0
2012,NUTS,2010,CZ04,2,65.0
2013,NUTS,2010,CZ04,2,95.0
2014,NUTS,2010,CZ04,2,75.0
2015,NUTS,2010,CZ04,2,76.0
2016,NUTS,2010,CZ04,2,77.0
2017,NUTS,2010,CZ04,2,88.0
2018,NUTS,2010,CZ04,2,86.0
2019,NUTS,2010,CZ04,2,90.0
2020,NUTS,2010,CZ04,2,84.0
2011,NUTS,2010,CZ05,2,253.0
2012,NUTS,2010,CZ05,2,334.0
2013,NUTS,2010,CZ05,2,338.0
2014,NUTS,2010,CZ05,2,306.0
2015,NUTS,2010,CZ05,2,339.0
2016,NUTS,2010,CZ05,2,327.0
2017,NUTS,2010,CZ05,2,383.0
2018,NUTS,2010,CZ05,2,343.0
2019,NUTS,2010,CZ05,2,342.0
2020,NUTS,2010,CZ05,2,395.0
2011,NUTS,2010,CZ06,2,347.0
2012,NUTS,2010,CZ06,2,311.0
2013,NUTS,2010,CZ06,2,438.0
2014,NUTS,2010,CZ06,2,775.0
2015,NUTS,2010,CZ06,2,565.0
2016,NUTS,2010,CZ06,2,501.0
2017,NUTS,2010,CZ06,2,500.0
2018,NUTS,2010,CZ06,2,531.0
2019,NUTS,2010,CZ06,2,606.0
2020,NUTS,2010,CZ06,2,722.0
2011,NUTS,2010,CZ07,2,158.0
2012,NUTS,2010,CZ07,2,156.0
2013,NUTS,2010,CZ07,2,155.0
2014,NUTS,2010,CZ07,2,160.0
2015,NUTS,2010,CZ07,2,181.0
2016,NUTS,2010,CZ07,2,161.0
2017,NUTS,2010,CZ07,2,156.0
2018,NUTS,2010,CZ07,2,159.0
2019,NUTS,2010,CZ07,2,215.0
2020,NUTS,2010,CZ07,2,242.0
2011,NUTS,2010,CZ08,2,100.0
2012,NUTS,2010,CZ08,2,128.0
2013,NUTS,2010,CZ08,2,104.0
2014,NUTS,2010,CZ08,2,98.0
2015,NUTS,2010,CZ08,2,116.0
2016,NUTS,2010,CZ08,2,130.0
2017,NUTS,2010,CZ08,2,177.0
2018,NUTS,2010,CZ08,2,185.0
2019,NUTS,2010,CZ08,2,197.0
2020,NUTS,2010,CZ08,2,211.0
2016,NUTS,2010,CZZ,1,0.0
2017,NUTS,2010,CZZ,1,0.0
2018,NUTS,2010,CZZ,1,0.0
2019,NUTS,2010,CZZ,1,0.0
2020,NUTS,2010,CZZ,1,0.0
2016,NUTS,2010,CZZZ,2,0.0
2017,NUTS,2010,CZZZ,2,0.0
2018,NUTS,2010,CZZZ,2,0.0
2019,NUTS,2010,CZZZ,2,0.0
2020,NUTS,2010,CZZZ,2,0.0
2011,NUTS,2010,DE,0,26485.0
2013,NUTS,2010,DE,0,27136.0
2015,NUTS,2010,DE,0,32926.0
2017,NUTS,2010,DE,0,36035.0
2019,NUTS,2010,DE,0,40101.0
2017,NUTS,2010,DE1,1,9706.0
2019,NUTS,2010,DE1,1,10450.0
2017,NUTS,2010,DE11,2,5306.0
2019,NUTS,2010,DE11,2,5482.0
2017,NUTS,2010,DE12,2,2061.0
2019,NUTS,2010,DE12,2,2242.0
2017,NUTS,2010,DE13,2,856.0
2019,NUTS,2010,DE13,2,984.0
2017,NUTS,2010,DE14,2,1484.0
2019,NUTS,2010,DE14,2,1742.0
2017,NUTS,2010,DE2,1,7198.0
2019,NUTS,2010,DE2,1,8371.0
2017,NUTS,2010,DE21,2,4149.0
2019,NUTS,2010,DE21,2,4910.0
2017,NUTS,2010,DE22,2,240.0
2019,NUTS,2010,DE22,2,283.0
2017,NUTS,2010,DE23,2,443.0
2019,NUTS,2010,DE23,2,570.0
2017,NUTS,2010,DE24,2,347.0
2019,NUTS,2010,DE24,2,445.0
2017,NUTS,2010,DE25,2,952.0
2019,NUTS,2010,DE25,2,1057.0
2017,NUTS,2010,DE26,2,564.0
2019,NUTS,2010,DE26,2,597.0
2017,NUTS,2010,DE27,2,503.0
2019,NUTS,2010,DE27,2,507.0
2017,NUTS,2010,DE3,1,1973.0
2019,NUTS,2010,DE3,1,2165.0
2017,NUTS,2010,DE30,2,1973.0
2019,NUTS,2010,DE30,2,2165.0
2017,NUTS,2010,DE4,1,463.0
2019,NUTS,2010,DE4,1,481.0
