year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_t_pc_act_hc_rse_bes
1998,NUTS,2010,AT,0,0.3653
2002,NUTS,2010,AT,0,0.5057
2004,NUTS,2010,AT,0,0.5327
2006,NUTS,2010,AT,0,0.5737
2007,NUTS,2010,AT,0,0.6057
2009,NUTS,2010,AT,0,0.6432
2011,NUTS,2010,AT,0,0.7095
2013,NUTS,2010,AT,0,0.7862
2015,NUTS,2010,AT,0,0.8526
2017,NUTS,2010,AT,0,0.8777
2019,NUTS,2010,AT,0,0.9842
2002,NUTS,2010,AT1,1,0.5853
2004,NUTS,2010,AT1,1,0.5797
2006,NUTS,2010,AT1,1,0.5889
2007,NUTS,2010,AT1,1,0.6206
2009,NUTS,2010,AT1,1,0.6335
2011,NUTS,2010,AT1,1,0.6822
2013,NUTS,2010,AT1,1,0.7416
2015,NUTS,2010,AT1,1,0.7633
2017,NUTS,2010,AT1,1,0.7255
2019,NUTS,2010,AT1,1,0.7829
2002,NUTS,2010,AT11,2,0.1512
2004,NUTS,2010,AT11,2,0.1451
2006,NUTS,2010,AT11,2,0.1354
2007,NUTS,2010,AT11,2,0.1622
2009,NUTS,2010,AT11,2,0.1527
2011,NUTS,2010,AT11,2,0.2615
2013,NUTS,2010,AT11,2,0.3319
2015,NUTS,2010,AT11,2,0.3466
2017,NUTS,2010,AT11,2,0.3807
2019,NUTS,2010,AT11,2,0.4135
2002,NUTS,2010,AT12,2,0.2632
2004,NUTS,2010,AT12,2,0.2609
2006,NUTS,2010,AT12,2,0.3005
2007,NUTS,2010,AT12,2,0.297
2009,NUTS,2010,AT12,2,0.3197
2011,NUTS,2010,AT12,2,0.4069
2013,NUTS,2010,AT12,2,0.3926
2015,NUTS,2010,AT12,2,0.4167
2017,NUTS,2010,AT12,2,0.4159
2019,NUTS,2010,AT12,2,0.5083
2002,NUTS,2010,AT13,2,0.9659
2004,NUTS,2010,AT13,2,0.9533
2006,NUTS,2010,AT13,2,0.9391
2007,NUTS,2010,AT13,2,1.0118
2009,NUTS,2010,AT13,2,1.0188
2011,NUTS,2010,AT13,2,1.0196
2013,NUTS,2010,AT13,2,1.1345
2015,NUTS,2010,AT13,2,1.152
2017,NUTS,2010,AT13,2,1.0619
2019,NUTS,2010,AT13,2,1.081
2002,NUTS,2010,AT2,1,0.5433
2004,NUTS,2010,AT2,1,0.6429
2006,NUTS,2010,AT2,1,0.714
2007,NUTS,2010,AT2,1,0.7482
2009,NUTS,2010,AT2,1,0.8094
2011,NUTS,2010,AT2,1,0.9266
2013,NUTS,2010,AT2,1,0.9567
2015,NUTS,2010,AT2,1,1.0899
2017,NUTS,2010,AT2,1,1.1644
2019,NUTS,2010,AT2,1,1.4218
2002,NUTS,2010,AT21,2,0.464
2004,NUTS,2010,AT21,2,0.5788
2006,NUTS,2010,AT21,2,0.6482
2007,NUTS,2010,AT21,2,0.6736
2009,NUTS,2010,AT21,2,0.7301
2011,NUTS,2010,AT21,2,0.7037
2013,NUTS,2010,AT21,2,0.711
2015,NUTS,2010,AT21,2,0.8402
2017,NUTS,2010,AT21,2,0.8943
