year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_bes_mio_pps_kp05
2017,NUTS,2010,AT3,1,2389.418
2019,NUTS,2010,AT3,1,2494.446
2011,NUTS,2010,AT31,2,960.416
2013,NUTS,2010,AT31,2,1270.389
2015,NUTS,2010,AT31,2,1295.381
2017,NUTS,2010,AT31,2,1495.388
2019,NUTS,2010,AT31,2,1561.487
2011,NUTS,2010,AT32,2,148.761
2013,NUTS,2010,AT32,2,182.566
2015,NUTS,2010,AT32,2,190.598
2017,NUTS,2010,AT32,2,223.004
2019,NUTS,2010,AT32,2,238.389
2011,NUTS,2010,AT33,2,347.803
2013,NUTS,2010,AT33,2,462.182
2015,NUTS,2010,AT33,2,472.794
2017,NUTS,2010,AT33,2,451.47
2019,NUTS,2010,AT33,2,461.875
2011,NUTS,2010,AT34,2,155.795
2013,NUTS,2010,AT34,2,183.266
2015,NUTS,2010,AT34,2,215.65
2017,NUTS,2010,AT34,2,219.556
2019,NUTS,2010,AT34,2,232.695
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,35.912
2013,NUTS,2010,BA,0,44.245
2014,NUTS,2010,BA,0,11.607
2019,NUTS,2010,BA,0,20.295
2011,NUTS,2010,BE,0,4652.444
2012,NUTS,2010,BE,0,4998.322
2013,NUTS,2010,BE,0,5102.437
2014,NUTS,2010,BE,0,5306.453
2015,NUTS,2010,BE,0,5550.855
2016,NUTS,2010,BE,0,5729.713
2017,NUTS,2010,BE,0,6298.582
2018,NUTS,2010,BE,0,7022.56
2019,NUTS,2010,BE,0,8153.212
2020,NUTS,2010,BE,0,8356.039
2011,NUTS,2010,BE1,1,399.87
2012,NUTS,2010,BE1,1,425.985
2013,NUTS,2010,BE1,1,432.554
2014,NUTS,2010,BE1,1,535.052
2015,NUTS,2010,BE1,1,585.016
2016,NUTS,2010,BE1,1,668.851
2017,NUTS,2010,BE1,1,761.559
2018,NUTS,2010,BE1,1,881.696
2019,NUTS,2010,BE1,1,948.651
2011,NUTS,2010,BE10,2,399.87
2012,NUTS,2010,BE10,2,425.985
2013,NUTS,2010,BE10,2,432.554
2014,NUTS,2010,BE10,2,535.052
2015,NUTS,2010,BE10,2,585.016
2016,NUTS,2010,BE10,2,668.851
2017,NUTS,2010,BE10,2,761.559
2018,NUTS,2010,BE10,2,881.696
2019,NUTS,2010,BE10,2,948.651
2011,NUTS,2010,BE2,1,2837.664
2012,NUTS,2010,BE2,1,3163.486
2013,NUTS,2010,BE2,1,3228.621
2014,NUTS,2010,BE2,1,3365.514
2015,NUTS,2010,BE2,1,3549.711
2016,NUTS,2010,BE2,1,3625.918
2017,NUTS,2010,BE2,1,3956.516
2018,NUTS,2010,BE2,1,4092.698
2019,NUTS,2010,BE2,1,4904.998
2011,NUTS,2010,BE3,1,1414.894
2012,NUTS,2010,BE3,1,1408.871
2013,NUTS,2010,BE3,1,1441.288
2014,NUTS,2010,BE3,1,1405.887
2015,NUTS,2010,BE3,1,1416.129
2016,NUTS,2010,BE3,1,1434.944
2017,NUTS,2010,BE3,1,1580.507
2018,NUTS,2010,BE3,1,2048.166
2019,NUTS,2010,BE3,1,2299.563
2012,NUTS,2010,BEZ,1,0.0
2013,NUTS,2010,BEZ,1,0.0
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2018,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2012,NUTS,2010,BEZZ,2,0.0
2013,NUTS,2010,BEZZ,2,0.0
2014,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2018,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
2011,NUTS,2010,BG,0,220.414
2012,NUTS,2010,BG,0,286.253
2013,NUTS,2010,BG,0,303.51
2014,NUTS,2010,BG,0,410.704
2015,NUTS,2010,BG,0,569.614
2016,NUTS,2010,BG,0,475.348
2017,NUTS,2010,BG,0,450.275
2018,NUTS,2010,BG,0,482.15
2019,NUTS,2010,BG,0,517.371
2020,NUTS,2010,BG,0,509.748
2011,NUTS,2010,BG3,1,16.767
2012,NUTS,2010,BG3,1,23.572
2013,NUTS,2010,BG3,1,35.487
2014,NUTS,2010,BG3,1,45.563
2015,NUTS,2010,BG3,1,102.769
2016,NUTS,2010,BG3,1,99.85
2017,NUTS,2010,BG3,1,99.757
2018,NUTS,2010,BG3,1,96.344
2019,NUTS,2010,BG3,1,93.367
2014,NUTS,2010,BG31,2,6.373
2015,NUTS,2010,BG31,2,25.086
2016,NUTS,2010,BG31,2,21.347
2017,NUTS,2010,BG31,2,20.93
2018,NUTS,2010,BG31,2,24.529
2019,NUTS,2010,BG31,2,18.345
2012,NUTS,2010,BG32,2,4.853
2013,NUTS,2010,BG32,2,7.139
2014,NUTS,2010,BG32,2,7.847
2015,NUTS,2010,BG32,2,32.322
2016,NUTS,2010,BG32,2,25.339
2017,NUTS,2010,BG32,2,23.539
2018,NUTS,2010,BG32,2,19.678
2019,NUTS,2010,BG32,2,21.482
2011,NUTS,2010,BG33,2,4.755
2014,NUTS,2010,BG33,2,12.037
2015,NUTS,2010,BG33,2,18.681
2016,NUTS,2010,BG33,2,29.786
2017,NUTS,2010,BG33,2,28.867
2018,NUTS,2010,BG33,2,24.943
2019,NUTS,2010,BG33,2,25.287
2011,NUTS,2010,BG34,2,5.654
2012,NUTS,2010,BG34,2,8.086
2013,NUTS,2010,BG34,2,9.7
2014,NUTS,2010,BG34,2,19.306
2015,NUTS,2010,BG34,2,26.68
2016,NUTS,2010,BG34,2,23.378
2017,NUTS,2010,BG34,2,26.421
2018,NUTS,2010,BG34,2,27.194
2019,NUTS,2010,BG34,2,28.254
2011,NUTS,2010,BG4,1,203.647
2012,NUTS,2010,BG4,1,262.681
2013,NUTS,2010,BG4,1,268.023
2014,NUTS,2010,BG4,1,365.141
2015,NUTS,2010,BG4,1,466.845
2016,NUTS,2010,BG4,1,375.498
2017,NUTS,2010,BG4,1,350.518
2018,NUTS,2010,BG4,1,385.807
2019,NUTS,2010,BG4,1,424.005
2011,NUTS,2010,BG41,2,194.54
2012,NUTS,2010,BG41,2,248.729
2013,NUTS,2010,BG41,2,255.353
2014,NUTS,2010,BG41,2,345.404
