year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_gov_pc_act_fte_rse_f
2011,NUTS,2010,AT,0,0.0318
2013,NUTS,2010,AT,0,0.033
2015,NUTS,2010,AT,0,0.0357
2017,NUTS,2010,AT,0,0.0629
2019,NUTS,2010,AT,0,0.0662
2011,NUTS,2010,AT1,1,0.0576
2013,NUTS,2010,AT1,1,0.0566
2019,NUTS,2010,AT1,1,0.1245
2011,NUTS,2010,AT11,2,0.0044
2013,NUTS,2010,AT11,2,0.0032
2011,NUTS,2010,AT12,2,0.0087
2013,NUTS,2010,AT12,2,0.0088
2015,NUTS,2010,AT12,2,0.0152
2017,NUTS,2010,AT12,2,0.0192
2011,NUTS,2010,AT13,2,0.1124
2013,NUTS,2010,AT13,2,0.1081
2015,NUTS,2010,AT13,2,0.1146
2017,NUTS,2010,AT13,2,0.2204
2019,NUTS,2010,AT13,2,0.2325
2015,NUTS,2010,AT2,1,0.0118
2019,NUTS,2010,AT2,1,0.0246
2011,NUTS,2010,AT21,2,0.0084
2019,NUTS,2010,AT3,1,0.0189
2011,NUTS,2010,AT31,2,0.0043
2013,NUTS,2010,AT31,2,0.0041
2015,NUTS,2010,AT31,2,0.0068
2017,NUTS,2010,AT31,2,0.0118
2019,NUTS,2010,AT31,2,0.0122
2015,NUTS,2010,AT32,2,0.0555
2017,NUTS,2010,AT32,2,0.0537
2019,NUTS,2010,AT32,2,0.0501
2013,NUTS,2010,AT33,2,0.0072
2019,NUTS,2010,AT33,2,0.0103
2011,NUTS,2010,AT34,2,0.0098
2013,NUTS,2010,AT34,2,0.0114
2015,NUTS,2010,AT34,2,0.013
2017,NUTS,2010,AT34,2,0.0118
2019,NUTS,2010,AT34,2,0.0161
2011,NUTS,2010,BE,0,0.0425
2012,NUTS,2010,BE,0,0.0561
2013,NUTS,2010,BE,0,0.0565
2014,NUTS,2010,BE,0,0.0631
2015,NUTS,2010,BE,0,0.0639
2016,NUTS,2010,BE,0,0.0666
2017,NUTS,2010,BE,0,0.0713
2018,NUTS,2010,BE,0,0.0801
2019,NUTS,2010,BE,0,0.0814
2011,NUTS,2010,BE1,1,0.1188
2012,NUTS,2010,BE1,1,0.1934
2013,NUTS,2010,BE1,1,0.1958
2014,NUTS,2010,BE1,1,0.2017
2015,NUTS,2010,BE1,1,0.2151
2016,NUTS,2010,BE1,1,0.2222
2017,NUTS,2010,BE1,1,0.2231
2018,NUTS,2010,BE1,1,0.2417
2019,NUTS,2010,BE1,1,0.2543
2011,NUTS,2010,BE10,2,0.1188
2012,NUTS,2010,BE10,2,0.1934
2013,NUTS,2010,BE10,2,0.1958
2014,NUTS,2010,BE10,2,0.2017
2015,NUTS,2010,BE10,2,0.2151
2016,NUTS,2010,BE10,2,0.2222
2017,NUTS,2010,BE10,2,0.2231
2018,NUTS,2010,BE10,2,0.2417
2019,NUTS,2010,BE10,2,0.2543
2011,NUTS,2010,BE2,1,0.0478
2012,NUTS,2010,BE2,1,0.0559
2013,NUTS,2010,BE2,1,0.0565
2014,NUTS,2010,BE2,1,0.0635
2015,NUTS,2010,BE2,1,0.0621
2016,NUTS,2010,BE2,1,0.0667
2017,NUTS,2010,BE2,1,0.0745
2018,NUTS,2010,BE2,1,0.0845
2019,NUTS,2010,BE2,1,0.0846
2011,NUTS,2010,BE3,1,0.0063
2012,NUTS,2010,BE3,1,0.0095
2013,NUTS,2010,BE3,1,0.0091
2014,NUTS,2010,BE3,1,0.0147
2015,NUTS,2010,BE3,1,0.0152
2016,NUTS,2010,BE3,1,0.0112
2017,NUTS,2010,BE3,1,0.0112
2018,NUTS,2010,BE3,1,0.0126
2019,NUTS,2010,BE3,1,0.0124
2011,NUTS,2010,BG,0,0.2064
2012,NUTS,2010,BG,0,0.1914
2013,NUTS,2010,BG,0,0.1948
2014,NUTS,2010,BG,0,0.1914
2015,NUTS,2010,BG,0,0.1731
2016,NUTS,2010,BG,0,0.1828
2017,NUTS,2010,BG,0,0.1741
2018,NUTS,2010,BG,0,0.169
2019,NUTS,2010,BG,0,0.1738
