year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_t_total_fte_gov
1981,NUTS,2010,AT,0,1741.0
1985,NUTS,2010,AT,0,1778.0
1989,NUTS,2010,AT,0,1673.0
1993,NUTS,2010,AT,0,2107.0
1998,NUTS,2010,AT,0,2104.0
2002,NUTS,2010,AT,0,2060.0
2004,NUTS,2010,AT,0,2035.0
2005,NUTS,2010,AT,0,2318.0
2006,NUTS,2010,AT,0,2423.0
2007,NUTS,2010,AT,0,2488.0
2008,NUTS,2010,AT,0,2711.0
2009,NUTS,2010,AT,0,2679.0
2010,NUTS,2010,AT,0,2680.0
2011,NUTS,2010,AT,0,2567.0
2012,NUTS,2010,AT,0,2544.0
2013,NUTS,2010,AT,0,2538.0
2014,NUTS,2010,AT,0,2641.0
2015,NUTS,2010,AT,0,2674.0
2016,NUTS,2010,AT,0,5208.0
2017,NUTS,2010,AT,0,5266.0
2018,NUTS,2010,AT,0,5557.0
2019,NUTS,2010,AT,0,5472.0
2020,NUTS,2010,AT,0,5318.0
1981,NUTS,2010,AT1,1,1222.0
1985,NUTS,2010,AT1,1,1235.0
1989,NUTS,2010,AT1,1,1215.0
1993,NUTS,2010,AT1,1,1673.0
1998,NUTS,2010,AT1,1,1555.0
2002,NUTS,2010,AT1,1,1611.0
2004,NUTS,2010,AT1,1,1552.0
2011,NUTS,2010,AT1,1,1887.0
2013,NUTS,2010,AT1,1,1791.0
2019,NUTS,2010,AT1,1,4150.0
1981,NUTS,2010,AT11,2,33.0
1985,NUTS,2010,AT11,2,33.0
1989,NUTS,2010,AT11,2,33.0
1993,NUTS,2010,AT11,2,27.0
1998,NUTS,2010,AT11,2,15.0
2002,NUTS,2010,AT11,2,20.0
2004,NUTS,2010,AT11,2,23.0
2011,NUTS,2010,AT11,2,18.0
2013,NUTS,2010,AT11,2,18.0
1981,NUTS,2010,AT12,2,169.0
1985,NUTS,2010,AT12,2,168.0
1989,NUTS,2010,AT12,2,205.0
1993,NUTS,2010,AT12,2,207.0
1998,NUTS,2010,AT12,2,194.0
2002,NUTS,2010,AT12,2,177.0
2004,NUTS,2010,AT12,2,178.0
2006,NUTS,2010,AT12,2,190.0
2007,NUTS,2010,AT12,2,199.0
2009,NUTS,2010,AT12,2,218.0
2011,NUTS,2010,AT12,2,216.0
2013,NUTS,2010,AT12,2,219.0
2015,NUTS,2010,AT12,2,338.0
2017,NUTS,2010,AT12,2,492.0
1981,NUTS,2010,AT13,2,1021.0
1985,NUTS,2010,AT13,2,1033.0
1989,NUTS,2010,AT13,2,977.0
1993,NUTS,2010,AT13,2,1439.0
1998,NUTS,2010,AT13,2,1347.0
2002,NUTS,2010,AT13,2,1414.0
2004,NUTS,2010,AT13,2,1351.0
2006,NUTS,2010,AT13,2,1620.0
2007,NUTS,2010,AT13,2,1690.0
2009,NUTS,2010,AT13,2,1825.0
2011,NUTS,2010,AT13,2,1653.0
2013,NUTS,2010,AT13,2,1555.0
2015,NUTS,2010,AT13,2,1583.0
2017,NUTS,2010,AT13,2,3430.0
2019,NUTS,2010,AT13,2,3595.0
1981,NUTS,2010,AT2,1,311.0
1985,NUTS,2010,AT2,1,282.0
1989,NUTS,2010,AT2,1,236.0
1993,NUTS,2010,AT2,1,179.0
1998,NUTS,2010,AT2,1,227.0
2002,NUTS,2010,AT2,1,224.0
2004,NUTS,2010,AT2,1,284.0
2006,NUTS,2010,AT2,1,342.0
2015,NUTS,2010,AT2,1,319.0
2019,NUTS,2010,AT2,1,728.0
1981,NUTS,2010,AT21,2,71.0
1985,NUTS,2010,AT21,2,53.0
1989,NUTS,2010,AT21,2,70.0
1993,NUTS,2010,AT21,2,49.0
1998,NUTS,2010,AT21,2,56.0
2002,NUTS,2010,AT21,2,43.0
2004,NUTS,2010,AT21,2,49.0
2006,NUTS,2010,AT21,2,52.0
2011,NUTS,2010,AT21,2,40.0
1981,NUTS,2010,AT22,2,240.0
1985,NUTS,2010,AT22,2,229.0
1989,NUTS,2010,AT22,2,167.0
1993,NUTS,2010,AT22,2,130.0
1998,NUTS,2010,AT22,2,170.0
2002,NUTS,2010,AT22,2,181.0
2004,NUTS,2010,AT22,2,235.0
2006,NUTS,2010,AT22,2,290.0
2009,NUTS,2010,AT22,2,302.0
1981,NUTS,2010,AT3,1,209.0
1985,NUTS,2010,AT3,1,261.0
1989,NUTS,2010,AT3,1,222.0
1993,NUTS,2010,AT3,1,255.0
1998,NUTS,2010,AT3,1,322.0
2002,NUTS,2010,AT3,1,225.0
2004,NUTS,2010,AT3,1,199.0
2007,NUTS,2010,AT3,1,243.0
2019,NUTS,2010,AT3,1,594.0
1981,NUTS,2010,AT31,2,103.0
1985,NUTS,2010,AT31,2,134.0
1989,NUTS,2010,AT31,2,114.0
1993,NUTS,2010,AT31,2,107.0
1998,NUTS,2010,AT31,2,171.0
2002,NUTS,2010,AT31,2,72.0
2004,NUTS,2010,AT31,2,76.0
2006,NUTS,2010,AT31,2,107.0
2007,NUTS,2010,AT31,2,97.0
2009,NUTS,2010,AT31,2,84.0
2011,NUTS,2010,AT31,2,71.0
2013,NUTS,2010,AT31,2,78.0
2015,NUTS,2010,AT31,2,104.0
2017,NUTS,2010,AT31,2,244.0
2019,NUTS,2010,AT31,2,250.0
1981,NUTS,2010,AT32,2,23.0
1985,NUTS,2010,AT32,2,19.0
1989,NUTS,2010,AT32,2,16.0
1993,NUTS,2010,AT32,2,38.0
1998,NUTS,2010,AT32,2,55.0
2002,NUTS,2010,AT32,2,93.0
2004,NUTS,2010,AT32,2,66.0
2006,NUTS,2010,AT32,2,87.0
2009,NUTS,2010,AT32,2,112.0
2015,NUTS,2010,AT32,2,202.0
2017,NUTS,2010,AT32,2,193.0
2019,NUTS,2010,AT32,2,200.0
1981,NUTS,2010,AT33,2,59.0
1985,NUTS,2010,AT33,2,78.0
1989,NUTS,2010,AT33,2,70.0
1993,NUTS,2010,AT33,2,89.0
1998,NUTS,2010,AT33,2,78.0
2002,NUTS,2010,AT33,2,38.0
2004,NUTS,2010,AT33,2,35.0
2006,NUTS,2010,AT33,2,34.0
2013,NUTS,2010,AT33,2,67.0
2019,NUTS,2010,AT33,2,95.0
1981,NUTS,2010,AT34,2,24.0
1985,NUTS,2010,AT34,2,30.0
1989,NUTS,2010,AT34,2,21.0
1993,NUTS,2010,AT34,2,22.0
1998,NUTS,2010,AT34,2,18.0
2002,NUTS,2010,AT34,2,23.0
2004,NUTS,2010,AT34,2,22.0
2011,NUTS,2010,AT34,2,36.0
2013,NUTS,2010,AT34,2,36.0
2015,NUTS,2010,AT34,2,44.0
2017,NUTS,2010,AT34,2,43.0
2019,NUTS,2010,AT34,2,50.0
2002,NUTS,2010,ATZ,1,0.0
2004,NUTS,2010,ATZ,1,0.0
2006,NUTS,2010,ATZ,1,0.0
2007,NUTS,2010,ATZ,1,0.0
2009,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2002,NUTS,2010,ATZZ,2,0.0
2004,NUTS,2010,ATZZ,2,0.0
2006,NUTS,2010,ATZZ,2,0.0
2007,NUTS,2010,ATZZ,2,0.0
2009,NUTS,2010,ATZZ,2,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,126.0
2013,NUTS,2010,BA,0,168.0
2014,NUTS,2010,BA,0,153.0
2019,NUTS,2010,BA,0,67.0
1981,NUTS,2010,BE,0,1347.0
1982,NUTS,2010,BE,0,1357.0
1983,NUTS,2010,BE,0,1384.0
1984,NUTS,2010,BE,0,1412.0
