year,region_type,region_year_spec,region_id,region_level,hrst_st_rcat_se_pc_act
2011,NUTS,2010,AT,0,4.9
2012,NUTS,2010,AT,0,5.3
2013,NUTS,2010,AT,0,5.7
2014,NUTS,2010,AT,0,5.6
2015,NUTS,2010,AT,0,6.0
2016,NUTS,2010,AT,0,6.1
2017,NUTS,2010,AT,0,6.3
2018,NUTS,2010,AT,0,8.9
2019,NUTS,2010,AT,0,8.8
2020,NUTS,2010,AT,0,9.0
2011,NUTS,2010,AT1,1,5.6
2012,NUTS,2010,AT1,1,6.1
2013,NUTS,2010,AT1,1,6.7
2014,NUTS,2010,AT1,1,6.4
2015,NUTS,2010,AT1,1,6.8
2016,NUTS,2010,AT1,1,7.1
2017,NUTS,2010,AT1,1,7.3
2018,NUTS,2010,AT1,1,9.4
2019,NUTS,2010,AT1,1,9.3
2020,NUTS,2010,AT1,1,9.4
2011,NUTS,2010,AT11,2,3.7
2012,NUTS,2010,AT11,2,4.2
2013,NUTS,2010,AT11,2,4.7
2014,NUTS,2010,AT11,2,4.3
2015,NUTS,2010,AT11,2,4.6
2016,NUTS,2010,AT11,2,4.3
2017,NUTS,2010,AT11,2,3.9
2018,NUTS,2010,AT11,2,6.7
2019,NUTS,2010,AT11,2,6.9
2020,NUTS,2010,AT11,2,7.6
2011,NUTS,2010,AT12,2,4.3
2012,NUTS,2010,AT12,2,5.0
2013,NUTS,2010,AT12,2,4.9
2014,NUTS,2010,AT12,2,5.3
2015,NUTS,2010,AT12,2,5.7
2016,NUTS,2010,AT12,2,5.3
2017,NUTS,2010,AT12,2,6.0
2018,NUTS,2010,AT12,2,8.1
2019,NUTS,2010,AT12,2,7.9
2020,NUTS,2010,AT12,2,8.3
2011,NUTS,2010,AT13,2,7.2
2012,NUTS,2010,AT13,2,7.5
2013,NUTS,2010,AT13,2,8.7
2014,NUTS,2010,AT13,2,7.8
2015,NUTS,2010,AT13,2,8.2
2016,NUTS,2010,AT13,2,9.1
2017,NUTS,2010,AT13,2,9.0
2018,NUTS,2010,AT13,2,11.0
2019,NUTS,2010,AT13,2,10.9
2020,NUTS,2010,AT13,2,10.7
2011,NUTS,2010,AT2,1,4.5
2012,NUTS,2010,AT2,1,4.9
2013,NUTS,2010,AT2,1,5.2
2014,NUTS,2010,AT2,1,5.1
2015,NUTS,2010,AT2,1,5.3
2016,NUTS,2010,AT2,1,5.7
2017,NUTS,2010,AT2,1,5.9
2018,NUTS,2010,AT2,1,9.4
2019,NUTS,2010,AT2,1,8.6
2020,NUTS,2010,AT2,1,9.3
2011,NUTS,2010,AT21,2,3.8
2012,NUTS,2010,AT21,2,4.5
2013,NUTS,2010,AT21,2,4.4
2014,NUTS,2010,AT21,2,4.6
2015,NUTS,2010,AT21,2,4.3
2016,NUTS,2010,AT21,2,4.7
2017,NUTS,2010,AT21,2,5.5
2018,NUTS,2010,AT21,2,8.5
2019,NUTS,2010,AT21,2,7.7
2020,NUTS,2010,AT21,2,8.7
2011,NUTS,2010,AT22,2,4.9
2012,NUTS,2010,AT22,2,5.1
2013,NUTS,2010,AT22,2,5.6
2014,NUTS,2010,AT22,2,5.3
2015,NUTS,2010,AT22,2,5.8
2016,NUTS,2010,AT22,2,6.1
2017,NUTS,2010,AT22,2,6.1
2018,NUTS,2010,AT22,2,9.7
2019,NUTS,2010,AT22,2,9.0
2020,NUTS,2010,AT22,2,9.6
2011,NUTS,2010,AT3,1,4.2
2012,NUTS,2010,AT3,1,4.5
2013,NUTS,2010,AT3,1,4.9
2014,NUTS,2010,AT3,1,4.9
2015,NUTS,2010,AT3,1,5.3
2016,NUTS,2010,AT3,1,5.1
2017,NUTS,2010,AT3,1,5.3
2018,NUTS,2010,AT3,1,8.0
2019,NUTS,2010,AT3,1,8.4
2020,NUTS,2010,AT3,1,8.3
2011,NUTS,2010,AT31,2,3.9
2012,NUTS,2010,AT31,2,4.0
2013,NUTS,2010,AT31,2,5.0
2014,NUTS,2010,AT31,2,4.7
2015,NUTS,2010,AT31,2,5.3
2016,NUTS,2010,AT31,2,4.7
2017,NUTS,2010,AT31,2,5.2
2018,NUTS,2010,AT31,2,8.4
2019,NUTS,2010,AT31,2,8.4
2020,NUTS,2010,AT31,2,8.0
2011,NUTS,2010,AT32,2,4.2
2012,NUTS,2010,AT32,2,4.9
2013,NUTS,2010,AT32,2,4.7
2014,NUTS,2010,AT32,2,5.0
2015,NUTS,2010,AT32,2,5.7
2016,NUTS,2010,AT32,2,5.7
2017,NUTS,2010,AT32,2,5.6
2018,NUTS,2010,AT32,2,7.7
2019,NUTS,2010,AT32,2,8.2
2020,NUTS,2010,AT32,2,7.5
2011,NUTS,2010,AT33,2,5.2
2012,NUTS,2010,AT33,2,5.3
2013,NUTS,2010,AT33,2,4.8
2014,NUTS,2010,AT33,2,4.9
2015,NUTS,2010,AT33,2,5.0
2016,NUTS,2010,AT33,2,5.2
2017,NUTS,2010,AT33,2,4.9
