year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_p_mact_cab
2012,NUTS,2010,DE9,1,13.216
2011,NUTS,2010,DE91,2,16.701
2012,NUTS,2010,DE91,2,14.371
2011,NUTS,2010,DE92,2,33.26
2012,NUTS,2010,DE92,2,29.226
2011,NUTS,2010,DE93,2,4.153
2012,NUTS,2010,DE93,2,3.385
2011,NUTS,2010,DE94,2,2.464
2012,NUTS,2010,DE94,2,5.331
2011,NUTS,2010,DEA,1,12.929
2012,NUTS,2010,DEA,1,10.732
2011,NUTS,2010,DEA1,2,8.328
2012,NUTS,2010,DEA1,2,8.536
2011,NUTS,2010,DEA2,2,17.783
2012,NUTS,2010,DEA2,2,9.374
2011,NUTS,2010,DEA3,2,7.888
2012,NUTS,2010,DEA3,2,6.389
2011,NUTS,2010,DEA4,2,24.405
2012,NUTS,2010,DEA4,2,29.412
2011,NUTS,2010,DEA5,2,10.69
2012,NUTS,2010,DEA5,2,7.781
2011,NUTS,2010,DEB,1,11.769
2012,NUTS,2010,DEB,1,9.88
2011,NUTS,2010,DEB1,2,3.464
2012,NUTS,2010,DEB1,2,12.721
2011,NUTS,2010,DEB2,2,6.78
2012,NUTS,2010,DEB2,2,3.719
2011,NUTS,2010,DEB3,2,19.244
2012,NUTS,2010,DEB3,2,9.423
2011,NUTS,2010,DEC,1,12.344
2012,NUTS,2010,DEC,1,11.073
2011,NUTS,2010,DED,1,10.001
2012,NUTS,2010,DED,1,8.346
2011,NUTS,2010,DED2,2,14.897
2012,NUTS,2010,DED2,2,11.42
2011,NUTS,2010,DED4,2,8.897
2012,NUTS,2010,DED4,2,5.408
2011,NUTS,2010,DED5,2,3.856
2012,NUTS,2010,DED5,2,7.773
2011,NUTS,2010,DEE,1,2.362
2012,NUTS,2010,DEE,1,1.29
2011,NUTS,2010,DEE0,2,2.362
2012,NUTS,2010,DEE0,2,1.29
2011,NUTS,2010,DEF,1,7.55
2012,NUTS,2010,DEF,1,3.789
2011,NUTS,2010,DEF0,2,7.55
2012,NUTS,2010,DEF0,2,3.789
2011,NUTS,2010,DEG,1,7.976
2012,NUTS,2010,DEG,1,8.985
2011,NUTS,2010,DEG0,2,7.976
2012,NUTS,2010,DEG0,2,8.985
2011,NUTS,2010,DK,0,13.823
2012,NUTS,2010,DK,0,6.68
2011,NUTS,2010,DK0,1,13.823
2012,NUTS,2010,DK0,1,6.25
2011,NUTS,2010,DK01,2,25.988
2012,NUTS,2010,DK01,2,8.676
2011,NUTS,2010,DK02,2,4.796
2012,NUTS,2010,DK02,2,4.9
2011,NUTS,2010,DK03,2,7.173
2012,NUTS,2010,DK03,2,1.655
2011,NUTS,2010,DK04,2,11.828
2012,NUTS,2010,DK04,2,8.892
2011,NUTS,2010,DK05,2,5.946
2012,NUTS,2010,DK05,2,3.875
2011,NUTS,2010,EE,0,5.814
2012,NUTS,2010,EE,0,4.39
2011,NUTS,2010,EE0,1,5.814
2012,NUTS,2010,EE0,1,4.39
2011,NUTS,2010,EE00,2,5.814
2012,NUTS,2010,EE00,2,4.39
2011,NUTS,2010,EL,0,0.794
2012,NUTS,2010,EL,0,1.131
2011,NUTS,2010,EL3,1,0.841
2012,NUTS,2010,EL3,1,1.179
2011,NUTS,2010,EL30,2,0.841
2012,NUTS,2010,EL30,2,1.179
2012,NUTS,2010,EL4,1,1.137
2012,NUTS,2010,EL43,2,2.083
2011,NUTS,2010,ES,0,2.962
2012,NUTS,2010,ES,0,2.982
2011,NUTS,2010,ES1,1,0.718
2012,NUTS,2010,ES1,1,1.367
2011,NUTS,2010,ES11,2,1.139
2012,NUTS,2010,ES11,2,1.518
2012,NUTS,2010,ES12,2,1.756
2011,NUTS,2010,ES2,1,2.682
2012,NUTS,2010,ES2,1,0.901
2011,NUTS,2010,ES21,2,2.75
2012,NUTS,2010,ES21,2,1.87
2011,NUTS,2010,ES24,2,4.52
2011,NUTS,2010,ES3,1,6.668
2012,NUTS,2010,ES3,1,6.841
2011,NUTS,2010,ES30,2,6.668
2012,NUTS,2010,ES30,2,6.841
2011,NUTS,2010,ES4,1,0.843
2012,NUTS,2010,ES4,1,0.92
2011,NUTS,2010,ES41,2,0.117
2011,NUTS,2010,ES42,2,2.095
2012,NUTS,2010,ES42,2,2.453
2011,NUTS,2010,ES5,1,4.773
2012,NUTS,2010,ES5,1,4.693
2011,NUTS,2010,ES51,2,7.82
2012,NUTS,2010,ES51,2,6.623
2011,NUTS,2010,ES52,2,1.054
2012,NUTS,2010,ES52,2,2.749
2012,NUTS,2010,ES53,2,0.228
2011,NUTS,2010,ES6,1,0.269
2012,NUTS,2010,ES6,1,1.031
2011,NUTS,2010,ES61,2,0.322
2012,NUTS,2010,ES61,2,1.236
2011,NUTS,2010,ES7,1,0.92
2012,NUTS,2010,ES7,1,0.907
2011,NUTS,2010,ES70,2,0.92
2012,NUTS,2010,ES70,2,0.907
2011,NUTS,2010,FI,0,59.462
2012,NUTS,2010,FI,0,59.771
2011,NUTS,2010,FI1,1,59.801
2012,NUTS,2010,FI1,1,59.667
2011,NUTS,2010,FI19,2,78.05
2012,NUTS,2010,FI19,2,83.23
2011,NUTS,2010,FI1B,2,94.504
2012,NUTS,2010,FI1B,2,83.488
2011,NUTS,2010,FI1C,2,18.723
2012,NUTS,2010,FI1C,2,35.909
2011,NUTS,2010,FI1D,2,29.393
2012,NUTS,2010,FI1D,2,21.875
2012,NUTS,2010,FI2,1,53.205
2012,NUTS,2010,FI20,2,53.205
2011,NUTS,2010,FR,0,23.126
2012,NUTS,2010,FR,0,18.943
