year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_bes_t_pc_emp_fte_total
1998,NUTS,2010,AT,0,0.558
2002,NUTS,2010,AT,0,0.7259
2004,NUTS,2010,AT,0,0.7982
2005,NUTS,2010,AT,0,0.8833
2006,NUTS,2010,AT,0,0.9021
2007,NUTS,2010,AT,0,0.9573
2008,NUTS,2010,AT,0,1.0256
2009,NUTS,2010,AT,0,0.9799
2010,NUTS,2010,AT,0,1.0384
2011,NUTS,2010,AT,0,1.0572
2012,NUTS,2010,AT,0,1.133
2013,NUTS,2010,AT,0,1.1517
2014,NUTS,2010,AT,0,1.228
2015,NUTS,2010,AT,0,1.2422
2016,NUTS,2010,AT,0,1.2526
2017,NUTS,2010,AT,0,1.2539
2018,NUTS,2010,AT,0,1.3056
2019,NUTS,2010,AT,0,1.369
2020,NUTS,2010,AT,0,1.3471
2002,NUTS,2010,AT1,1,0.8044
2004,NUTS,2010,AT1,1,0.8529
2006,NUTS,2010,AT1,1,0.9254
2007,NUTS,2010,AT1,1,0.9636
2009,NUTS,2010,AT1,1,0.8999
2011,NUTS,2010,AT1,1,0.9292
2013,NUTS,2010,AT1,1,0.9126
2015,NUTS,2010,AT1,1,0.956
2017,NUTS,2010,AT1,1,0.9113
2019,NUTS,2010,AT1,1,1.0052
2002,NUTS,2010,AT11,2,0.2234
2004,NUTS,2010,AT11,2,0.2474
2006,NUTS,2010,AT11,2,0.2339
2007,NUTS,2010,AT11,2,0.2652
2009,NUTS,2010,AT11,2,0.3167
2011,NUTS,2010,AT11,2,0.3954
2013,NUTS,2010,AT11,2,0.4532
2015,NUTS,2010,AT11,2,0.5014
2017,NUTS,2010,AT11,2,0.5091
2019,NUTS,2010,AT11,2,0.5083
2002,NUTS,2010,AT12,2,0.361
2004,NUTS,2010,AT12,2,0.4108
2006,NUTS,2010,AT12,2,0.4992
2007,NUTS,2010,AT12,2,0.5169
2009,NUTS,2010,AT12,2,0.5416
2011,NUTS,2010,AT12,2,0.5923
2013,NUTS,2010,AT12,2,0.6234
2015,NUTS,2010,AT12,2,0.6826
2017,NUTS,2010,AT12,2,0.6891
2019,NUTS,2010,AT12,2,0.7747
2002,NUTS,2010,AT13,2,1.3422
2004,NUTS,2010,AT13,2,1.4053
2006,NUTS,2010,AT13,2,1.4756
2007,NUTS,2010,AT13,2,1.5466
2009,NUTS,2010,AT13,2,1.3652
2011,NUTS,2010,AT13,2,1.362
2013,NUTS,2010,AT13,2,1.2743
2015,NUTS,2010,AT13,2,1.3018
2017,NUTS,2010,AT13,2,1.1924
2019,NUTS,2010,AT13,2,1.2993
2002,NUTS,2010,AT2,1,0.814
2004,NUTS,2010,AT2,1,0.9397
2006,NUTS,2010,AT2,1,1.0559
2007,NUTS,2010,AT2,1,1.1234
2009,NUTS,2010,AT2,1,1.1776
2011,NUTS,2010,AT2,1,1.3407
2013,NUTS,2010,AT2,1,1.5373
2015,NUTS,2010,AT2,1,1.7009
2017,NUTS,2010,AT2,1,1.7569
2019,NUTS,2010,AT2,1,1.9203
2002,NUTS,2010,AT21,2,0.5591
2004,NUTS,2010,AT21,2,0.708
2006,NUTS,2010,AT21,2,0.8153
2007,NUTS,2010,AT21,2,0.8679
2009,NUTS,2010,AT21,2,0.9218
2011,NUTS,2010,AT21,2,1.0296
2013,NUTS,2010,AT21,2,1.0829
2015,NUTS,2010,AT21,2,1.163
2017,NUTS,2010,AT21,2,1.1545
2019,NUTS,2010,AT21,2,1.2964
2002,NUTS,2010,AT22,2,0.9321
2004,NUTS,2010,AT22,2,1.0431
2006,NUTS,2010,AT22,2,1.1623
2007,NUTS,2010,AT22,2,1.2374
2009,NUTS,2010,AT22,2,1.2921
2011,NUTS,2010,AT22,2,1.4775
2013,NUTS,2010,AT22,2,1.7375
2015,NUTS,2010,AT22,2,1.9356
2017,NUTS,2010,AT22,2,2.0185
2019,NUTS,2010,AT22,2,2.1891
2002,NUTS,2010,AT3,1,0.5947
2004,NUTS,2010,AT3,1,0.6855
2006,NUTS,2010,AT3,1,0.7629
2007,NUTS,2010,AT3,1,0.8188
2009,NUTS,2010,AT3,1,0.9113
2011,NUTS,2010,AT3,1,0.9936
2013,NUTS,2010,AT3,1,1.1507
2015,NUTS,2010,AT3,1,1.2497
2017,NUTS,2010,AT3,1,1.3105
2019,NUTS,2010,AT3,1,1.4178
2002,NUTS,2010,AT31,2,0.6969
2004,NUTS,2010,AT31,2,0.8243
2006,NUTS,2010,AT31,2,0.9396
2007,NUTS,2010,AT31,2,1.0242
2009,NUTS,2010,AT31,2,1.123
2011,NUTS,2010,AT31,2,1.2324
2013,NUTS,2010,AT31,2,1.4789
