year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pc_act_hc_total_pnp_t
1998,NUTS,2010,AT,0,0.0091
2002,NUTS,2010,AT,0,0.0162
2004,NUTS,2010,AT,0,0.0146
2006,NUTS,2010,AT,0,0.0101
2007,NUTS,2010,AT,0,0.0083
2009,NUTS,2010,AT,0,0.0179
2011,NUTS,2010,AT,0,0.0198
2013,NUTS,2010,AT,0,0.0208
2015,NUTS,2010,AT,0,0.0223
2017,NUTS,2010,AT,0,0.0231
2019,NUTS,2010,AT,0,0.0273
2007,NUTS,2010,AT1,1,0.0152
2009,NUTS,2010,AT1,1,0.0391
2011,NUTS,2010,AT1,1,0.0405
2013,NUTS,2010,AT1,1,0.0421
2015,NUTS,2010,AT1,1,0.0475
2017,NUTS,2010,AT1,1,0.0478
2019,NUTS,2010,AT1,1,0.0556
2007,NUTS,2010,AT11,2,0.0
2009,NUTS,2010,AT11,2,0.0
2011,NUTS,2010,AT11,2,0.0
2013,NUTS,2010,AT11,2,0.0
2015,NUTS,2010,AT11,2,0.0
2017,NUTS,2010,AT11,2,0.0
2002,NUTS,2010,AT12,2,0.0046
2004,NUTS,2010,AT12,2,0.0041
2006,NUTS,2010,AT12,2,0.0032
2007,NUTS,2010,AT12,2,0.0042
2009,NUTS,2010,AT12,2,0.0404
2011,NUTS,2010,AT12,2,0.0406
2013,NUTS,2010,AT12,2,0.044
2015,NUTS,2010,AT12,2,0.0472
2017,NUTS,2010,AT12,2,0.0494
2002,NUTS,2010,AT13,2,0.0476
2004,NUTS,2010,AT13,2,0.0445
2006,NUTS,2010,AT13,2,0.0353
2007,NUTS,2010,AT13,2,0.0284
2009,NUTS,2010,AT13,2,0.0446
2011,NUTS,2010,AT13,2,0.0471
2013,NUTS,2010,AT13,2,0.047
2015,NUTS,2010,AT13,2,0.0551
2017,NUTS,2010,AT13,2,0.0537
2019,NUTS,2010,AT13,2,0.0631
2006,NUTS,2010,AT2,1,0.0047
2019,NUTS,2010,AT2,1,0.0049
2006,NUTS,2010,AT21,2,0.0
2011,NUTS,2010,AT21,2,0.0052
2002,NUTS,2010,AT22,2,0.0108
2004,NUTS,2010,AT22,2,0.0116
2006,NUTS,2010,AT22,2,0.0067
2009,NUTS,2010,AT22,2,0.0
2002,NUTS,2010,AT3,1,0.0102
2004,NUTS,2010,AT3,1,0.0092
2007,NUTS,2010,AT3,1,0.0044
2019,NUTS,2010,AT3,1,0.0054
2002,NUTS,2010,AT31,2,0.0066
2004,NUTS,2010,AT31,2,0.0045
2006,NUTS,2010,AT31,2,0.0055
2009,NUTS,2010,AT31,2,0.0038
2011,NUTS,2010,AT31,2,0.008
2013,NUTS,2010,AT31,2,0.0109
2015,NUTS,2010,AT31,2,0.0025
2017,NUTS,2010,AT31,2,0.0027
2019,NUTS,2010,AT31,2,0.0037
2006,NUTS,2010,AT32,2,0.0
2009,NUTS,2010,AT32,2,0.0
2015,NUTS,2010,AT32,2,0.0135
2017,NUTS,2010,AT32,2,0.017
2019,NUTS,2010,AT32,2,0.0167
2002,NUTS,2010,AT33,2,0.0292
2004,NUTS,2010,AT33,2,0.03
2006,NUTS,2010,AT33,2,0.0046
