year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_pnp_mio_nac
2019,NUTS,2010,BG4,1,6.169
2012,NUTS,2010,BG41,2,6.79
2013,NUTS,2010,BG41,2,2.257
2014,NUTS,2010,BG41,2,4.667
2015,NUTS,2010,BG41,2,4.253
2016,NUTS,2010,BG41,2,1.017
2017,NUTS,2010,BG41,2,4.872
2018,NUTS,2010,BG41,2,3.033
2019,NUTS,2010,BG41,2,3.627
2012,NUTS,2010,BG42,2,0.222
2014,NUTS,2010,BG42,2,0.105
2015,NUTS,2010,BG42,2,0.157
2016,NUTS,2010,BG42,2,1.135
2017,NUTS,2010,BG42,2,1.423
2018,NUTS,2010,BG42,2,1.446
2019,NUTS,2010,BG42,2,2.542
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,CH,0,340.0
2015,NUTS,2010,CH,0,523.58
2017,NUTS,2010,CH,0,525.94
2019,NUTS,2010,CH,0,610.24
2012,NUTS,2010,CH0,1,340.0
2015,NUTS,2010,CH0,1,523.58
2017,NUTS,2010,CH0,1,525.94
2019,NUTS,2010,CH0,1,610.24
2011,NUTS,2010,CY,0,13.876
2012,NUTS,2010,CY,0,10.996
2013,NUTS,2010,CY,0,11.021
2014,NUTS,2010,CY,0,13.527
2015,NUTS,2010,CY,0,12.158
2016,NUTS,2010,CY,0,12.425
2017,NUTS,2010,CY,0,12.869
2018,NUTS,2010,CY,0,14.661
2019,NUTS,2010,CY,0,18.595
2020,NUTS,2010,CY,0,20.0
2011,NUTS,2010,CY0,1,13.876
2012,NUTS,2010,CY0,1,10.996
2013,NUTS,2010,CY0,1,11.021
2014,NUTS,2010,CY0,1,13.527
2015,NUTS,2010,CY0,1,12.158
2016,NUTS,2010,CY0,1,12.425
2017,NUTS,2010,CY0,1,12.869
