year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_bes_rse_f_pc_emp_hc
2011,NUTS,2010,AT,0,0.261
2013,NUTS,2010,AT,0,0.3114
2015,NUTS,2010,AT,0,0.3287
2017,NUTS,2010,AT,0,0.3491
2019,NUTS,2010,AT,0,0.3891
2011,NUTS,2010,AT1,1,0.3371
2013,NUTS,2010,AT1,1,0.3718
2015,NUTS,2010,AT1,1,0.3864
2017,NUTS,2010,AT1,1,0.3499
2019,NUTS,2010,AT1,1,0.3888
2011,NUTS,2010,AT11,2,0.0768
2013,NUTS,2010,AT11,2,0.0774
2015,NUTS,2010,AT11,2,0.0874
2017,NUTS,2010,AT11,2,0.1187
2019,NUTS,2010,AT11,2,0.1016
2011,NUTS,2010,AT12,2,0.1641
2013,NUTS,2010,AT12,2,0.1662
2015,NUTS,2010,AT12,2,0.1698
2017,NUTS,2010,AT12,2,0.1596
2019,NUTS,2010,AT12,2,0.2214
2011,NUTS,2010,AT13,2,0.5485
2013,NUTS,2010,AT13,2,0.6128
2015,NUTS,2010,AT13,2,0.6419
2017,NUTS,2010,AT13,2,0.568
2019,NUTS,2010,AT13,2,0.589
2011,NUTS,2010,AT2,1,0.2801
2013,NUTS,2010,AT2,1,0.3352
2015,NUTS,2010,AT2,1,0.3617
2017,NUTS,2010,AT2,1,0.4276
2019,NUTS,2010,AT2,1,0.5228
2011,NUTS,2010,AT21,2,0.184
2013,NUTS,2010,AT21,2,0.1661
2015,NUTS,2010,AT21,2,0.2229
2017,NUTS,2010,AT21,2,0.3674
2019,NUTS,2010,AT21,2,0.4537
2011,NUTS,2010,AT22,2,0.3223
2013,NUTS,2010,AT22,2,0.4111
2015,NUTS,2010,AT22,2,0.4229
2017,NUTS,2010,AT22,2,0.454
2019,NUTS,2010,AT22,2,0.5529
2011,NUTS,2010,AT3,1,0.1535
2013,NUTS,2010,AT3,1,0.2187
2015,NUTS,2010,AT3,1,0.231
2017,NUTS,2010,AT3,1,0.2923
2019,NUTS,2010,AT3,1,0.3046
2011,NUTS,2010,AT31,2,0.148
2013,NUTS,2010,AT31,2,0.2318
2015,NUTS,2010,AT31,2,0.2451
2017,NUTS,2010,AT31,2,0.277
2019,NUTS,2010,AT31,2,0.3429
2011,NUTS,2010,AT32,2,0.1011
2013,NUTS,2010,AT32,2,0.1231
2015,NUTS,2010,AT32,2,0.1368
2017,NUTS,2010,AT32,2,0.1916
2019,NUTS,2010,AT32,2,0.2118
2011,NUTS,2010,AT33,2,0.2303
2013,NUTS,2010,AT33,2,0.3031
2015,NUTS,2010,AT33,2,0.3178
2017,NUTS,2010,AT33,2,0.4579
2019,NUTS,2010,AT33,2,0.363
2011,NUTS,2010,AT34,2,0.101
2013,NUTS,2010,AT34,2,0.143
2015,NUTS,2010,AT34,2,0.1446
2017,NUTS,2010,AT34,2,0.1752
2019,NUTS,2010,AT34,2,0.1817
2011,NUTS,2010,BE,0,0.363
2013,NUTS,2010,BE,0,0.3667
2015,NUTS,2010,BE,0,0.4772
2017,NUTS,2010,BE,0,0.5506
2019,NUTS,2010,BE,0,0.555
2011,NUTS,2010,BE1,1,0.5011
2013,NUTS,2010,BE1,1,0.5585
2015,NUTS,2010,BE1,1,0.7946
2017,NUTS,2010,BE1,1,0.9559
2019,NUTS,2010,BE1,1,1.123
2011,NUTS,2010,BE10,2,0.5011
2013,NUTS,2010,BE10,2,0.5585
2015,NUTS,2010,BE10,2,0.7946
2017,NUTS,2010,BE10,2,0.9559
2019,NUTS,2010,BE10,2,1.123
2011,NUTS,2010,BE2,1,0.3219
2013,NUTS,2010,BE2,1,0.3574
2015,NUTS,2010,BE2,1,0.3941
2017,NUTS,2010,BE2,1,0.4295
2019,NUTS,2010,BE2,1,0.5235
2011,NUTS,2010,BE3,1,0.3993
2013,NUTS,2010,BE3,1,0.3175
2015,NUTS,2010,BE3,1,0.5385
2017,NUTS,2010,BE3,1,0.6568
