year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_total_total_hc_t
2011,NUTS,2010,AT,0,107949.0
2013,NUTS,2010,AT,0,117043.0
2015,NUTS,2010,AT,0,126171.0
2017,NUTS,2010,AT,0,131032.0
2019,NUTS,2010,AT,0,144117.0
2011,NUTS,2010,AT1,1,49531.0
2013,NUTS,2010,AT1,1,52475.0
2015,NUTS,2010,AT1,1,55598.0
2017,NUTS,2010,AT1,1,57193.0
2019,NUTS,2010,AT1,1,63361.0
2011,NUTS,2010,AT11,2,1003.0
2013,NUTS,2010,AT11,2,1194.0
2015,NUTS,2010,AT11,2,1261.0
2017,NUTS,2010,AT11,2,1308.0
2019,NUTS,2010,AT11,2,1392.0
2011,NUTS,2010,AT12,2,8130.0
2013,NUTS,2010,AT12,2,9368.0
2015,NUTS,2010,AT12,2,10607.0
2017,NUTS,2010,AT12,2,11392.0
2019,NUTS,2010,AT12,2,12777.0
2011,NUTS,2010,AT13,2,40398.0
2013,NUTS,2010,AT13,2,41913.0
2015,NUTS,2010,AT13,2,43730.0
2017,NUTS,2010,AT13,2,44493.0
2019,NUTS,2010,AT13,2,49192.0
2011,NUTS,2010,AT2,1,26099.0
2013,NUTS,2010,AT2,1,28678.0
2015,NUTS,2010,AT2,1,31374.0
2017,NUTS,2010,AT2,1,31907.0
2019,NUTS,2010,AT2,1,35650.0
2011,NUTS,2010,AT21,2,4217.0
2013,NUTS,2010,AT21,2,4373.0
2015,NUTS,2010,AT21,2,4607.0
2017,NUTS,2010,AT21,2,4669.0
2019,NUTS,2010,AT21,2,5443.0
2011,NUTS,2010,AT22,2,21882.0
2013,NUTS,2010,AT22,2,24305.0
2015,NUTS,2010,AT22,2,26767.0
2017,NUTS,2010,AT22,2,27238.0
2019,NUTS,2010,AT22,2,30207.0
2011,NUTS,2010,AT3,1,32319.0
2013,NUTS,2010,AT3,1,35890.0
2015,NUTS,2010,AT3,1,39199.0
2017,NUTS,2010,AT3,1,41932.0
2019,NUTS,2010,AT3,1,45106.0
2011,NUTS,2010,AT31,2,15410.0
2013,NUTS,2010,AT31,2,17415.0
2015,NUTS,2010,AT31,2,19386.0
2017,NUTS,2010,AT31,2,20076.0
2019,NUTS,2010,AT31,2,22018.0
2011,NUTS,2010,AT32,2,4890.0
2013,NUTS,2010,AT32,2,5470.0
2015,NUTS,2010,AT32,2,5992.0
2017,NUTS,2010,AT32,2,6686.0
2019,NUTS,2010,AT32,2,7314.0
2011,NUTS,2010,AT33,2,9388.0
2013,NUTS,2010,AT33,2,10142.0
2015,NUTS,2010,AT33,2,10447.0
2017,NUTS,2010,AT33,2,11276.0
2019,NUTS,2010,AT33,2,12059.0
2011,NUTS,2010,AT34,2,2631.0
2013,NUTS,2010,AT34,2,2863.0
2015,NUTS,2010,AT34,2,3374.0
2017,NUTS,2010,AT34,2,3894.0
2019,NUTS,2010,AT34,2,3715.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,1705.0
2013,NUTS,2010,BA,0,2167.0
2014,NUTS,2010,BA,0,3189.0
2019,NUTS,2010,BA,0,2883.0
2011,NUTS,2010,BE,0,94424.0
2013,NUTS,2010,BE,0,100423.0
2015,NUTS,2010,BE,0,113576.0
2017,NUTS,2010,BE,0,129002.0
2019,NUTS,2010,BE,0,148062.0
2011,NUTS,2010,BE1,1,15288.0
2013,NUTS,2010,BE1,1,17426.0
2015,NUTS,2010,BE1,1,19358.0
2017,NUTS,2010,BE1,1,21782.0
2019,NUTS,2010,BE1,1,27346.0
2011,NUTS,2010,BE10,2,15288.0
2013,NUTS,2010,BE10,2,17426.0
2015,NUTS,2010,BE10,2,19358.0
2017,NUTS,2010,BE10,2,21782.0
2019,NUTS,2010,BE10,2,27346.0
2011,NUTS,2010,BE2,1,56195.0
2013,NUTS,2010,BE2,1,61124.0
2015,NUTS,2010,BE2,1,70035.0
2017,NUTS,2010,BE2,1,78479.0
2019,NUTS,2010,BE2,1,93225.0
2011,NUTS,2010,BE21,2,15714.0
2013,NUTS,2010,BE21,2,15342.0
2015,NUTS,2010,BE21,2,18172.0
2011,NUTS,2010,BE22,2,3505.0
2013,NUTS,2010,BE22,2,4150.0
2015,NUTS,2010,BE22,2,5379.0
2011,NUTS,2010,BE23,2,15066.0
2013,NUTS,2010,BE23,2,17180.0
2015,NUTS,2010,BE23,2,18875.0
2011,NUTS,2010,BE24,2,17377.0
2013,NUTS,2010,BE24,2,18812.0
2015,NUTS,2010,BE24,2,21115.0
2011,NUTS,2010,BE25,2,4533.0
2013,NUTS,2010,BE25,2,5639.0
2015,NUTS,2010,BE25,2,6494.0
2011,NUTS,2010,BE3,1,22941.0
2013,NUTS,2010,BE3,1,21873.0
2015,NUTS,2010,BE3,1,24183.0
2017,NUTS,2010,BE3,1,28741.0
2019,NUTS,2010,BE3,1,27491.0
2011,NUTS,2010,BE31,2,8405.0
2013,NUTS,2010,BE31,2,9078.0
2015,NUTS,2010,BE31,2,8984.0
2011,NUTS,2010,BE32,2,5283.0
2013,NUTS,2010,BE32,2,4150.0
2015,NUTS,2010,BE32,2,5506.0
2011,NUTS,2010,BE33,2,6660.0
2013,NUTS,2010,BE33,2,6717.0
2015,NUTS,2010,BE33,2,6870.0
2011,NUTS,2010,BE34,2,372.0
2013,NUTS,2010,BE34,2,233.0
2015,NUTS,2010,BE34,2,276.0
2011,NUTS,2010,BE35,2,2221.0
2013,NUTS,2010,BE35,2,1695.0
2015,NUTS,2010,BE35,2,2547.0
2013,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2013,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
2011,NUTS,2010,BG,0,20810.0
2012,NUTS,2010,BG,0,21677.0
2013,NUTS,2010,BG,0,22307.0
2014,NUTS,2010,BG,0,25484.0
2015,NUTS,2010,BG,0,29591.0
2016,NUTS,2010,BG,0,32306.0
2017,NUTS,2010,BG,0,31221.0
2018,NUTS,2010,BG,0,34610.0
2019,NUTS,2010,BG,0,34986.0
2011,NUTS,2010,BG3,1,5511.0
2012,NUTS,2010,BG3,1,6022.0
2013,NUTS,2010,BG3,1,6219.0
2014,NUTS,2010,BG3,1,7514.0
2015,NUTS,2010,BG3,1,9198.0
2016,NUTS,2010,BG3,1,8830.0
2017,NUTS,2010,BG3,1,9023.0
2018,NUTS,2010,BG3,1,10323.0
2019,NUTS,2010,BG3,1,10406.0
2011,NUTS,2010,BG31,2,578.0
2012,NUTS,2010,BG31,2,888.0
2013,NUTS,2010,BG31,2,887.0
2014,NUTS,2010,BG31,2,880.0
2015,NUTS,2010,BG31,2,1374.0
2016,NUTS,2010,BG31,2,1479.0
2017,NUTS,2010,BG31,2,1396.0
2018,NUTS,2010,BG31,2,1746.0
2019,NUTS,2010,BG31,2,1639.0
2011,NUTS,2010,BG32,2,1563.0
2012,NUTS,2010,BG32,2,1459.0
2013,NUTS,2010,BG32,2,1484.0
2014,NUTS,2010,BG32,2,1932.0
2015,NUTS,2010,BG32,2,2299.0
2016,NUTS,2010,BG32,2,1896.0
2017,NUTS,2010,BG32,2,2120.0
2018,NUTS,2010,BG32,2,2326.0
2019,NUTS,2010,BG32,2,2350.0
2011,NUTS,2010,BG33,2,2016.0
2012,NUTS,2010,BG33,2,2171.0
2013,NUTS,2010,BG33,2,2296.0
2014,NUTS,2010,BG33,2,3019.0
2015,NUTS,2010,BG33,2,3314.0
2016,NUTS,2010,BG33,2,3199.0
2017,NUTS,2010,BG33,2,3388.0
2018,NUTS,2010,BG33,2,3673.0
2019,NUTS,2010,BG33,2,3687.0
2011,NUTS,2010,BG34,2,1354.0
2012,NUTS,2010,BG34,2,1504.0
2013,NUTS,2010,BG34,2,1552.0
2014,NUTS,2010,BG34,2,1683.0
2015,NUTS,2010,BG34,2,2211.0
2016,NUTS,2010,BG34,2,2256.0
2017,NUTS,2010,BG34,2,2119.0
2018,NUTS,2010,BG34,2,2578.0
2019,NUTS,2010,BG34,2,2730.0
2011,NUTS,2010,BG4,1,15299.0
2012,NUTS,2010,BG4,1,15655.0
2013,NUTS,2010,BG4,1,16088.0
2014,NUTS,2010,BG4,1,17970.0
2015,NUTS,2010,BG4,1,20393.0
2016,NUTS,2010,BG4,1,23476.0
2017,NUTS,2010,BG4,1,22198.0
2018,NUTS,2010,BG4,1,24287.0
2019,NUTS,2010,BG4,1,24580.0
2011,NUTS,2010,BG41,2,13387.0
2012,NUTS,2010,BG41,2,13670.0
2013,NUTS,2010,BG41,2,13981.0
2014,NUTS,2010,BG41,2,15585.0
2015,NUTS,2010,BG41,2,17349.0
2016,NUTS,2010,BG41,2,20066.0
2017,NUTS,2010,BG41,2,18837.0
2018,NUTS,2010,BG41,2,20401.0
2019,NUTS,2010,BG41,2,20175.0
2011,NUTS,2010,BG42,2,1912.0
2012,NUTS,2010,BG42,2,1985.0
2013,NUTS,2010,BG42,2,2107.0
2014,NUTS,2010,BG42,2,2385.0
2015,NUTS,2010,BG42,2,3044.0
2016,NUTS,2010,BG42,2,3410.0
2017,NUTS,2010,BG42,2,3361.0
2018,NUTS,2010,BG42,2,3886.0
2019,NUTS,2010,BG42,2,4405.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,CH,0,117457.0
2015,NUTS,2010,CH,0,124246.0
2017,NUTS,2010,CH,0,122172.0
2019,NUTS,2010,CH,0,132605.0
2011,NUTS,2010,CN_X_HK,5,4017578.0
2012,NUTS,2010,CN_X_HK,5,4617120.0
2013,NUTS,2010,CN_X_HK,5,5018218.0
2014,NUTS,2010,CN_X_HK,5,5351472.0
2015,NUTS,2010,CN_X_HK,5,5482528.0
2016,NUTS,2010,CN_X_HK,5,5830741.0
2017,NUTS,2010,CN_X_HK,5,6213627.0
2018,NUTS,2010,CN_X_HK,5,6571372.0
2019,NUTS,2010,CN_X_HK,5,7129256.0
2011,NUTS,2010,CY,0,2793.0
2012,NUTS,2010,CY,0,2737.0
2013,NUTS,2010,CY,0,2997.0
2014,NUTS,2010,CY,0,2958.0
