year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_smc_p_mact
2011,NUTS,2010,DEA2,2,12.378
2012,NUTS,2010,DEA2,2,12.315
2011,NUTS,2010,DEA3,2,7.991
2012,NUTS,2010,DEA3,2,1.148
2011,NUTS,2010,DEA4,2,3.848
2012,NUTS,2010,DEA4,2,1.477
2011,NUTS,2010,DEA5,2,9.826
2012,NUTS,2010,DEA5,2,6.478
2011,NUTS,2010,DEB,1,8.52
2012,NUTS,2010,DEB,1,4.913
2011,NUTS,2010,DEB1,2,0.497
2011,NUTS,2010,DEB2,2,3.705
2011,NUTS,2010,DEB3,2,15.74
2012,NUTS,2010,DEB3,2,9.816
2011,NUTS,2010,DEC,1,4.051
2012,NUTS,2010,DEC,1,0.673
2011,NUTS,2010,DED,1,12.816
2012,NUTS,2010,DED,1,9.721
2011,NUTS,2010,DED2,2,27.776
2012,NUTS,2010,DED2,2,21.233
2011,NUTS,2010,DED4,2,3.98
2012,NUTS,2010,DED4,2,3.313
2011,NUTS,2010,DED5,2,2.024
2012,NUTS,2010,DED5,2,0.972
2011,NUTS,2010,DEE,1,2.087
2012,NUTS,2010,DEE,1,1.144
2011,NUTS,2010,DEE0,2,2.087
2012,NUTS,2010,DEE0,2,1.144
2011,NUTS,2010,DEF,1,6.002
2012,NUTS,2010,DEF,1,3.846
2011,NUTS,2010,DEF0,2,6.002
2012,NUTS,2010,DEF0,2,3.846
2011,NUTS,2010,DEG,1,10.592
2012,NUTS,2010,DEG,1,7.463
2011,NUTS,2010,DEG0,2,10.592
2012,NUTS,2010,DEG0,2,7.463
2011,NUTS,2010,DK,0,6.611
2012,NUTS,2010,DK,0,2.924
2011,NUTS,2010,DK0,1,6.183
2012,NUTS,2010,DK0,1,2.435
2011,NUTS,2010,DK01,2,8.337
2012,NUTS,2010,DK01,2,3.186
2011,NUTS,2010,DK02,2,4.556
2011,NUTS,2010,DK03,2,5.614
2012,NUTS,2010,DK03,2,5.096
2011,NUTS,2010,DK04,2,4.411
2011,NUTS,2010,DK05,2,6.796
2012,NUTS,2010,DK05,2,3.399
2011,NUTS,2010,EL,0,0.608
2012,NUTS,2010,EL,0,0.511
2011,NUTS,2010,EL3,1,1.065
2012,NUTS,2010,EL3,1,0.177
2011,NUTS,2010,EL30,2,1.065
2012,NUTS,2010,EL30,2,0.177
2012,NUTS,2010,EL4,1,1.27
2012,NUTS,2010,EL43,2,2.326
2011,NUTS,2010,ES,0,0.541
2012,NUTS,2010,ES,0,0.763
2011,NUTS,2010,ES1,1,0.479
2011,NUTS,2010,ES11,2,0.76
2011,NUTS,2010,ES2,1,0.523
2012,NUTS,2010,ES2,1,0.451
2011,NUTS,2010,ES21,2,0.156
2012,NUTS,2010,ES21,2,0.935
2011,NUTS,2010,ES24,2,1.507
2011,NUTS,2010,ES3,1,0.289
2012,NUTS,2010,ES3,1,1.584
2011,NUTS,2010,ES30,2,0.289
2012,NUTS,2010,ES30,2,1.584
2011,NUTS,2010,ES5,1,0.759
2012,NUTS,2010,ES5,1,1.142
2011,NUTS,2010,ES51,2,0.882
