year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pc_act_hc_pnp_rse_f
1998,NUTS,2010,AT,0,0.0043
2002,NUTS,2010,AT,0,0.0084
2004,NUTS,2010,AT,0,0.0089
2006,NUTS,2010,AT,0,0.008
2007,NUTS,2010,AT,0,0.0058
2009,NUTS,2010,AT,0,0.0101
2011,NUTS,2010,AT,0,0.0118
2013,NUTS,2010,AT,0,0.0118
2015,NUTS,2010,AT,0,0.0149
2017,NUTS,2010,AT,0,0.015
2019,NUTS,2010,AT,0,0.0193
2007,NUTS,2010,AT1,1,0.0111
2009,NUTS,2010,AT1,1,0.0223
2011,NUTS,2010,AT1,1,0.0241
2013,NUTS,2010,AT1,1,0.0238
2015,NUTS,2010,AT1,1,0.031
2017,NUTS,2010,AT1,1,0.0299
2019,NUTS,2010,AT1,1,0.0385
2007,NUTS,2010,AT11,2,0.0
2009,NUTS,2010,AT11,2,0.0
2011,NUTS,2010,AT11,2,0.0
2013,NUTS,2010,AT11,2,0.0
2015,NUTS,2010,AT11,2,0.0
2017,NUTS,2010,AT11,2,0.0
2002,NUTS,2010,AT12,2,0.003
2004,NUTS,2010,AT12,2,0.0033
2006,NUTS,2010,AT12,2,0.0026
2007,NUTS,2010,AT12,2,0.0028
2009,NUTS,2010,AT12,2,0.0148
2011,NUTS,2010,AT12,2,0.0178
2013,NUTS,2010,AT12,2,0.0193
2015,NUTS,2010,AT12,2,0.0204
2017,NUTS,2010,AT12,2,0.0229
2002,NUTS,2010,AT13,2,0.0232
2004,NUTS,2010,AT13,2,0.0291
2006,NUTS,2010,AT13,2,0.0281
2007,NUTS,2010,AT13,2,0.0207
2009,NUTS,2010,AT13,2,0.033
2011,NUTS,2010,AT13,2,0.0337
2013,NUTS,2010,AT13,2,0.0316
2015,NUTS,2010,AT13,2,0.0455
2017,NUTS,2010,AT13,2,0.0407
2019,NUTS,2010,AT13,2,0.0545
2006,NUTS,2010,AT2,1,0.0045
2019,NUTS,2010,AT2,1,0.0038
2006,NUTS,2010,AT21,2,0.0
2011,NUTS,2010,AT21,2,0.004
2002,NUTS,2010,AT22,2,0.009
2004,NUTS,2010,AT22,2,0.0087
2006,NUTS,2010,AT22,2,0.0064
2009,NUTS,2010,AT22,2,0.0
2002,NUTS,2010,AT3,1,0.0038
2004,NUTS,2010,AT3,1,0.003
2007,NUTS,2010,AT3,1,0.0023
2019,NUTS,2010,AT3,1,0.0048
2002,NUTS,2010,AT31,2,0.002
2004,NUTS,2010,AT31,2,0.001
2006,NUTS,2010,AT31,2,0.0032
2009,NUTS,2010,AT31,2,0.0009
2011,NUTS,2010,AT31,2,0.0035
2013,NUTS,2010,AT31,2,0.0055
2015,NUTS,2010,AT31,2,0.0009
2017,NUTS,2010,AT31,2,0.0014
2019,NUTS,2010,AT31,2,0.0033
2006,NUTS,2010,AT32,2,0.0
2009,NUTS,2010,AT32,2,0.0
2015,NUTS,2010,AT32,2,0.0127
2017,NUTS,2010,AT32,2,0.0197
2019,NUTS,2010,AT32,2,0.0178
2002,NUTS,2010,AT33,2,0.0097
2004,NUTS,2010,AT33,2,0.0101
2006,NUTS,2010,AT33,2,0.0026
2013,NUTS,2010,AT33,2,0.0011
2019,NUTS,2010,AT33,2,0.0005
2007,NUTS,2010,AT34,2,0.0
2009,NUTS,2010,AT34,2,0.0
2011,NUTS,2010,AT34,2,0.0
2013,NUTS,2010,AT34,2,0.0
2019,NUTS,2010,AT34,2,0.0
2002,NUTS,2010,BE,0,0.006
2003,NUTS,2010,BE,0,0.0059
2004,NUTS,2010,BE,0,0.0058
2005,NUTS,2010,BE,0,0.0053
2006,NUTS,2010,BE,0,0.0056
2007,NUTS,2010,BE,0,0.0057
2008,NUTS,2010,BE,0,0.0057
2009,NUTS,2010,BE,0,0.0055
2010,NUTS,2010,BE,0,0.0057
2011,NUTS,2010,BE,0,0.0051
2012,NUTS,2010,BE,0,0.0042
2013,NUTS,2010,BE,0,0.0042
2014,NUTS,2010,BE,0,0.005
2015,NUTS,2010,BE,0,0.0076
2016,NUTS,2010,BE,0,0.0121
2017,NUTS,2010,BE,0,0.0125
2018,NUTS,2010,BE,0,0.0256
2019,NUTS,2010,BE,0,0.0268
2002,NUTS,2010,BE1,1,0.0202
2003,NUTS,2010,BE1,1,0.0202
2004,NUTS,2010,BE1,1,0.0175
2005,NUTS,2010,BE1,1,0.0153
2006,NUTS,2010,BE1,1,0.0203
2007,NUTS,2010,BE1,1,0.0211
2008,NUTS,2010,BE1,1,0.0206
2009,NUTS,2010,BE1,1,0.02
2010,NUTS,2010,BE1,1,0.0184
2011,NUTS,2010,BE1,1,0.0163
2012,NUTS,2010,BE1,1,0.0303
2013,NUTS,2010,BE1,1,0.0287
2014,NUTS,2010,BE1,1,0.0327
2015,NUTS,2010,BE1,1,0.0477
2016,NUTS,2010,BE1,1,0.0518
2017,NUTS,2010,BE1,1,0.0577
2018,NUTS,2010,BE1,1,0.1869
2019,NUTS,2010,BE1,1,0.1886
2002,NUTS,2010,BE10,2,0.0202
2003,NUTS,2010,BE10,2,0.0202
2004,NUTS,2010,BE10,2,0.0175
2005,NUTS,2010,BE10,2,0.0153
2006,NUTS,2010,BE10,2,0.0203
2007,NUTS,2010,BE10,2,0.0211
2008,NUTS,2010,BE10,2,0.0206
2009,NUTS,2010,BE10,2,0.02
2010,NUTS,2010,BE10,2,0.0184
2011,NUTS,2010,BE10,2,0.0163
2012,NUTS,2010,BE10,2,0.0303
2013,NUTS,2010,BE10,2,0.0287
2014,NUTS,2010,BE10,2,0.0327
2015,NUTS,2010,BE10,2,0.0477
2016,NUTS,2010,BE10,2,0.0518
2017,NUTS,2010,BE10,2,0.0577
2018,NUTS,2010,BE10,2,0.1869
2019,NUTS,2010,BE10,2,0.1886
2002,NUTS,2010,BE2,1,0.0069
2003,NUTS,2010,BE2,1,0.0067
2004,NUTS,2010,BE2,1,0.0069
2005,NUTS,2010,BE2,1,0.0063
2006,NUTS,2010,BE2,1,0.0062
2007,NUTS,2010,BE2,1,0.006
2008,NUTS,2010,BE2,1,0.0062
2009,NUTS,2010,BE2,1,0.0059
2010,NUTS,2010,BE2,1,0.0063
2011,NUTS,2010,BE2,1,0.0058
2012,NUTS,2010,BE2,1,0.0019
2013,NUTS,2010,BE2,1,0.0021
