year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_pnp_pc_gdp
2011,NUTS,2010,AT,0,0.01
2012,NUTS,2010,AT,0,0.01
2013,NUTS,2010,AT,0,0.01
2014,NUTS,2010,AT,0,0.01
2015,NUTS,2010,AT,0,0.01
2016,NUTS,2010,AT,0,0.02
2017,NUTS,2010,AT,0,0.02
2018,NUTS,2010,AT,0,0.02
2019,NUTS,2010,AT,0,0.02
2020,NUTS,2010,AT,0,0.02
2011,NUTS,2010,AT1,1,0.03
2013,NUTS,2010,AT1,1,0.03
2015,NUTS,2010,AT1,1,0.03
2017,NUTS,2010,AT1,1,0.04
2019,NUTS,2010,AT1,1,0.04
2011,NUTS,2010,AT11,2,0.0
2015,NUTS,2010,AT11,2,0.0
2017,NUTS,2010,AT11,2,0.0
2011,NUTS,2010,AT12,2,0.03
2013,NUTS,2010,AT12,2,0.03
2015,NUTS,2010,AT12,2,0.04
2017,NUTS,2010,AT12,2,0.04
2011,NUTS,2010,AT13,2,0.03
2013,NUTS,2010,AT13,2,0.02
2015,NUTS,2010,AT13,2,0.03
2017,NUTS,2010,AT13,2,0.03
2019,NUTS,2010,AT13,2,0.04
2019,NUTS,2010,AT2,1,0.0
2011,NUTS,2010,AT21,2,0.0
2019,NUTS,2010,AT3,1,0.0
2011,NUTS,2010,AT31,2,0.0
2013,NUTS,2010,AT31,2,0.0
2015,NUTS,2010,AT31,2,0.0
2017,NUTS,2010,AT31,2,0.0
2019,NUTS,2010,AT31,2,0.0
2015,NUTS,2010,AT32,2,0.01
2017,NUTS,2010,AT32,2,0.01
2019,NUTS,2010,AT32,2,0.01
2011,NUTS,2010,AT33,2,0.0
2013,NUTS,2010,AT33,2,0.0
2019,NUTS,2010,AT33,2,0.0
2011,NUTS,2010,AT34,2,0.0
2019,NUTS,2010,AT34,2,0.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,0.0
2013,NUTS,2010,BA,0,0.0
2014,NUTS,2010,BA,0,0.0
2019,NUTS,2010,BA,0,0.0
2011,NUTS,2010,BE,0,0.02
2012,NUTS,2010,BE,0,0.01
2013,NUTS,2010,BE,0,0.01
2014,NUTS,2010,BE,0,0.01
2015,NUTS,2010,BE,0,0.01
2016,NUTS,2010,BE,0,0.02
2017,NUTS,2010,BE,0,0.01
2018,NUTS,2010,BE,0,0.02
2019,NUTS,2010,BE,0,0.02
2020,NUTS,2010,BE,0,0.03
2011,NUTS,2010,BE1,1,0.04
2012,NUTS,2010,BE1,1,0.03
2013,NUTS,2010,BE1,1,0.03
2014,NUTS,2010,BE1,1,0.04
2015,NUTS,2010,BE1,1,0.04
2016,NUTS,2010,BE1,1,0.05
2017,NUTS,2010,BE1,1,0.05
2018,NUTS,2010,BE1,1,0.08
2019,NUTS,2010,BE1,1,0.09
2011,NUTS,2010,BE10,2,0.04
2012,NUTS,2010,BE10,2,0.03
2013,NUTS,2010,BE10,2,0.03
2014,NUTS,2010,BE10,2,0.04
2015,NUTS,2010,BE10,2,0.04
2016,NUTS,2010,BE10,2,0.05
2017,NUTS,2010,BE10,2,0.05
2018,NUTS,2010,BE10,2,0.08
2019,NUTS,2010,BE10,2,0.09
2011,NUTS,2010,BE2,1,0.02
2012,NUTS,2010,BE2,1,0.01
2013,NUTS,2010,BE2,1,0.01
2014,NUTS,2010,BE2,1,0.01
2015,NUTS,2010,BE2,1,0.01
2016,NUTS,2010,BE2,1,0.01
2017,NUTS,2010,BE2,1,0.01
2018,NUTS,2010,BE2,1,0.01
2019,NUTS,2010,BE2,1,0.01
2011,NUTS,2010,BE3,1,0.0
2012,NUTS,2010,BE3,1,0.0
2013,NUTS,2010,BE3,1,0.0
2014,NUTS,2010,BE3,1,0.0
2015,NUTS,2010,BE3,1,0.0
2016,NUTS,2010,BE3,1,0.0
2017,NUTS,2010,BE3,1,0.0
2018,NUTS,2010,BE3,1,0.0
2019,NUTS,2010,BE3,1,0.0
2012,NUTS,2010,BEZ,1,0.0
2013,NUTS,2010,BEZ,1,0.0
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2018,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2012,NUTS,2010,BEZZ,2,0.0
2013,NUTS,2010,BEZZ,2,0.0
2014,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2018,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
2011,NUTS,2010,BG,0,0.0
2012,NUTS,2010,BG,0,0.01
2013,NUTS,2010,BG,0,0.0
2014,NUTS,2010,BG,0,0.01
2015,NUTS,2010,BG,0,0.01
2016,NUTS,2010,BG,0,0.0
2017,NUTS,2010,BG,0,0.01
2018,NUTS,2010,BG,0,0.0
2019,NUTS,2010,BG,0,0.01
2020,NUTS,2010,BG,0,0.01
2011,NUTS,2010,BG3,1,0.0
2012,NUTS,2010,BG3,1,0.0
2014,NUTS,2010,BG3,1,0.0
2015,NUTS,2010,BG3,1,0.0
2016,NUTS,2010,BG3,1,0.0
2017,NUTS,2010,BG3,1,0.0
2018,NUTS,2010,BG3,1,0.0
2019,NUTS,2010,BG3,1,0.0
2011,NUTS,2010,BG31,2,0.0
2012,NUTS,2010,BG31,2,0.0
2013,NUTS,2010,BG31,2,0.0
2014,NUTS,2010,BG31,2,0.0
2017,NUTS,2010,BG31,2,0.0
2012,NUTS,2010,BG32,2,0.0
2013,NUTS,2010,BG32,2,0.0
2014,NUTS,2010,BG32,2,0.0
2015,NUTS,2010,BG32,2,0.0
2016,NUTS,2010,BG32,2,0.0
2017,NUTS,2010,BG32,2,0.0
2018,NUTS,2010,BG32,2,0.0
2019,NUTS,2010,BG32,2,0.0
2015,NUTS,2010,BG33,2,0.0
2013,NUTS,2010,BG34,2,0.0
2016,NUTS,2010,BG34,2,0.0
2011,NUTS,2010,BG4,1,0.01
2012,NUTS,2010,BG4,1,0.01
2014,NUTS,2010,BG4,1,0.01
2015,NUTS,2010,BG4,1,0.01
