year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_p_mact_ht
2008,NUTS,2010,AT2,1,49.988
2009,NUTS,2010,AT2,1,71.233
2010,NUTS,2010,AT2,1,38.621
2011,NUTS,2010,AT2,1,49.743
2012,NUTS,2010,AT2,1,61.53
1999,NUTS,2010,AT21,2,89.752
2000,NUTS,2010,AT21,2,43.965
2001,NUTS,2010,AT21,2,43.148
2002,NUTS,2010,AT21,2,118.457
2003,NUTS,2010,AT21,2,64.697
2004,NUTS,2010,AT21,2,41.92
2005,NUTS,2010,AT21,2,51.364
2006,NUTS,2010,AT21,2,35.57
2007,NUTS,2010,AT21,2,51.135
2008,NUTS,2010,AT21,2,11.29
2009,NUTS,2010,AT21,2,78.747
2010,NUTS,2010,AT21,2,16.187
2011,NUTS,2010,AT21,2,17.575
2012,NUTS,2010,AT21,2,27.45
1999,NUTS,2010,AT22,2,19.262
2000,NUTS,2010,AT22,2,40.985
2001,NUTS,2010,AT22,2,38.56
2002,NUTS,2010,AT22,2,64.492
2003,NUTS,2010,AT22,2,42.626
2004,NUTS,2010,AT22,2,60.055
2005,NUTS,2010,AT22,2,43.612
2006,NUTS,2010,AT22,2,90.052
2007,NUTS,2010,AT22,2,53.242
2008,NUTS,2010,AT22,2,67.222
2009,NUTS,2010,AT22,2,67.87
2010,NUTS,2010,AT22,2,48.582
2011,NUTS,2010,AT22,2,63.983
2012,NUTS,2010,AT22,2,76.795
1999,NUTS,2010,AT3,1,22.28
2000,NUTS,2010,AT3,1,24.766
2001,NUTS,2010,AT3,1,30.559
2002,NUTS,2010,AT3,1,21.704
2003,NUTS,2010,AT3,1,35.449
2004,NUTS,2010,AT3,1,24.563
2005,NUTS,2010,AT3,1,33.785
2006,NUTS,2010,AT3,1,34.898
2007,NUTS,2010,AT3,1,41.502
2008,NUTS,2010,AT3,1,32.215
2009,NUTS,2010,AT3,1,53.565
2010,NUTS,2010,AT3,1,50.919
2011,NUTS,2010,AT3,1,52.102
2012,NUTS,2010,AT3,1,40.986
1999,NUTS,2010,AT31,2,15.238
2000,NUTS,2010,AT31,2,14.759
2001,NUTS,2010,AT31,2,28.992
2002,NUTS,2010,AT31,2,17.222
2003,NUTS,2010,AT31,2,21.12
2004,NUTS,2010,AT31,2,21.382
2005,NUTS,2010,AT31,2,35.102
2006,NUTS,2010,AT31,2,30.16
2007,NUTS,2010,AT31,2,21.421
2008,NUTS,2010,AT31,2,19.58
2009,NUTS,2010,AT31,2,45.615
2010,NUTS,2010,AT31,2,51.901
2011,NUTS,2010,AT31,2,39.003
2012,NUTS,2010,AT31,2,34.421
1999,NUTS,2010,AT32,2,18.857
2000,NUTS,2010,AT32,2,33.905
2001,NUTS,2010,AT32,2,23.899
2002,NUTS,2010,AT32,2,19.698
2003,NUTS,2010,AT32,2,44.305
2004,NUTS,2010,AT32,2,23.943
2005,NUTS,2010,AT32,2,27.682
2006,NUTS,2010,AT32,2,54.765
2007,NUTS,2010,AT32,2,44.444
2008,NUTS,2010,AT32,2,20.751
2009,NUTS,2010,AT32,2,58.815
2010,NUTS,2010,AT32,2,21.332
2011,NUTS,2010,AT32,2,27.738
2012,NUTS,2010,AT32,2,18.777
1999,NUTS,2010,AT33,2,32.273
2000,NUTS,2010,AT33,2,29.931
2001,NUTS,2010,AT33,2,33.579
2002,NUTS,2010,AT33,2,32.93
2003,NUTS,2010,AT33,2,53.951
2004,NUTS,2010,AT33,2,18.756
2005,NUTS,2010,AT33,2,46.573
2006,NUTS,2010,AT33,2,30.543
2007,NUTS,2010,AT33,2,75.693
2008,NUTS,2010,AT33,2,47.08
2009,NUTS,2010,AT33,2,61.812
2010,NUTS,2010,AT33,2,44.46
2011,NUTS,2010,AT33,2,62.092
2012,NUTS,2010,AT33,2,62.27
1999,NUTS,2010,AT34,2,36.166
2000,NUTS,2010,AT34,2,40.541
2001,NUTS,2010,AT34,2,41.166
2002,NUTS,2010,AT34,2,20.939
2003,NUTS,2010,AT34,2,43.064
2004,NUTS,2010,AT34,2,48.077
2005,NUTS,2010,AT34,2,13.669
2006,NUTS,2010,AT34,2,32.751
2007,NUTS,2010,AT34,2,48.544
2008,NUTS,2010,AT34,2,69.107
2009,NUTS,2010,AT34,2,60.819
2010,NUTS,2010,AT34,2,102.159
2011,NUTS,2010,AT34,2,118.665
2012,NUTS,2010,AT34,2,57.114
1999,NUTS,2010,BE,0,75.935
2000,NUTS,2010,BE,0,61.111
2001,NUTS,2010,BE,0,68.275
2002,NUTS,2010,BE,0,83.748
2003,NUTS,2010,BE,0,66.601
2004,NUTS,2010,BE,0,76.526
2005,NUTS,2010,BE,0,77.496
2006,NUTS,2010,BE,0,72.769
2007,NUTS,2010,BE,0,75.41
2008,NUTS,2010,BE,0,67.181
2009,NUTS,2010,BE,0,62.05
2010,NUTS,2010,BE,0,57.453
2011,NUTS,2010,BE,0,65.607
2012,NUTS,2010,BE,0,64.953
1999,NUTS,2010,BE1,1,78.17
2000,NUTS,2010,BE1,1,56.039
2001,NUTS,2010,BE1,1,89.203
2002,NUTS,2010,BE1,1,63.437
2003,NUTS,2010,BE1,1,57.129
2004,NUTS,2010,BE1,1,81.458
2005,NUTS,2010,BE1,1,68.593
2006,NUTS,2010,BE1,1,39.879
2007,NUTS,2010,BE1,1,58.89
2008,NUTS,2010,BE1,1,49.789
2009,NUTS,2010,BE1,1,70.591
2010,NUTS,2010,BE1,1,54.212
2011,NUTS,2010,BE1,1,56.83
2012,NUTS,2010,BE1,1,51.259
1999,NUTS,2010,BE10,2,78.17
2000,NUTS,2010,BE10,2,56.039
2001,NUTS,2010,BE10,2,89.203
2002,NUTS,2010,BE10,2,63.437
2003,NUTS,2010,BE10,2,57.129
2004,NUTS,2010,BE10,2,81.458
2005,NUTS,2010,BE10,2,68.593
2006,NUTS,2010,BE10,2,39.879
2007,NUTS,2010,BE10,2,58.89
2008,NUTS,2010,BE10,2,49.789
2009,NUTS,2010,BE10,2,70.591
2010,NUTS,2010,BE10,2,54.212
2011,NUTS,2010,BE10,2,56.83
2012,NUTS,2010,BE10,2,51.259
1999,NUTS,2010,BE2,1,80.572
2000,NUTS,2010,BE2,1,67.186
2001,NUTS,2010,BE2,1,83.167
2002,NUTS,2010,BE2,1,106.28
2003,NUTS,2010,BE2,1,84.982
2004,NUTS,2010,BE2,1,97.776
2005,NUTS,2010,BE2,1,98.897
2006,NUTS,2010,BE2,1,88.721
2007,NUTS,2010,BE2,1,94.798
2008,NUTS,2010,BE2,1,85.867
2009,NUTS,2010,BE2,1,75.286
2010,NUTS,2010,BE2,1,70.665
2011,NUTS,2010,BE2,1,81.712
2012,NUTS,2010,BE2,1,86.616
1999,NUTS,2010,BE21,2,100.489
2000,NUTS,2010,BE21,2,92.247
2001,NUTS,2010,BE21,2,121.882
2002,NUTS,2010,BE21,2,186.503
2003,NUTS,2010,BE21,2,95.887
2004,NUTS,2010,BE21,2,143.563
2005,NUTS,2010,BE21,2,121.864
2006,NUTS,2010,BE21,2,121.987
2007,NUTS,2010,BE21,2,104.748
2008,NUTS,2010,BE21,2,114.427
2009,NUTS,2010,BE21,2,97.036
2010,NUTS,2010,BE21,2,62.455
2011,NUTS,2010,BE21,2,84.67
2012,NUTS,2010,BE21,2,121.035
1999,NUTS,2010,BE22,2,24.882
2000,NUTS,2010,BE22,2,23.833
2001,NUTS,2010,BE22,2,9.974
2002,NUTS,2010,BE22,2,19.983
2003,NUTS,2010,BE22,2,45.709
2004,NUTS,2010,BE22,2,19.613
2005,NUTS,2010,BE22,2,12.227
2006,NUTS,2010,BE22,2,40.298
2007,NUTS,2010,BE22,2,28.807
2008,NUTS,2010,BE22,2,22.459
2009,NUTS,2010,BE22,2,29.215
2010,NUTS,2010,BE22,2,29.361
2011,NUTS,2010,BE22,2,24.655
2012,NUTS,2010,BE22,2,23.379
1999,NUTS,2010,BE23,2,86.22
2000,NUTS,2010,BE23,2,70.46
2001,NUTS,2010,BE23,2,79.686
2002,NUTS,2010,BE23,2,89.193
2003,NUTS,2010,BE23,2,93.016
2004,NUTS,2010,BE23,2,101.026
2005,NUTS,2010,BE23,2,124.062
2006,NUTS,2010,BE23,2,83.107
2007,NUTS,2010,BE23,2,113.514
2008,NUTS,2010,BE23,2,95.435
2009,NUTS,2010,BE23,2,70.448
2010,NUTS,2010,BE23,2,89.737
2011,NUTS,2010,BE23,2,103.046
2012,NUTS,2010,BE23,2,69.896
1999,NUTS,2010,BE24,2,134.114
2000,NUTS,2010,BE24,2,100.644
2001,NUTS,2010,BE24,2,135.786
2002,NUTS,2010,BE24,2,158.532
2003,NUTS,2010,BE24,2,145.783
2004,NUTS,2010,BE24,2,136.479
2005,NUTS,2010,BE24,2,156.381
2006,NUTS,2010,BE24,2,123.851
2007,NUTS,2010,BE24,2,159.475
2008,NUTS,2010,BE24,2,126.657
2009,NUTS,2010,BE24,2,136.699
2010,NUTS,2010,BE24,2,136.799
2011,NUTS,2010,BE24,2,150.991
2012,NUTS,2010,BE24,2,170.278
1999,NUTS,2010,BE25,2,33.333
2000,NUTS,2010,BE25,2,27.159
2001,NUTS,2010,BE25,2,34.658
2002,NUTS,2010,BE25,2,24.271
2003,NUTS,2010,BE25,2,30.423
2004,NUTS,2010,BE25,2,47.756
2005,NUTS,2010,BE25,2,39.808
2006,NUTS,2010,BE25,2,48.768
2007,NUTS,2010,BE25,2,43.422
2008,NUTS,2010,BE25,2,37.541
2009,NUTS,2010,BE25,2,23.952
2010,NUTS,2010,BE25,2,25.811
2011,NUTS,2010,BE25,2,26.043
2012,NUTS,2010,BE25,2,21.489
1999,NUTS,2010,BE3,1,66.486
2000,NUTS,2010,BE3,1,49.993
2001,NUTS,2010,BE3,1,32.696
2002,NUTS,2010,BE3,1,44.911
2003,NUTS,2010,BE3,1,33.231
2004,NUTS,2010,BE3,1,33.755
2005,NUTS,2010,BE3,1,37.94
2006,NUTS,2010,BE3,1,51.483
2007,NUTS,2010,BE3,1,42.553
2008,NUTS,2010,BE3,1,36.637
2009,NUTS,2010,BE3,1,33.251
2010,NUTS,2010,BE3,1,32.087
2011,NUTS,2010,BE3,1,36.269
2012,NUTS,2010,BE3,1,27.238
1999,NUTS,2010,BE31,2,463.344
2000,NUTS,2010,BE31,2,220.521
2001,NUTS,2010,BE31,2,146.101
2002,NUTS,2010,BE31,2,204.455
2003,NUTS,2010,BE31,2,90.921
2004,NUTS,2010,BE31,2,141.544
2005,NUTS,2010,BE31,2,168.282
2006,NUTS,2010,BE31,2,270.384
2007,NUTS,2010,BE31,2,187.695
2008,NUTS,2010,BE31,2,156.746
2009,NUTS,2010,BE31,2,98.612
2010,NUTS,2010,BE31,2,142.127
2011,NUTS,2010,BE31,2,139.587
2012,NUTS,2010,BE31,2,125.577
1999,NUTS,2010,BE32,2,8.86
2000,NUTS,2010,BE32,2,10.772
2001,NUTS,2010,BE32,2,15.774
2002,NUTS,2010,BE32,2,15.172
2003,NUTS,2010,BE32,2,11.838
2004,NUTS,2010,BE32,2,8.25
2005,NUTS,2010,BE32,2,6.75
2006,NUTS,2010,BE32,2,17.289
2007,NUTS,2010,BE32,2,9.47
2008,NUTS,2010,BE32,2,14.473
2009,NUTS,2010,BE32,2,15.933
2010,NUTS,2010,BE32,2,14.902
2011,NUTS,2010,BE32,2,25.485
2012,NUTS,2010,BE32,2,11.416
1999,NUTS,2010,BE33,2,23.307
2000,NUTS,2010,BE33,2,25.618
2001,NUTS,2010,BE33,2,20.196
2002,NUTS,2010,BE33,2,23.377
2003,NUTS,2010,BE33,2,21.362
2004,NUTS,2010,BE33,2,23.418
2005,NUTS,2010,BE33,2,26.312
2006,NUTS,2010,BE33,2,18.977
2007,NUTS,2010,BE33,2,39.204
2008,NUTS,2010,BE33,2,28.957
2009,NUTS,2010,BE33,2,42.863
2010,NUTS,2010,BE33,2,20.768
2011,NUTS,2010,BE33,2,26.709
2012,NUTS,2010,BE33,2,19.025
2000,NUTS,2010,BE34,2,16.887
2001,NUTS,2010,BE34,2,18.182
2002,NUTS,2010,BE34,2,4.767
2003,NUTS,2010,BE34,2,11.493
2004,NUTS,2010,BE34,2,1.896
2005,NUTS,2010,BE34,2,6.346
2006,NUTS,2010,BE34,2,13.298
2007,NUTS,2010,BE34,2,14.675
2008,NUTS,2010,BE34,2,15.641
2009,NUTS,2010,BE34,2,15.542
2010,NUTS,2010,BE34,2,2.064
2011,NUTS,2010,BE34,2,16.75
2012,NUTS,2010,BE34,2,0.81
1999,NUTS,2010,BE35,2,39.258
2000,NUTS,2010,BE35,2,85.019
2001,NUTS,2010,BE35,2,23.804
2002,NUTS,2010,BE35,2,65.057
2003,NUTS,2010,BE35,2,83.23
2004,NUTS,2010,BE35,2,52.848
2005,NUTS,2010,BE35,2,58.746
2006,NUTS,2010,BE35,2,57.329
2007,NUTS,2010,BE35,2,32.674
2008,NUTS,2010,BE35,2,23.703
2009,NUTS,2010,BE35,2,13.127
2010,NUTS,2010,BE35,2,27.788
2011,NUTS,2010,BE35,2,11.084
2012,NUTS,2010,BE35,2,19.884
2000,NUTS,2010,BG,0,0.414
2001,NUTS,2010,BG,0,0.851
2002,NUTS,2010,BG,0,0.439
2003,NUTS,2010,BG,0,0.825
2004,NUTS,2010,BG,0,0.607
2005,NUTS,2010,BG,0,1.861
2006,NUTS,2010,BG,0,2.357
2007,NUTS,2010,BG,0,0.501
2008,NUTS,2010,BG,0,1.076
2009,NUTS,2010,BG,0,0.954
2010,NUTS,2010,BG,0,0.146
2011,NUTS,2010,BG,0,0.599
2012,NUTS,2010,BG,0,1.247
2003,NUTS,2010,BG3,1,1.168
2005,NUTS,2010,BG3,1,0.499
2006,NUTS,2010,BG3,1,0.193
2007,NUTS,2010,BG3,1,0.144
2008,NUTS,2010,BG3,1,0.68
2009,NUTS,2010,BG3,1,0.583
2012,NUTS,2010,BG3,1,0.722
2005,NUTS,2010,BG31,2,1.39
2007,NUTS,2010,BG31,2,0.659
2008,NUTS,2010,BG31,2,2.585
2012,NUTS,2010,BG31,2,0.524
2003,NUTS,2010,BG32,2,2.491
2009,NUTS,2010,BG32,2,2.507
2012,NUTS,2010,BG32,2,1.346
2005,NUTS,2010,BG33,2,0.745
2012,NUTS,2010,BG33,2,0.561
2003,NUTS,2010,BG34,2,2.026
2006,NUTS,2010,BG34,2,0.682
2008,NUTS,2010,BG34,2,0.401
2012,NUTS,2010,BG34,2,0.521
2003,NUTS,2010,BG4,1,0.463
2004,NUTS,2010,BG4,1,1.232
2005,NUTS,2010,BG4,1,3.223
2006,NUTS,2010,BG4,1,4.536
2007,NUTS,2010,BG4,1,0.857
2008,NUTS,2010,BG4,1,1.464
2009,NUTS,2010,BG4,1,1.311
2010,NUTS,2010,BG4,1,0.283
2011,NUTS,2010,BG4,1,1.166
2012,NUTS,2010,BG4,1,1.741
2000,NUTS,2010,BG41,2,1.469
2001,NUTS,2010,BG41,2,2.07
2002,NUTS,2010,BG41,2,1.043
2003,NUTS,2010,BG41,2,0.773
2004,NUTS,2010,BG41,2,2.07
2005,NUTS,2010,BG41,2,4.417
2006,NUTS,2010,BG41,2,6.453
2007,NUTS,2010,BG41,2,1.405
2008,NUTS,2010,BG41,2,2.408
2009,NUTS,2010,BG41,2,2.143
2011,NUTS,2010,BG41,2,1.872
2012,NUTS,2010,BG41,2,2.422
2005,NUTS,2010,BG42,2,1.415
2006,NUTS,2010,BG42,2,1.514
2010,NUTS,2010,BG42,2,0.749
2012,NUTS,2010,BG42,2,0.638
1999,NUTS,2010,CH,0,98.009
2000,NUTS,2010,CH,0,121.882
2001,NUTS,2010,CH,0,123.077
2002,NUTS,2010,CH,0,106.674
2003,NUTS,2010,CH,0,90.366
2004,NUTS,2010,CH,0,104.715
2005,NUTS,2010,CH,0,100.481
2006,NUTS,2010,CH,0,90.936
2007,NUTS,2010,CH,0,91.104
2008,NUTS,2010,CH,0,88.081
2009,NUTS,2010,CH,0,78.999
2010,NUTS,2010,CH,0,83.48
2011,NUTS,2010,CH,0,78.075
2012,NUTS,2010,CH,0,62.908
1999,NUTS,2010,CH0,1,96.664
2000,NUTS,2010,CH0,1,120.334
2001,NUTS,2010,CH0,1,120.536
2002,NUTS,2010,CH0,1,103.998
2003,NUTS,2010,CH0,1,89.25
2004,NUTS,2010,CH0,1,103.524
2005,NUTS,2010,CH0,1,97.271
2006,NUTS,2010,CH0,1,90.041
2007,NUTS,2010,CH0,1,89.374
2008,NUTS,2010,CH0,1,86.568
2009,NUTS,2010,CH0,1,77.86
2010,NUTS,2010,CH0,1,81.924
2011,NUTS,2010,CH0,1,76.705
2012,NUTS,2010,CH0,1,61.493
2001,NUTS,2010,CH01,2,144.16
2002,NUTS,2010,CH01,2,140.775
2003,NUTS,2010,CH01,2,113.61
2004,NUTS,2010,CH01,2,130.663
2005,NUTS,2010,CH01,2,133.424
2006,NUTS,2010,CH01,2,112.754
2007,NUTS,2010,CH01,2,91.826
2008,NUTS,2010,CH01,2,100.86
2009,NUTS,2010,CH01,2,95.392
2010,NUTS,2010,CH01,2,138.755
2011,NUTS,2010,CH01,2,90.171
2012,NUTS,2010,CH01,2,74.321
2001,NUTS,2010,CH02,2,106.899
2002,NUTS,2010,CH02,2,83.298
2003,NUTS,2010,CH02,2,75.2
2004,NUTS,2010,CH02,2,84.026
2005,NUTS,2010,CH02,2,73.698
2006,NUTS,2010,CH02,2,71.06
2007,NUTS,2010,CH02,2,73.872
2008,NUTS,2010,CH02,2,77.696
2009,NUTS,2010,CH02,2,57.991
2010,NUTS,2010,CH02,2,56.994
2011,NUTS,2010,CH02,2,56.936
2012,NUTS,2010,CH02,2,43.309
2001,NUTS,2010,CH03,2,160.046
2002,NUTS,2010,CH03,2,126.978
2003,NUTS,2010,CH03,2,87.391
2004,NUTS,2010,CH03,2,107.201
2005,NUTS,2010,CH03,2,113.027
2006,NUTS,2010,CH03,2,94.421
2007,NUTS,2010,CH03,2,116.387
2008,NUTS,2010,CH03,2,90.66
2009,NUTS,2010,CH03,2,103.859
2010,NUTS,2010,CH03,2,90.711
2011,NUTS,2010,CH03,2,99.888
2012,NUTS,2010,CH03,2,91.441
2001,NUTS,2010,CH04,2,191.202
2002,NUTS,2010,CH04,2,167.167
2003,NUTS,2010,CH04,2,165.494
2004,NUTS,2010,CH04,2,182.949
2005,NUTS,2010,CH04,2,171.477
2006,NUTS,2010,CH04,2,150.941
2007,NUTS,2010,CH04,2,160.786
2008,NUTS,2010,CH04,2,141.529
2009,NUTS,2010,CH04,2,117.121
2010,NUTS,2010,CH04,2,108.442
2011,NUTS,2010,CH04,2,121.022
2012,NUTS,2010,CH04,2,91.435
2001,NUTS,2010,CH05,2,41.296
2002,NUTS,2010,CH05,2,35.299
2003,NUTS,2010,CH05,2,18.873
2004,NUTS,2010,CH05,2,45.242
2005,NUTS,2010,CH05,2,35.158
2006,NUTS,2010,CH05,2,45.436
2007,NUTS,2010,CH05,2,32.979
2008,NUTS,2010,CH05,2,41.897
2009,NUTS,2010,CH05,2,41.651
2010,NUTS,2010,CH05,2,40.997
2011,NUTS,2010,CH05,2,39.844
2012,NUTS,2010,CH05,2,27.471
2001,NUTS,2010,CH06,2,70.437
2002,NUTS,2010,CH06,2,54.357
2003,NUTS,2010,CH06,2,63.522
2004,NUTS,2010,CH06,2,68.07
2005,NUTS,2010,CH06,2,45.959
2006,NUTS,2010,CH06,2,60.585
2007,NUTS,2010,CH06,2,47.877
2008,NUTS,2010,CH06,2,49.895
2009,NUTS,2010,CH06,2,51.004
2010,NUTS,2010,CH06,2,48.477
2011,NUTS,2010,CH06,2,57.793
2012,NUTS,2010,CH06,2,37.98
2001,NUTS,2010,CH07,2,54.518
2002,NUTS,2010,CH07,2,70.272
2003,NUTS,2010,CH07,2,44.278
2004,NUTS,2010,CH07,2,22.544
2005,NUTS,2010,CH07,2,34.832
2006,NUTS,2010,CH07,2,36.829
2007,NUTS,2010,CH07,2,54.146
2008,NUTS,2010,CH07,2,60.461
2009,NUTS,2010,CH07,2,37.202
2010,NUTS,2010,CH07,2,47.356
2011,NUTS,2010,CH07,2,25.444
2012,NUTS,2010,CH07,2,47.249
1999,NUTS,2010,CY,0,1.289
2000,NUTS,2010,CY,0,1.618
2001,NUTS,2010,CY,0,13.431
2002,NUTS,2010,CY,0,6.133
2003,NUTS,2010,CY,0,8.148
2005,NUTS,2010,CY,0,1.252
2006,NUTS,2010,CY,0,0.882
2007,NUTS,2010,CY,0,7.626
2008,NUTS,2010,CY,0,2.516
2009,NUTS,2010,CY,0,9.886
2010,NUTS,2010,CY,0,2.372
2012,NUTS,2010,CY,0,2.29
1999,NUTS,2010,CY0,1,1.289
2000,NUTS,2010,CY0,1,1.618
2001,NUTS,2010,CY0,1,13.431
2002,NUTS,2010,CY0,1,6.133
2003,NUTS,2010,CY0,1,8.148
2005,NUTS,2010,CY0,1,1.252
2006,NUTS,2010,CY0,1,0.882
2007,NUTS,2010,CY0,1,7.626
2008,NUTS,2010,CY0,1,2.516
2009,NUTS,2010,CY0,1,9.886
2010,NUTS,2010,CY0,1,2.372
2012,NUTS,2010,CY0,1,2.29
1999,NUTS,2010,CY00,2,1.289
2000,NUTS,2010,CY00,2,1.618
2001,NUTS,2010,CY00,2,13.431
2002,NUTS,2010,CY00,2,6.133
2003,NUTS,2010,CY00,2,8.148
2005,NUTS,2010,CY00,2,1.252
2006,NUTS,2010,CY00,2,0.882
2007,NUTS,2010,CY00,2,7.626
2008,NUTS,2010,CY00,2,2.516
2009,NUTS,2010,CY00,2,9.886
2010,NUTS,2010,CY00,2,2.372
2012,NUTS,2010,CY00,2,2.29
1999,NUTS,2010,CZ,0,0.899
2000,NUTS,2010,CZ,0,0.966
2001,NUTS,2010,CZ,0,1.468
2002,NUTS,2010,CZ,0,1.149
2003,NUTS,2010,CZ,0,2.265
2004,NUTS,2010,CZ,0,2.731
2005,NUTS,2010,CZ,0,2.845
2006,NUTS,2010,CZ,0,3.362
2007,NUTS,2010,CZ,0,3.164
2008,NUTS,2010,CZ,0,4.791
2009,NUTS,2010,CZ,0,2.828
2010,NUTS,2010,CZ,0,2.97
2011,NUTS,2010,CZ,0,4.859
2012,NUTS,2010,CZ,0,2.595
1999,NUTS,2010,CZ0,1,0.899
2000,NUTS,2010,CZ0,1,0.966
2001,NUTS,2010,CZ0,1,1.272
2002,NUTS,2010,CZ0,1,1.002
2003,NUTS,2010,CZ0,1,2.265
2004,NUTS,2010,CZ0,1,2.731
2005,NUTS,2010,CZ0,1,2.845
2006,NUTS,2010,CZ0,1,3.362
2007,NUTS,2010,CZ0,1,3.164
2008,NUTS,2010,CZ0,1,4.6
2009,NUTS,2010,CZ0,1,2.828
2010,NUTS,2010,CZ0,1,2.97
2011,NUTS,2010,CZ0,1,4.668
2012,NUTS,2010,CZ0,1,2.595
1999,NUTS,2010,CZ01,2,1.499
2000,NUTS,2010,CZ01,2,5.932
2001,NUTS,2010,CZ01,2,5.207
2002,NUTS,2010,CZ01,2,5.719
2003,NUTS,2010,CZ01,2,4.669
2004,NUTS,2010,CZ01,2,9.25
2005,NUTS,2010,CZ01,2,8.988
2006,NUTS,2010,CZ01,2,9.221
2007,NUTS,2010,CZ01,2,10.105
2008,NUTS,2010,CZ01,2,6.899
2009,NUTS,2010,CZ01,2,5.303
2010,NUTS,2010,CZ01,2,8.017
2011,NUTS,2010,CZ01,2,8.316
2012,NUTS,2010,CZ01,2,7.883
1999,NUTS,2010,CZ02,2,1.778
2001,NUTS,2010,CZ02,2,1.55
2002,NUTS,2010,CZ02,2,1.756
2003,NUTS,2010,CZ02,2,3.997
2004,NUTS,2010,CZ02,2,1.455
2005,NUTS,2010,CZ02,2,4.218
2006,NUTS,2010,CZ02,2,0.911
2007,NUTS,2010,CZ02,2,1.496
2008,NUTS,2010,CZ02,2,5.411
2009,NUTS,2010,CZ02,2,2.384
2010,NUTS,2010,CZ02,2,1.463
2011,NUTS,2010,CZ02,2,7.278
2012,NUTS,2010,CZ02,2,0.765
1999,NUTS,2010,CZ03,2,0.843
2004,NUTS,2010,CZ03,2,0.338
2005,NUTS,2010,CZ03,2,2.496
2006,NUTS,2010,CZ03,2,0.333
2007,NUTS,2010,CZ03,2,0.91
2008,NUTS,2010,CZ03,2,4.074
2009,NUTS,2010,CZ03,2,2.262
2010,NUTS,2010,CZ03,2,0.411
2011,NUTS,2010,CZ03,2,0.822
2001,NUTS,2010,CZ04,2,1.769
