year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_p_mact_ht
1999,NUTS,2010,AT,0,39.116
2000,NUTS,2010,AT,0,38.658
2001,NUTS,2010,AT,0,50.044
2002,NUTS,2010,AT,0,57.948
2003,NUTS,2010,AT,0,61.134
2004,NUTS,2010,AT,0,51.799
2005,NUTS,2010,AT,0,60.329
2006,NUTS,2010,AT,0,75.516
2007,NUTS,2010,AT,0,73.367
2008,NUTS,2010,AT,0,45.181
2009,NUTS,2010,AT,0,51.457
2010,NUTS,2010,AT,0,44.876
2011,NUTS,2010,AT,0,50.902
2012,NUTS,2010,AT,0,45.7
1999,NUTS,2010,AT1,1,52.052
2000,NUTS,2010,AT1,1,48.359
2001,NUTS,2010,AT1,1,70.858
2002,NUTS,2010,AT1,1,76.138
2003,NUTS,2010,AT1,1,87.01
2004,NUTS,2010,AT1,1,74.234
2005,NUTS,2010,AT1,1,90.564
2006,NUTS,2010,AT1,1,110.037
2007,NUTS,2010,AT1,1,110.899
2008,NUTS,2010,AT1,1,52.395
2009,NUTS,2010,AT1,1,39.624
2010,NUTS,2010,AT1,1,40.827
2011,NUTS,2010,AT1,1,50.131
2012,NUTS,2010,AT1,1,41.061
1999,NUTS,2010,AT11,2,15.385
2000,NUTS,2010,AT11,2,16.679
2001,NUTS,2010,AT11,2,10.497
2002,NUTS,2010,AT11,2,8.418
2003,NUTS,2010,AT11,2,28.345
2004,NUTS,2010,AT11,2,22.046
2005,NUTS,2010,AT11,2,4.694
2006,NUTS,2010,AT11,2,23.743
2007,NUTS,2010,AT11,2,32.585
2008,NUTS,2010,AT11,2,20.573
2009,NUTS,2010,AT11,2,41.406
2010,NUTS,2010,AT11,2,24.503
2011,NUTS,2010,AT11,2,22.773
2012,NUTS,2010,AT11,2,21.277
1999,NUTS,2010,AT12,2,34.928
2000,NUTS,2010,AT12,2,35.581
2001,NUTS,2010,AT12,2,49.126
2002,NUTS,2010,AT12,2,43.436
2003,NUTS,2010,AT12,2,33.844
2004,NUTS,2010,AT12,2,19.356
2005,NUTS,2010,AT12,2,38.545
2006,NUTS,2010,AT12,2,41.722
2007,NUTS,2010,AT12,2,33.916
2008,NUTS,2010,AT12,2,29.799
2009,NUTS,2010,AT12,2,28.858
2010,NUTS,2010,AT12,2,25.926
2011,NUTS,2010,AT12,2,37.839
2012,NUTS,2010,AT12,2,34.943
1999,NUTS,2010,AT13,2,73.315
2000,NUTS,2010,AT13,2,65.083
2001,NUTS,2010,AT13,2,99.679
2002,NUTS,2010,AT13,2,118.705
2003,NUTS,2010,AT13,2,147.685
2004,NUTS,2010,AT13,2,134.85
2005,NUTS,2010,AT13,2,155.206
2006,NUTS,2010,AT13,2,189.472
2007,NUTS,2010,AT13,2,198.773
2008,NUTS,2010,AT13,2,80.179
2009,NUTS,2010,AT13,2,49.741
2010,NUTS,2010,AT13,2,57.984
2011,NUTS,2010,AT13,2,66.615
2012,NUTS,2010,AT13,2,50.175
1999,NUTS,2010,AT2,1,41.291
2000,NUTS,2010,AT2,1,41.921
2001,NUTS,2010,AT2,1,39.967
2002,NUTS,2010,AT2,1,81.434
2003,NUTS,2010,AT2,1,49.468
2004,NUTS,2010,AT2,1,54.397
2005,NUTS,2010,AT2,1,46.014
2006,NUTS,2010,AT2,1,73.278
2007,NUTS,2010,AT2,1,52.592
