year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_f_bes_total_pc_emp_fte
1998,NUTS,2010,AT,0,0.1846
2002,NUTS,2010,AT,0,0.2317
2004,NUTS,2010,AT,0,0.278
2006,NUTS,2010,AT,0,0.3116
2007,NUTS,2010,AT,0,0.332
2009,NUTS,2010,AT,0,0.3476
2011,NUTS,2010,AT,0,0.3687
2013,NUTS,2010,AT,0,0.386
2015,NUTS,2010,AT,0,0.4126
2017,NUTS,2010,AT,0,0.4161
2019,NUTS,2010,AT,0,0.4568
1999,NUTS,2010,BE,0,0.3679
2000,NUTS,2010,BE,0,0.3832
2001,NUTS,2010,BE,0,0.4142
2002,NUTS,2010,BE,0,0.4051
2003,NUTS,2010,BE,0,0.4034
2004,NUTS,2010,BE,0,0.4059
2005,NUTS,2010,BE,0,0.4164
2006,NUTS,2010,BE,0,0.4209
2007,NUTS,2010,BE,0,0.4217
2008,NUTS,2010,BE,0,0.4151
2009,NUTS,2010,BE,0,0.4169
2010,NUTS,2010,BE,0,0.4158
2011,NUTS,2010,BE,0,0.4382
2000,NUTS,2010,BE1,1,0.4119
2001,NUTS,2010,BE1,1,0.4461
2002,NUTS,2010,BE1,1,0.4179
2000,NUTS,2010,BE10,2,0.4119
2001,NUTS,2010,BE10,2,0.4461
2002,NUTS,2010,BE10,2,0.4179
2000,NUTS,2010,BE2,1,0.3712
2001,NUTS,2010,BE2,1,0.4109
2002,NUTS,2010,BE2,1,0.4319
2000,NUTS,2010,BE3,1,0.3812
2001,NUTS,2010,BE3,1,0.413
2002,NUTS,2010,BE3,1,0.4115
2000,NUTS,2010,BG,0,0.0898
2001,NUTS,2010,BG,0,0.0792
2002,NUTS,2010,BG,0,0.0716
2003,NUTS,2010,BG,0,0.0826
2004,NUTS,2010,BG,0,0.0761
2005,NUTS,2010,BG,0,0.0763
2006,NUTS,2010,BG,0,0.0674
2007,NUTS,2010,BG,0,0.0651
2008,NUTS,2010,BG,0,0.0779
2009,NUTS,2010,BG,0,0.1011
2010,NUTS,2010,BG,0,0.0881
2011,NUTS,2010,BG,0,0.0837
2012,NUTS,2010,BG,0,0.0994
2013,NUTS,2010,BG,0,0.1253
2014,NUTS,2010,BG,0,0.1578
2015,NUTS,2010,BG,0,0.2652
2016,NUTS,2010,BG,0,0.3141
2017,NUTS,2010,BG,0,0.2988
2018,NUTS,2010,BG,0,0.3455
2019,NUTS,2010,BG,0,0.3622
1998,NUTS,2010,CY,0,0.0241
1999,NUTS,2010,CY,0,0.0381
2000,NUTS,2010,CY,0,0.0388
2001,NUTS,2010,CY,0,0.0371
2002,NUTS,2010,CY,0,0.0458
2003,NUTS,2010,CY,0,0.0513
2004,NUTS,2010,CY,0,0.0522
2005,NUTS,2010,CY,0,0.0551
2006,NUTS,2010,CY,0,0.0608
2007,NUTS,2010,CY,0,0.0522
2008,NUTS,2010,CY,0,0.0617
2009,NUTS,2010,CY,0,0.0582
2010,NUTS,2010,CY,0,0.0509
2011,NUTS,2010,CY,0,0.0491
2012,NUTS,2010,CY,0,0.0486
2013,NUTS,2010,CY,0,0.053
2014,NUTS,2010,CY,0,0.0545
2015,NUTS,2010,CY,0,0.0527
2016,NUTS,2010,CY,0,0.0705
2017,NUTS,2010,CY,0,0.0765
2018,NUTS,2010,CY,0,0.1041
2019,NUTS,2010,CY,0,0.1141
2000,NUTS,2010,CZ,0,0.1377
2001,NUTS,2010,CZ,0,0.1456
2002,NUTS,2010,CZ,0,0.1456
2003,NUTS,2010,CZ,0,0.1484
2004,NUTS,2010,CZ,0,0.1543
2005,NUTS,2010,CZ,0,0.2196
2006,NUTS,2010,CZ,0,0.2232
2007,NUTS,2010,CZ,0,0.2422
