year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_bes_total_pc_emp_hc_f
2017,NUTS,2010,BG33,2,0.1224
2018,NUTS,2010,BG33,2,0.1969
2019,NUTS,2010,BG33,2,0.1858
2011,NUTS,2010,BG34,2,0.055
2014,NUTS,2010,BG34,2,0.0636
2015,NUTS,2010,BG34,2,0.1802
2016,NUTS,2010,BG34,2,0.1778
2017,NUTS,2010,BG34,2,0.1736
2018,NUTS,2010,BG34,2,0.2162
2019,NUTS,2010,BG34,2,0.2308
2011,NUTS,2010,BG4,1,0.1242
2012,NUTS,2010,BG4,1,0.1588
2013,NUTS,2010,BG4,1,0.2022
2014,NUTS,2010,BG4,1,0.2608
2015,NUTS,2010,BG4,1,0.3845
2016,NUTS,2010,BG4,1,0.5056
2017,NUTS,2010,BG4,1,0.4768
2018,NUTS,2010,BG4,1,0.5224
2019,NUTS,2010,BG4,1,0.5505
2011,NUTS,2010,BG41,2,0.1458
2012,NUTS,2010,BG41,2,0.1982
2014,NUTS,2010,BG41,2,0.3603
2015,NUTS,2010,BG41,2,0.4937
2016,NUTS,2010,BG41,2,0.6712
2017,NUTS,2010,BG41,2,0.6461
2018,NUTS,2010,BG41,2,0.707
2019,NUTS,2010,BG41,2,0.7526
2011,NUTS,2010,BG42,2,0.0852
2012,NUTS,2010,BG42,2,0.0908
2014,NUTS,2010,BG42,2,0.0913
2015,NUTS,2010,BG42,2,0.1905
2016,NUTS,2010,BG42,2,0.2117
2017,NUTS,2010,BG42,2,0.1859
2018,NUTS,2010,BG42,2,0.1962
2019,NUTS,2010,BG42,2,0.2002
2012,NUTS,2010,CH,0,0.6645
2015,NUTS,2010,CH,0,0.6273
2017,NUTS,2010,CH,0,0.6493
2019,NUTS,2010,CH,0,0.6767
2012,NUTS,2010,CH01,2,0.5627
2015,NUTS,2010,CH01,2,0.6512
2017,NUTS,2010,CH01,2,0.5437
2019,NUTS,2010,CH01,2,0.5799
2012,NUTS,2010,CH02,2,0.4282
2015,NUTS,2010,CH02,2,0.3565
2017,NUTS,2010,CH02,2,0.3239
2019,NUTS,2010,CH02,2,0.3238
2012,NUTS,2010,CH03,2,1.746
2015,NUTS,2010,CH03,2,1.71
2017,NUTS,2010,CH03,2,1.9335
2019,NUTS,2010,CH03,2,2.1009
2012,NUTS,2010,CH04,2,0.5111
2015,NUTS,2010,CH04,2,0.3824
2017,NUTS,2010,CH04,2,0.4375
2019,NUTS,2010,CH04,2,0.3963
2012,NUTS,2010,CH05,2,0.3524
2015,NUTS,2010,CH05,2,0.3312
2017,NUTS,2010,CH05,2,0.269
2019,NUTS,2010,CH05,2,0.3837
2012,NUTS,2010,CH06,2,0.5045
2015,NUTS,2010,CH06,2,0.5676
2017,NUTS,2010,CH06,2,0.596
2019,NUTS,2010,CH06,2,0.5459
2012,NUTS,2010,CH07,2,0.5029
2015,NUTS,2010,CH07,2,0.1592
2017,NUTS,2010,CH07,2,0.4454
2019,NUTS,2010,CH07,2,0.3181
2011,NUTS,2010,CY,0,0.0849
2012,NUTS,2010,CY,0,0.0851
2013,NUTS,2010,CY,0,0.0925
2014,NUTS,2010,CY,0,0.0892
2015,NUTS,2010,CY,0,0.0849
2016,NUTS,2010,CY,0,0.1093
2017,NUTS,2010,CY,0,0.1251
2018,NUTS,2010,CY,0,0.1644
2019,NUTS,2010,CY,0,0.1755
2011,NUTS,2010,CZ,0,0.3435
2012,NUTS,2010,CZ,0,0.3709
2013,NUTS,2010,CZ,0,0.4021
2014,NUTS,2010,CZ,0,0.416
2015,NUTS,2010,CZ,0,0.405
2016,NUTS,2010,CZ,0,0.4136
2017,NUTS,2010,CZ,0,0.4296
2018,NUTS,2010,CZ,0,0.4383
2019,NUTS,2010,CZ,0,0.4515
2020,NUTS,2010,CZ,0,0.4753
2011,NUTS,2010,CZ0,1,0.3384
2012,NUTS,2010,CZ0,1,0.3652
2013,NUTS,2010,CZ0,1,0.3948
2014,NUTS,2010,CZ0,1,0.4089
2015,NUTS,2010,CZ0,1,0.3966
2016,NUTS,2010,CZ0,1,0.4041
2017,NUTS,2010,CZ0,1,0.4194
2018,NUTS,2010,CZ0,1,0.4267
2019,NUTS,2010,CZ0,1,0.4392
2020,NUTS,2010,CZ0,1,0.4626
2011,NUTS,2010,CZ01,2,0.6371
2012,NUTS,2010,CZ01,2,0.7453
2013,NUTS,2010,CZ01,2,0.8378
2014,NUTS,2010,CZ01,2,0.8299
2015,NUTS,2010,CZ01,2,0.8079
2016,NUTS,2010,CZ01,2,0.871
2017,NUTS,2010,CZ01,2,0.8549
2018,NUTS,2010,CZ01,2,0.8583
2019,NUTS,2010,CZ01,2,0.8633
2020,NUTS,2010,CZ01,2,0.9691
2011,NUTS,2010,CZ02,2,0.3785
2012,NUTS,2010,CZ02,2,0.3815
2013,NUTS,2010,CZ02,2,0.3687
2014,NUTS,2010,CZ02,2,0.3442
2015,NUTS,2010,CZ02,2,0.3408
2016,NUTS,2010,CZ02,2,0.3367
2017,NUTS,2010,CZ02,2,0.3486
2018,NUTS,2010,CZ02,2,0.3687
2019,NUTS,2010,CZ02,2,0.3565
2020,NUTS,2010,CZ02,2,0.3626
2011,NUTS,2010,CZ03,2,0.1956
2012,NUTS,2010,CZ03,2,0.2097
2013,NUTS,2010,CZ03,2,0.216
2014,NUTS,2010,CZ03,2,0.2256
2015,NUTS,2010,CZ03,2,0.219
2016,NUTS,2010,CZ03,2,0.2501
2017,NUTS,2010,CZ03,2,0.2666
2018,NUTS,2010,CZ03,2,0.2946
2019,NUTS,2010,CZ03,2,0.3183
2020,NUTS,2010,CZ03,2,0.308
2011,NUTS,2010,CZ04,2,0.1373
2012,NUTS,2010,CZ04,2,0.1619
2013,NUTS,2010,CZ04,2,0.1777
2014,NUTS,2010,CZ04,2,0.1872
2015,NUTS,2010,CZ04,2,0.2031
2016,NUTS,2010,CZ04,2,0.1754
2017,NUTS,2010,CZ04,2,0.171
2018,NUTS,2010,CZ04,2,0.1746
2019,NUTS,2010,CZ04,2,0.2105
2020,NUTS,2010,CZ04,2,0.195
2011,NUTS,2010,CZ05,2,0.3955
2012,NUTS,2010,CZ05,2,0.432
2013,NUTS,2010,CZ05,2,0.4824
2014,NUTS,2010,CZ05,2,0.4569
2015,NUTS,2010,CZ05,2,0.4511
2016,NUTS,2010,CZ05,2,0.4247
2017,NUTS,2010,CZ05,2,0.4617
2018,NUTS,2010,CZ05,2,0.4499
2019,NUTS,2010,CZ05,2,0.432
2020,NUTS,2010,CZ05,2,0.4364
2011,NUTS,2010,CZ06,2,0.3456
2012,NUTS,2010,CZ06,2,0.3531
2013,NUTS,2010,CZ06,2,0.3969
2014,NUTS,2010,CZ06,2,0.5217
2015,NUTS,2010,CZ06,2,0.4616
2016,NUTS,2010,CZ06,2,0.4815
2017,NUTS,2010,CZ06,2,0.4892
2018,NUTS,2010,CZ06,2,0.4921
2019,NUTS,2010,CZ06,2,0.5216
2020,NUTS,2010,CZ06,2,0.5789
