year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pnp_hc_rse_t
2014,NUTS,2010,CZ0,1,232.0
2015,NUTS,2010,CZ0,1,199.0
2016,NUTS,2010,CZ0,1,190.0
2017,NUTS,2010,CZ0,1,232.0
2018,NUTS,2010,CZ0,1,197.0
2019,NUTS,2010,CZ0,1,240.0
2020,NUTS,2010,CZ0,1,266.0
2011,NUTS,2010,CZ01,2,134.0
2012,NUTS,2010,CZ01,2,116.0
2013,NUTS,2010,CZ01,2,125.0
2014,NUTS,2010,CZ01,2,120.0
2015,NUTS,2010,CZ01,2,108.0
2016,NUTS,2010,CZ01,2,115.0
2017,NUTS,2010,CZ01,2,119.0
2018,NUTS,2010,CZ01,2,99.0
2019,NUTS,2010,CZ01,2,120.0
2020,NUTS,2010,CZ01,2,138.0
2011,NUTS,2010,CZ02,2,8.0
2012,NUTS,2010,CZ02,2,7.0
2013,NUTS,2010,CZ02,2,14.0
2014,NUTS,2010,CZ02,2,19.0
2015,NUTS,2010,CZ02,2,16.0
2016,NUTS,2010,CZ02,2,8.0
2017,NUTS,2010,CZ02,2,9.0
2018,NUTS,2010,CZ02,2,3.0
2019,NUTS,2010,CZ02,2,3.0
2020,NUTS,2010,CZ02,2,6.0
2011,NUTS,2010,CZ03,2,30.0
2012,NUTS,2010,CZ03,2,22.0
2013,NUTS,2010,CZ03,2,11.0
2014,NUTS,2010,CZ03,2,36.0
2015,NUTS,2010,CZ03,2,44.0
2016,NUTS,2010,CZ03,2,36.0
2017,NUTS,2010,CZ03,2,56.0
2018,NUTS,2010,CZ03,2,63.0
2019,NUTS,2010,CZ03,2,42.0
2020,NUTS,2010,CZ03,2,59.0
2011,NUTS,2010,CZ04,2,0.0
2012,NUTS,2010,CZ04,2,0.0
2013,NUTS,2010,CZ04,2,0.0
2014,NUTS,2010,CZ04,2,0.0
2015,NUTS,2010,CZ04,2,0.0
2016,NUTS,2010,CZ04,2,0.0
2017,NUTS,2010,CZ04,2,0.0
2018,NUTS,2010,CZ04,2,1.0
2019,NUTS,2010,CZ04,2,1.0
2020,NUTS,2010,CZ04,2,1.0
2011,NUTS,2010,CZ05,2,11.0
2012,NUTS,2010,CZ05,2,2.0
2013,NUTS,2010,CZ05,2,0.0
2014,NUTS,2010,CZ05,2,0.0
2015,NUTS,2010,CZ05,2,0.0
2016,NUTS,2010,CZ05,2,0.0
2017,NUTS,2010,CZ05,2,19.0
2019,NUTS,2010,CZ05,2,10.0
2020,NUTS,2010,CZ05,2,20.0
2011,NUTS,2010,CZ06,2,54.0
2012,NUTS,2010,CZ06,2,47.0
2013,NUTS,2010,CZ06,2,43.0
2014,NUTS,2010,CZ06,2,38.0
2015,NUTS,2010,CZ06,2,20.0
2016,NUTS,2010,CZ06,2,9.0
2017,NUTS,2010,CZ06,2,10.0
2018,NUTS,2010,CZ06,2,17.0
2019,NUTS,2010,CZ06,2,17.0
2020,NUTS,2010,CZ06,2,18.0
2011,NUTS,2010,CZ07,2,15.0
2012,NUTS,2010,CZ07,2,12.0
2013,NUTS,2010,CZ07,2,9.0
2014,NUTS,2010,CZ07,2,13.0
2015,NUTS,2010,CZ07,2,6.0
2016,NUTS,2010,CZ07,2,5.0
2017,NUTS,2010,CZ07,2,5.0
2018,NUTS,2010,CZ07,2,3.0
2019,NUTS,2010,CZ07,2,12.0
2020,NUTS,2010,CZ07,2,7.0
2011,NUTS,2010,CZ08,2,0.0
2012,NUTS,2010,CZ08,2,0.0
2013,NUTS,2010,CZ08,2,0.0
2014,NUTS,2010,CZ08,2,6.0
2015,NUTS,2010,CZ08,2,5.0
2016,NUTS,2010,CZ08,2,17.0
2017,NUTS,2010,CZ08,2,14.0
2018,NUTS,2010,CZ08,2,11.0
2019,NUTS,2010,CZ08,2,35.0
2020,NUTS,2010,CZ08,2,17.0
2015,NUTS,2010,CZZ,1,0.0
2016,NUTS,2010,CZZ,1,0.0
2017,NUTS,2010,CZZ,1,0.0
2018,NUTS,2010,CZZ,1,0.0
2019,NUTS,2010,CZZ,1,0.0
2020,NUTS,2010,CZZ,1,0.0
2015,NUTS,2010,CZZZ,2,0.0
2016,NUTS,2010,CZZZ,2,0.0
2017,NUTS,2010,CZZZ,2,0.0
2018,NUTS,2010,CZZZ,2,0.0
2019,NUTS,2010,CZZZ,2,0.0
2020,NUTS,2010,CZZZ,2,0.0
2011,NUTS,2010,DK,0,240.0
2012,NUTS,2010,DK,0,268.0
2013,NUTS,2010,DK,0,255.0
2014,NUTS,2010,DK,0,261.0
2015,NUTS,2010,DK,0,259.0
2016,NUTS,2010,DK,0,278.0
2017,NUTS,2010,DK,0,235.0
2018,NUTS,2010,DK,0,211.0
2019,NUTS,2010,DK,0,285.0
2020,NUTS,2010,DK,0,287.0
2011,NUTS,2010,DK0,1,240.0
2012,NUTS,2010,DK0,1,268.0
2013,NUTS,2010,DK0,1,255.0
2014,NUTS,2010,DK0,1,261.0
2015,NUTS,2010,DK0,1,259.0
2016,NUTS,2010,DK0,1,278.0
2017,NUTS,2010,DK0,1,235.0
2018,NUTS,2010,DK0,1,211.0
2019,NUTS,2010,DK0,1,285.0
2011,NUTS,2010,DK01,2,230.0
2012,NUTS,2010,DK01,2,252.0
2013,NUTS,2010,DK01,2,238.0
2014,NUTS,2010,DK01,2,243.0
2015,NUTS,2010,DK01,2,237.0
2016,NUTS,2010,DK01,2,252.0
2017,NUTS,2010,DK01,2,215.0
2019,NUTS,2010,DK01,2,272.0
2011,NUTS,2010,DK02,2,10.0
2012,NUTS,2010,DK02,2,10.0
2013,NUTS,2010,DK02,2,10.0
2014,NUTS,2010,DK02,2,10.0
2015,NUTS,2010,DK02,2,13.0
2016,NUTS,2010,DK02,2,14.0
2017,NUTS,2010,DK02,2,12.0
2019,NUTS,2010,DK02,2,13.0
2012,NUTS,2010,DK03,2,6.0
2013,NUTS,2010,DK03,2,7.0
2014,NUTS,2010,DK03,2,8.0
2015,NUTS,2010,DK03,2,9.0
2016,NUTS,2010,DK03,2,12.0
2017,NUTS,2010,DK03,2,8.0
2012,NUTS,2010,DK04,2,0.0
2013,NUTS,2010,DK04,2,0.0
2014,NUTS,2010,DK04,2,0.0
2015,NUTS,2010,DK04,2,0.0
2016,NUTS,2010,DK04,2,0.0
2017,NUTS,2010,DK04,2,0.0
2012,NUTS,2010,DK05,2,0.0
2013,NUTS,2010,DK05,2,0.0
2014,NUTS,2010,DK05,2,0.0
2015,NUTS,2010,DK05,2,0.0
2016,NUTS,2010,DK05,2,0.0
2017,NUTS,2010,DK05,2,8.0
2011,NUTS,2010,EA19,2,19836.0
2012,NUTS,2010,EA19,2,19706.0
2013,NUTS,2010,EA19,2,13581.0
2014,NUTS,2010,EA19,2,14374.0
2016,NUTS,2010,EA19,2,16091.0
2017,NUTS,2010,EA19,2,15629.0
2018,NUTS,2010,EA19,2,16801.0
2011,NUTS,2010,EE,0,101.0
2012,NUTS,2010,EE,0,127.0
2013,NUTS,2010,EE,0,108.0
2014,NUTS,2010,EE,0,111.0
2015,NUTS,2010,EE,0,121.0
2016,NUTS,2010,EE,0,121.0
2017,NUTS,2010,EE,0,113.0
2018,NUTS,2010,EE,0,120.0
2019,NUTS,2010,EE,0,110.0
2011,NUTS,2010,EL,0,445.0
2013,NUTS,2010,EL,0,449.0
2015,NUTS,2010,EL,0,408.0
2017,NUTS,2010,EL,0,513.0
2019,NUTS,2010,EL,0,469.0
2011,NUTS,2010,EL3,1,363.0
2013,NUTS,2010,EL3,1,307.0
2015,NUTS,2010,EL3,1,266.0
2017,NUTS,2010,EL3,1,375.0
2019,NUTS,2010,EL3,1,332.0
2011,NUTS,2010,EL30,2,363.0
2013,NUTS,2010,EL30,2,307.0
2015,NUTS,2010,EL30,2,266.0
2017,NUTS,2010,EL30,2,375.0
2019,NUTS,2010,EL30,2,332.0
2011,NUTS,2010,EL4,1,10.0
2013,NUTS,2010,EL4,1,38.0
2015,NUTS,2010,EL4,1,36.0
2017,NUTS,2010,EL4,1,69.0
2019,NUTS,2010,EL4,1,40.0
2011,NUTS,2010,EL41,2,3.0
2013,NUTS,2010,EL41,2,1.0
2015,NUTS,2010,EL41,2,1.0
2017,NUTS,2010,EL41,2,3.0
2019,NUTS,2010,EL41,2,8.0
2011,NUTS,2010,EL42,2,7.0
2013,NUTS,2010,EL42,2,12.0
2015,NUTS,2010,EL42,2,10.0
2017,NUTS,2010,EL42,2,11.0
2019,NUTS,2010,EL42,2,12.0
2011,NUTS,2010,EL43,2,0.0
2013,NUTS,2010,EL43,2,25.0
2015,NUTS,2010,EL43,2,25.0
2017,NUTS,2010,EL43,2,55.0
2019,NUTS,2010,EL43,2,20.0
2011,NUTS,2010,EL5,1,64.0
2013,NUTS,2010,EL5,1,95.0
2015,NUTS,2010,EL5,1,98.0
2017,NUTS,2010,EL5,1,55.0
2019,NUTS,2010,EL5,1,76.0
2011,NUTS,2010,EL51,2,0.0
2013,NUTS,2010,EL51,2,5.0
2015,NUTS,2010,EL51,2,5.0
2017,NUTS,2010,EL51,2,4.0
2019,NUTS,2010,EL51,2,2.0
2011,NUTS,2010,EL52,2,49.0
2013,NUTS,2010,EL52,2,81.0
2015,NUTS,2010,EL52,2,86.0
2017,NUTS,2010,EL52,2,32.0
2019,NUTS,2010,EL52,2,62.0
2011,NUTS,2010,EL53,2,14.0
2013,NUTS,2010,EL53,2,5.0
2015,NUTS,2010,EL53,2,3.0
2017,NUTS,2010,EL53,2,10.0
2019,NUTS,2010,EL53,2,8.0
2011,NUTS,2010,EL54,2,1.0
2013,NUTS,2010,EL54,2,4.0
2015,NUTS,2010,EL54,2,4.0
2017,NUTS,2010,EL54,2,9.0
2019,NUTS,2010,EL54,2,4.0
2011,NUTS,2010,EL6,1,8.0
2013,NUTS,2010,EL6,1,9.0
2015,NUTS,2010,EL6,1,8.0
2017,NUTS,2010,EL6,1,14.0
2019,NUTS,2010,EL6,1,21.0
2011,NUTS,2010,EL61,2,1.0
2013,NUTS,2010,EL61,2,1.0
2015,NUTS,2010,EL61,2,1.0
2017,NUTS,2010,EL61,2,3.0
2019,NUTS,2010,EL61,2,2.0
2011,NUTS,2010,EL62,2,0.0
2013,NUTS,2010,EL62,2,0.0
2015,NUTS,2010,EL62,2,0.0
2017,NUTS,2010,EL62,2,0.0
2019,NUTS,2010,EL62,2,0.0
2011,NUTS,2010,EL63,2,0.0
2013,NUTS,2010,EL63,2,1.0
2015,NUTS,2010,EL63,2,0.0
2017,NUTS,2010,EL63,2,0.0
2019,NUTS,2010,EL63,2,0.0
2011,NUTS,2010,EL64,2,5.0
2013,NUTS,2010,EL64,2,4.0
2015,NUTS,2010,EL64,2,4.0
2017,NUTS,2010,EL64,2,4.0
2019,NUTS,2010,EL64,2,0.0
2011,NUTS,2010,EL65,2,2.0
2013,NUTS,2010,EL65,2,3.0
2015,NUTS,2010,EL65,2,3.0
2017,NUTS,2010,EL65,2,7.0
2019,NUTS,2010,EL65,2,19.0
2015,NUTS,2010,ELZ,1,0.0
2015,NUTS,2010,ELZZ,2,0.0
2011,NUTS,2010,ES,0,500.0
2012,NUTS,2010,ES,0,503.0
2013,NUTS,2010,ES,0,464.0
2014,NUTS,2010,ES,0,466.0
2015,NUTS,2010,ES,0,485.0
2016,NUTS,2010,ES,0,618.0
2017,NUTS,2010,ES,0,554.0
2018,NUTS,2010,ES,0,487.0
2019,NUTS,2010,ES,0,452.0
2011,NUTS,2010,ES1,1,65.0
2012,NUTS,2010,ES1,1,70.0
2013,NUTS,2010,ES1,1,50.0
2015,NUTS,2010,ES1,1,53.0
2016,NUTS,2010,ES1,1,65.0
2017,NUTS,2010,ES1,1,67.0
2018,NUTS,2010,ES1,1,84.0
2014,NUTS,2010,ES11,2,9.0
2015,NUTS,2010,ES11,2,13.0
2016,NUTS,2010,ES11,2,39.0
2017,NUTS,2010,ES11,2,43.0
2018,NUTS,2010,ES11,2,40.0
2019,NUTS,2010,ES11,2,39.0
2012,NUTS,2010,ES12,2,10.0
2013,NUTS,2010,ES12,2,7.0
2014,NUTS,2010,ES12,2,8.0
2015,NUTS,2010,ES12,2,10.0
2016,NUTS,2010,ES12,2,8.0
2017,NUTS,2010,ES12,2,8.0
2018,NUTS,2010,ES12,2,8.0
2019,NUTS,2010,ES12,2,7.0
2011,NUTS,2010,ES13,2,52.0
2015,NUTS,2010,ES13,2,30.0
2016,NUTS,2010,ES13,2,18.0
2017,NUTS,2010,ES13,2,16.0
2018,NUTS,2010,ES13,2,36.0
2011,NUTS,2010,ES2,1,41.0
2013,NUTS,2010,ES2,1,62.0
2015,NUTS,2010,ES2,1,48.0
2019,NUTS,2010,ES2,1,20.0
2011,NUTS,2010,ES21,2,22.0
2012,NUTS,2010,ES21,2,31.0
2013,NUTS,2010,ES21,2,25.0
2014,NUTS,2010,ES21,2,20.0
2015,NUTS,2010,ES21,2,23.0
2016,NUTS,2010,ES21,2,34.0
2017,NUTS,2010,ES21,2,29.0
2018,NUTS,2010,ES21,2,16.0
2019,NUTS,2010,ES21,2,17.0
2011,NUTS,2010,ES22,2,8.0
2015,NUTS,2010,ES22,2,8.0
2011,NUTS,2010,ES23,2,4.0
2012,NUTS,2010,ES23,2,9.0
2014,NUTS,2010,ES23,2,4.0
2015,NUTS,2010,ES23,2,3.0
2016,NUTS,2010,ES23,2,3.0
2017,NUTS,2010,ES23,2,4.0
2018,NUTS,2010,ES23,2,3.0
2011,NUTS,2010,ES24,2,7.0
2012,NUTS,2010,ES24,2,10.0
2013,NUTS,2010,ES24,2,10.0
2014,NUTS,2010,ES24,2,11.0
2015,NUTS,2010,ES24,2,14.0
2016,NUTS,2010,ES24,2,11.0
2017,NUTS,2010,ES24,2,11.0
2018,NUTS,2010,ES24,2,4.0
2011,NUTS,2010,ES3,1,111.0
2012,NUTS,2010,ES3,1,141.0
2013,NUTS,2010,ES3,1,125.0
2014,NUTS,2010,ES3,1,105.0
2015,NUTS,2010,ES3,1,123.0
2016,NUTS,2010,ES3,1,106.0
2017,NUTS,2010,ES3,1,132.0
2018,NUTS,2010,ES3,1,127.0
2019,NUTS,2010,ES3,1,121.0
2011,NUTS,2010,ES30,2,111.0
2012,NUTS,2010,ES30,2,141.0
2013,NUTS,2010,ES30,2,125.0
2014,NUTS,2010,ES30,2,105.0
2015,NUTS,2010,ES30,2,123.0
2016,NUTS,2010,ES30,2,106.0
2017,NUTS,2010,ES30,2,132.0
2018,NUTS,2010,ES30,2,127.0
2019,NUTS,2010,ES30,2,121.0
2011,NUTS,2010,ES4,1,59.0
2013,NUTS,2010,ES4,1,25.0
2014,NUTS,2010,ES4,1,26.0
2015,NUTS,2010,ES4,1,32.0
2016,NUTS,2010,ES4,1,31.0
2018,NUTS,2010,ES4,1,34.0
2019,NUTS,2010,ES4,1,30.0
2012,NUTS,2010,ES41,2,13.0
2013,NUTS,2010,ES41,2,9.0
2014,NUTS,2010,ES41,2,10.0
2015,NUTS,2010,ES41,2,11.0
2017,NUTS,2010,ES41,2,10.0
2018,NUTS,2010,ES41,2,12.0
2019,NUTS,2010,ES41,2,10.0
2013,NUTS,2010,ES42,2,4.0
2014,NUTS,2010,ES42,2,4.0
2015,NUTS,2010,ES42,2,6.0
2017,NUTS,2010,ES42,2,5.0
2011,NUTS,2010,ES43,2,11.0
2013,NUTS,2010,ES43,2,12.0
2014,NUTS,2010,ES43,2,12.0
2015,NUTS,2010,ES43,2,15.0
2016,NUTS,2010,ES43,2,15.0
2011,NUTS,2010,ES5,1,167.0
2012,NUTS,2010,ES5,1,154.0
2013,NUTS,2010,ES5,1,151.0
2014,NUTS,2010,ES5,1,186.0
2015,NUTS,2010,ES5,1,176.0
2016,NUTS,2010,ES5,1,272.0
2017,NUTS,2010,ES5,1,211.0
2018,NUTS,2010,ES5,1,181.0
2011,NUTS,2010,ES51,2,118.0
2012,NUTS,2010,ES51,2,103.0
2013,NUTS,2010,ES51,2,96.0
2014,NUTS,2010,ES51,2,132.0
2015,NUTS,2010,ES51,2,133.0
2016,NUTS,2010,ES51,2,222.0
2017,NUTS,2010,ES51,2,162.0
2018,NUTS,2010,ES51,2,157.0
2019,NUTS,2010,ES51,2,144.0
2011,NUTS,2010,ES52,2,37.0
2012,NUTS,2010,ES52,2,34.0
2013,NUTS,2010,ES52,2,39.0
2014,NUTS,2010,ES52,2,38.0
2015,NUTS,2010,ES52,2,31.0
2016,NUTS,2010,ES52,2,35.0
2017,NUTS,2010,ES52,2,35.0
2018,NUTS,2010,ES52,2,13.0
2019,NUTS,2010,ES52,2,14.0
2011,NUTS,2010,ES53,2,12.0
2012,NUTS,2010,ES53,2,17.0
2013,NUTS,2010,ES53,2,16.0
2014,NUTS,2010,ES53,2,16.0
2015,NUTS,2010,ES53,2,12.0
2016,NUTS,2010,ES53,2,15.0
2017,NUTS,2010,ES53,2,14.0
2018,NUTS,2010,ES53,2,11.0
2011,NUTS,2010,ES6,1,51.0
2012,NUTS,2010,ES6,1,46.0
2013,NUTS,2010,ES6,1,45.0
2014,NUTS,2010,ES6,1,43.0
2015,NUTS,2010,ES6,1,42.0
2016,NUTS,2010,ES6,1,78.0
2017,NUTS,2010,ES6,1,47.0
2018,NUTS,2010,ES6,1,26.0
2019,NUTS,2010,ES6,1,26.0
2011,NUTS,2010,ES61,2,38.0
2012,NUTS,2010,ES61,2,31.0
2013,NUTS,2010,ES61,2,39.0
2014,NUTS,2010,ES61,2,37.0
2015,NUTS,2010,ES61,2,31.0
2016,NUTS,2010,ES61,2,69.0
2017,NUTS,2010,ES61,2,38.0
2018,NUTS,2010,ES61,2,23.0
2019,NUTS,2010,ES61,2,21.0
2012,NUTS,2010,ES62,2,14.0
2013,NUTS,2010,ES62,2,6.0
2014,NUTS,2010,ES62,2,6.0
2015,NUTS,2010,ES62,2,11.0
2016,NUTS,2010,ES62,2,9.0
2018,NUTS,2010,ES62,2,3.0
2019,NUTS,2010,ES62,2,5.0
2015,NUTS,2010,ES63,2,0.0
2015,NUTS,2010,ES64,2,0.0
2011,NUTS,2010,ES7,1,6.0
2012,NUTS,2010,ES7,1,7.0
2013,NUTS,2010,ES7,1,6.0
2014,NUTS,2010,ES7,1,11.0
2015,NUTS,2010,ES7,1,11.0
2016,NUTS,2010,ES7,1,11.0
2017,NUTS,2010,ES7,1,10.0
2018,NUTS,2010,ES7,1,4.0
2011,NUTS,2010,ES70,2,6.0
2012,NUTS,2010,ES70,2,7.0
2013,NUTS,2010,ES70,2,6.0
2014,NUTS,2010,ES70,2,11.0
2015,NUTS,2010,ES70,2,11.0
2016,NUTS,2010,ES70,2,11.0
2017,NUTS,2010,ES70,2,10.0
2018,NUTS,2010,ES70,2,4.0
2011,NUTS,2010,ESZ,1,0.0
2011,NUTS,2010,ESZZ,2,0.0
2011,NUTS,2010,EU27_2020,7,20995.0
2012,NUTS,2010,EU27_2020,7,21039.0
2013,NUTS,2010,EU27_2020,7,14981.0
2014,NUTS,2010,EU27_2020,7,15840.0
2015,NUTS,2010,EU27_2020,7,15899.0
2016,NUTS,2010,EU27_2020,7,17895.0
2017,NUTS,2010,EU27_2020,7,18133.0
2018,NUTS,2010,EU27_2020,7,19478.0
2019,NUTS,2010,EU27_2020,7,21471.0
2011,NUTS,2010,FI,0,659.0
2012,NUTS,2010,FI,0,629.0
2013,NUTS,2010,FI,0,607.0
2014,NUTS,2010,FI,0,695.0
2015,NUTS,2010,FI,0,690.0
2016,NUTS,2010,FI,0,686.0
2017,NUTS,2010,FI,0,679.0
2018,NUTS,2010,FI,0,727.0
2019,NUTS,2010,FI,0,710.0
2017,NUTS,2010,FI1,1,679.0
2018,NUTS,2010,FI1,1,727.0
2019,NUTS,2010,FI1,1,710.0
2017,NUTS,2010,FI19,2,102.0
2018,NUTS,2010,FI19,2,120.0
2019,NUTS,2010,FI19,2,128.0
2017,NUTS,2010,FI1B,2,538.0
2018,NUTS,2010,FI1B,2,563.0
2019,NUTS,2010,FI1B,2,535.0
2017,NUTS,2010,FI1C,2,33.0
2018,NUTS,2010,FI1C,2,39.0
2019,NUTS,2010,FI1C,2,41.0
2017,NUTS,2010,FI1D,2,6.0
2018,NUTS,2010,FI1D,2,5.0
2019,NUTS,2010,FI1D,2,6.0
2017,NUTS,2010,FI2,1,0.0
2018,NUTS,2010,FI2,1,0.0
2019,NUTS,2010,FI2,1,0.0
2017,NUTS,2010,FI20,2,0.0
2018,NUTS,2010,FI20,2,0.0
2019,NUTS,2010,FI20,2,0.0
2011,NUTS,2010,FR,0,3639.0
2012,NUTS,2010,FR,0,4177.0
2013,NUTS,2010,FR,0,4400.0
