year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_t_total_pc_act_fte_hes
2015,NUTS,2010,BE3,1,0.4562
2016,NUTS,2010,BE3,1,0.402
2017,NUTS,2010,BE3,1,0.3924
2018,NUTS,2010,BE3,1,0.3891
2019,NUTS,2010,BE3,1,0.3894
2000,NUTS,2010,BG,0,0.0724
2001,NUTS,2010,BG,0,0.0763
2002,NUTS,2010,BG,0,0.086
2003,NUTS,2010,BG,0,0.0889
2004,NUTS,2010,BG,0,0.0926
2005,NUTS,2010,BG,0,0.1026
2006,NUTS,2010,BG,0,0.1026
2007,NUTS,2010,BG,0,0.1238
2008,NUTS,2010,BG,0,0.1287
2009,NUTS,2010,BG,0,0.1564
2010,NUTS,2010,BG,0,0.1291
2011,NUTS,2010,BG,0,0.1583
2012,NUTS,2010,BG,0,0.1321
2013,NUTS,2010,BG,0,0.1362
2014,NUTS,2010,BG,0,0.1533
2015,NUTS,2010,BG,0,0.1382
2016,NUTS,2010,BG,0,0.1786
2017,NUTS,2010,BG,0,0.1349
2018,NUTS,2010,BG,0,0.1361
2019,NUTS,2010,BG,0,0.126
2020,NUTS,2010,BG,0,0.1274
2003,NUTS,2010,BG3,1,0.0722
2004,NUTS,2010,BG3,1,0.0795
2005,NUTS,2010,BG3,1,0.0954
2006,NUTS,2010,BG3,1,0.0928
2007,NUTS,2010,BG3,1,0.0994
2008,NUTS,2010,BG3,1,0.1014
2011,NUTS,2010,BG3,1,0.1136
2012,NUTS,2010,BG3,1,0.1073
2013,NUTS,2010,BG3,1,0.1139
2014,NUTS,2010,BG3,1,0.1447
2015,NUTS,2010,BG3,1,0.1222
2016,NUTS,2010,BG3,1,0.1195
2017,NUTS,2010,BG3,1,0.1102
2018,NUTS,2010,BG3,1,0.1184
2019,NUTS,2010,BG3,1,0.1174
2003,NUTS,2010,BG32,2,0.074
2004,NUTS,2010,BG32,2,0.0861
2005,NUTS,2010,BG32,2,0.1888
2008,NUTS,2010,BG32,2,0.162
2009,NUTS,2010,BG32,2,0.1371
2010,NUTS,2010,BG32,2,0.113
2011,NUTS,2010,BG32,2,0.1352
2012,NUTS,2010,BG32,2,0.1249
2013,NUTS,2010,BG32,2,0.1313
2014,NUTS,2010,BG32,2,0.2431
2015,NUTS,2010,BG32,2,0.1756
2016,NUTS,2010,BG32,2,0.1416
2017,NUTS,2010,BG32,2,0.1383
2018,NUTS,2010,BG32,2,0.1462
2019,NUTS,2010,BG32,2,0.1156
2006,NUTS,2010,BG33,2,0.1044
2007,NUTS,2010,BG33,2,0.0906
2008,NUTS,2010,BG33,2,0.0811
2010,NUTS,2010,BG33,2,0.1286
2012,NUTS,2010,BG33,2,0.1821
2013,NUTS,2010,BG33,2,0.1809
2014,NUTS,2010,BG33,2,0.2225
2015,NUTS,2010,BG33,2,0.1988
2003,NUTS,2010,BG34,2,0.0875
2004,NUTS,2010,BG34,2,0.0798
2005,NUTS,2010,BG34,2,0.0692
2006,NUTS,2010,BG34,2,0.0767
2007,NUTS,2010,BG34,2,0.1067
2010,NUTS,2010,BG34,2,0.1031
2011,NUTS,2010,BG34,2,0.1004
2016,NUTS,2010,BG34,2,0.0793
2017,NUTS,2010,BG34,2,0.0721
2003,NUTS,2010,BG4,1,0.1011
2004,NUTS,2010,BG4,1,0.1006
2005,NUTS,2010,BG4,1,0.1077
2006,NUTS,2010,BG4,1,0.1101
2007,NUTS,2010,BG4,1,0.1449
2008,NUTS,2010,BG4,1,0.1516
2011,NUTS,2010,BG4,1,0.1964
2012,NUTS,2010,BG4,1,0.1518
2013,NUTS,2010,BG4,1,0.1525
2014,NUTS,2010,BG4,1,0.1556
2015,NUTS,2010,BG4,1,0.1478
2016,NUTS,2010,BG4,1,0.2259
2017,NUTS,2010,BG4,1,0.1509
2018,NUTS,2010,BG4,1,0.1451
2019,NUTS,2010,BG4,1,0.1264
2000,NUTS,2010,BG41,2,0.1531
2002,NUTS,2010,BG41,2,0.1513
2003,NUTS,2010,BG41,2,0.1352
2004,NUTS,2010,BG41,2,0.1341
2005,NUTS,2010,BG41,2,0.1468
2008,NUTS,2010,BG41,2,0.1924
2009,NUTS,2010,BG41,2,0.2465
2010,NUTS,2010,BG41,2,0.1951
2013,NUTS,2010,BG41,2,0.2045
2015,NUTS,2010,BG41,2,0.1868
2016,NUTS,2010,BG41,2,0.3216
2017,NUTS,2010,BG41,2,0.1991
2018,NUTS,2010,BG41,2,0.184
2019,NUTS,2010,BG41,2,0.1445
2003,NUTS,2010,BG42,2,0.0503
2004,NUTS,2010,BG42,2,0.0515
2005,NUTS,2010,BG42,2,0.0484
2008,NUTS,2010,BG42,2,0.0883
2013,NUTS,2010,BG42,2,0.0698
2015,NUTS,2010,BG42,2,0.0843
2016,NUTS,2010,BG42,2,0.0672
2017,NUTS,2010,BG42,2,0.0736
2018,NUTS,2010,BG42,2,0.0805
2019,NUTS,2010,BG42,2,0.0966
2010,NUTS,2010,CH,0,0.575
2012,NUTS,2010,CH,0,0.6099
2015,NUTS,2010,CH,0,0.6464
2017,NUTS,2010,CH,0,0.6726
2019,NUTS,2010,CH,0,0.6999
1991,NUTS,2010,CN_X_HK,5,0.0219
1992,NUTS,2010,CN_X_HK,5,0.0192
1993,NUTS,2010,CN_X_HK,5,0.0206
1994,NUTS,2010,CN_X_HK,5,0.0253
1995,NUTS,2010,CN_X_HK,5,0.0209
1996,NUTS,2010,CN_X_HK,5,0.0212
1997,NUTS,2010,CN_X_HK,5,0.0234
1998,NUTS,2010,CN_X_HK,5,0.0234
1999,NUTS,2010,CN_X_HK,5,0.0242
2000,NUTS,2010,CN_X_HK,5,0.0215
2001,NUTS,2010,CN_X_HK,5,0.023
2002,NUTS,2010,CN_X_HK,5,0.0241
2003,NUTS,2010,CN_X_HK,5,0.0249
2004,NUTS,2010,CN_X_HK,5,0.0276
2005,NUTS,2010,CN_X_HK,5,0.0292
1998,NUTS,2010,CY,0,0.0398
1999,NUTS,2010,CY,0,0.043
2000,NUTS,2010,CY,0,0.0452
2001,NUTS,2010,CY,0,0.046
2002,NUTS,2010,CY,0,0.0643
2003,NUTS,2010,CY,0,0.0817
2004,NUTS,2010,CY,0,0.1071
2005,NUTS,2010,CY,0,0.1243
2006,NUTS,2010,CY,0,0.1277
2007,NUTS,2010,CY,0,0.1331
2008,NUTS,2010,CY,0,0.1238
2009,NUTS,2010,CY,0,0.139
2010,NUTS,2010,CY,0,0.144
2011,NUTS,2010,CY,0,0.1495
2012,NUTS,2010,CY,0,0.1406
2013,NUTS,2010,CY,0,0.1452
2014,NUTS,2010,CY,0,0.1409
2015,NUTS,2010,CY,0,0.1423
2016,NUTS,2010,CY,0,0.1429
2017,NUTS,2010,CY,0,0.1615
2018,NUTS,2010,CY,0,0.1722
2019,NUTS,2010,CY,0,0.1888
2020,NUTS,2010,CY,0,0.1913
1998,NUTS,2010,CZ,0,0.0791
1999,NUTS,2010,CZ,0,0.0928
2000,NUTS,2010,CZ,0,0.105
2001,NUTS,2010,CZ,0,0.1198
2002,NUTS,2010,CZ,0,0.1158
2003,NUTS,2010,CZ,0,0.1187
2004,NUTS,2010,CZ,0,0.1206
2005,NUTS,2010,CZ,0,0.2144
2006,NUTS,2010,CZ,0,0.2527
2007,NUTS,2010,CZ,0,0.2467
2008,NUTS,2010,CZ,0,0.2588
2009,NUTS,2010,CZ,0,0.2651
2010,NUTS,2010,CZ,0,0.2707
2011,NUTS,2010,CZ,0,0.2861
2012,NUTS,2010,CZ,0,0.3177
2013,NUTS,2010,CZ,0,0.3115
2014,NUTS,2010,CZ,0,0.3174
2015,NUTS,2010,CZ,0,0.3243
2016,NUTS,2010,CZ,0,0.2909
2017,NUTS,2010,CZ,0,0.3011
2018,NUTS,2010,CZ,0,0.346
2019,NUTS,2010,CZ,0,0.3736
2020,NUTS,2010,CZ,0,0.383
1999,NUTS,2010,CZ0,1,0.0919
2000,NUTS,2010,CZ0,1,0.104
2001,NUTS,2010,CZ0,1,0.1189
2002,NUTS,2010,CZ0,1,0.1149
2003,NUTS,2010,CZ0,1,0.1177
2004,NUTS,2010,CZ0,1,0.1197
2005,NUTS,2010,CZ0,1,0.212
2006,NUTS,2010,CZ0,1,0.2498
2007,NUTS,2010,CZ0,1,0.2435
2008,NUTS,2010,CZ0,1,0.2553
2009,NUTS,2010,CZ0,1,0.2613
2010,NUTS,2010,CZ0,1,0.2668
2011,NUTS,2010,CZ0,1,0.2819
2012,NUTS,2010,CZ0,1,0.3128
2013,NUTS,2010,CZ0,1,0.3061
2014,NUTS,2010,CZ0,1,0.3119
2015,NUTS,2010,CZ0,1,0.3177
2016,NUTS,2010,CZ0,1,0.2841
2017,NUTS,2010,CZ0,1,0.2939
2018,NUTS,2010,CZ0,1,0.3366
2019,NUTS,2010,CZ0,1,0.363
2020,NUTS,2010,CZ0,1,0.3724
2001,NUTS,2010,CZ01,2,0.4567
2002,NUTS,2010,CZ01,2,0.467
2003,NUTS,2010,CZ01,2,0.5064
2004,NUTS,2010,CZ01,2,0.4805
2005,NUTS,2010,CZ01,2,0.696
2006,NUTS,2010,CZ01,2,0.796
2007,NUTS,2010,CZ01,2,0.862
2008,NUTS,2010,CZ01,2,0.8449
2009,NUTS,2010,CZ01,2,0.8557
2010,NUTS,2010,CZ01,2,0.8516
2011,NUTS,2010,CZ01,2,0.8972
2012,NUTS,2010,CZ01,2,0.8381
2013,NUTS,2010,CZ01,2,0.9357
2014,NUTS,2010,CZ01,2,0.8926
2015,NUTS,2010,CZ01,2,0.895
2016,NUTS,2010,CZ01,2,0.6925
2017,NUTS,2010,CZ01,2,0.7754
2018,NUTS,2010,CZ01,2,0.9213
2019,NUTS,2010,CZ01,2,1.0082
2020,NUTS,2010,CZ01,2,1.0329
2001,NUTS,2010,CZ02,2,0.0
2002,NUTS,2010,CZ02,2,0.0
2003,NUTS,2010,CZ02,2,0.0
2004,NUTS,2010,CZ02,2,0.0001
2005,NUTS,2010,CZ02,2,0.0022
2006,NUTS,2010,CZ02,2,0.0074
2007,NUTS,2010,CZ02,2,0.0078
2008,NUTS,2010,CZ02,2,0.0101
2009,NUTS,2010,CZ02,2,0.0092
2010,NUTS,2010,CZ02,2,0.007
2011,NUTS,2010,CZ02,2,0.0191
2012,NUTS,2010,CZ02,2,0.0208
2013,NUTS,2010,CZ02,2,0.0243
2014,NUTS,2010,CZ02,2,0.0332
2015,NUTS,2010,CZ02,2,0.0377
2016,NUTS,2010,CZ02,2,0.0279
2017,NUTS,2010,CZ02,2,0.03
2018,NUTS,2010,CZ02,2,0.0311
2019,NUTS,2010,CZ02,2,0.0363
2020,NUTS,2010,CZ02,2,0.0351
2001,NUTS,2010,CZ03,2,0.1064
2002,NUTS,2010,CZ03,2,0.1197
2003,NUTS,2010,CZ03,2,0.093
2004,NUTS,2010,CZ03,2,0.0876
2005,NUTS,2010,CZ03,2,0.1774
2006,NUTS,2010,CZ03,2,0.248
2007,NUTS,2010,CZ03,2,0.2471
2008,NUTS,2010,CZ03,2,0.2253
2009,NUTS,2010,CZ03,2,0.2148
2010,NUTS,2010,CZ03,2,0.2001
2011,NUTS,2010,CZ03,2,0.2292
2012,NUTS,2010,CZ03,2,0.2319
2013,NUTS,2010,CZ03,2,0.2552
2014,NUTS,2010,CZ03,2,0.2981
2015,NUTS,2010,CZ03,2,0.2408
2016,NUTS,2010,CZ03,2,0.2226
2017,NUTS,2010,CZ03,2,0.2413
2018,NUTS,2010,CZ03,2,0.2577
2019,NUTS,2010,CZ03,2,0.2612
2020,NUTS,2010,CZ03,2,0.2819
2001,NUTS,2010,CZ04,2,0.0262
2002,NUTS,2010,CZ04,2,0.0218
2003,NUTS,2010,CZ04,2,0.017
2004,NUTS,2010,CZ04,2,0.0193
2005,NUTS,2010,CZ04,2,0.0242
2006,NUTS,2010,CZ04,2,0.0352
2007,NUTS,2010,CZ04,2,0.0341
2008,NUTS,2010,CZ04,2,0.0319
2009,NUTS,2010,CZ04,2,0.0327
2010,NUTS,2010,CZ04,2,0.0339
2011,NUTS,2010,CZ04,2,0.0314
2012,NUTS,2010,CZ04,2,0.0371
2013,NUTS,2010,CZ04,2,0.0434
2014,NUTS,2010,CZ04,2,0.0441
2015,NUTS,2010,CZ04,2,0.0479
2016,NUTS,2010,CZ04,2,0.0439
2017,NUTS,2010,CZ04,2,0.0523
2018,NUTS,2010,CZ04,2,0.0649
2019,NUTS,2010,CZ04,2,0.0535
2020,NUTS,2010,CZ04,2,0.0392
2001,NUTS,2010,CZ05,2,0.0484
2002,NUTS,2010,CZ05,2,0.0461
2003,NUTS,2010,CZ05,2,0.0497
2004,NUTS,2010,CZ05,2,0.0645
2005,NUTS,2010,CZ05,2,0.1235
2006,NUTS,2010,CZ05,2,0.1775
2007,NUTS,2010,CZ05,2,0.1436
2008,NUTS,2010,CZ05,2,0.1235
2009,NUTS,2010,CZ05,2,0.1073
2010,NUTS,2010,CZ05,2,0.1134
2011,NUTS,2010,CZ05,2,0.1755
2012,NUTS,2010,CZ05,2,0.1711
2013,NUTS,2010,CZ05,2,0.1683
2014,NUTS,2010,CZ05,2,0.1733
2015,NUTS,2010,CZ05,2,0.1757
2016,NUTS,2010,CZ05,2,0.1674
2017,NUTS,2010,CZ05,2,0.1754
2018,NUTS,2010,CZ05,2,0.2036
2019,NUTS,2010,CZ05,2,0.1939
2020,NUTS,2010,CZ05,2,0.1959
2001,NUTS,2010,CZ06,2,0.1521
2002,NUTS,2010,CZ06,2,0.1154
2003,NUTS,2010,CZ06,2,0.1224
2004,NUTS,2010,CZ06,2,0.1392
2005,NUTS,2010,CZ06,2,0.2727
2006,NUTS,2010,CZ06,2,0.2975
2007,NUTS,2010,CZ06,2,0.2796
2008,NUTS,2010,CZ06,2,0.3848
2009,NUTS,2010,CZ06,2,0.4074
2010,NUTS,2010,CZ06,2,0.4104
2011,NUTS,2010,CZ06,2,0.3647
2012,NUTS,2010,CZ06,2,0.4881
2013,NUTS,2010,CZ06,2,0.4574
2014,NUTS,2010,CZ06,2,0.4643
2015,NUTS,2010,CZ06,2,0.4839
2016,NUTS,2010,CZ06,2,0.4735
2017,NUTS,2010,CZ06,2,0.4761
2018,NUTS,2010,CZ06,2,0.5393
2019,NUTS,2010,CZ06,2,0.6024
2020,NUTS,2010,CZ06,2,0.6252
2001,NUTS,2010,CZ07,2,0.0665
2002,NUTS,2010,CZ07,2,0.0573
2003,NUTS,2010,CZ07,2,0.0601
2004,NUTS,2010,CZ07,2,0.0776
2005,NUTS,2010,CZ07,2,0.221
2006,NUTS,2010,CZ07,2,0.2248
2007,NUTS,2010,CZ07,2,0.1506
2008,NUTS,2010,CZ07,2,0.1692
2009,NUTS,2010,CZ07,2,0.1667
2010,NUTS,2010,CZ07,2,0.1973
2011,NUTS,2010,CZ07,2,0.2192
2012,NUTS,2010,CZ07,2,0.2526
2013,NUTS,2010,CZ07,2,0.2836
2014,NUTS,2010,CZ07,2,0.3028
2015,NUTS,2010,CZ07,2,0.359
2016,NUTS,2010,CZ07,2,0.3536
2017,NUTS,2010,CZ07,2,0.2831
2018,NUTS,2010,CZ07,2,0.2859
2019,NUTS,2010,CZ07,2,0.309
2020,NUTS,2010,CZ07,2,0.3089
2001,NUTS,2010,CZ08,2,0.07
2002,NUTS,2010,CZ08,2,0.0783
2003,NUTS,2010,CZ08,2,0.0748
2004,NUTS,2010,CZ08,2,0.0693
2005,NUTS,2010,CZ08,2,0.1376
2006,NUTS,2010,CZ08,2,0.1627
2007,NUTS,2010,CZ08,2,0.1734
2008,NUTS,2010,CZ08,2,0.1765
2009,NUTS,2010,CZ08,2,0.2031
2010,NUTS,2010,CZ08,2,0.2249
2011,NUTS,2010,CZ08,2,0.2524
2012,NUTS,2010,CZ08,2,0.373
2013,NUTS,2010,CZ08,2,0.1903
2014,NUTS,2010,CZ08,2,0.209
2015,NUTS,2010,CZ08,2,0.2169
2016,NUTS,2010,CZ08,2,0.2067
2017,NUTS,2010,CZ08,2,0.2131
2018,NUTS,2010,CZ08,2,0.2562
2019,NUTS,2010,CZ08,2,0.2822
2020,NUTS,2010,CZ08,2,0.3011
1993,NUTS,2010,DE,0,0.2827
1995,NUTS,2010,DE,0,0.2601
1996,NUTS,2010,DE,0,0.2634
1997,NUTS,2010,DE,0,0.2586
1998,NUTS,2010,DE,0,0.2557
1999,NUTS,2010,DE,0,0.2588
2000,NUTS,2010,DE,0,0.2578
2001,NUTS,2010,DE,0,0.259
2002,NUTS,2010,DE,0,0.2669
2003,NUTS,2010,DE,0,0.2551
2004,NUTS,2010,DE,0,0.2423
2005,NUTS,2010,DE,0,0.2339
2006,NUTS,2010,DE,0,0.2384
2007,NUTS,2010,DE,0,0.2536
2008,NUTS,2010,DE,0,0.2621
2009,NUTS,2010,DE,0,0.2874
2010,NUTS,2010,DE,0,0.3064
2011,NUTS,2010,DE,0,0.3126
2012,NUTS,2010,DE,0,0.3208
2013,NUTS,2010,DE,0,0.324
2014,NUTS,2010,DE,0,0.3287
2015,NUTS,2010,DE,0,0.3313
2016,NUTS,2010,DE,0,0.3432
2017,NUTS,2010,DE,0,0.3468
2018,NUTS,2010,DE,0,0.355
2019,NUTS,2010,DE,0,0.3525
2020,NUTS,2010,DE,0,0.3712
1999,NUTS,2010,DE1,1,0.2705
2000,NUTS,2010,DE1,1,0.2656
2003,NUTS,2010,DE1,1,0.2745
2004,NUTS,2010,DE1,1,0.264
2005,NUTS,2010,DE1,1,0.2523
2006,NUTS,2010,DE1,1,0.2325
2007,NUTS,2010,DE1,1,0.2626
2008,NUTS,2010,DE1,1,0.2756
2009,NUTS,2010,DE1,1,0.2994
2010,NUTS,2010,DE1,1,0.3284
2011,NUTS,2010,DE1,1,0.3283
2012,NUTS,2010,DE1,1,0.342
2013,NUTS,2010,DE1,1,0.3319
2014,NUTS,2010,DE1,1,0.331
2015,NUTS,2010,DE1,1,0.326
2016,NUTS,2010,DE1,1,0.3419
2017,NUTS,2010,DE1,1,0.3452
2018,NUTS,2010,DE1,1,0.3493
2019,NUTS,2010,DE1,1,0.3411
1999,NUTS,2010,DE11,2,0.162
2000,NUTS,2010,DE11,2,0.1613
2003,NUTS,2010,DE11,2,0.1617
2004,NUTS,2010,DE11,2,0.1572
2005,NUTS,2010,DE11,2,0.1542
2006,NUTS,2010,DE11,2,0.1358
2007,NUTS,2010,DE11,2,0.1422
2008,NUTS,2010,DE11,2,0.1412
2009,NUTS,2010,DE11,2,0.1523
2010,NUTS,2010,DE11,2,0.1694
2011,NUTS,2010,DE11,2,0.1659
2012,NUTS,2010,DE11,2,0.1828
2013,NUTS,2010,DE11,2,0.183
2014,NUTS,2010,DE11,2,0.177
2015,NUTS,2010,DE11,2,0.1755
2016,NUTS,2010,DE11,2,0.2023
2017,NUTS,2010,DE11,2,0.202
2018,NUTS,2010,DE11,2,0.1987
2019,NUTS,2010,DE11,2,0.1935
1999,NUTS,2010,DE12,2,0.3787
2000,NUTS,2010,DE12,2,0.3364
2003,NUTS,2010,DE12,2,0.3678
2004,NUTS,2010,DE12,2,0.3753
