year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_t_total_pc_act_hc_bes
1998,NUTS,2010,AT,0,0.6524
2002,NUTS,2010,AT,0,0.8871
2004,NUTS,2010,AT,0,1.0023
2006,NUTS,2010,AT,0,1.1351
2007,NUTS,2010,AT,0,1.1898
2009,NUTS,2010,AT,0,1.2215
2011,NUTS,2010,AT,0,1.3993
2013,NUTS,2010,AT,0,1.5265
2015,NUTS,2010,AT,0,1.6369
2017,NUTS,2010,AT,0,1.6021
2019,NUTS,2010,AT,0,1.7616
2002,NUTS,2010,AT1,1,0.9321
2004,NUTS,2010,AT1,1,1.0348
2006,NUTS,2010,AT1,1,1.1238
2007,NUTS,2010,AT1,1,1.1589
2009,NUTS,2010,AT1,1,1.1123
2011,NUTS,2010,AT1,1,1.2438
2013,NUTS,2010,AT1,1,1.2769
2015,NUTS,2010,AT1,1,1.3268
2017,NUTS,2010,AT1,1,1.2053
2019,NUTS,2010,AT1,1,1.3623
2002,NUTS,2010,AT11,2,0.2798
2004,NUTS,2010,AT11,2,0.3132
2006,NUTS,2010,AT11,2,0.2929
2007,NUTS,2010,AT11,2,0.3548
2009,NUTS,2010,AT11,2,0.4645
2011,NUTS,2010,AT11,2,0.6078
2013,NUTS,2010,AT11,2,0.6938
2015,NUTS,2010,AT11,2,0.7388
2017,NUTS,2010,AT11,2,0.7649
2019,NUTS,2010,AT11,2,0.7975
2002,NUTS,2010,AT12,2,0.4881
2004,NUTS,2010,AT12,2,0.5608
2006,NUTS,2010,AT12,2,0.6437
2007,NUTS,2010,AT12,2,0.6521
2009,NUTS,2010,AT12,2,0.727
2011,NUTS,2010,AT12,2,0.8252
2013,NUTS,2010,AT12,2,0.8893
2015,NUTS,2010,AT12,2,0.9585
2017,NUTS,2010,AT12,2,0.934
2019,NUTS,2010,AT12,2,1.0419
2002,NUTS,2010,AT13,2,1.4657
2004,NUTS,2010,AT13,2,1.6029
2006,NUTS,2010,AT13,2,1.7194
2007,NUTS,2010,AT13,2,1.7862
2009,NUTS,2010,AT13,2,1.5952
2011,NUTS,2010,AT13,2,1.7562
2013,NUTS,2010,AT13,2,1.7337
2015,NUTS,2010,AT13,2,1.7625
2017,NUTS,2010,AT13,2,1.5211
2019,NUTS,2010,AT13,2,1.7298
2002,NUTS,2010,AT2,1,0.9906
2004,NUTS,2010,AT2,1,1.1652
2006,NUTS,2010,AT2,1,1.3121
2007,NUTS,2010,AT2,1,1.3921
2009,NUTS,2010,AT2,1,1.455
2011,NUTS,2010,AT2,1,1.7578
2013,NUTS,2010,AT2,1,2.0347
2015,NUTS,2010,AT2,1,2.2231
2017,NUTS,2010,AT2,1,2.1806
2019,NUTS,2010,AT2,1,2.4201
2002,NUTS,2010,AT21,2,0.682
2004,NUTS,2010,AT21,2,0.8165
2006,NUTS,2010,AT21,2,0.9771
2007,NUTS,2010,AT21,2,1.0125
2009,NUTS,2010,AT21,2,1.0731
2011,NUTS,2010,AT21,2,1.1918
2013,NUTS,2010,AT21,2,1.2431
2015,NUTS,2010,AT21,2,1.3674
2017,NUTS,2010,AT21,2,1.3299
2019,NUTS,2010,AT21,2,1.5372
2002,NUTS,2010,AT22,2,1.1321
2004,NUTS,2010,AT22,2,1.3232
2006,NUTS,2010,AT22,2,1.4612
2007,NUTS,2010,AT22,2,1.5616
2009,NUTS,2010,AT22,2,1.6251
2011,NUTS,2010,AT22,2,2.0081
2013,NUTS,2010,AT22,2,2.3862
2015,NUTS,2010,AT22,2,2.6019
2017,NUTS,2010,AT22,2,2.5506
2019,NUTS,2010,AT22,2,2.8022
2002,NUTS,2010,AT3,1,0.7621
2004,NUTS,2010,AT3,1,0.8988
2006,NUTS,2010,AT3,1,1.0149
2007,NUTS,2010,AT3,1,1.0647
2009,NUTS,2010,AT3,1,1.1709
2011,NUTS,2010,AT3,1,1.3286
2013,NUTS,2010,AT3,1,1.4784
2015,NUTS,2010,AT3,1,1.614
2017,NUTS,2010,AT3,1,1.6995
2019,NUTS,2010,AT3,1,1.8094
2002,NUTS,2010,AT31,2,0.8919
2004,NUTS,2010,AT31,2,1.0709
2006,NUTS,2010,AT31,2,1.2778
2007,NUTS,2010,AT31,2,1.3487
2009,NUTS,2010,AT31,2,1.439
2011,NUTS,2010,AT31,2,1.6499
2013,NUTS,2010,AT31,2,1.8825
2015,NUTS,2010,AT31,2,2.0772
2017,NUTS,2010,AT31,2,2.1108
2019,NUTS,2010,AT31,2,2.2944
2002,NUTS,2010,AT32,2,0.4876
2004,NUTS,2010,AT32,2,0.569
2006,NUTS,2010,AT32,2,0.628
2007,NUTS,2010,AT32,2,0.6389
2009,NUTS,2010,AT32,2,0.7516
2011,NUTS,2010,AT32,2,0.884
2013,NUTS,2010,AT32,2,0.959
2015,NUTS,2010,AT32,2,1.0167
2017,NUTS,2010,AT32,2,1.1902
2019,NUTS,2010,AT32,2,1.3321
2002,NUTS,2010,AT33,2,0.6496
2004,NUTS,2010,AT33,2,0.7662
2006,NUTS,2010,AT33,2,0.7691
2007,NUTS,2010,AT33,2,0.8127
2009,NUTS,2010,AT33,2,0.8916
2011,NUTS,2010,AT33,2,1.0632
2013,NUTS,2010,AT33,2,1.1433
2015,NUTS,2010,AT33,2,1.1866
2017,NUTS,2010,AT33,2,1.2741
2019,NUTS,2010,AT33,2,1.3282
2002,NUTS,2010,AT34,2,0.8893
2004,NUTS,2010,AT34,2,0.9678
2006,NUTS,2010,AT34,2,1.0355
2007,NUTS,2010,AT34,2,1.0793
2009,NUTS,2010,AT34,2,1.2768
2011,NUTS,2010,AT34,2,1.2435
2013,NUTS,2010,AT34,2,1.3299
2015,NUTS,2010,AT34,2,1.513
2017,NUTS,2010,AT34,2,1.6823
2019,NUTS,2010,AT34,2,1.5819
1998,NUTS,2010,BE,0,0.806
1999,NUTS,2010,BE,0,0.8366
2000,NUTS,2010,BE,0,0.889
2001,NUTS,2010,BE,0,0.9497
2002,NUTS,2010,BE,0,0.8573
2003,NUTS,2010,BE,0,0.8576
2004,NUTS,2010,BE,0,0.829
2005,NUTS,2010,BE,0,0.8366
2006,NUTS,2010,BE,0,0.8473
2007,NUTS,2010,BE,0,0.8659
2008,NUTS,2010,BE,0,0.8681
2009,NUTS,2010,BE,0,0.8737
2010,NUTS,2010,BE,0,0.8527
2011,NUTS,2010,BE,0,0.9553
2013,NUTS,2010,BE,0,1.029
2015,NUTS,2010,BE,0,1.238
2017,NUTS,2010,BE,0,1.5026
2019,NUTS,2010,BE,0,1.7148
1999,NUTS,2010,BE1,1,0.9754
2000,NUTS,2010,BE1,1,1.0438
2001,NUTS,2010,BE1,1,1.1487
2002,NUTS,2010,BE1,1,0.8946
2003,NUTS,2010,BE1,1,0.8572
2004,NUTS,2010,BE1,1,0.8884
2005,NUTS,2010,BE1,1,0.8759
