year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pnp_pc_act_hc_rse_f
2018,NUTS,2010,ES4,1,0.001
2019,NUTS,2010,ES4,1,0.0009
2012,NUTS,2010,ES41,2,0.0013
2013,NUTS,2010,ES41,2,0.0008
2014,NUTS,2010,ES41,2,0.0008
2015,NUTS,2010,ES41,2,0.0014
2017,NUTS,2010,ES41,2,0.0014
2018,NUTS,2010,ES41,2,0.0014
2019,NUTS,2010,ES41,2,0.0012
2013,NUTS,2010,ES42,2,0.0005
2014,NUTS,2010,ES42,2,0.0005
2015,NUTS,2010,ES42,2,0.0009
2017,NUTS,2010,ES42,2,0.0002
2011,NUTS,2010,ES43,2,0.0019
2013,NUTS,2010,ES43,2,0.0022
2014,NUTS,2010,ES43,2,0.0018
2015,NUTS,2010,ES43,2,0.0023
2016,NUTS,2010,ES43,2,0.0027
2011,NUTS,2010,ES5,1,0.0026
2012,NUTS,2010,ES5,1,0.0026
2013,NUTS,2010,ES5,1,0.0024
2014,NUTS,2010,ES5,1,0.0032
2015,NUTS,2010,ES5,1,0.003
2016,NUTS,2010,ES5,1,0.0043
2017,NUTS,2010,ES5,1,0.0031
2018,NUTS,2010,ES5,1,0.0025
2011,NUTS,2010,ES51,2,0.0033
2012,NUTS,2010,ES51,2,0.0033
2013,NUTS,2010,ES51,2,0.0033
2014,NUTS,2010,ES51,2,0.0044
2015,NUTS,2010,ES51,2,0.0044
2016,NUTS,2010,ES51,2,0.0067
2017,NUTS,2010,ES51,2,0.0045
2018,NUTS,2010,ES51,2,0.0041
2019,NUTS,2010,ES51,2,0.0037
2011,NUTS,2010,ES52,2,0.0014
2012,NUTS,2010,ES52,2,0.0015
2013,NUTS,2010,ES52,2,0.0013
2014,NUTS,2010,ES52,2,0.0016
2015,NUTS,2010,ES52,2,0.0013
2016,NUTS,2010,ES52,2,0.0014
2017,NUTS,2010,ES52,2,0.0013
2018,NUTS,2010,ES52,2,0.0005
2019,NUTS,2010,ES52,2,0.0004
2011,NUTS,2010,ES53,2,0.0022
2012,NUTS,2010,ES53,2,0.0021
2013,NUTS,2010,ES53,2,0.0014
2014,NUTS,2010,ES53,2,0.0014
2015,NUTS,2010,ES53,2,0.001
2016,NUTS,2010,ES53,2,0.001
2017,NUTS,2010,ES53,2,0.0014
2018,NUTS,2010,ES53,2,0.0007
2011,NUTS,2010,ES6,1,0.0013
2012,NUTS,2010,ES6,1,0.0011
2013,NUTS,2010,ES6,1,0.0011
2014,NUTS,2010,ES6,1,0.0012
2015,NUTS,2010,ES6,1,0.0009
2016,NUTS,2010,ES6,1,0.0013
2017,NUTS,2010,ES6,1,0.0013
2018,NUTS,2010,ES6,1,0.0005
2019,NUTS,2010,ES6,1,0.0004
2011,NUTS,2010,ES61,2,0.0013
2012,NUTS,2010,ES61,2,0.0009
2013,NUTS,2010,ES61,2,0.0012
2014,NUTS,2010,ES61,2,0.0013
2015,NUTS,2010,ES61,2,0.0008
2016,NUTS,2010,ES61,2,0.0012
2017,NUTS,2010,ES61,2,0.0012
2018,NUTS,2010,ES61,2,0.0006
2019,NUTS,2010,ES61,2,0.0004
2012,NUTS,2010,ES62,2,0.0016
2013,NUTS,2010,ES62,2,0.0006
2014,NUTS,2010,ES62,2,0.0009
2015,NUTS,2010,ES62,2,0.0016
2016,NUTS,2010,ES62,2,0.002
2018,NUTS,2010,ES62,2,0.0003
2019,NUTS,2010,ES62,2,0.0003
2015,NUTS,2010,ES63,2,0.0
2015,NUTS,2010,ES64,2,0.0
2011,NUTS,2010,ES7,1,0.0004
2012,NUTS,2010,ES7,1,0.0006
2013,NUTS,2010,ES7,1,0.0006
2014,NUTS,2010,ES7,1,0.0008
2015,NUTS,2010,ES7,1,0.0008
2016,NUTS,2010,ES7,1,0.0008
2017,NUTS,2010,ES7,1,0.0008
2018,NUTS,2010,ES7,1,0.0004
2011,NUTS,2010,ES70,2,0.0004
2012,NUTS,2010,ES70,2,0.0006
2013,NUTS,2010,ES70,2,0.0006
2014,NUTS,2010,ES70,2,0.0008
2015,NUTS,2010,ES70,2,0.0008
2016,NUTS,2010,ES70,2,0.0008
2017,NUTS,2010,ES70,2,0.0008
2018,NUTS,2010,ES70,2,0.0004
2011,NUTS,2010,EU27_2020,7,0.0103
2012,NUTS,2010,EU27_2020,7,0.0103
2013,NUTS,2010,EU27_2020,7,0.0074
2014,NUTS,2010,EU27_2020,7,0.008
2015,NUTS,2010,EU27_2020,7,0.0082
2016,NUTS,2010,EU27_2020,7,0.0092
2017,NUTS,2010,EU27_2020,7,0.0091
2019,NUTS,2010,EU27_2020,7,0.0108
2011,NUTS,2010,FI,0,0.0305
2012,NUTS,2010,FI,0,0.0292
2013,NUTS,2010,FI,0,0.0291
2014,NUTS,2010,FI,0,0.0321
2015,NUTS,2010,FI,0,0.0321
2016,NUTS,2010,FI,0,0.032
2017,NUTS,2010,FI,0,0.0315
2018,NUTS,2010,FI,0,0.0343
2019,NUTS,2010,FI,0,0.0333
2011,NUTS,2010,FR,0,0.0109
2012,NUTS,2010,FR,0,0.0119
2013,NUTS,2010,FR,0,0.0124
2014,NUTS,2010,FR,0,0.0134
2016,NUTS,2010,FR,0,0.0168
2017,NUTS,2010,FR,0,0.0168
2011,NUTS,2010,HR,0,0.0006
2011,NUTS,2010,HR0,1,0.0006
2011,NUTS,2010,HR03,2,0.0019
2011,NUTS,2010,HR04,2,0.0
2012,NUTS,2010,HR04,2,0.0
2013,NUTS,2010,HR04,2,0.0
2014,NUTS,2010,HR04,2,0.0
2011,NUTS,2010,IS,0,0.0439
2016,NUTS,2010,IS,0,0.0
2017,NUTS,2010,IS,0,0.0
2018,NUTS,2010,IS,0,0.0
2011,NUTS,2010,IT,0,0.0269
2012,NUTS,2010,IT,0,0.0266
2013,NUTS,2010,IT,0,0.029
2014,NUTS,2010,IT,0,0.0302
2015,NUTS,2010,IT,0,0.0329
2016,NUTS,2010,IT,0,0.0325
2017,NUTS,2010,IT,0,0.0296
2018,NUTS,2010,IT,0,0.03
2019,NUTS,2010,IT,0,0.0361
2011,NUTS,2010,ITC,1,0.0459
2012,NUTS,2010,ITC,1,0.0463
2013,NUTS,2010,ITC,1,0.0515
2014,NUTS,2010,ITC,1,0.0462
2015,NUTS,2010,ITC,1,0.0501
2016,NUTS,2010,ITC,1,0.0527
2017,NUTS,2010,ITC,1,0.0396
2018,NUTS,2010,ITC,1,0.0425
2019,NUTS,2010,ITC,1,0.046
2011,NUTS,2010,ITC1,2,0.0276
2012,NUTS,2010,ITC1,2,0.0378
2013,NUTS,2010,ITC1,2,0.0449
2014,NUTS,2010,ITC1,2,0.0395
2015,NUTS,2010,ITC1,2,0.0405
2016,NUTS,2010,ITC1,2,0.0372
2017,NUTS,2010,ITC1,2,0.0336
2018,NUTS,2010,ITC1,2,0.0365
2019,NUTS,2010,ITC1,2,0.0398
2011,NUTS,2010,ITC2,2,0.0301
2012,NUTS,2010,ITC2,2,0.0403
2013,NUTS,2010,ITC2,2,0.0586
2014,NUTS,2010,ITC2,2,0.0327
2015,NUTS,2010,ITC2,2,0.04
2016,NUTS,2010,ITC2,2,0.029
2017,NUTS,2010,ITC2,2,0.029
2018,NUTS,2010,ITC2,2,0.0432
2019,NUTS,2010,ITC2,2,0.0573
2011,NUTS,2010,ITC3,2,0.0227
2012,NUTS,2010,ITC3,2,0.0286
2013,NUTS,2010,ITC3,2,0.0284
2014,NUTS,2010,ITC3,2,0.0218
2015,NUTS,2010,ITC3,2,0.029
2016,NUTS,2010,ITC3,2,0.0237
2017,NUTS,2010,ITC3,2,0.0205
2018,NUTS,2010,ITC3,2,0.0216
2019,NUTS,2010,ITC3,2,0.0501
2011,NUTS,2010,ITC4,2,0.0584
2012,NUTS,2010,ITC4,2,0.0531
2013,NUTS,2010,ITC4,2,0.0578
2014,NUTS,2010,ITC4,2,0.053
2015,NUTS,2010,ITC4,2,0.0576
2016,NUTS,2010,ITC4,2,0.0642
2017,NUTS,2010,ITC4,2,0.0451
2018,NUTS,2010,ITC4,2,0.0481
2019,NUTS,2010,ITC4,2,0.0479
2011,NUTS,2010,ITF,1,0.0118
2012,NUTS,2010,ITF,1,0.0088
2013,NUTS,2010,ITF,1,0.0092
2014,NUTS,2010,ITF,1,0.0129
2017,NUTS,2010,ITF,1,0.0105
2018,NUTS,2010,ITF,1,0.0116
2019,NUTS,2010,ITF,1,0.0116
2011,NUTS,2010,ITF1,2,0.0022
2012,NUTS,2010,ITF1,2,0.0026
2013,NUTS,2010,ITF1,2,0.0059
2014,NUTS,2010,ITF1,2,0.0022
2015,NUTS,2010,ITF1,2,0.0027
2016,NUTS,2010,ITF1,2,0.0061
2017,NUTS,2010,ITF1,2,0.0078
2018,NUTS,2010,ITF1,2,0.0061
2019,NUTS,2010,ITF1,2,0.0086
2017,NUTS,2010,ITF2,2,0.004
2018,NUTS,2010,ITF2,2,0.0082
2019,NUTS,2010,ITF2,2,0.002
2011,NUTS,2010,ITF3,2,0.0142
2012,NUTS,2010,ITF3,2,0.0114
2013,NUTS,2010,ITF3,2,0.0128
2014,NUTS,2010,ITF3,2,0.0193
2015,NUTS,2010,ITF3,2,0.0218
2016,NUTS,2010,ITF3,2,0.0157
2017,NUTS,2010,ITF3,2,0.0132
2018,NUTS,2010,ITF3,2,0.0127
2019,NUTS,2010,ITF3,2,0.0121
2011,NUTS,2010,ITF4,2,0.0192
2012,NUTS,2010,ITF4,2,0.0132
2013,NUTS,2010,ITF4,2,0.0113
2014,NUTS,2010,ITF4,2,0.0176
2015,NUTS,2010,ITF4,2,0.0164
2016,NUTS,2010,ITF4,2,0.0182
2017,NUTS,2010,ITF4,2,0.0143
2018,NUTS,2010,ITF4,2,0.0193
2019,NUTS,2010,ITF4,2,0.0197
2012,NUTS,2010,ITF5,2,0.005
2013,NUTS,2010,ITF5,2,0.0049
2015,NUTS,2010,ITF5,2,0.0024
2017,NUTS,2010,ITF5,2,0.0036
