year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_gov_total_pc_act_hc_f
2011,NUTS,2010,AT,0,0.1543
2013,NUTS,2010,AT,0,0.1522
2015,NUTS,2010,AT,0,0.1611
2017,NUTS,2010,AT,0,0.2241
2019,NUTS,2010,AT,0,0.2393
2011,NUTS,2010,AT1,1,0.2552
2013,NUTS,2010,AT1,1,0.2514
2019,NUTS,2010,AT1,1,0.4211
2011,NUTS,2010,AT11,2,0.0533
2013,NUTS,2010,AT11,2,0.0508
2011,NUTS,2010,AT12,2,0.0399
2013,NUTS,2010,AT12,2,0.0471
2015,NUTS,2010,AT12,2,0.0642
2017,NUTS,2010,AT12,2,0.0908
2011,NUTS,2010,AT13,2,0.4907
2013,NUTS,2010,AT13,2,0.4675
2015,NUTS,2010,AT13,2,0.4817
2017,NUTS,2010,AT13,2,0.6981
2019,NUTS,2010,AT13,2,0.7734
2015,NUTS,2010,AT2,1,0.0727
2019,NUTS,2010,AT2,1,0.1239
2011,NUTS,2010,AT21,2,0.0483
2019,NUTS,2010,AT3,1,0.0827
2011,NUTS,2010,AT31,2,0.0376
2013,NUTS,2010,AT31,2,0.0339
2015,NUTS,2010,AT31,2,0.047
2017,NUTS,2010,AT31,2,0.0492
2019,NUTS,2010,AT31,2,0.0518
2015,NUTS,2010,AT32,2,0.1455
2017,NUTS,2010,AT32,2,0.1372
2019,NUTS,2010,AT32,2,0.1311
2013,NUTS,2010,AT33,2,0.062
2019,NUTS,2010,AT33,2,0.067
2011,NUTS,2010,AT34,2,0.1212
2013,NUTS,2010,AT34,2,0.1291
2015,NUTS,2010,AT34,2,0.1544
2017,NUTS,2010,AT34,2,0.1639
2019,NUTS,2010,AT34,2,0.1593
2011,NUTS,2010,BE,0,0.0894
2012,NUTS,2010,BE,0,0.1169
2013,NUTS,2010,BE,0,0.1177
2014,NUTS,2010,BE,0,0.1226
2015,NUTS,2010,BE,0,0.1275
2016,NUTS,2010,BE,0,0.1276
2017,NUTS,2010,BE,0,0.1322
2018,NUTS,2010,BE,0,0.1436
2019,NUTS,2010,BE,0,0.1455
2011,NUTS,2010,BE1,1,0.2294
2012,NUTS,2010,BE1,1,0.4079
2013,NUTS,2010,BE1,1,0.404
2014,NUTS,2010,BE1,1,0.3576
2015,NUTS,2010,BE1,1,0.3897
2016,NUTS,2010,BE1,1,0.3748
2017,NUTS,2010,BE1,1,0.3796
2018,NUTS,2010,BE1,1,0.421
2019,NUTS,2010,BE1,1,0.4236
2011,NUTS,2010,BE10,2,0.2294
2012,NUTS,2010,BE10,2,0.4079
2013,NUTS,2010,BE10,2,0.404
2014,NUTS,2010,BE10,2,0.3576
2015,NUTS,2010,BE10,2,0.3897
2016,NUTS,2010,BE10,2,0.3748
2017,NUTS,2010,BE10,2,0.3796
2018,NUTS,2010,BE10,2,0.421
2019,NUTS,2010,BE10,2,0.4236
2011,NUTS,2010,BE2,1,0.1007
2012,NUTS,2010,BE2,1,0.1148
2013,NUTS,2010,BE2,1,0.1174
2014,NUTS,2010,BE2,1,0.1266
2015,NUTS,2010,BE2,1,0.1278
2016,NUTS,2010,BE2,1,0.1352
2017,NUTS,2010,BE2,1,0.1419
2018,NUTS,2010,BE2,1,0.1515
2019,NUTS,2010,BE2,1,0.1534
2011,NUTS,2010,BE3,1,0.0195
2012,NUTS,2010,BE3,1,0.0215
2013,NUTS,2010,BE3,1,0.0208
2014,NUTS,2010,BE3,1,0.0341
2015,NUTS,2010,BE3,1,0.036
2016,NUTS,2010,BE3,1,0.0247
2017,NUTS,2010,BE3,1,0.0246
2018,NUTS,2010,BE3,1,0.0271
2019,NUTS,2010,BE3,1,0.0285
2011,NUTS,2010,BG,0,0.3613
2012,NUTS,2010,BG,0,0.3628
2013,NUTS,2010,BG,0,0.3454
2014,NUTS,2010,BG,0,0.3468
2015,NUTS,2010,BG,0,0.3243
2016,NUTS,2010,BG,0,0.3377
2017,NUTS,2010,BG,0,0.3215
2018,NUTS,2010,BG,0,0.328
2019,NUTS,2010,BG,0,0.327
2011,NUTS,2010,BG3,1,0.1268
2012,NUTS,2010,BG3,1,0.1364
2013,NUTS,2010,BG3,1,0.1257
2014,NUTS,2010,BG3,1,0.1336
2015,NUTS,2010,BG3,1,0.117
2016,NUTS,2010,BG3,1,0.1188
2017,NUTS,2010,BG3,1,0.1116
2018,NUTS,2010,BG3,1,0.1215
2019,NUTS,2010,BG3,1,0.1242
2011,NUTS,2010,BG31,2,0.1723
2012,NUTS,2010,BG31,2,0.2134
2013,NUTS,2010,BG31,2,0.1856
2014,NUTS,2010,BG31,2,0.1788
2015,NUTS,2010,BG31,2,0.1698
2016,NUTS,2010,BG31,2,0.1801
2018,NUTS,2010,BG31,2,0.1839
2019,NUTS,2010,BG31,2,0.1898
2011,NUTS,2010,BG32,2,0.0453
2012,NUTS,2010,BG32,2,0.0502
2013,NUTS,2010,BG32,2,0.0486
2014,NUTS,2010,BG32,2,0.0489
2015,NUTS,2010,BG32,2,0.0335
2016,NUTS,2010,BG32,2,0.0313
2017,NUTS,2010,BG32,2,0.0292
2018,NUTS,2010,BG32,2,0.0296
2019,NUTS,2010,BG32,2,0.0305
2011,NUTS,2010,BG33,2,0.1946
2012,NUTS,2010,BG33,2,0.203
2013,NUTS,2010,BG33,2,0.1803
2014,NUTS,2010,BG33,2,0.2041
2015,NUTS,2010,BG33,2,0.1858
2016,NUTS,2010,BG33,2,0.1897
2017,NUTS,2010,BG33,2,0.1753
2018,NUTS,2010,BG33,2,0.1975
2019,NUTS,2010,BG33,2,0.1999
2011,NUTS,2010,BG34,2,0.0969
2012,NUTS,2010,BG34,2,0.0896
2013,NUTS,2010,BG34,2,0.0925
2014,NUTS,2010,BG34,2,0.0993
2015,NUTS,2010,BG34,2,0.08
2016,NUTS,2010,BG34,2,0.0808
2018,NUTS,2010,BG34,2,0.0814
2019,NUTS,2010,BG34,2,0.0883
2011,NUTS,2010,BG4,1,0.5659
2012,NUTS,2010,BG4,1,0.5582
2013,NUTS,2010,BG4,1,0.5301
2014,NUTS,2010,BG4,1,0.5214
2015,NUTS,2010,BG4,1,0.4976
2016,NUTS,2010,BG4,1,0.5198
2017,NUTS,2010,BG4,1,0.4912
2018,NUTS,2010,BG4,1,0.4904
2019,NUTS,2010,BG4,1,0.4849
2011,NUTS,2010,BG41,2,0.8349
2012,NUTS,2010,BG41,2,0.8353
2013,NUTS,2010,BG41,2,0.7844
2014,NUTS,2010,BG41,2,0.7677
2015,NUTS,2010,BG41,2,0.7298
2016,NUTS,2010,BG41,2,0.7588
2017,NUTS,2010,BG41,2,0.7233
2018,NUTS,2010,BG41,2,0.7114
2019,NUTS,2010,BG41,2,0.7023
2011,NUTS,2010,BG42,2,0.1076
2012,NUTS,2010,BG42,2,0.1021
2013,NUTS,2010,BG42,2,0.1194
2014,NUTS,2010,BG42,2,0.1189
2015,NUTS,2010,BG42,2,0.1005
2016,NUTS,2010,BG42,2,0.1021
2017,NUTS,2010,BG42,2,0.0989
2018,NUTS,2010,BG42,2,0.1052
2019,NUTS,2010,BG42,2,0.1111
2012,NUTS,2010,CH,0,0.0282
2014,NUTS,2010,CH,0,0.0336
2015,NUTS,2010,CH,0,0.0345
2017,NUTS,2010,CH,0,0.033
2019,NUTS,2010,CH,0,0.0382
2011,NUTS,2010,CY,0,0.1475
2012,NUTS,2010,CY,0,0.1373
2013,NUTS,2010,CY,0,0.1319
2014,NUTS,2010,CY,0,0.1338
2015,NUTS,2010,CY,0,0.1361
2016,NUTS,2010,CY,0,0.1477
2017,NUTS,2010,CY,0,0.15
2018,NUTS,2010,CY,0,0.1411
2019,NUTS,2010,CY,0,0.1426
2011,NUTS,2010,CZ,0,0.3285
2012,NUTS,2010,CZ,0,0.329
2013,NUTS,2010,CZ,0,0.3342
2014,NUTS,2010,CZ,0,0.3343
2015,NUTS,2010,CZ,0,0.3488
2016,NUTS,2010,CZ,0,0.3441
2017,NUTS,2010,CZ,0,0.3783
2018,NUTS,2010,CZ,0,0.3905
2019,NUTS,2010,CZ,0,0.3993
2020,NUTS,2010,CZ,0,0.4046
2011,NUTS,2010,CZ0,1,0.3238
2012,NUTS,2010,CZ0,1,0.3241
2013,NUTS,2010,CZ0,1,0.3285
2014,NUTS,2010,CZ0,1,0.3289
2015,NUTS,2010,CZ0,1,0.3419
2016,NUTS,2010,CZ0,1,0.3366
2017,NUTS,2010,CZ0,1,0.3695
2018,NUTS,2010,CZ0,1,0.3803
2019,NUTS,2010,CZ0,1,0.3886
2020,NUTS,2010,CZ0,1,0.3941
2011,NUTS,2010,CZ01,2,1.7526
2012,NUTS,2010,CZ01,2,1.7922
2013,NUTS,2010,CZ01,2,1.8327
2014,NUTS,2010,CZ01,2,1.8319
2015,NUTS,2010,CZ01,2,1.7829
2016,NUTS,2010,CZ01,2,1.6913
2017,NUTS,2010,CZ01,2,1.8288
2018,NUTS,2010,CZ01,2,1.8355
2019,NUTS,2010,CZ01,2,1.8485
2020,NUTS,2010,CZ01,2,1.8298
2011,NUTS,2010,CZ02,2,0.2168
2012,NUTS,2010,CZ02,2,0.1939
2013,NUTS,2010,CZ02,2,0.1954
2014,NUTS,2010,CZ02,2,0.2117
2015,NUTS,2010,CZ02,2,0.307
2016,NUTS,2010,CZ02,2,0.3461
2017,NUTS,2010,CZ02,2,0.3632
2018,NUTS,2010,CZ02,2,0.3675
2019,NUTS,2010,CZ02,2,0.3727
2020,NUTS,2010,CZ02,2,0.3798
2011,NUTS,2010,CZ03,2,0.161
2012,NUTS,2010,CZ03,2,0.1373
2013,NUTS,2010,CZ03,2,0.1565
2014,NUTS,2010,CZ03,2,0.1688
2015,NUTS,2010,CZ03,2,0.1583
2016,NUTS,2010,CZ03,2,0.168
2017,NUTS,2010,CZ03,2,0.1822
2018,NUTS,2010,CZ03,2,0.1902
2019,NUTS,2010,CZ03,2,0.2093
2020,NUTS,2010,CZ03,2,0.2044
2011,NUTS,2010,CZ04,2,0.0306
2012,NUTS,2010,CZ04,2,0.0263
2013,NUTS,2010,CZ04,2,0.0237
2014,NUTS,2010,CZ04,2,0.0218
2015,NUTS,2010,CZ04,2,0.025
2016,NUTS,2010,CZ04,2,0.0236
2017,NUTS,2010,CZ04,2,0.029
2018,NUTS,2010,CZ04,2,0.0335
2019,NUTS,2010,CZ04,2,0.0359
2020,NUTS,2010,CZ04,2,0.0244
2011,NUTS,2010,CZ05,2,0.0266
2012,NUTS,2010,CZ05,2,0.023
2013,NUTS,2010,CZ05,2,0.0267
2014,NUTS,2010,CZ05,2,0.0264
2015,NUTS,2010,CZ05,2,0.0315
2016,NUTS,2010,CZ05,2,0.0315
2017,NUTS,2010,CZ05,2,0.0325
2018,NUTS,2010,CZ05,2,0.0314
2019,NUTS,2010,CZ05,2,0.0322
2020,NUTS,2010,CZ05,2,0.032
2011,NUTS,2010,CZ06,2,0.2661
2012,NUTS,2010,CZ06,2,0.2702
2013,NUTS,2010,CZ06,2,0.2696
2014,NUTS,2010,CZ06,2,0.2339
2015,NUTS,2010,CZ06,2,0.2727
2016,NUTS,2010,CZ06,2,0.2726
2017,NUTS,2010,CZ06,2,0.29
2018,NUTS,2010,CZ06,2,0.3052
2019,NUTS,2010,CZ06,2,0.3151
2020,NUTS,2010,CZ06,2,0.3469
2011,NUTS,2010,CZ07,2,0.0267
2012,NUTS,2010,CZ07,2,0.0196
2013,NUTS,2010,CZ07,2,0.0144
2014,NUTS,2010,CZ07,2,0.0232
2015,NUTS,2010,CZ07,2,0.0256
2016,NUTS,2010,CZ07,2,0.0247
2017,NUTS,2010,CZ07,2,0.0358
2018,NUTS,2010,CZ07,2,0.0385
2019,NUTS,2010,CZ07,2,0.0364
2020,NUTS,2010,CZ07,2,0.0385
2011,NUTS,2010,CZ08,2,0.0228
2012,NUTS,2010,CZ08,2,0.0262
2013,NUTS,2010,CZ08,2,0.0243
2014,NUTS,2010,CZ08,2,0.0276
2015,NUTS,2010,CZ08,2,0.0306
2016,NUTS,2010,CZ08,2,0.0243
2017,NUTS,2010,CZ08,2,0.0307
2018,NUTS,2010,CZ08,2,0.0319
2019,NUTS,2010,CZ08,2,0.0325
2020,NUTS,2010,CZ08,2,0.0342
2011,NUTS,2010,DE,0,0.2549
2012,NUTS,2010,DE,0,0.2621
2013,NUTS,2010,DE,0,0.2672
2014,NUTS,2010,DE,0,0.2761
2015,NUTS,2010,DE,0,0.279
2016,NUTS,2010,DE,0,0.2812
2017,NUTS,2010,DE,0,0.2906
2018,NUTS,2010,DE,0,0.3031
2019,NUTS,2010,DE,0,0.3099
2015,NUTS,2010,DE1,1,0.2935
2016,NUTS,2010,DE1,1,0.2923
2017,NUTS,2010,DE1,1,0.3001
2018,NUTS,2010,DE1,1,0.3092
2019,NUTS,2010,DE1,1,0.3169
2015,NUTS,2010,DE11,2,0.1456
2016,NUTS,2010,DE11,2,0.1468
2017,NUTS,2010,DE11,2,0.1476
2018,NUTS,2010,DE11,2,0.1504
2019,NUTS,2010,DE11,2,0.1562
2015,NUTS,2010,DE12,2,0.7218
2016,NUTS,2010,DE12,2,0.7268
2017,NUTS,2010,DE12,2,0.7448
2018,NUTS,2010,DE12,2,0.755
2019,NUTS,2010,DE12,2,0.7558
2015,NUTS,2010,DE13,2,0.1744
2016,NUTS,2010,DE13,2,0.1758
2017,NUTS,2010,DE13,2,0.1831
2018,NUTS,2010,DE13,2,0.1962
2019,NUTS,2010,DE13,2,0.2089
2015,NUTS,2010,DE14,2,0.1289
2016,NUTS,2010,DE14,2,0.1272
2017,NUTS,2010,DE14,2,0.1352
2018,NUTS,2010,DE14,2,0.1454
2019,NUTS,2010,DE14,2,0.1467
2015,NUTS,2010,DE2,1,0.2314
2016,NUTS,2010,DE2,1,0.2292
2017,NUTS,2010,DE2,1,0.2341
2018,NUTS,2010,DE2,1,0.2425
2019,NUTS,2010,DE2,1,0.2489
2015,NUTS,2010,DE21,2,0.5145
2016,NUTS,2010,DE21,2,0.5085
2017,NUTS,2010,DE21,2,0.5126
2018,NUTS,2010,DE21,2,0.5289
2019,NUTS,2010,DE21,2,0.5352
2015,NUTS,2010,DE22,2,0.0131
2016,NUTS,2010,DE22,2,0.0126
2017,NUTS,2010,DE22,2,0.0118
2018,NUTS,2010,DE22,2,0.0125
2019,NUTS,2010,DE22,2,0.0138
2015,NUTS,2010,DE23,2,0.0419
2016,NUTS,2010,DE23,2,0.0442
2017,NUTS,2010,DE23,2,0.0434
2018,NUTS,2010,DE23,2,0.0468
2019,NUTS,2010,DE23,2,0.0452
2015,NUTS,2010,DE24,2,0.0882
2016,NUTS,2010,DE24,2,0.0664
2017,NUTS,2010,DE24,2,0.0883
2018,NUTS,2010,DE24,2,0.0903
2019,NUTS,2010,DE24,2,0.0796
2015,NUTS,2010,DE25,2,0.1376
2016,NUTS,2010,DE25,2,0.1392
2017,NUTS,2010,DE25,2,0.15
2018,NUTS,2010,DE25,2,0.1619
2019,NUTS,2010,DE25,2,0.1813
2015,NUTS,2010,DE26,2,0.0742
2016,NUTS,2010,DE26,2,0.0766
2017,NUTS,2010,DE26,2,0.076
2018,NUTS,2010,DE26,2,0.0731
2019,NUTS,2010,DE26,2,0.081
2015,NUTS,2010,DE27,2,0.0362
2016,NUTS,2010,DE27,2,0.0384
2017,NUTS,2010,DE27,2,0.0403
2018,NUTS,2010,DE27,2,0.0462
2019,NUTS,2010,DE27,2,0.0517
2015,NUTS,2010,DE3,1,0.7312
2016,NUTS,2010,DE3,1,0.7304
2017,NUTS,2010,DE3,1,0.7657
2018,NUTS,2010,DE3,1,0.8004
2019,NUTS,2010,DE3,1,0.8105
2015,NUTS,2010,DE30,2,0.7312
2016,NUTS,2010,DE30,2,0.7304
2017,NUTS,2010,DE30,2,0.7657
2018,NUTS,2010,DE30,2,0.8004
2019,NUTS,2010,DE30,2,0.8105
2015,NUTS,2010,DE4,1,0.3475
2016,NUTS,2010,DE4,1,0.3613
2017,NUTS,2010,DE4,1,0.3577
2018,NUTS,2010,DE4,1,0.3617
2019,NUTS,2010,DE4,1,0.3911
2015,NUTS,2010,DE40,2,0.3475
2016,NUTS,2010,DE40,2,0.3613
2017,NUTS,2010,DE40,2,0.3577
2018,NUTS,2010,DE40,2,0.3617
2019,NUTS,2010,DE40,2,0.3911
2015,NUTS,2010,DE5,1,0.8274
2016,NUTS,2010,DE5,1,0.8324
2017,NUTS,2010,DE5,1,0.8212
2018,NUTS,2010,DE5,1,0.8455
2019,NUTS,2010,DE5,1,0.8929
2015,NUTS,2010,DE50,2,0.8274
2016,NUTS,2010,DE50,2,0.8324
2017,NUTS,2010,DE50,2,0.8212
2018,NUTS,2010,DE50,2,0.8455
2019,NUTS,2010,DE50,2,0.8929
2015,NUTS,2010,DE6,1,0.3346
2016,NUTS,2010,DE6,1,0.3363
2017,NUTS,2010,DE6,1,0.3333
2018,NUTS,2010,DE6,1,0.3354
2019,NUTS,2010,DE6,1,0.3377
2015,NUTS,2010,DE60,2,0.3346
2016,NUTS,2010,DE60,2,0.3363
2017,NUTS,2010,DE60,2,0.3333
2018,NUTS,2010,DE60,2,0.3354
2019,NUTS,2010,DE60,2,0.3377
2015,NUTS,2010,DE7,1,0.1585
2016,NUTS,2010,DE7,1,0.1717
2017,NUTS,2010,DE7,1,0.1878
2018,NUTS,2010,DE7,1,0.1887
2019,NUTS,2010,DE7,1,0.1919
2015,NUTS,2010,DE71,2,0.2151
2016,NUTS,2010,DE71,2,0.2347
2017,NUTS,2010,DE71,2,0.2539
2018,NUTS,2010,DE71,2,0.2617
2019,NUTS,2010,DE71,2,0.2673
2015,NUTS,2010,DE72,2,0.0655
2016,NUTS,2010,DE72,2,0.0689
2017,NUTS,2010,DE72,2,0.0808
2018,NUTS,2010,DE72,2,0.0733
