year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_gov_total_hc_t
2011,NUTS,2010,AT,0,6185.0
2013,NUTS,2010,AT,0,6232.0
2015,NUTS,2010,AT,0,6632.0
2017,NUTS,2010,AT,0,10314.0
2019,NUTS,2010,AT,0,10952.0
2011,NUTS,2010,AT1,1,4489.0
2013,NUTS,2010,AT1,1,4492.0
2019,NUTS,2010,AT1,1,8298.0
2011,NUTS,2010,AT11,2,64.0
2013,NUTS,2010,AT11,2,68.0
2011,NUTS,2010,AT12,2,428.0
2013,NUTS,2010,AT12,2,449.0
2015,NUTS,2010,AT12,2,654.0
2017,NUTS,2010,AT12,2,901.0
2011,NUTS,2010,AT13,2,3997.0
2013,NUTS,2010,AT13,2,3975.0
2015,NUTS,2010,AT13,2,4105.0
2017,NUTS,2010,AT13,2,6711.0
2019,NUTS,2010,AT13,2,7341.0
2015,NUTS,2010,AT2,1,605.0
2019,NUTS,2010,AT2,1,1258.0
2011,NUTS,2010,AT21,2,102.0
2019,NUTS,2010,AT3,1,1396.0
2011,NUTS,2010,AT31,2,284.0
2013,NUTS,2010,AT31,2,273.0
2015,NUTS,2010,AT31,2,349.0
2017,NUTS,2010,AT31,2,507.0
2019,NUTS,2010,AT31,2,508.0
2015,NUTS,2010,AT32,2,391.0
2017,NUTS,2010,AT32,2,366.0
2019,NUTS,2010,AT32,2,364.0
2013,NUTS,2010,AT33,2,217.0
2019,NUTS,2010,AT33,2,298.0
2011,NUTS,2010,AT34,2,171.0
2013,NUTS,2010,AT34,2,185.0
2015,NUTS,2010,AT34,2,220.0
2017,NUTS,2010,AT34,2,234.0
2019,NUTS,2010,AT34,2,226.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,166.0
2013,NUTS,2010,BA,0,193.0
2014,NUTS,2010,BA,0,204.0
2019,NUTS,2010,BA,0,104.0
2011,NUTS,2010,BE,0,5403.0
2012,NUTS,2010,BE,0,6448.0
2013,NUTS,2010,BE,0,6584.0
2014,NUTS,2010,BE,0,7051.0
2015,NUTS,2010,BE,0,7248.0
2016,NUTS,2010,BE,0,7356.0
2017,NUTS,2010,BE,0,7604.0
2018,NUTS,2010,BE,0,8284.0
2019,NUTS,2010,BE,0,8548.0
2011,NUTS,2010,BE1,1,1280.0
2012,NUTS,2010,BE1,1,1975.0
2013,NUTS,2010,BE1,1,1966.0
2014,NUTS,2010,BE1,1,1725.0
2015,NUTS,2010,BE1,1,1882.0
2016,NUTS,2010,BE1,1,1929.0
2017,NUTS,2010,BE1,1,1957.0
2018,NUTS,2010,BE1,1,2125.0
2019,NUTS,2010,BE1,1,2117.0
2011,NUTS,2010,BE10,2,1280.0
2012,NUTS,2010,BE10,2,1975.0
2013,NUTS,2010,BE10,2,1966.0
2014,NUTS,2010,BE10,2,1725.0
2015,NUTS,2010,BE10,2,1882.0
2016,NUTS,2010,BE10,2,1929.0
2017,NUTS,2010,BE10,2,1957.0
2018,NUTS,2010,BE10,2,2125.0
2019,NUTS,2010,BE10,2,2117.0
2011,NUTS,2010,BE2,1,3743.0
2012,NUTS,2010,BE2,1,4103.0
2013,NUTS,2010,BE2,1,4251.0
2014,NUTS,2010,BE2,1,4721.0
2015,NUTS,2010,BE2,1,4723.0
2016,NUTS,2010,BE2,1,4981.0
2017,NUTS,2010,BE2,1,5203.0
2018,NUTS,2010,BE2,1,5682.0
2019,NUTS,2010,BE2,1,5935.0
2011,NUTS,2010,BE3,1,380.0
2012,NUTS,2010,BE3,1,370.0
2013,NUTS,2010,BE3,1,367.0
2014,NUTS,2010,BE3,1,605.0
2015,NUTS,2010,BE3,1,643.0
2016,NUTS,2010,BE3,1,446.0
2017,NUTS,2010,BE3,1,444.0
2018,NUTS,2010,BE3,1,477.0
2019,NUTS,2010,BE3,1,496.0
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2018,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2014,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2018,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
2011,NUTS,2010,BG,0,9437.0
2012,NUTS,2010,BG,0,9582.0
2013,NUTS,2010,BG,0,9227.0
2014,NUTS,2010,BG,0,9125.0
2015,NUTS,2010,BG,0,8713.0
2016,NUTS,2010,BG,0,8644.0
2017,NUTS,2010,BG,0,8577.0
2018,NUTS,2010,BG,0,8719.0
2019,NUTS,2010,BG,0,8882.0
2011,NUTS,2010,BG3,1,1443.0
2012,NUTS,2010,BG3,1,1619.0
2013,NUTS,2010,BG3,1,1549.0
2014,NUTS,2010,BG3,1,1653.0
2015,NUTS,2010,BG3,1,1435.0
2016,NUTS,2010,BG3,1,1464.0
2017,NUTS,2010,BG3,1,1433.0
2018,NUTS,2010,BG3,1,1574.0
2019,NUTS,2010,BG3,1,1637.0
2011,NUTS,2010,BG31,2,434.0
2012,NUTS,2010,BG31,2,514.0
2013,NUTS,2010,BG31,2,504.0
2014,NUTS,2010,BG31,2,488.0
2015,NUTS,2010,BG31,2,450.0
2016,NUTS,2010,BG31,2,432.0
2018,NUTS,2010,BG31,2,468.0
2019,NUTS,2010,BG31,2,470.0
2011,NUTS,2010,BG32,2,115.0
2012,NUTS,2010,BG32,2,147.0
2013,NUTS,2010,BG32,2,144.0
2014,NUTS,2010,BG32,2,141.0
