year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_gov_mio_pps
1998,NUTS,2010,AT,0,197.413
2002,NUTS,2010,AT,0,242.693
2004,NUTS,2010,AT,0,251.053
2005,NUTS,2010,AT,0,291.473
2006,NUTS,2010,AT,0,305.177
2007,NUTS,2010,AT,0,334.031
2008,NUTS,2010,AT,0,366.155
2009,NUTS,2010,AT,0,357.13
2010,NUTS,2010,AT,0,379.598
2011,NUTS,2010,AT,0,381.262
2012,NUTS,2010,AT,0,386.007
2013,NUTS,2010,AT,0,384.546
2014,NUTS,2010,AT,0,419.357
2015,NUTS,2010,AT,0,432.967
2016,NUTS,2010,AT,0,705.72
2017,NUTS,2010,AT,0,714.694
2018,NUTS,2010,AT,0,754.076
2019,NUTS,2010,AT,0,806.015
2020,NUTS,2010,AT,0,776.338
1998,NUTS,2010,AT1,1,137.95
2002,NUTS,2010,AT1,1,165.404
2004,NUTS,2010,AT1,1,162.602
2006,NUTS,2010,AT1,1,
2007,NUTS,2010,AT1,1,
2009,NUTS,2010,AT1,1,
2011,NUTS,2010,AT1,1,254.46
2013,NUTS,2010,AT1,1,243.109
2015,NUTS,2010,AT1,1,
2017,NUTS,2010,AT1,1,
2019,NUTS,2010,AT1,1,575.812
1998,NUTS,2010,AT11,2,1.803
2002,NUTS,2010,AT11,2,1.804
2004,NUTS,2010,AT11,2,2.691
2006,NUTS,2010,AT11,2,
2007,NUTS,2010,AT11,2,
2009,NUTS,2010,AT11,2,
2011,NUTS,2010,AT11,2,2.426
2013,NUTS,2010,AT11,2,2.742
2015,NUTS,2010,AT11,2,
2017,NUTS,2010,AT11,2,
2019,NUTS,2010,AT11,2,
1998,NUTS,2010,AT12,2,12.623
2002,NUTS,2010,AT12,2,12.221
2004,NUTS,2010,AT12,2,13.719
2006,NUTS,2010,AT12,2,24.674
2007,NUTS,2010,AT12,2,27.769
2009,NUTS,2010,AT12,2,33.613
2011,NUTS,2010,AT12,2,34.223
2013,NUTS,2010,AT12,2,38.286
2015,NUTS,2010,AT12,2,69.925
2017,NUTS,2010,AT12,2,92.334
2019,NUTS,2010,AT12,2,
1998,NUTS,2010,AT13,2,123.524
2002,NUTS,2010,AT13,2,151.38
2004,NUTS,2010,AT13,2,146.193
2006,NUTS,2010,AT13,2,176.793
2007,NUTS,2010,AT13,2,195.5
2009,NUTS,2010,AT13,2,204.834
2011,NUTS,2010,AT13,2,217.811
2013,NUTS,2010,AT13,2,202.081
2015,NUTS,2010,AT13,2,215.123
2017,NUTS,2010,AT13,2,414.343
2019,NUTS,2010,AT13,2,464.928
1998,NUTS,2010,AT2,1,26.147
2002,NUTS,2010,AT2,1,37.879
2004,NUTS,2010,AT2,1,43.12
2006,NUTS,2010,AT2,1,56.682
2007,NUTS,2010,AT2,1,
2009,NUTS,2010,AT2,1,
2011,NUTS,2010,AT2,1,
2013,NUTS,2010,AT2,1,
2015,NUTS,2010,AT2,1,61.124
2017,NUTS,2010,AT2,1,
2019,NUTS,2010,AT2,1,113.053
1998,NUTS,2010,AT21,2,7.213
2002,NUTS,2010,AT21,2,6.623
2004,NUTS,2010,AT21,2,8.792
2006,NUTS,2010,AT21,2,10.096
2007,NUTS,2010,AT21,2,
2009,NUTS,2010,AT21,2,
2011,NUTS,2010,AT21,2,10.304
2013,NUTS,2010,AT21,2,
2015,NUTS,2010,AT21,2,
2017,NUTS,2010,AT21,2,
2019,NUTS,2010,AT21,2,
1998,NUTS,2010,AT22,2,19.836
2002,NUTS,2010,AT22,2,31.256
2004,NUTS,2010,AT22,2,34.327
2006,NUTS,2010,AT22,2,46.585
2007,NUTS,2010,AT22,2,
2009,NUTS,2010,AT22,2,46.644
2011,NUTS,2010,AT22,2,
2013,NUTS,2010,AT22,2,
2015,NUTS,2010,AT22,2,
2017,NUTS,2010,AT22,2,
2019,NUTS,2010,AT22,2,
1998,NUTS,2010,AT3,1,33.36
2002,NUTS,2010,AT3,1,39.409
2004,NUTS,2010,AT3,1,45.331
2006,NUTS,2010,AT3,1,
2007,NUTS,2010,AT3,1,51.529
2009,NUTS,2010,AT3,1,
2011,NUTS,2010,AT3,1,
2013,NUTS,2010,AT3,1,
2015,NUTS,2010,AT3,1,
2017,NUTS,2010,AT3,1,
2019,NUTS,2010,AT3,1,117.15
1998,NUTS,2010,AT31,2,12.623
2002,NUTS,2010,AT31,2,12.151
2004,NUTS,2010,AT31,2,13.243
2006,NUTS,2010,AT31,2,14.452
2007,NUTS,2010,AT31,2,14.883
2009,NUTS,2010,AT31,2,15.911
2011,NUTS,2010,AT31,2,15.237
2013,NUTS,2010,AT31,2,15.84
2015,NUTS,2010,AT31,2,19.253
2017,NUTS,2010,AT31,2,33.668
2019,NUTS,2010,AT31,2,45.339
1998,NUTS,2010,AT32,2,6.311
2002,NUTS,2010,AT32,2,7.777
2004,NUTS,2010,AT32,2,9.26
2006,NUTS,2010,AT32,2,9.712
2007,NUTS,2010,AT32,2,
2009,NUTS,2010,AT32,2,12.977
2011,NUTS,2010,AT32,2,
2013,NUTS,2010,AT32,2,
2015,NUTS,2010,AT32,2,25.579
2017,NUTS,2010,AT32,2,23.435
2019,NUTS,2010,AT32,2,25.209
1998,NUTS,2010,AT33,2,12.623
2002,NUTS,2010,AT33,2,12.957
2004,NUTS,2010,AT33,2,14.593
2006,NUTS,2010,AT33,2,13.975
2007,NUTS,2010,AT33,2,
2009,NUTS,2010,AT33,2,
2011,NUTS,2010,AT33,2,21.271
2013,NUTS,2010,AT33,2,24.491
2015,NUTS,2010,AT33,2,
2017,NUTS,2010,AT33,2,
2019,NUTS,2010,AT33,2,34.951
1998,NUTS,2010,AT34,2,2.705
2002,NUTS,2010,AT34,2,6.525
2004,NUTS,2010,AT34,2,8.234
2006,NUTS,2010,AT34,2,
2007,NUTS,2010,AT34,2,
2009,NUTS,2010,AT34,2,
2011,NUTS,2010,AT34,2,8.899
2013,NUTS,2010,AT34,2,10.323
2015,NUTS,2010,AT34,2,11.594
2017,NUTS,2010,AT34,2,11.248
2019,NUTS,2010,AT34,2,11.651
2002,NUTS,2010,ATZ,1,0.0
2004,NUTS,2010,ATZ,1,0.0
2006,NUTS,2010,ATZ,1,0.0
2007,NUTS,2010,ATZ,1,0.0
2009,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2002,NUTS,2010,ATZZ,2,0.0
2004,NUTS,2010,ATZZ,2,0.0
2006,NUTS,2010,ATZZ,2,0.0
2007,NUTS,2010,ATZZ,2,0.0
2009,NUTS,2010,ATZZ,2,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,10.369
2013,NUTS,2010,BA,0,5.257
2014,NUTS,2010,BA,0,14.076
2019,NUTS,2010,BA,0,2.999
1995,NUTS,2010,BE,0,151.001
1996,NUTS,2010,BE,0,187.741
1997,NUTS,2010,BE,0,200.226
1998,NUTS,2010,BE,0,229.515
1999,NUTS,2010,BE,0,256.73
2000,NUTS,2010,BE,0,288.058
2001,NUTS,2010,BE,0,306.866
2002,NUTS,2010,BE,0,349.737
2003,NUTS,2010,BE,0,332.13
2004,NUTS,2010,BE,0,384.948
2005,NUTS,2010,BE,0,426.268
2006,NUTS,2010,BE,0,432.688
2007,NUTS,2010,BE,0,461.046
2008,NUTS,2010,BE,0,544.644
2009,NUTS,2010,BE,0,566.545
2010,NUTS,2010,BE,0,570.744
2011,NUTS,2010,BE,0,590.143
2012,NUTS,2010,BE,0,671.288
2013,NUTS,2010,BE,0,693.684
2014,NUTS,2010,BE,0,769.392
2015,NUTS,2010,BE,0,835.101
2016,NUTS,2010,BE,0,929.76
2017,NUTS,2010,BE,0,986.421
2018,NUTS,2010,BE,0,1067.849
2019,NUTS,2010,BE,0,1179.261
2020,NUTS,2010,BE,0,1270.872
1995,NUTS,2010,BE1,1,38.841
1996,NUTS,2010,BE1,1,37.636
1997,NUTS,2010,BE1,1,39.829
1998,NUTS,2010,BE1,1,42.775
1999,NUTS,2010,BE1,1,42.209
2000,NUTS,2010,BE1,1,49.807
2001,NUTS,2010,BE1,1,51.453
2002,NUTS,2010,BE1,1,61.116
2003,NUTS,2010,BE1,1,62.502
2004,NUTS,2010,BE1,1,65.049
2005,NUTS,2010,BE1,1,65.423
2006,NUTS,2010,BE1,1,72.288
2007,NUTS,2010,BE1,1,72.436
2008,NUTS,2010,BE1,1,100.561
2009,NUTS,2010,BE1,1,101.635
2010,NUTS,2010,BE1,1,81.414
2011,NUTS,2010,BE1,1,83.178
2012,NUTS,2010,BE1,1,99.704
2013,NUTS,2010,BE1,1,108.543
2014,NUTS,2010,BE1,1,122.818
2015,NUTS,2010,BE1,1,137.351
2016,NUTS,2010,BE1,1,138.626
2017,NUTS,2010,BE1,1,141.269
2018,NUTS,2010,BE1,1,161.992
2019,NUTS,2010,BE1,1,169.59
1995,NUTS,2010,BE10,2,38.841
1996,NUTS,2010,BE10,2,37.636
1997,NUTS,2010,BE10,2,39.829
1998,NUTS,2010,BE10,2,42.775
1999,NUTS,2010,BE10,2,42.209
2000,NUTS,2010,BE10,2,49.807
