year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_f_gov_rse_pc_emp_fte
2004,NUTS,2010,AT3,1,0.005
2006,NUTS,2010,AT3,1,
2007,NUTS,2010,AT3,1,0.0077
2009,NUTS,2010,AT3,1,
2011,NUTS,2010,AT3,1,
2013,NUTS,2010,AT3,1,
2015,NUTS,2010,AT3,1,
2017,NUTS,2010,AT3,1,
2019,NUTS,2010,AT3,1,0.0195
2002,NUTS,2010,AT31,2,0.0028
2004,NUTS,2010,AT31,2,0.004
2006,NUTS,2010,AT31,2,0.0072
2007,NUTS,2010,AT31,2,0.0064
2009,NUTS,2010,AT31,2,0.0061
2011,NUTS,2010,AT31,2,0.0044
2013,NUTS,2010,AT31,2,0.0043
2015,NUTS,2010,AT31,2,0.0071
2017,NUTS,2010,AT31,2,0.0122
2019,NUTS,2010,AT31,2,0.0125
2002,NUTS,2010,AT32,2,0.008
2004,NUTS,2010,AT32,2,0.0105
2006,NUTS,2010,AT32,2,0.0145
2007,NUTS,2010,AT32,2,
2009,NUTS,2010,AT32,2,0.0275
2011,NUTS,2010,AT32,2,
2013,NUTS,2010,AT32,2,
2015,NUTS,2010,AT32,2,0.0575
2017,NUTS,2010,AT32,2,0.0553
2019,NUTS,2010,AT32,2,0.0512
2002,NUTS,2010,AT33,2,0.0039
2004,NUTS,2010,AT33,2,0.0035
2006,NUTS,2010,AT33,2,0.0044
2007,NUTS,2010,AT33,2,
2009,NUTS,2010,AT33,2,
2011,NUTS,2010,AT33,2,
2013,NUTS,2010,AT33,2,0.0075
2015,NUTS,2010,AT33,2,
2017,NUTS,2010,AT33,2,
2019,NUTS,2010,AT33,2,0.0105
2002,NUTS,2010,AT34,2,0.005
2004,NUTS,2010,AT34,2,0.0036
2006,NUTS,2010,AT34,2,
2007,NUTS,2010,AT34,2,
2009,NUTS,2010,AT34,2,
2011,NUTS,2010,AT34,2,0.0103
2013,NUTS,2010,AT34,2,0.0119
2015,NUTS,2010,AT34,2,0.0135
2017,NUTS,2010,AT34,2,0.0122
2019,NUTS,2010,AT34,2,0.0167
2000,NUTS,2010,BE,0,0.0325
2001,NUTS,2010,BE,0,0.0341
2002,NUTS,2010,BE,0,0.0334
2003,NUTS,2010,BE,0,0.0341
2004,NUTS,2010,BE,0,0.0369
2005,NUTS,2010,BE,0,0.0371
2006,NUTS,2010,BE,0,0.0393
2007,NUTS,2010,BE,0,0.0409
2008,NUTS,2010,BE,0,0.0438
2009,NUTS,2010,BE,0,0.0462
2010,NUTS,2010,BE,0,0.0434
2011,NUTS,2010,BE,0,0.0459
2012,NUTS,2010,BE,0,0.0606
2013,NUTS,2010,BE,0,0.0616
2014,NUTS,2010,BE,0,0.0686
2015,NUTS,2010,BE,0,0.0694
2016,NUTS,2010,BE,0,0.0721
2017,NUTS,2010,BE,0,0.0769
2018,NUTS,2010,BE,0,0.0848
2019,NUTS,2010,BE,0,0.0856
2000,NUTS,2010,BE1,1,0.1267
2001,NUTS,2010,BE1,1,0.1232
2002,NUTS,2010,BE1,1,0.1224
2003,NUTS,2010,BE1,1,0.1161
2004,NUTS,2010,BE1,1,0.1136
2005,NUTS,2010,BE1,1,0.1231
2006,NUTS,2010,BE1,1,0.1553
2007,NUTS,2010,BE1,1,0.1567
2008,NUTS,2010,BE1,1,0.139
2009,NUTS,2010,BE1,1,0.1373
2010,NUTS,2010,BE1,1,0.1434
2011,NUTS,2010,BE1,1,0.1404
2012,NUTS,2010,BE1,1,0.232
2013,NUTS,2010,BE1,1,0.2358
2014,NUTS,2010,BE1,1,0.2403
2015,NUTS,2010,BE1,1,0.2555
2016,NUTS,2010,BE1,1,0.2646
2017,NUTS,2010,BE1,1,0.2616
2018,NUTS,2010,BE1,1,0.274
2019,NUTS,2010,BE1,1,0.2906
2000,NUTS,2010,BE10,2,0.1267
2001,NUTS,2010,BE10,2,0.1232
2002,NUTS,2010,BE10,2,0.1224
2003,NUTS,2010,BE10,2,0.1161
2004,NUTS,2010,BE10,2,0.1136
2005,NUTS,2010,BE10,2,0.1231
2006,NUTS,2010,BE10,2,0.1553
2007,NUTS,2010,BE10,2,0.1567
2008,NUTS,2010,BE10,2,0.139
2009,NUTS,2010,BE10,2,0.1373
2010,NUTS,2010,BE10,2,0.1434
2011,NUTS,2010,BE10,2,0.1404
2012,NUTS,2010,BE10,2,0.232
2013,NUTS,2010,BE10,2,0.2358
2014,NUTS,2010,BE10,2,0.2403
2015,NUTS,2010,BE10,2,0.2555
2016,NUTS,2010,BE10,2,0.2646
2017,NUTS,2010,BE10,2,0.2616
2018,NUTS,2010,BE10,2,0.274
2019,NUTS,2010,BE10,2,0.2906
2000,NUTS,2010,BE2,1,0.0307
2001,NUTS,2010,BE2,1,0.0347
2002,NUTS,2010,BE2,1,0.0331
2003,NUTS,2010,BE2,1,0.0345
2004,NUTS,2010,BE2,1,0.039
2005,NUTS,2010,BE2,1,0.0384
2006,NUTS,2010,BE2,1,0.0379
2007,NUTS,2010,BE2,1,0.0402
2008,NUTS,2010,BE2,1,0.0434
2009,NUTS,2010,BE2,1,0.0459
2010,NUTS,2010,BE2,1,0.0466
2011,NUTS,2010,BE2,1,0.0499
2012,NUTS,2010,BE2,1,0.0585
2013,NUTS,2010,BE2,1,0.0595
2014,NUTS,2010,BE2,1,0.0668
2015,NUTS,2010,BE2,1,0.0651
2016,NUTS,2010,BE2,1,0.0699
2017,NUTS,2010,BE2,1,0.0782
2018,NUTS,2010,BE2,1,0.0874
2019,NUTS,2010,BE2,1,0.0873
2010,NUTS,2010,BE21,2,
2011,NUTS,2010,BE21,2,
2012,NUTS,2010,BE21,2,
2013,NUTS,2010,BE21,2,
2014,NUTS,2010,BE21,2,
2015,NUTS,2010,BE21,2,
2016,NUTS,2010,BE21,2,
2017,NUTS,2010,BE21,2,
2018,NUTS,2010,BE21,2,
2019,NUTS,2010,BE21,2,
2010,NUTS,2010,BE22,2,
2011,NUTS,2010,BE22,2,
2012,NUTS,2010,BE22,2,
2013,NUTS,2010,BE22,2,
2014,NUTS,2010,BE22,2,
2015,NUTS,2010,BE22,2,
2016,NUTS,2010,BE22,2,
2017,NUTS,2010,BE22,2,
2018,NUTS,2010,BE22,2,
2019,NUTS,2010,BE22,2,
2010,NUTS,2010,BE23,2,
2011,NUTS,2010,BE23,2,
2012,NUTS,2010,BE23,2,
2013,NUTS,2010,BE23,2,
2014,NUTS,2010,BE23,2,
2015,NUTS,2010,BE23,2,
2016,NUTS,2010,BE23,2,
2017,NUTS,2010,BE23,2,
2018,NUTS,2010,BE23,2,
2019,NUTS,2010,BE23,2,
2010,NUTS,2010,BE24,2,
2011,NUTS,2010,BE24,2,
2012,NUTS,2010,BE24,2,
2013,NUTS,2010,BE24,2,
2014,NUTS,2010,BE24,2,
2015,NUTS,2010,BE24,2,
2016,NUTS,2010,BE24,2,
2017,NUTS,2010,BE24,2,
2018,NUTS,2010,BE24,2,
2019,NUTS,2010,BE24,2,
2010,NUTS,2010,BE25,2,
2011,NUTS,2010,BE25,2,
2012,NUTS,2010,BE25,2,
2013,NUTS,2010,BE25,2,
2014,NUTS,2010,BE25,2,
2015,NUTS,2010,BE25,2,
2016,NUTS,2010,BE25,2,
2017,NUTS,2010,BE25,2,
2018,NUTS,2010,BE25,2,
2019,NUTS,2010,BE25,2,
2000,NUTS,2010,BE3,1,0.0065
2001,NUTS,2010,BE3,1,0.0065
2002,NUTS,2010,BE3,1,0.0074
2003,NUTS,2010,BE3,1,0.0075
2004,NUTS,2010,BE3,1,0.007
2005,NUTS,2010,BE3,1,0.0075
2006,NUTS,2010,BE3,1,0.0074
2007,NUTS,2010,BE3,1,0.0074
2008,NUTS,2010,BE3,1,0.0153
2009,NUTS,2010,BE3,1,0.0177
2010,NUTS,2010,BE3,1,0.0047
2011,NUTS,2010,BE3,1,0.007
2012,NUTS,2010,BE3,1,0.0106
2013,NUTS,2010,BE3,1,0.0103
2014,NUTS,2010,BE3,1,0.0165
2015,NUTS,2010,BE3,1,0.0172
2016,NUTS,2010,BE3,1,0.0125
2017,NUTS,2010,BE3,1,0.0123
2018,NUTS,2010,BE3,1,0.0137
2019,NUTS,2010,BE3,1,0.0132
2010,NUTS,2010,BE31,2,
2011,NUTS,2010,BE31,2,
2012,NUTS,2010,BE31,2,
2013,NUTS,2010,BE31,2,
2014,NUTS,2010,BE31,2,
2015,NUTS,2010,BE31,2,
2016,NUTS,2010,BE31,2,
2017,NUTS,2010,BE31,2,
2018,NUTS,2010,BE31,2,
2019,NUTS,2010,BE31,2,
2010,NUTS,2010,BE32,2,
2011,NUTS,2010,BE32,2,
2012,NUTS,2010,BE32,2,
2013,NUTS,2010,BE32,2,
2014,NUTS,2010,BE32,2,
2015,NUTS,2010,BE32,2,
2016,NUTS,2010,BE32,2,
2017,NUTS,2010,BE32,2,
2018,NUTS,2010,BE32,2,
2019,NUTS,2010,BE32,2,
2010,NUTS,2010,BE33,2,
2011,NUTS,2010,BE33,2,
2012,NUTS,2010,BE33,2,
2013,NUTS,2010,BE33,2,
2014,NUTS,2010,BE33,2,
2015,NUTS,2010,BE33,2,
2016,NUTS,2010,BE33,2,
2017,NUTS,2010,BE33,2,
2018,NUTS,2010,BE33,2,
2019,NUTS,2010,BE33,2,
2010,NUTS,2010,BE34,2,
2011,NUTS,2010,BE34,2,
2012,NUTS,2010,BE34,2,
2013,NUTS,2010,BE34,2,
2014,NUTS,2010,BE34,2,
2015,NUTS,2010,BE34,2,
2018,NUTS,2010,BE34,2,
2019,NUTS,2010,BE34,2,
2010,NUTS,2010,BE35,2,
2011,NUTS,2010,BE35,2,
2012,NUTS,2010,BE35,2,
2013,NUTS,2010,BE35,2,
2014,NUTS,2010,BE35,2,
2015,NUTS,2010,BE35,2,
2016,NUTS,2010,BE35,2,
2017,NUTS,2010,BE35,2,
2018,NUTS,2010,BE35,2,
2019,NUTS,2010,BE35,2,
2000,NUTS,2010,BG,0,0.241
2001,NUTS,2010,BG,0,0.2345
2002,NUTS,2010,BG,0,0.2375
2003,NUTS,2010,BG,0,0.2348
2004,NUTS,2010,BG,0,0.2309
2005,NUTS,2010,BG,0,0.2221
2006,NUTS,2010,BG,0,0.2162
2007,NUTS,2010,BG,0,0.2182
2008,NUTS,2010,BG,0,0.2068
2009,NUTS,2010,BG,0,0.2122
2010,NUTS,2010,BG,0,0.2253
2011,NUTS,2010,BG,0,0.2323
2012,NUTS,2010,BG,0,0.2173
2013,NUTS,2010,BG,0,0.2237
2014,NUTS,2010,BG,0,0.2161
2015,NUTS,2010,BG,0,0.1912
2016,NUTS,2010,BG,0,0.1987
2017,NUTS,2010,BG,0,0.1873
2018,NUTS,2010,BG,0,0.1793
2019,NUTS,2010,BG,0,0.183
2003,NUTS,2010,BG3,1,0.0325
2004,NUTS,2010,BG3,1,0.0364
2005,NUTS,2010,BG3,1,0.0331
2006,NUTS,2010,BG3,1,0.0355
2007,NUTS,2010,BG3,1,0.0361
2008,NUTS,2010,BG3,1,0.036
2009,NUTS,2010,BG3,1,0.033
2010,NUTS,2010,BG3,1,0.0498
2011,NUTS,2010,BG3,1,0.0391
2012,NUTS,2010,BG3,1,0.046
2013,NUTS,2010,BG3,1,0.0463
2014,NUTS,2010,BG3,1,0.037
2015,NUTS,2010,BG3,1,0.0334
2016,NUTS,2010,BG3,1,0.0341
2017,NUTS,2010,BG3,1,0.0341
2018,NUTS,2010,BG3,1,0.0337
2019,NUTS,2010,BG3,1,
2003,NUTS,2010,BG31,2,0.0471
2004,NUTS,2010,BG31,2,0.0478
2005,NUTS,2010,BG31,2,0.0463
2006,NUTS,2010,BG31,2,0.0469
2007,NUTS,2010,BG31,2,0.043
2008,NUTS,2010,BG31,2,0.0363
2009,NUTS,2010,BG31,2,0.0357
2010,NUTS,2010,BG31,2,0.0643
2011,NUTS,2010,BG31,2,0.055
2012,NUTS,2010,BG31,2,0.0672
2013,NUTS,2010,BG31,2,0.0596
2014,NUTS,2010,BG31,2,0.0513
2015,NUTS,2010,BG31,2,0.0516
2016,NUTS,2010,BG31,2,0.054
2017,NUTS,2010,BG31,2,
2018,NUTS,2010,BG31,2,0.0565
2019,NUTS,2010,BG31,2,
2003,NUTS,2010,BG32,2,0.016
2004,NUTS,2010,BG32,2,0.0185
2005,NUTS,2010,BG32,2,0.0198
2006,NUTS,2010,BG32,2,0.016
2007,NUTS,2010,BG32,2,0.0141
2008,NUTS,2010,BG32,2,0.0133
2009,NUTS,2010,BG32,2,0.0172
2010,NUTS,2010,BG32,2,0.019
2011,NUTS,2010,BG32,2,0.0153
2012,NUTS,2010,BG32,2,0.0134
2013,NUTS,2010,BG32,2,0.0255
2014,NUTS,2010,BG32,2,0.013
2015,NUTS,2010,BG32,2,
2016,NUTS,2010,BG32,2,
2017,NUTS,2010,BG32,2,
2018,NUTS,2010,BG32,2,
2019,NUTS,2010,BG32,2,0.008
2003,NUTS,2010,BG33,2,0.0436
2004,NUTS,2010,BG33,2,0.0545
2005,NUTS,2010,BG33,2,0.0518
2006,NUTS,2010,BG33,2,0.0498
2007,NUTS,2010,BG33,2,0.0584
2008,NUTS,2010,BG33,2,0.0655
2009,NUTS,2010,BG33,2,0.0512
2010,NUTS,2010,BG33,2,0.0832
2011,NUTS,2010,BG33,2,0.0556
2012,NUTS,2010,BG33,2,0.0703
2013,NUTS,2010,BG33,2,0.0683
2014,NUTS,2010,BG33,2,0.0539
2015,NUTS,2010,BG33,2,0.046
2016,NUTS,2010,BG33,2,
2017,NUTS,2010,BG33,2,0.0464
2018,NUTS,2010,BG33,2,0.0491
2019,NUTS,2010,BG33,2,0.0567
2003,NUTS,2010,BG34,2,0.0253
2004,NUTS,2010,BG34,2,0.0272
2005,NUTS,2010,BG34,2,0.0169
2006,NUTS,2010,BG34,2,0.0298
2007,NUTS,2010,BG34,2,0.0293
2008,NUTS,2010,BG34,2,0.0275
2009,NUTS,2010,BG34,2,0.0275
2010,NUTS,2010,BG34,2,0.0331
2011,NUTS,2010,BG34,2,0.0321
2012,NUTS,2010,BG34,2,0.036
2013,NUTS,2010,BG34,2,0.033
2014,NUTS,2010,BG34,2,0.0294
2015,NUTS,2010,BG34,2,
2016,NUTS,2010,BG34,2,0.0273
2017,NUTS,2010,BG34,2,
2018,NUTS,2010,BG34,2,
2019,NUTS,2010,BG34,2,
2003,NUTS,2010,BG4,1,0.4166
2004,NUTS,2010,BG4,1,0.3993
2005,NUTS,2010,BG4,1,0.3966
2006,NUTS,2010,BG4,1,0.3797
2007,NUTS,2010,BG4,1,0.3794
2008,NUTS,2010,BG4,1,0.3574
2009,NUTS,2010,BG4,1,0.362
2010,NUTS,2010,BG4,1,0.3674
2011,NUTS,2010,BG4,1,0.3904
2012,NUTS,2010,BG4,1,0.3554
2013,NUTS,2010,BG4,1,0.3629
2014,NUTS,2010,BG4,1,0.3558
2015,NUTS,2010,BG4,1,0.3156
2016,NUTS,2010,BG4,1,0.3273
2017,NUTS,2010,BG4,1,0.3032
2018,NUTS,2010,BG4,1,0.2878
2019,NUTS,2010,BG4,1,
2000,NUTS,2010,BG41,2,0.6909
2002,NUTS,2010,BG41,2,0.6893
2003,NUTS,2010,BG41,2,0.6636
2004,NUTS,2010,BG41,2,
2005,NUTS,2010,BG41,2,0.6168
2006,NUTS,2010,BG41,2,0.5856
2007,NUTS,2010,BG41,2,0.5874
2008,NUTS,2010,BG41,2,0.5419
2009,NUTS,2010,BG41,2,0.5496
2010,NUTS,2010,BG41,2,0.5408
2011,NUTS,2010,BG41,2,0.5673
2012,NUTS,2010,BG41,2,0.5223
2013,NUTS,2010,BG41,2,0.5411
2014,NUTS,2010,BG41,2,0.5195
2015,NUTS,2010,BG41,2,0.4597
2016,NUTS,2010,BG41,2,0.4762
2017,NUTS,2010,BG41,2,0.4447
2018,NUTS,2010,BG41,2,0.4177
2019,NUTS,2010,BG41,2,0.424
2003,NUTS,2010,BG42,2,0.0367
2004,NUTS,2010,BG42,2,
2005,NUTS,2010,BG42,2,0.0416
2006,NUTS,2010,BG42,2,0.0396
2007,NUTS,2010,BG42,2,0.0402
2008,NUTS,2010,BG42,2,0.0583
2009,NUTS,2010,BG42,2,0.0478
2010,NUTS,2010,BG42,2,0.0575
2011,NUTS,2010,BG42,2,0.0698
2012,NUTS,2010,BG42,2,0.0673
2013,NUTS,2010,BG42,2,0.0635
2014,NUTS,2010,BG42,2,0.0767
2015,NUTS,2010,BG42,2,0.0597
2016,NUTS,2010,BG42,2,0.063
2017,NUTS,2010,BG42,2,0.0603
2018,NUTS,2010,BG42,2,0.0583
2019,NUTS,2010,BG42,2,
1998,NUTS,2010,CY,0,0.0214
1999,NUTS,2010,CY,0,0.0239
2000,NUTS,2010,CY,0,0.0248
2001,NUTS,2010,CY,0,0.0266
2002,NUTS,2010,CY,0,0.0261
2003,NUTS,2010,CY,0,0.0301
2004,NUTS,2010,CY,0,0.0321
2005,NUTS,2010,CY,0,0.0325
2006,NUTS,2010,CY,0,0.0306
2007,NUTS,2010,CY,0,0.0292
2008,NUTS,2010,CY,0,0.0317
2009,NUTS,2010,CY,0,0.0274
2010,NUTS,2010,CY,0,0.0268
2011,NUTS,2010,CY,0,0.024
2012,NUTS,2010,CY,0,0.023
2013,NUTS,2010,CY,0,0.0241
2014,NUTS,2010,CY,0,0.0253
2015,NUTS,2010,CY,0,0.026
2016,NUTS,2010,CY,0,0.0243
2017,NUTS,2010,CY,0,0.0271
2018,NUTS,2010,CY,0,0.0256
2019,NUTS,2010,CY,0,0.0291
2000,NUTS,2010,CZ,0,0.0687
2001,NUTS,2010,CZ,0,0.0763
2002,NUTS,2010,CZ,0,0.0698
2003,NUTS,2010,CZ,0,0.0805
2004,NUTS,2010,CZ,0,0.0813
2005,NUTS,2010,CZ,0,0.1171
2006,NUTS,2010,CZ,0,0.1252
2007,NUTS,2010,CZ,0,0.132
2008,NUTS,2010,CZ,0,0.1311
2009,NUTS,2010,CZ,0,0.1204
2010,NUTS,2010,CZ,0,0.1168
2011,NUTS,2010,CZ,0,0.1204
2012,NUTS,2010,CZ,0,0.1131
2013,NUTS,2010,CZ,0,0.1223
2014,NUTS,2010,CZ,0,0.1221
2015,NUTS,2010,CZ,0,0.1303
2016,NUTS,2010,CZ,0,0.1301
2017,NUTS,2010,CZ,0,0.1366
2018,NUTS,2010,CZ,0,0.1317
2019,NUTS,2010,CZ,0,0.136
2020,NUTS,2010,CZ,0,0.1409
2000,NUTS,2010,CZ0,1,0.0681
2001,NUTS,2010,CZ0,1,0.0756
2002,NUTS,2010,CZ0,1,0.069
2003,NUTS,2010,CZ0,1,0.0795
2004,NUTS,2010,CZ0,1,0.0805
2005,NUTS,2010,CZ0,1,0.116
2006,NUTS,2010,CZ0,1,0.1239
2007,NUTS,2010,CZ0,1,0.1305
2008,NUTS,2010,CZ0,1,0.1295
2009,NUTS,2010,CZ0,1,0.1187
2010,NUTS,2010,CZ0,1,0.1152
2011,NUTS,2010,CZ0,1,0.1186
2012,NUTS,2010,CZ0,1,0.1113
2013,NUTS,2010,CZ0,1,0.12
2014,NUTS,2010,CZ0,1,0.12
2015,NUTS,2010,CZ0,1,0.1276
2016,NUTS,2010,CZ0,1,0.1271
2017,NUTS,2010,CZ0,1,0.1333
2018,NUTS,2010,CZ0,1,0.1282
2019,NUTS,2010,CZ0,1,0.1323
2020,NUTS,2010,CZ0,1,0.1371
2001,NUTS,2010,CZ01,2,0.3802
2002,NUTS,2010,CZ01,2,0.3587
2003,NUTS,2010,CZ01,2,0.4209
2004,NUTS,2010,CZ01,2,0.4142
2005,NUTS,2010,CZ01,2,0.6275
2006,NUTS,2010,CZ01,2,0.6463
2007,NUTS,2010,CZ01,2,0.6983
2008,NUTS,2010,CZ01,2,0.7038
2009,NUTS,2010,CZ01,2,0.6655
2010,NUTS,2010,CZ01,2,0.6403
2011,NUTS,2010,CZ01,2,0.6781
2012,NUTS,2010,CZ01,2,0.6404
2013,NUTS,2010,CZ01,2,0.6454
2014,NUTS,2010,CZ01,2,0.6497
2015,NUTS,2010,CZ01,2,0.6576
2016,NUTS,2010,CZ01,2,0.6322
2017,NUTS,2010,CZ01,2,0.6826
2018,NUTS,2010,CZ01,2,0.6374
2019,NUTS,2010,CZ01,2,0.6423
2020,NUTS,2010,CZ01,2,0.6664
2001,NUTS,2010,CZ02,2,0.032
2002,NUTS,2010,CZ02,2,0.0472
2003,NUTS,2010,CZ02,2,0.0535
2004,NUTS,2010,CZ02,2,0.0612
2005,NUTS,2010,CZ02,2,0.0687
2006,NUTS,2010,CZ02,2,0.0744
2007,NUTS,2010,CZ02,2,0.0718
2008,NUTS,2010,CZ02,2,0.0738
2009,NUTS,2010,CZ02,2,0.0599
2010,NUTS,2010,CZ02,2,0.0548
2011,NUTS,2010,CZ02,2,0.0576
2012,NUTS,2010,CZ02,2,0.0394
2013,NUTS,2010,CZ02,2,0.0588
2014,NUTS,2010,CZ02,2,0.0586
2015,NUTS,2010,CZ02,2,0.1039
2016,NUTS,2010,CZ02,2,0.1181
2017,NUTS,2010,CZ02,2,0.1067
2018,NUTS,2010,CZ02,2,0.1074
2019,NUTS,2010,CZ02,2,0.1082
2020,NUTS,2010,CZ02,2,0.1138
2001,NUTS,2010,CZ03,2,0.0344
2002,NUTS,2010,CZ03,2,0.0342
2003,NUTS,2010,CZ03,2,0.0308
2004,NUTS,2010,CZ03,2,0.0271
2005,NUTS,2010,CZ03,2,0.041
2006,NUTS,2010,CZ03,2,0.0531
2007,NUTS,2010,CZ03,2,0.0691
2008,NUTS,2010,CZ03,2,0.0563
2009,NUTS,2010,CZ03,2,0.0374
2010,NUTS,2010,CZ03,2,0.0374
2011,NUTS,2010,CZ03,2,0.0261
2012,NUTS,2010,CZ03,2,0.0245
2013,NUTS,2010,CZ03,2,0.0403
2014,NUTS,2010,CZ03,2,0.0663
2015,NUTS,2010,CZ03,2,0.0524
2016,NUTS,2010,CZ03,2,0.0617
2017,NUTS,2010,CZ03,2,0.057
2018,NUTS,2010,CZ03,2,0.0559
2019,NUTS,2010,CZ03,2,0.0624
2020,NUTS,2010,CZ03,2,0.068
2001,NUTS,2010,CZ04,2,0.0177
2002,NUTS,2010,CZ04,2,0.0018
2003,NUTS,2010,CZ04,2,0.0057
2004,NUTS,2010,CZ04,2,0.0072
2005,NUTS,2010,CZ04,2,0.0016
2006,NUTS,2010,CZ04,2,0.0052
2007,NUTS,2010,CZ04,2,0.0026
2008,NUTS,2010,CZ04,2,0.0034
2009,NUTS,2010,CZ04,2,0.0057
2010,NUTS,2010,CZ04,2,0.0039
2011,NUTS,2010,CZ04,2,0.0051
2012,NUTS,2010,CZ04,2,0.0076
2013,NUTS,2010,CZ04,2,0.0049
2014,NUTS,2010,CZ04,2,0.005
2015,NUTS,2010,CZ04,2,0.0039
2016,NUTS,2010,CZ04,2,0.003
2017,NUTS,2010,CZ04,2,0.004
2018,NUTS,2010,CZ04,2,0.005
2019,NUTS,2010,CZ04,2,0.0052
2020,NUTS,2010,CZ04,2,0.0061
2001,NUTS,2010,CZ05,2,0.0079
2002,NUTS,2010,CZ05,2,0.0095
2003,NUTS,2010,CZ05,2,0.0087
2004,NUTS,2010,CZ05,2,0.0195
2005,NUTS,2010,CZ05,2,0.0072
2006,NUTS,2010,CZ05,2,0.0074
2007,NUTS,2010,CZ05,2,0.0075
2008,NUTS,2010,CZ05,2,0.0076
2009,NUTS,2010,CZ05,2,0.0073
2010,NUTS,2010,CZ05,2,0.008
2011,NUTS,2010,CZ05,2,0.0091
2012,NUTS,2010,CZ05,2,0.0071
2013,NUTS,2010,CZ05,2,0.0098
2014,NUTS,2010,CZ05,2,0.0087
2015,NUTS,2010,CZ05,2,0.0095
2016,NUTS,2010,CZ05,2,0.0094
2017,NUTS,2010,CZ05,2,0.0079
2018,NUTS,2010,CZ05,2,0.0081
2019,NUTS,2010,CZ05,2,0.0099
2020,NUTS,2010,CZ05,2,0.0118
2001,NUTS,2010,CZ06,2,0.0677
2002,NUTS,2010,CZ06,2,0.051
2003,NUTS,2010,CZ06,2,0.0588
2004,NUTS,2010,CZ06,2,0.0642
2005,NUTS,2010,CZ06,2,0.0948
2006,NUTS,2010,CZ06,2,0.1064
2007,NUTS,2010,CZ06,2,0.0999
2008,NUTS,2010,CZ06,2,0.1066
2009,NUTS,2010,CZ06,2,0.0753
2010,NUTS,2010,CZ06,2,0.0838
