year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_f_gov_rse_pc_emp_fte
1998,NUTS,2010,AT,0,0.0183
2002,NUTS,2010,AT,0,0.0192
2004,NUTS,2010,AT,0,0.0201
2006,NUTS,2010,AT,0,0.0269
2007,NUTS,2010,AT,0,0.0276
2009,NUTS,2010,AT,0,0.033
2011,NUTS,2010,AT,0,0.0334
2013,NUTS,2010,AT,0,0.035
2015,NUTS,2010,AT,0,0.0379
2017,NUTS,2010,AT,0,0.0664
2019,NUTS,2010,AT,0,0.0694
2002,NUTS,2010,AT1,1,0.0385
2004,NUTS,2010,AT1,1,0.0391
2006,NUTS,2010,AT1,1,
2007,NUTS,2010,AT1,1,
2009,NUTS,2010,AT1,1,
2011,NUTS,2010,AT1,1,0.0612
2013,NUTS,2010,AT1,1,0.0607
2015,NUTS,2010,AT1,1,
2017,NUTS,2010,AT1,1,
2019,NUTS,2010,AT1,1,0.1325
2002,NUTS,2010,AT11,2,0.0049
2004,NUTS,2010,AT11,2,0.0062
2006,NUTS,2010,AT11,2,
2007,NUTS,2010,AT11,2,
2009,NUTS,2010,AT11,2,
2011,NUTS,2010,AT11,2,0.0046
2013,NUTS,2010,AT11,2,0.0034
2015,NUTS,2010,AT11,2,
2017,NUTS,2010,AT11,2,
2019,NUTS,2010,AT11,2,
2002,NUTS,2010,AT12,2,0.004
2004,NUTS,2010,AT12,2,0.0048
2006,NUTS,2010,AT12,2,0.0057
2007,NUTS,2010,AT12,2,0.0062
2009,NUTS,2010,AT12,2,0.0074
2011,NUTS,2010,AT12,2,0.0091
2013,NUTS,2010,AT12,2,0.0093
2015,NUTS,2010,AT12,2,0.016
2017,NUTS,2010,AT12,2,0.02
2019,NUTS,2010,AT12,2,
2002,NUTS,2010,AT13,2,0.0756
2004,NUTS,2010,AT13,2,0.0779
2006,NUTS,2010,AT13,2,0.1038
2007,NUTS,2010,AT13,2,0.1095
2009,NUTS,2010,AT13,2,0.1256
2011,NUTS,2010,AT13,2,0.1214
2013,NUTS,2010,AT13,2,0.1183
2015,NUTS,2010,AT13,2,0.1257
2017,NUTS,2010,AT13,2,0.2419
2019,NUTS,2010,AT13,2,0.2535
2002,NUTS,2010,AT2,1,0.0056
2004,NUTS,2010,AT2,1,0.008
2006,NUTS,2010,AT2,1,0.0096
2007,NUTS,2010,AT2,1,
2009,NUTS,2010,AT2,1,
2011,NUTS,2010,AT2,1,
2013,NUTS,2010,AT2,1,
2015,NUTS,2010,AT2,1,0.0125
2017,NUTS,2010,AT2,1,
2019,NUTS,2010,AT2,1,0.0255
2002,NUTS,2010,AT21,2,0.0037
2004,NUTS,2010,AT21,2,0.0071
2006,NUTS,2010,AT21,2,0.0095
2007,NUTS,2010,AT21,2,
2009,NUTS,2010,AT21,2,
2011,NUTS,2010,AT21,2,0.0088
2013,NUTS,2010,AT21,2,
2015,NUTS,2010,AT21,2,
2017,NUTS,2010,AT21,2,
2019,NUTS,2010,AT21,2,
2002,NUTS,2010,AT22,2,0.0065
2004,NUTS,2010,AT22,2,0.0084
2006,NUTS,2010,AT22,2,0.0097
2007,NUTS,2010,AT22,2,
2009,NUTS,2010,AT22,2,0.0125
2011,NUTS,2010,AT22,2,
2013,NUTS,2010,AT22,2,
2015,NUTS,2010,AT22,2,
2017,NUTS,2010,AT22,2,
2019,NUTS,2010,AT22,2,
2002,NUTS,2010,AT3,1,0.0043
