year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_mio_eur_bes
1981,NUTS,2010,AT,0,388.744
1984,NUTS,2010,AT,0,553.083
1985,NUTS,2010,AT,0,601.495
1989,NUTS,2010,AT,0,923.387
1993,NUTS,2010,AT,0,1300.265
1998,NUTS,2010,AT,0,2146.085
2002,NUTS,2010,AT,0,3130.884
2004,NUTS,2010,AT,0,3556.479
2005,NUTS,2010,AT,0,4207.669
2006,NUTS,2010,AT,0,4448.676
2007,NUTS,2010,AT,0,4845.861
2008,NUTS,2010,AT,0,5232.63
2009,NUTS,2010,AT,0,5092.902
2010,NUTS,2010,AT,0,5520.422
2011,NUTS,2010,AT,0,5692.841
2012,NUTS,2010,AT,0,6540.457
2013,NUTS,2010,AT,0,6778.42
2014,NUTS,2010,AT,0,7324.679
2015,NUTS,2010,AT,0,7498.488
2016,NUTS,2010,AT,0,7824.51
2017,NUTS,2010,AT,0,7888.444
2018,NUTS,2010,AT,0,8323.1
2019,NUTS,2010,AT,0,8749.143
2020,NUTS,2010,AT,0,8418.44
1989,NUTS,2010,AT1,1,478.542
1993,NUTS,2010,AT1,1,739.855
1998,NUTS,2010,AT1,1,1119.388
2002,NUTS,2010,AT1,1,1446.993
2004,NUTS,2010,AT1,1,1586.041
2006,NUTS,2010,AT1,1,1884.857
2007,NUTS,2010,AT1,1,2044.279
2009,NUTS,2010,AT1,1,2135.367
2011,NUTS,2010,AT1,1,2175.494
2013,NUTS,2010,AT1,1,2224.838
2015,NUTS,2010,AT1,1,2450.022
2017,NUTS,2010,AT1,1,2460.993
2019,NUTS,2010,AT1,1,2696.859
1989,NUTS,2010,AT11,2,2.881
1993,NUTS,2010,AT11,2,9.201
1998,NUTS,2010,AT11,2,5.96
2002,NUTS,2010,AT11,2,30.032
2004,NUTS,2010,AT11,2,25.351
2006,NUTS,2010,AT11,2,30.094
2007,NUTS,2010,AT11,2,33.181
2009,NUTS,2010,AT11,2,44.19
2011,NUTS,2010,AT11,2,51.106
2013,NUTS,2010,AT11,2,59.509
