year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_f_hes_rse_pc_emp_hc
1998,NUTS,2010,AT,0,0.2435
2002,NUTS,2010,AT,0,0.315
2004,NUTS,2010,AT,0,0.4151
2006,NUTS,2010,AT,0,0.4748
2007,NUTS,2010,AT,0,0.5369
2009,NUTS,2010,AT,0,0.6018
2011,NUTS,2010,AT,0,0.6694
2013,NUTS,2010,AT,0,0.707
2015,NUTS,2010,AT,0,0.7621
2017,NUTS,2010,AT,0,0.7702
2019,NUTS,2010,AT,0,0.8494
2002,NUTS,2010,AT1,1,
2004,NUTS,2010,AT1,1,
2006,NUTS,2010,AT1,1,
2007,NUTS,2010,AT1,1,
2009,NUTS,2010,AT1,1,
2011,NUTS,2010,AT1,1,0.8623
2013,NUTS,2010,AT1,1,0.9188
2015,NUTS,2010,AT1,1,
2017,NUTS,2010,AT1,1,
2019,NUTS,2010,AT1,1,1.0578
2002,NUTS,2010,AT11,2,
2004,NUTS,2010,AT11,2,
2006,NUTS,2010,AT11,2,
2007,NUTS,2010,AT11,2,
2009,NUTS,2010,AT11,2,
2011,NUTS,2010,AT11,2,0.0801
2013,NUTS,2010,AT11,2,0.1048
2015,NUTS,2010,AT11,2,
2017,NUTS,2010,AT11,2,
2019,NUTS,2010,AT11,2,0.1359
2002,NUTS,2010,AT12,2,0.0102
2004,NUTS,2010,AT12,2,0.017
2006,NUTS,2010,AT12,2,0.0284
2007,NUTS,2010,AT12,2,0.0327
2009,NUTS,2010,AT12,2,0.045
2011,NUTS,2010,AT12,2,0.0618
2013,NUTS,2010,AT12,2,0.1089
2015,NUTS,2010,AT12,2,0.1272
2017,NUTS,2010,AT12,2,0.1555
2019,NUTS,2010,AT12,2,0.2162
2002,NUTS,2010,AT13,2,0.8743
2004,NUTS,2010,AT13,2,1.1958
2006,NUTS,2010,AT13,2,1.31
2007,NUTS,2010,AT13,2,1.498
2009,NUTS,2010,AT13,2,1.6434
2011,NUTS,2010,AT13,2,1.7709
2013,NUTS,2010,AT13,2,1.8122
2015,NUTS,2010,AT13,2,1.8888
2017,NUTS,2010,AT13,2,1.8178
2019,NUTS,2010,AT13,2,1.9833
2002,NUTS,2010,AT2,1,
2004,NUTS,2010,AT2,1,
2006,NUTS,2010,AT2,1,0.4276
2007,NUTS,2010,AT2,1,0.5075
2009,NUTS,2010,AT2,1,0.6004
2011,NUTS,2010,AT2,1,0.6676
2013,NUTS,2010,AT2,1,0.6769
2015,NUTS,2010,AT2,1,
2017,NUTS,2010,AT2,1,0.7963
2019,NUTS,2010,AT2,1,0.8917
2002,NUTS,2010,AT21,2,
2004,NUTS,2010,AT21,2,
2006,NUTS,2010,AT21,2,0.1727
2007,NUTS,2010,AT21,2,0.2095
2009,NUTS,2010,AT21,2,0.2111
2011,NUTS,2010,AT21,2,0.2447
2013,NUTS,2010,AT21,2,0.2483
2015,NUTS,2010,AT21,2,0.2362
2017,NUTS,2010,AT21,2,0.284
2019,NUTS,2010,AT21,2,0.3488
2002,NUTS,2010,AT22,2,0.3791
2004,NUTS,2010,AT22,2,0.4549
2006,NUTS,2010,AT22,2,0.5395
2007,NUTS,2010,AT22,2,0.6395
2009,NUTS,2010,AT22,2,0.7733
2011,NUTS,2010,AT22,2,0.8533
2013,NUTS,2010,AT22,2,0.8692
2015,NUTS,2010,AT22,2,1.0037
2017,NUTS,2010,AT22,2,1.0204
2019,NUTS,2010,AT22,2,1.1259
2002,NUTS,2010,AT3,1,0.1943
2004,NUTS,2010,AT3,1,
2006,NUTS,2010,AT3,1,
2007,NUTS,2010,AT3,1,
2009,NUTS,2010,AT3,1,
2011,NUTS,2010,AT3,1,0.4247
2013,NUTS,2010,AT3,1,0.4576
2015,NUTS,2010,AT3,1,
2017,NUTS,2010,AT3,1,
2019,NUTS,2010,AT3,1,0.5627
2002,NUTS,2010,AT31,2,0.0935
2004,NUTS,2010,AT31,2,0.1359
2006,NUTS,2010,AT31,2,0.1632
2007,NUTS,2010,AT31,2,0.1623
2009,NUTS,2010,AT31,2,0.1854
2011,NUTS,2010,AT31,2,0.226
2013,NUTS,2010,AT31,2,0.2252
2015,NUTS,2010,AT31,2,0.2579
2017,NUTS,2010,AT31,2,0.2636
2019,NUTS,2010,AT31,2,0.28
2002,NUTS,2010,AT32,2,
2004,NUTS,2010,AT32,2,
2006,NUTS,2010,AT32,2,0.3657
2007,NUTS,2010,AT32,2,0.3898
2009,NUTS,2010,AT32,2,0.4904
2011,NUTS,2010,AT32,2,0.5877
2013,NUTS,2010,AT32,2,0.6492
2015,NUTS,2010,AT32,2,0.7805
2017,NUTS,2010,AT32,2,0.855
2019,NUTS,2010,AT32,2,0.877
2002,NUTS,2010,AT33,2,0.4777
