year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_hes_pc_emp_fte_total_t
2016,NUTS,2010,BE,0,0.5495
2017,NUTS,2010,BE,0,0.5463
2018,NUTS,2010,BE,0,0.5398
2019,NUTS,2010,BE,0,0.5423
2020,NUTS,2010,BE,0,0.5946
2011,NUTS,2010,BE1,1,0.9727
2012,NUTS,2010,BE1,1,0.9631
2013,NUTS,2010,BE1,1,0.9863
2014,NUTS,2010,BE1,1,1.0394
2015,NUTS,2010,BE1,1,1.1783
2016,NUTS,2010,BE1,1,1.1195
2017,NUTS,2010,BE1,1,1.1184
2018,NUTS,2010,BE1,1,1.0403
2019,NUTS,2010,BE1,1,1.0252
2011,NUTS,2010,BE10,2,0.9727
2012,NUTS,2010,BE10,2,0.9631
2013,NUTS,2010,BE10,2,0.9863
2014,NUTS,2010,BE10,2,1.0394
2015,NUTS,2010,BE10,2,1.1783
2016,NUTS,2010,BE10,2,1.1195
2017,NUTS,2010,BE10,2,1.1184
2018,NUTS,2010,BE10,2,1.0403
2019,NUTS,2010,BE10,2,1.0252
2011,NUTS,2010,BE2,1,0.4761
2012,NUTS,2010,BE2,1,0.4862
2013,NUTS,2010,BE2,1,0.4977
2014,NUTS,2010,BE2,1,0.5038
2015,NUTS,2010,BE2,1,0.5078
2016,NUTS,2010,BE2,1,0.4981
2017,NUTS,2010,BE2,1,0.4984
2018,NUTS,2010,BE2,1,0.5039
2019,NUTS,2010,BE2,1,0.5125
2011,NUTS,2010,BE3,1,0.4154
2012,NUTS,2010,BE3,1,0.3951
2013,NUTS,2010,BE3,1,0.393
2014,NUTS,2010,BE3,1,0.394
2015,NUTS,2010,BE3,1,0.5175
2016,NUTS,2010,BE3,1,0.4492
2017,NUTS,2010,BE3,1,0.4346
2018,NUTS,2010,BE3,1,0.425
2019,NUTS,2010,BE3,1,0.4194
2011,NUTS,2010,BG,0,0.1808
2012,NUTS,2010,BG,0,0.1526
2013,NUTS,2010,BG,0,0.1585
2014,NUTS,2010,BG,0,0.1754
2015,NUTS,2010,BG,0,0.1541
2016,NUTS,2010,BG,0,0.1958
2017,NUTS,2010,BG,0,0.1456
2018,NUTS,2010,BG,0,0.1454
2019,NUTS,2010,BG,0,0.1332
2020,NUTS,2010,BG,0,0.136
2011,NUTS,2010,BG3,1,0.1307
2012,NUTS,2010,BG3,1,0.1252
2013,NUTS,2010,BG3,1,0.1337
2014,NUTS,2010,BG3,1,0.1662
2015,NUTS,2010,BG3,1,0.137
2016,NUTS,2010,BG3,1,0.1317
2017,NUTS,2010,BG3,1,0.1204
2018,NUTS,2010,BG3,1,0.1279
2019,NUTS,2010,BG3,1,0.125
2011,NUTS,2010,BG32,2,0.1549
2012,NUTS,2010,BG32,2,0.1458
2013,NUTS,2010,BG32,2,0.155
2014,NUTS,2010,BG32,2,0.28
2015,NUTS,2010,BG32,2,0.1964
2016,NUTS,2010,BG32,2,0.1561
2017,NUTS,2010,BG32,2,0.1485
2018,NUTS,2010,BG32,2,0.1568
2019,NUTS,2010,BG32,2,0.1218
2012,NUTS,2010,BG33,2,0.2227
2013,NUTS,2010,BG33,2,0.2175
2014,NUTS,2010,BG33,2,0.2547
2015,NUTS,2010,BG33,2,0.2215
2011,NUTS,2010,BG34,2,0.1135
2016,NUTS,2010,BG34,2,0.0861
2017,NUTS,2010,BG34,2,0.0775
2011,NUTS,2010,BG4,1,0.217
2012,NUTS,2010,BG4,1,0.1694
2013,NUTS,2010,BG4,1,0.1718
2014,NUTS,2010,BG4,1,0.1731
2015,NUTS,2010,BG4,1,0.16
2016,NUTS,2010,BG4,1,0.2404
2017,NUTS,2010,BG4,1,0.1573
2018,NUTS,2010,BG4,1,0.1499
2019,NUTS,2010,BG4,1,0.1297
2013,NUTS,2010,BG41,2,0.2268
2015,NUTS,2010,BG41,2,0.2002
2016,NUTS,2010,BG41,2,0.3399
2017,NUTS,2010,BG41,2,0.2059
2018,NUTS,2010,BG41,2,0.189
2019,NUTS,2010,BG41,2,0.1478
2013,NUTS,2010,BG42,2,0.0807
2015,NUTS,2010,BG42,2,0.0929
2016,NUTS,2010,BG42,2,0.0723
2017,NUTS,2010,BG42,2,0.0776
2018,NUTS,2010,BG42,2,0.084
2019,NUTS,2010,BG42,2,0.0996
2012,NUTS,2010,CH,0,0.6394
2015,NUTS,2010,CH,0,0.6799
2017,NUTS,2010,CH,0,0.7077
2019,NUTS,2010,CH,0,0.733
2011,NUTS,2010,CY,0,0.1627
2012,NUTS,2010,CY,0,0.1597
2013,NUTS,2010,CY,0,0.1729
2014,NUTS,2010,CY,0,0.1687
2015,NUTS,2010,CY,0,0.1679
2016,NUTS,2010,CY,0,0.1647
2017,NUTS,2010,CY,0,0.182
2018,NUTS,2010,CY,0,0.1881
2019,NUTS,2010,CY,0,0.2038
2020,NUTS,2010,CY,0,0.2074
2011,NUTS,2010,CZ,0,0.307
2012,NUTS,2010,CZ,0,0.3418
2013,NUTS,2010,CZ,0,0.3351
2014,NUTS,2010,CZ,0,0.3384
2015,NUTS,2010,CZ,0,0.3419
2016,NUTS,2010,CZ,0,0.303
2017,NUTS,2010,CZ,0,0.3102
2018,NUTS,2010,CZ,0,0.3541
2019,NUTS,2010,CZ,0,0.3814
2020,NUTS,2010,CZ,0,0.3933
2011,NUTS,2010,CZ0,1,0.3022
2012,NUTS,2010,CZ0,1,0.3362
2013,NUTS,2010,CZ0,1,0.3289
2014,NUTS,2010,CZ0,1,0.3322
2015,NUTS,2010,CZ0,1,0.3346
2016,NUTS,2010,CZ0,1,0.2958
2017,NUTS,2010,CZ0,1,0.3026
2018,NUTS,2010,CZ0,1,0.3443
2019,NUTS,2010,CZ0,1,0.3705
2020,NUTS,2010,CZ0,1,0.3822
2011,NUTS,2010,CZ01,2,0.9308
2012,NUTS,2010,CZ01,2,0.8653
2013,NUTS,2010,CZ01,2,0.9659
2014,NUTS,2010,CZ01,2,0.9154
2015,NUTS,2010,CZ01,2,0.9208
2016,NUTS,2010,CZ01,2,0.7083
2017,NUTS,2010,CZ01,2,0.7889
2018,NUTS,2010,CZ01,2,0.9331
2019,NUTS,2010,CZ01,2,1.0215
2020,NUTS,2010,CZ01,2,1.0569
2011,NUTS,2010,CZ02,2,0.0202
2012,NUTS,2010,CZ02,2,0.0218
2013,NUTS,2010,CZ02,2,0.0256
2014,NUTS,2010,CZ02,2,0.035
2015,NUTS,2010,CZ02,2,0.0391
2016,NUTS,2010,CZ02,2,0.0288
2017,NUTS,2010,CZ02,2,0.0307
2018,NUTS,2010,CZ02,2,0.0318
2019,NUTS,2010,CZ02,2,0.0368
2020,NUTS,2010,CZ02,2,0.0358
2011,NUTS,2010,CZ03,2,0.2422
2012,NUTS,2010,CZ03,2,0.2448
2013,NUTS,2010,CZ03,2,0.2692
2014,NUTS,2010,CZ03,2,0.3154
2015,NUTS,2010,CZ03,2,0.2506
2016,NUTS,2010,CZ03,2,0.2297
2017,NUTS,2010,CZ03,2,0.2464
2018,NUTS,2010,CZ03,2,0.2616
2019,NUTS,2010,CZ03,2,0.2653
2020,NUTS,2010,CZ03,2,0.2876
2011,NUTS,2010,CZ04,2,0.0347
2012,NUTS,2010,CZ04,2,0.0415
2013,NUTS,2010,CZ04,2,0.048
2014,NUTS,2010,CZ04,2,0.0483
2015,NUTS,2010,CZ04,2,0.0517
2016,NUTS,2010,CZ04,2,0.0464
2017,NUTS,2010,CZ04,2,0.0542
2018,NUTS,2010,CZ04,2,0.0672
2019,NUTS,2010,CZ04,2,0.0551
2020,NUTS,2010,CZ04,2,0.0408
2011,NUTS,2010,CZ05,2,0.1879
2012,NUTS,2010,CZ05,2,0.1859
2013,NUTS,2010,CZ05,2,0.1835
2014,NUTS,2010,CZ05,2,0.185
2015,NUTS,2010,CZ05,2,0.1854
2016,NUTS,2010,CZ05,2,0.1744
2017,NUTS,2010,CZ05,2,0.1805
2018,NUTS,2010,CZ05,2,0.2077
2019,NUTS,2010,CZ05,2,0.1972
2020,NUTS,2010,CZ05,2,0.2006
2011,NUTS,2010,CZ06,2,0.3929
2012,NUTS,2010,CZ06,2,0.5282
2013,NUTS,2010,CZ06,2,0.4906
2014,NUTS,2010,CZ06,2,0.4937
2015,NUTS,2010,CZ06,2,0.5088
2016,NUTS,2010,CZ06,2,0.4915
2017,NUTS,2010,CZ06,2,0.4915
2018,NUTS,2010,CZ06,2,0.5521
2019,NUTS,2010,CZ06,2,0.6141
2020,NUTS,2010,CZ06,2,0.6397
2011,NUTS,2010,CZ07,2,0.2372
2012,NUTS,2010,CZ07,2,0.2732
2013,NUTS,2010,CZ07,2,0.3083
2014,NUTS,2010,CZ07,2,0.3252
2015,NUTS,2010,CZ07,2,0.3792
2016,NUTS,2010,CZ07,2,0.3678
2017,NUTS,2010,CZ07,2,0.2929
2018,NUTS,2010,CZ07,2,0.2923
2019,NUTS,2010,CZ07,2,0.316
2020,NUTS,2010,CZ07,2,0.3168
2011,NUTS,2010,CZ08,2,0.2784
2012,NUTS,2010,CZ08,2,0.4122
2013,NUTS,2010,CZ08,2,0.2112
2014,NUTS,2010,CZ08,2,0.2287
2015,NUTS,2010,CZ08,2,0.2361
2016,NUTS,2010,CZ08,2,0.222
2017,NUTS,2010,CZ08,2,0.2237
2018,NUTS,2010,CZ08,2,0.266
2019,NUTS,2010,CZ08,2,0.2929
2020,NUTS,2010,CZ08,2,0.3123
2011,NUTS,2010,DE,0,0.3311
2012,NUTS,2010,DE,0,0.3382
2013,NUTS,2010,DE,0,0.3412
2014,NUTS,2010,DE,0,0.3452
2015,NUTS,2010,DE,0,0.3467
2016,NUTS,2010,DE,0,0.3574
2017,NUTS,2010,DE,0,0.3599
2018,NUTS,2010,DE,0,0.367
2019,NUTS,2010,DE,0,0.3636
2020,NUTS,2010,DE,0,0.3856
2011,NUTS,2010,DE1,1,0.3404
2012,NUTS,2010,DE1,1,0.3537
2013,NUTS,2010,DE1,1,0.3434
2014,NUTS,2010,DE1,1,0.3416
2015,NUTS,2010,DE1,1,0.3364
2016,NUTS,2010,DE1,1,0.3527
2017,NUTS,2010,DE1,1,0.3554
2018,NUTS,2010,DE1,1,0.3581
2019,NUTS,2010,DE1,1,0.3493
2011,NUTS,2010,DE11,2,0.1721
2012,NUTS,2010,DE11,2,0.1893
2013,NUTS,2010,DE11,2,0.1899
2014,NUTS,2010,DE11,2,0.1826
2015,NUTS,2010,DE11,2,0.1816
2016,NUTS,2010,DE11,2,0.2091
2017,NUTS,2010,DE11,2,0.2082
2018,NUTS,2010,DE11,2,0.2034
2019,NUTS,2010,DE11,2,0.1982
2011,NUTS,2010,DE12,2,0.5013
2012,NUTS,2010,DE12,2,0.5196
2013,NUTS,2010,DE12,2,0.5009
2014,NUTS,2010,DE12,2,0.4921
2015,NUTS,2010,DE12,2,0.4751
2016,NUTS,2010,DE12,2,0.4899
2017,NUTS,2010,DE12,2,0.4937
2018,NUTS,2010,DE12,2,0.5013
2019,NUTS,2010,DE12,2,0.4703
2011,NUTS,2010,DE13,2,0.3347
2012,NUTS,2010,DE13,2,0.3413
2013,NUTS,2010,DE13,2,0.346
2014,NUTS,2010,DE13,2,0.3604
2015,NUTS,2010,DE13,2,0.3546
2016,NUTS,2010,DE13,2,0.3717
2017,NUTS,2010,DE13,2,0.3701
2018,NUTS,2010,DE13,2,0.3719
2019,NUTS,2010,DE13,2,0.3741
2011,NUTS,2010,DE14,2,0.4754
2012,NUTS,2010,DE14,2,0.4825
2013,NUTS,2010,DE14,2,0.4389
2014,NUTS,2010,DE14,2,0.4492
2015,NUTS,2010,DE14,2,0.4552
2016,NUTS,2010,DE14,2,0.449
2017,NUTS,2010,DE14,2,0.463
2018,NUTS,2010,DE14,2,0.4782
2019,NUTS,2010,DE14,2,0.479
2011,NUTS,2010,DE2,1,0.2642
2012,NUTS,2010,DE2,1,0.267
2013,NUTS,2010,DE2,1,0.2839
2014,NUTS,2010,DE2,1,0.2851
2015,NUTS,2010,DE2,1,0.2837
2016,NUTS,2010,DE2,1,0.2885
2017,NUTS,2010,DE2,1,0.288
2018,NUTS,2010,DE2,1,0.2951
2019,NUTS,2010,DE2,1,0.3028
2011,NUTS,2010,DE21,2,0.3661
2012,NUTS,2010,DE21,2,0.3636
2013,NUTS,2010,DE21,2,0.396
2014,NUTS,2010,DE21,2,0.3922
2015,NUTS,2010,DE21,2,0.3969
2016,NUTS,2010,DE21,2,0.3843
2017,NUTS,2010,DE21,2,0.3775
2018,NUTS,2010,DE21,2,0.3846
2019,NUTS,2010,DE21,2,0.3899
2011,NUTS,2010,DE22,2,0.0494
2012,NUTS,2010,DE22,2,0.05
2013,NUTS,2010,DE22,2,0.061
2014,NUTS,2010,DE22,2,0.0709
2015,NUTS,2010,DE22,2,0.0688
2016,NUTS,2010,DE22,2,0.0855
2017,NUTS,2010,DE22,2,0.0857
2018,NUTS,2010,DE22,2,0.0969
2019,NUTS,2010,DE22,2,0.0972
2011,NUTS,2010,DE23,2,0.2531
2012,NUTS,2010,DE23,2,0.2562
2013,NUTS,2010,DE23,2,0.2539
2014,NUTS,2010,DE23,2,0.2586
2015,NUTS,2010,DE23,2,0.2639
2016,NUTS,2010,DE23,2,0.285
2017,NUTS,2010,DE23,2,0.2828
2018,NUTS,2010,DE23,2,0.2855
2019,NUTS,2010,DE23,2,0.2979
2011,NUTS,2010,DE24,2,0.2107
2012,NUTS,2010,DE24,2,0.211
2013,NUTS,2010,DE24,2,0.2236
2014,NUTS,2010,DE24,2,0.216
2015,NUTS,2010,DE24,2,0.2195
2016,NUTS,2010,DE24,2,0.2357
2017,NUTS,2010,DE24,2,0.2437
2018,NUTS,2010,DE24,2,0.2502
2019,NUTS,2010,DE24,2,0.2612
2011,NUTS,2010,DE25,2,0.364
2012,NUTS,2010,DE25,2,0.3831
2013,NUTS,2010,DE25,2,0.4017
2014,NUTS,2010,DE25,2,0.4123
2015,NUTS,2010,DE25,2,0.4003
2016,NUTS,2010,DE25,2,0.4071
2017,NUTS,2010,DE25,2,0.4055
2018,NUTS,2010,DE25,2,0.4172
2019,NUTS,2010,DE25,2,0.4341
2011,NUTS,2010,DE26,2,0.3196
2012,NUTS,2010,DE26,2,0.3177
2013,NUTS,2010,DE26,2,0.3248
2014,NUTS,2010,DE26,2,0.3206
2015,NUTS,2010,DE26,2,0.3007
2016,NUTS,2010,DE26,2,0.3224
2017,NUTS,2010,DE26,2,0.3356
2018,NUTS,2010,DE26,2,0.3419
2019,NUTS,2010,DE26,2,0.3351
2011,NUTS,2010,DE27,2,0.0567
2012,NUTS,2010,DE27,2,0.0564
2013,NUTS,2010,DE27,2,0.0592
2014,NUTS,2010,DE27,2,0.0616
2015,NUTS,2010,DE27,2,0.0641
2016,NUTS,2010,DE27,2,0.076
2017,NUTS,2010,DE27,2,0.079
2018,NUTS,2010,DE27,2,0.0848
2019,NUTS,2010,DE27,2,0.1013
2011,NUTS,2010,DE3,1,0.5226
2012,NUTS,2010,DE3,1,0.5415
2013,NUTS,2010,DE3,1,0.5049
2014,NUTS,2010,DE3,1,0.5119
2015,NUTS,2010,DE3,1,0.5202
2016,NUTS,2010,DE3,1,0.5086
2017,NUTS,2010,DE3,1,0.483
2018,NUTS,2010,DE3,1,0.4637
2019,NUTS,2010,DE3,1,0.4663
2011,NUTS,2010,DE30,2,0.5226
2012,NUTS,2010,DE30,2,0.5415
2013,NUTS,2010,DE30,2,0.5049
2014,NUTS,2010,DE30,2,0.5119
2015,NUTS,2010,DE30,2,0.5202
2016,NUTS,2010,DE30,2,0.5086
2017,NUTS,2010,DE30,2,0.483
2018,NUTS,2010,DE30,2,0.4637
2019,NUTS,2010,DE30,2,0.4663
2011,NUTS,2010,DE4,1,0.1595
2012,NUTS,2010,DE4,1,0.1646
2013,NUTS,2010,DE4,1,0.1711
2014,NUTS,2010,DE4,1,0.1705
2015,NUTS,2010,DE4,1,0.1672
2016,NUTS,2010,DE4,1,0.1766
2017,NUTS,2010,DE4,1,0.1871
2018,NUTS,2010,DE4,1,0.1919
2019,NUTS,2010,DE4,1,0.1933
2011,NUTS,2010,DE40,2,0.1595
2012,NUTS,2010,DE40,2,0.1646
2013,NUTS,2010,DE40,2,0.1711
2014,NUTS,2010,DE40,2,0.1705
2015,NUTS,2010,DE40,2,0.1672
2016,NUTS,2010,DE40,2,0.1766
2017,NUTS,2010,DE40,2,0.1871
2018,NUTS,2010,DE40,2,0.1919
2019,NUTS,2010,DE40,2,0.1933
2011,NUTS,2010,DE5,1,0.6063
2012,NUTS,2010,DE5,1,0.5788
2013,NUTS,2010,DE5,1,0.6027
2014,NUTS,2010,DE5,1,0.6035
2015,NUTS,2010,DE5,1,0.5989
2016,NUTS,2010,DE5,1,0.5887
2017,NUTS,2010,DE5,1,0.5889
2018,NUTS,2010,DE5,1,0.5767
2019,NUTS,2010,DE5,1,0.5672
2011,NUTS,2010,DE50,2,0.6063
2012,NUTS,2010,DE50,2,0.5788
2013,NUTS,2010,DE50,2,0.6027
2014,NUTS,2010,DE50,2,0.6035
2015,NUTS,2010,DE50,2,0.5989
2016,NUTS,2010,DE50,2,0.5887
2017,NUTS,2010,DE50,2,0.5889
2018,NUTS,2010,DE50,2,0.5767
2019,NUTS,2010,DE50,2,0.5672
2011,NUTS,2010,DE6,1,0.4115
2012,NUTS,2010,DE6,1,0.4093
2013,NUTS,2010,DE6,1,0.4289
2014,NUTS,2010,DE6,1,0.4231
2015,NUTS,2010,DE6,1,0.4433
2016,NUTS,2010,DE6,1,0.4704
2017,NUTS,2010,DE6,1,0.4554
2018,NUTS,2010,DE6,1,0.4795
2019,NUTS,2010,DE6,1,0.4789
2011,NUTS,2010,DE60,2,0.4115
2012,NUTS,2010,DE60,2,0.4093
2013,NUTS,2010,DE60,2,0.4289
2014,NUTS,2010,DE60,2,0.4231
2015,NUTS,2010,DE60,2,0.4433
2016,NUTS,2010,DE60,2,0.4704
2017,NUTS,2010,DE60,2,0.4554
2018,NUTS,2010,DE60,2,0.4795
2019,NUTS,2010,DE60,2,0.4789
2011,NUTS,2010,DE7,1,0.2561
2012,NUTS,2010,DE7,1,0.25
2013,NUTS,2010,DE7,1,0.2585
2014,NUTS,2010,DE7,1,0.2554
2015,NUTS,2010,DE7,1,0.25
2016,NUTS,2010,DE7,1,0.2752
2017,NUTS,2010,DE7,1,0.2788
2018,NUTS,2010,DE7,1,0.2902
2019,NUTS,2010,DE7,1,0.288
2011,NUTS,2010,DE71,2,0.2281
2012,NUTS,2010,DE71,2,0.2136
2013,NUTS,2010,DE71,2,0.2306
2014,NUTS,2010,DE71,2,0.2322
2015,NUTS,2010,DE71,2,0.2253
2016,NUTS,2010,DE71,2,0.2446
2017,NUTS,2010,DE71,2,0.2482
2018,NUTS,2010,DE71,2,0.2618
2019,NUTS,2010,DE71,2,0.257
2011,NUTS,2010,DE72,2,0.4717
2012,NUTS,2010,DE72,2,0.484
2013,NUTS,2010,DE72,2,0.4839
2014,NUTS,2010,DE72,2,0.4617
2015,NUTS,2010,DE72,2,0.469
2016,NUTS,2010,DE72,2,0.4815
2017,NUTS,2010,DE72,2,0.4948
2018,NUTS,2010,DE72,2,0.5105
2019,NUTS,2010,DE72,2,0.5132
2011,NUTS,2010,DE73,2,0.1622
2012,NUTS,2010,DE73,2,0.1703
2013,NUTS,2010,DE73,2,0.1568
2014,NUTS,2010,DE73,2,0.1518
2015,NUTS,2010,DE73,2,0.1444
2016,NUTS,2010,DE73,2,0.1941
2017,NUTS,2010,DE73,2,0.1979
2018,NUTS,2010,DE73,2,0.2007
2019,NUTS,2010,DE73,2,0.2041
2011,NUTS,2010,DE8,1,0.2483
2012,NUTS,2010,DE8,1,0.2838
2013,NUTS,2010,DE8,1,0.2854
2014,NUTS,2010,DE8,1,0.2955
2015,NUTS,2010,DE8,1,0.2693
2016,NUTS,2010,DE8,1,0.2694
2017,NUTS,2010,DE8,1,0.2788
2018,NUTS,2010,DE8,1,0.2822
2019,NUTS,2010,DE8,1,0.2999
2011,NUTS,2010,DE80,2,0.2483
2012,NUTS,2010,DE80,2,0.2838
2013,NUTS,2010,DE80,2,0.2854
2014,NUTS,2010,DE80,2,0.2955
2015,NUTS,2010,DE80,2,0.2693
2016,NUTS,2010,DE80,2,0.2694
2017,NUTS,2010,DE80,2,0.2788
2018,NUTS,2010,DE80,2,0.2822
2019,NUTS,2010,DE80,2,0.2999
2011,NUTS,2010,DE9,1,0.2651
2012,NUTS,2010,DE9,1,0.2696
2013,NUTS,2010,DE9,1,0.2775
2014,NUTS,2010,DE9,1,0.2739
2015,NUTS,2010,DE9,1,0.2696
2016,NUTS,2010,DE9,1,0.2881
2017,NUTS,2010,DE9,1,0.2921
2018,NUTS,2010,DE9,1,0.2978
2019,NUTS,2010,DE9,1,0.2959
2011,NUTS,2010,DE91,2,0.5776
2012,NUTS,2010,DE91,2,0.5832
2013,NUTS,2010,DE91,2,0.6066
2014,NUTS,2010,DE91,2,0.5998
2015,NUTS,2010,DE91,2,0.5796
2016,NUTS,2010,DE91,2,0.6441
2017,NUTS,2010,DE91,2,0.6628
2018,NUTS,2010,DE91,2,0.6803
2019,NUTS,2010,DE91,2,0.6683
2011,NUTS,2010,DE92,2,0.3867
2012,NUTS,2010,DE92,2,0.3772
2013,NUTS,2010,DE92,2,0.3944
2014,NUTS,2010,DE92,2,0.3826
2015,NUTS,2010,DE92,2,0.3882
2016,NUTS,2010,DE92,2,0.3993
2017,NUTS,2010,DE92,2,0.4017
2018,NUTS,2010,DE92,2,0.4016
2019,NUTS,2010,DE92,2,0.3975
2011,NUTS,2010,DE93,2,0.0452
2012,NUTS,2010,DE93,2,0.0619
2013,NUTS,2010,DE93,2,0.0619
2014,NUTS,2010,DE93,2,0.0565
2015,NUTS,2010,DE93,2,0.0362
2016,NUTS,2010,DE93,2,0.0431
2017,NUTS,2010,DE93,2,0.0421
2018,NUTS,2010,DE93,2,0.0422
2019,NUTS,2010,DE93,2,0.0393
2011,NUTS,2010,DE94,2,0.1162
2012,NUTS,2010,DE94,2,0.1223
2013,NUTS,2010,DE94,2,0.1241
2014,NUTS,2010,DE94,2,0.1324
2015,NUTS,2010,DE94,2,0.1399
2016,NUTS,2010,DE94,2,0.146
2017,NUTS,2010,DE94,2,0.1482
2018,NUTS,2010,DE94,2,0.1536
2019,NUTS,2010,DE94,2,0.157
2011,NUTS,2010,DEA,1,0.2899
2012,NUTS,2010,DEA,1,0.2875
2013,NUTS,2010,DEA,1,0.2838
2014,NUTS,2010,DEA,1,0.3106
2015,NUTS,2010,DEA,1,0.3062
2016,NUTS,2010,DEA,1,0.3198
2017,NUTS,2010,DEA,1,0.3315
2018,NUTS,2010,DEA,1,0.3374
2019,NUTS,2010,DEA,1,0.3362
2011,NUTS,2010,DEA1,2,0.1656
2012,NUTS,2010,DEA1,2,0.1849
2013,NUTS,2010,DEA1,2,0.193
2014,NUTS,2010,DEA1,2,0.2003
2015,NUTS,2010,DEA1,2,0.1994
2016,NUTS,2010,DEA1,2,0.2117
2017,NUTS,2010,DEA1,2,0.2143
2018,NUTS,2010,DEA1,2,0.2342
2019,NUTS,2010,DEA1,2,0.2131
2011,NUTS,2010,DEA2,2,0.5054
2012,NUTS,2010,DEA2,2,0.4781
2013,NUTS,2010,DEA2,2,0.4522
2014,NUTS,2010,DEA2,2,0.5489
2015,NUTS,2010,DEA2,2,0.5391
2016,NUTS,2010,DEA2,2,0.5261
2017,NUTS,2010,DEA2,2,0.5483
2018,NUTS,2010,DEA2,2,0.5451
2019,NUTS,2010,DEA2,2,0.5577
2011,NUTS,2010,DEA3,2,0.2484
2012,NUTS,2010,DEA3,2,0.2477
2013,NUTS,2010,DEA3,2,0.2498
2014,NUTS,2010,DEA3,2,0.2472
2015,NUTS,2010,DEA3,2,0.2383
2016,NUTS,2010,DEA3,2,0.2504
2017,NUTS,2010,DEA3,2,0.2625
2018,NUTS,2010,DEA3,2,0.2625
2019,NUTS,2010,DEA3,2,0.264
2011,NUTS,2010,DEA4,2,0.198
2012,NUTS,2010,DEA4,2,0.1986
2013,NUTS,2010,DEA4,2,0.1992
2014,NUTS,2010,DEA4,2,0.2096
2015,NUTS,2010,DEA4,2,0.2045
2016,NUTS,2010,DEA4,2,0.2349
2017,NUTS,2010,DEA4,2,0.2517
2018,NUTS,2010,DEA4,2,0.2608
2019,NUTS,2010,DEA4,2,0.2589
2011,NUTS,2010,DEA5,2,0.2884
2012,NUTS,2010,DEA5,2,0.2825
2013,NUTS,2010,DEA5,2,0.2831
2014,NUTS,2010,DEA5,2,0.2815
2015,NUTS,2010,DEA5,2,0.2803
2016,NUTS,2010,DEA5,2,0.3119
2017,NUTS,2010,DEA5,2,0.3234
2018,NUTS,2010,DEA5,2,0.3249
2019,NUTS,2010,DEA5,2,0.3313
2011,NUTS,2010,DEB,1,0.1959
2012,NUTS,2010,DEB,1,0.2067
