year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_bes_pc_emp_fte_rse_t
2011,NUTS,2010,AT,0,0.5811
2012,NUTS,2010,AT,0,0.6275
2013,NUTS,2010,AT,0,0.639
2014,NUTS,2010,AT,0,0.6782
2015,NUTS,2010,AT,0,0.6852
2016,NUTS,2010,AT,0,0.7148
2017,NUTS,2010,AT,0,0.7156
2018,NUTS,2010,AT,0,0.7451
2019,NUTS,2010,AT,0,0.7913
2020,NUTS,2010,AT,0,0.7787
2011,NUTS,2010,AT1,1,0.5525
2013,NUTS,2010,AT1,1,0.5758
2015,NUTS,2010,AT1,1,0.5852
2017,NUTS,2010,AT1,1,0.5648
2019,NUTS,2010,AT1,1,0.5883
2011,NUTS,2010,AT11,2,0.1947
2013,NUTS,2010,AT11,2,0.2537
2015,NUTS,2010,AT11,2,0.2676
2017,NUTS,2010,AT11,2,0.316
2019,NUTS,2010,AT11,2,0.3232
2011,NUTS,2010,AT12,2,0.3115
2013,NUTS,2010,AT12,2,0.3015
2015,NUTS,2010,AT12,2,0.3045
2017,NUTS,2010,AT12,2,0.3113
2019,NUTS,2010,AT12,2,0.3782
2011,NUTS,2010,AT13,2,0.8579
2013,NUTS,2010,AT13,2,0.8996
2015,NUTS,2010,AT13,2,0.9155
2017,NUTS,2010,AT13,2,0.8516
2019,NUTS,2010,AT13,2,0.8272
2011,NUTS,2010,AT2,1,0.7645
2013,NUTS,2010,AT2,1,0.7807
2015,NUTS,2010,AT2,1,0.889
2017,NUTS,2010,AT2,1,0.9846
2019,NUTS,2010,AT2,1,1.1862
2011,NUTS,2010,AT21,2,0.6568
2013,NUTS,2010,AT21,2,0.6664
2015,NUTS,2010,AT21,2,0.7714
2017,NUTS,2010,AT21,2,0.8319
2019,NUTS,2010,AT21,2,0.9519
2011,NUTS,2010,AT22,2,0.812
2013,NUTS,2010,AT22,2,0.831
2015,NUTS,2010,AT22,2,0.9404
2017,NUTS,2010,AT22,2,1.0511
2019,NUTS,2010,AT22,2,1.2872
2011,NUTS,2010,AT3,1,0.4846
2013,NUTS,2010,AT3,1,0.6011
2015,NUTS,2010,AT3,1,0.6515
2017,NUTS,2010,AT3,1,0.7074
2019,NUTS,2010,AT3,1,0.7705
2011,NUTS,2010,AT31,2,0.5615
2013,NUTS,2010,AT31,2,0.7484
2015,NUTS,2010,AT31,2,0.8077
2017,NUTS,2010,AT31,2,0.8352
2019,NUTS,2010,AT31,2,0.942
2011,NUTS,2010,AT32,2,0.3254
2013,NUTS,2010,AT32,2,0.3498
2015,NUTS,2010,AT32,2,0.384
2017,NUTS,2010,AT32,2,0.5078
2019,NUTS,2010,AT32,2,0.571
2011,NUTS,2010,AT33,2,0.4809
2013,NUTS,2010,AT33,2,0.4931
2015,NUTS,2010,AT33,2,0.5441
2017,NUTS,2010,AT33,2,0.6349
2019,NUTS,2010,AT33,2,0.6239
2011,NUTS,2010,AT34,2,0.4268
2013,NUTS,2010,AT34,2,0.6159
2015,NUTS,2010,AT34,2,0.6443
2017,NUTS,2010,AT34,2,0.65
2019,NUTS,2010,AT34,2,0.6928
2011,NUTS,2010,BE,0,0.4783
2012,NUTS,2010,BE,0,0.5239
2013,NUTS,2010,BE,0,0.5297
2014,NUTS,2010,BE,0,0.6089
2015,NUTS,2010,BE,0,0.6329
2016,NUTS,2010,BE,0,0.6014
2017,NUTS,2010,BE,0,0.64
2018,NUTS,2010,BE,0,0.6659
2019,NUTS,2010,BE,0,0.7102
2020,NUTS,2010,BE,0,0.8015
2011,NUTS,2010,BE1,1,0.5513
2013,NUTS,2010,BE1,1,0.749
2014,NUTS,2010,BE1,1,0.7167
2015,NUTS,2010,BE1,1,0.7559
2017,NUTS,2010,BE1,1,0.9231
2019,NUTS,2010,BE1,1,1.0831
2011,NUTS,2010,BE10,2,0.5513
2013,NUTS,2010,BE10,2,0.749
2014,NUTS,2010,BE10,2,0.7167
2015,NUTS,2010,BE10,2,0.7559
2017,NUTS,2010,BE10,2,0.9231
2019,NUTS,2010,BE10,2,1.0831
2011,NUTS,2010,BE2,1,0.502
2013,NUTS,2010,BE2,1,0.5318
2014,NUTS,2010,BE2,1,0.594
2015,NUTS,2010,BE2,1,0.6274
2017,NUTS,2010,BE2,1,0.6242
2019,NUTS,2010,BE2,1,0.7171
2014,NUTS,2010,BE21,2,0.7112
2014,NUTS,2010,BE22,2,0.3627
2014,NUTS,2010,BE23,2,0.5164
2014,NUTS,2010,BE24,2,0.8453
2014,NUTS,2010,BE25,2,0.4464
2011,NUTS,2010,BE3,1,0.3928
2013,NUTS,2010,BE3,1,0.4402
2014,NUTS,2010,BE3,1,0.584
2015,NUTS,2010,BE3,1,0.5791
2017,NUTS,2010,BE3,1,0.5544
2019,NUTS,2010,BE3,1,0.5389
2014,NUTS,2010,BE31,2,2.3555
2014,NUTS,2010,BE32,2,0.3741
2014,NUTS,2010,BE33,2,0.3791
2014,NUTS,2010,BE34,2,0.1118
2014,NUTS,2010,BE35,2,0.3061
2011,NUTS,2010,BG,0,0.0536
2012,NUTS,2010,BG,0,0.0734
2013,NUTS,2010,BG,0,0.0969
2014,NUTS,2010,BG,0,0.1233
2015,NUTS,2010,BG,0,0.1875
2016,NUTS,2010,BG,0,0.2096
2017,NUTS,2010,BG,0,0.2159
2018,NUTS,2010,BG,0,0.2648
2019,NUTS,2010,BG,0,0.2744
2020,NUTS,2010,BG,0,0.2756
2011,NUTS,2010,BG3,1,0.02
2012,NUTS,2010,BG3,1,0.0356
2014,NUTS,2010,BG3,1,0.0423
2015,NUTS,2010,BG3,1,0.1006
2016,NUTS,2010,BG3,1,0.0948
2017,NUTS,2010,BG3,1,0.112
2018,NUTS,2010,BG3,1,0.1342
2019,NUTS,2010,BG3,1,0.1366
2016,NUTS,2010,BG31,2,0.1193
2017,NUTS,2010,BG31,2,0.155
2018,NUTS,2010,BG31,2,0.2009
2019,NUTS,2010,BG31,2,0.1796
2011,NUTS,2010,BG32,2,0.0124
2012,NUTS,2010,BG32,2,0.0273
2013,NUTS,2010,BG32,2,0.0334
2014,NUTS,2010,BG32,2,0.0405
2016,NUTS,2010,BG32,2,0.0765
2017,NUTS,2010,BG32,2,0.1204
2018,NUTS,2010,BG32,2,0.1498
2019,NUTS,2010,BG32,2,0.146
2015,NUTS,2010,BG33,2,0.0786
2016,NUTS,2010,BG33,2,0.0998
2017,NUTS,2010,BG33,2,0.101
2018,NUTS,2010,BG33,2,0.1139
2019,NUTS,2010,BG33,2,0.1282
2011,NUTS,2010,BG34,2,0.0227
2012,NUTS,2010,BG34,2,0.031
2015,NUTS,2010,BG34,2,0.1122
2016,NUTS,2010,BG34,2,0.0889
2017,NUTS,2010,BG34,2,0.0894
2018,NUTS,2010,BG34,2,0.1004
2019,NUTS,2010,BG34,2,0.1115
2011,NUTS,2010,BG4,1,0.0815
2012,NUTS,2010,BG4,1,0.1036
2014,NUTS,2010,BG4,1,0.1873
2015,NUTS,2010,BG4,1,0.2541
2016,NUTS,2010,BG4,1,0.2984
2017,NUTS,2010,BG4,1,0.2915
2018,NUTS,2010,BG4,1,0.3586
2019,NUTS,2010,BG4,1,0.3728
2011,NUTS,2010,BG41,2,0.1066
2012,NUTS,2010,BG41,2,0.1428
2013,NUTS,2010,BG41,2,0.1998
2014,NUTS,2010,BG41,2,0.2817
2015,NUTS,2010,BG41,2,0.363
2016,NUTS,2010,BG41,2,0.4227
2017,NUTS,2010,BG41,2,0.4059
2018,NUTS,2010,BG41,2,0.4874
2019,NUTS,2010,BG41,2,0.5121
2011,NUTS,2010,BG42,2,0.0374
2012,NUTS,2010,BG42,2,0.0361
2014,NUTS,2010,BG42,2,0.0338
2015,NUTS,2010,BG42,2,0.072
2016,NUTS,2010,BG42,2,0.0885
2017,NUTS,2010,BG42,2,0.104
2018,NUTS,2010,BG42,2,0.141
2019,NUTS,2010,BG42,2,0.1408
2012,NUTS,2010,CH,0,0.3938
2015,NUTS,2010,CH,0,0.5009
2017,NUTS,2010,CH,0,0.4736
2019,NUTS,2010,CH,0,0.5086
2012,NUTS,2010,CH01,2,0.3095
2015,NUTS,2010,CH01,2,0.5045
2017,NUTS,2010,CH01,2,0.3921
2019,NUTS,2010,CH01,2,0.4193
2012,NUTS,2010,CH02,2,0.355
2015,NUTS,2010,CH02,2,0.2976
2017,NUTS,2010,CH02,2,0.3255
2019,NUTS,2010,CH02,2,0.2865
2012,NUTS,2010,CH03,2,0.4787
2015,NUTS,2010,CH03,2,1.0254
2017,NUTS,2010,CH03,2,1.0702
2019,NUTS,2010,CH03,2,1.1541
2012,NUTS,2010,CH04,2,0.5135
2015,NUTS,2010,CH04,2,0.491
2017,NUTS,2010,CH04,2,0.3889
2019,NUTS,2010,CH04,2,0.42
2012,NUTS,2010,CH05,2,0.3362
2015,NUTS,2010,CH05,2,0.3425
2017,NUTS,2010,CH05,2,0.2557
2019,NUTS,2010,CH05,2,0.4307
2012,NUTS,2010,CH06,2,0.2962
2015,NUTS,2010,CH06,2,0.4238
2017,NUTS,2010,CH06,2,0.4858
2019,NUTS,2010,CH06,2,0.469
2012,NUTS,2010,CH07,2,0.2736
2015,NUTS,2010,CH07,2,0.1647
2017,NUTS,2010,CH07,2,0.2813
2019,NUTS,2010,CH07,2,0.1948
2011,NUTS,2010,CY,0,0.0474
2012,NUTS,2010,CY,0,0.0465
2013,NUTS,2010,CY,0,0.0504
2014,NUTS,2010,CY,0,0.0547
2015,NUTS,2010,CY,0,0.0504
2016,NUTS,2010,CY,0,0.0642
2017,NUTS,2010,CY,0,0.0731
2018,NUTS,2010,CY,0,0.1043
2019,NUTS,2010,CY,0,0.1252
2020,NUTS,2010,CY,0,0.1358
2011,NUTS,2010,CZ,0,0.2832
2012,NUTS,2010,CZ,0,0.313
2013,NUTS,2010,CZ,0,0.3377
2014,NUTS,2010,CZ,0,0.3664
2015,NUTS,2010,CZ,0,0.3883
2016,NUTS,2010,CZ,0,0.3825
2017,NUTS,2010,CZ,0,0.3967
2018,NUTS,2010,CZ,0,0.4109
2019,NUTS,2010,CZ,0,0.4214
2020,NUTS,2010,CZ,0,0.4428
2011,NUTS,2010,CZ0,1,0.2787
2012,NUTS,2010,CZ0,1,0.3079
2013,NUTS,2010,CZ0,1,0.3315
2014,NUTS,2010,CZ0,1,0.3597
2015,NUTS,2010,CZ0,1,0.38
2016,NUTS,2010,CZ0,1,0.3733
2017,NUTS,2010,CZ0,1,0.387
2018,NUTS,2010,CZ0,1,0.3995
2019,NUTS,2010,CZ0,1,0.4093
2020,NUTS,2010,CZ0,1,0.4303
2011,NUTS,2010,CZ01,2,0.4735
2012,NUTS,2010,CZ01,2,0.5311
2013,NUTS,2010,CZ01,2,0.6146
2014,NUTS,2010,CZ01,2,0.6203
2015,NUTS,2010,CZ01,2,0.6568
2016,NUTS,2010,CZ01,2,0.7133
2017,NUTS,2010,CZ01,2,0.7939
2018,NUTS,2010,CZ01,2,0.9183
2019,NUTS,2010,CZ01,2,0.8179
2020,NUTS,2010,CZ01,2,0.8446
2011,NUTS,2010,CZ02,2,0.4119
2012,NUTS,2010,CZ02,2,0.4169
2013,NUTS,2010,CZ02,2,0.3932
2014,NUTS,2010,CZ02,2,0.3771
2015,NUTS,2010,CZ02,2,0.3979
2016,NUTS,2010,CZ02,2,0.3269
2017,NUTS,2010,CZ02,2,0.3295
2018,NUTS,2010,CZ02,2,0.3707
2019,NUTS,2010,CZ02,2,0.3916
2020,NUTS,2010,CZ02,2,0.4095
2011,NUTS,2010,CZ03,2,0.1521
2012,NUTS,2010,CZ03,2,0.1742
2013,NUTS,2010,CZ03,2,0.1798
2014,NUTS,2010,CZ03,2,0.207
2015,NUTS,2010,CZ03,2,0.2158
2016,NUTS,2010,CZ03,2,0.2024
2017,NUTS,2010,CZ03,2,0.2025
2018,NUTS,2010,CZ03,2,0.2183
2019,NUTS,2010,CZ03,2,0.2787
2020,NUTS,2010,CZ03,2,0.2774
2011,NUTS,2010,CZ04,2,0.06
2012,NUTS,2010,CZ04,2,0.0678
2013,NUTS,2010,CZ04,2,0.0601
2014,NUTS,2010,CZ04,2,0.0687
2015,NUTS,2010,CZ04,2,0.0659
2016,NUTS,2010,CZ04,2,0.0616
2017,NUTS,2010,CZ04,2,0.0695
2018,NUTS,2010,CZ04,2,0.0682
2019,NUTS,2010,CZ04,2,0.0708
2020,NUTS,2010,CZ04,2,0.0697
2011,NUTS,2010,CZ05,2,0.2697
2012,NUTS,2010,CZ05,2,0.3048
2013,NUTS,2010,CZ05,2,0.3201
2014,NUTS,2010,CZ05,2,0.3134
2015,NUTS,2010,CZ05,2,0.2986
2016,NUTS,2010,CZ05,2,0.2884
2017,NUTS,2010,CZ05,2,0.299
2018,NUTS,2010,CZ05,2,0.2882
2019,NUTS,2010,CZ05,2,0.3041
2020,NUTS,2010,CZ05,2,0.3163
2011,NUTS,2010,CZ06,2,0.3739
2012,NUTS,2010,CZ06,2,0.418
2013,NUTS,2010,CZ06,2,0.4827
2014,NUTS,2010,CZ06,2,0.6262
2015,NUTS,2010,CZ06,2,0.6956
2016,NUTS,2010,CZ06,2,0.6721
2017,NUTS,2010,CZ06,2,0.6402
2018,NUTS,2010,CZ06,2,0.5657
2019,NUTS,2010,CZ06,2,0.6245
2020,NUTS,2010,CZ06,2,0.716
2011,NUTS,2010,CZ07,2,0.2256
2012,NUTS,2010,CZ07,2,0.2428
2013,NUTS,2010,CZ07,2,0.277
2014,NUTS,2010,CZ07,2,0.2963
2015,NUTS,2010,CZ07,2,0.2848
2016,NUTS,2010,CZ07,2,0.2939
2017,NUTS,2010,CZ07,2,0.3211
2018,NUTS,2010,CZ07,2,0.3266
2019,NUTS,2010,CZ07,2,0.357
2020,NUTS,2010,CZ07,2,0.343
2011,NUTS,2010,CZ08,2,0.1691
2012,NUTS,2010,CZ08,2,0.19
2013,NUTS,2010,CZ08,2,0.1847
2014,NUTS,2010,CZ08,2,0.1996
2015,NUTS,2010,CZ08,2,0.2423
2016,NUTS,2010,CZ08,2,0.2581
2017,NUTS,2010,CZ08,2,0.2747
2018,NUTS,2010,CZ08,2,0.2774
2019,NUTS,2010,CZ08,2,0.2529
2020,NUTS,2010,CZ08,2,0.2584
2011,NUTS,2010,DE,0,0.5079
2012,NUTS,2010,DE,0,0.5279
2013,NUTS,2010,DE,0,0.5208
2014,NUTS,2010,DE,0,0.5159
2015,NUTS,2010,DE,0,0.5971
2016,NUTS,2010,DE,0,0.5949
2017,NUTS,2010,DE,0,0.6328
2018,NUTS,2010,DE,0,0.6525
2019,NUTS,2010,DE,0,0.6835
2020,NUTS,2010,DE,0,0.6855
