year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_total_pps_hab_kp05
2011,NUTS,2010,AT,0,825.5
2012,NUTS,2010,AT,0,904.2
2013,NUTS,2010,AT,0,912.2
2014,NUTS,2010,AT,0,952.1
2015,NUTS,2010,AT,0,942.4
2016,NUTS,2010,AT,0,969.2
2017,NUTS,2010,AT,0,964.0
2018,NUTS,2010,AT,0,993.5
2019,NUTS,2010,AT,0,1016.9
2020,NUTS,2010,AT,0,965.5
2011,NUTS,2010,AT1,1,844.0
2013,NUTS,2010,AT1,1,842.9
2015,NUTS,2010,AT1,1,865.5
2017,NUTS,2010,AT1,1,874.4
2019,NUTS,2010,AT1,1,911.5
2011,NUTS,2010,AT11,2,166.9
2013,NUTS,2010,AT11,2,189.2
2015,NUTS,2010,AT11,2,213.1
2017,NUTS,2010,AT11,2,190.9
2019,NUTS,2010,AT11,2,197.8
2011,NUTS,2010,AT12,2,366.7
2013,NUTS,2010,AT12,2,403.0
2015,NUTS,2010,AT12,2,440.4
2017,NUTS,2010,AT12,2,471.0
2019,NUTS,2010,AT12,2,488.9
2011,NUTS,2010,AT13,2,1408.4
2013,NUTS,2010,AT13,2,1359.4
2015,NUTS,2010,AT13,2,1357.4
2017,NUTS,2010,AT13,2,1341.0
2019,NUTS,2010,AT13,2,1395.4
2011,NUTS,2010,AT2,1,1007.7
2013,NUTS,2010,AT2,1,1144.2
2015,NUTS,2010,AT2,1,1221.6
2017,NUTS,2010,AT2,1,1209.9
2019,NUTS,2010,AT2,1,1328.2
2011,NUTS,2010,AT21,2,720.5
2013,NUTS,2010,AT21,2,734.9
2015,NUTS,2010,AT21,2,808.8
2017,NUTS,2010,AT21,2,779.9
2019,NUTS,2010,AT21,2,892.3
2011,NUTS,2010,AT22,2,1140.3
2013,NUTS,2010,AT22,2,1331.9
2015,NUTS,2010,AT22,2,1410.0
2017,NUTS,2010,AT22,2,1404.8
2019,NUTS,2010,AT22,2,1524.9
2011,NUTS,2010,AT3,1,696.9
2013,NUTS,2010,AT3,1,860.5
2015,NUTS,2010,AT3,1,874.2
2017,NUTS,2010,AT3,1,932.5
2019,NUTS,2010,AT3,1,968.7
2011,NUTS,2010,AT31,2,767.7
2013,NUTS,2010,AT31,2,986.8
2015,NUTS,2010,AT31,2,990.0
2017,NUTS,2010,AT31,2,1120.4
2019,NUTS,2010,AT31,2,1166.2
2011,NUTS,2010,AT32,2,455.2
2013,NUTS,2010,AT32,2,540.5
2015,NUTS,2010,AT32,2,550.4
2017,NUTS,2010,AT32,2,604.2
2019,NUTS,2010,AT32,2,660.1
2011,NUTS,2010,AT33,2,860.5
2013,NUTS,2010,AT33,2,1017.5
2015,NUTS,2010,AT33,2,1020.6
2017,NUTS,2010,AT33,2,972.1
2019,NUTS,2010,AT33,2,982.7
2011,NUTS,2010,AT34,2,458.8
2013,NUTS,2010,AT34,2,534.4
