year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_hes_total_f_pc_act_fte
2011,NUTS,2010,AT,0,0.3499
2013,NUTS,2010,AT,0,0.3578
2015,NUTS,2010,AT,0,0.3748
2017,NUTS,2010,AT,0,0.3687
2019,NUTS,2010,AT,0,0.3998
2011,NUTS,2010,BE,0,0.4792
2012,NUTS,2010,BE,0,0.4752
2013,NUTS,2010,BE,0,0.4791
2014,NUTS,2010,BE,0,0.4865
2015,NUTS,2010,BE,0,0.5453
2016,NUTS,2010,BE,0,0.5199
2017,NUTS,2010,BE,0,0.5228
2018,NUTS,2010,BE,0,0.5198
2019,NUTS,2010,BE,0,0.5245
2011,NUTS,2010,BG,0,0.1588
2012,NUTS,2010,BG,0,0.1334
2013,NUTS,2010,BG,0,0.1432
2014,NUTS,2010,BG,0,0.1594
2015,NUTS,2010,BG,0,0.1536
2016,NUTS,2010,BG,0,0.1987
2017,NUTS,2010,BG,0,0.1516
2018,NUTS,2010,BG,0,0.1577
2019,NUTS,2010,BG,0,0.1497
2011,NUTS,2010,CY,0,0.125
2012,NUTS,2010,CY,0,0.1172
2013,NUTS,2010,CY,0,0.1212
2014,NUTS,2010,CY,0,0.1147
2015,NUTS,2010,CY,0,0.1145
2016,NUTS,2010,CY,0,0.1158
2017,NUTS,2010,CY,0,0.1347
2018,NUTS,2010,CY,0,0.1436
2019,NUTS,2010,CY,0,0.1616
2011,NUTS,2010,CZ,0,0.2544
2012,NUTS,2010,CZ,0,0.2856
2013,NUTS,2010,CZ,0,0.2779
2014,NUTS,2010,CZ,0,0.2852
2015,NUTS,2010,CZ,0,0.2937
2016,NUTS,2010,CZ,0,0.2578
2017,NUTS,2010,CZ,0,0.2638
2018,NUTS,2010,CZ,0,0.3124
2019,NUTS,2010,CZ,0,0.3426
2020,NUTS,2010,CZ,0,0.351
2011,NUTS,2010,DE,0,0.2819
2012,NUTS,2010,DE,0,0.2907
2013,NUTS,2010,DE,0,0.2996
2014,NUTS,2010,DE,0,0.3036
2015,NUTS,2010,DE,0,0.3081
2016,NUTS,2010,DE,0,0.3153
2017,NUTS,2010,DE,0,0.3191
2018,NUTS,2010,DE,0,0.3294
2019,NUTS,2010,DE,0,0.3282
2011,NUTS,2010,DK,0,0.658
2012,NUTS,2010,DK,0,0.7016
2013,NUTS,2010,DK,0,0.7565
2014,NUTS,2010,DK,0,0.7099
2015,NUTS,2010,DK,0,0.739
2016,NUTS,2010,DK,0,0.7763
2017,NUTS,2010,DK,0,0.7655
2018,NUTS,2010,DK,0,0.7737
2019,NUTS,2010,DK,0,0.7841
2011,NUTS,2010,EE,0,0.3979
2012,NUTS,2010,EE,0,0.4503
2013,NUTS,2010,EE,0,0.424
2014,NUTS,2010,EE,0,0.4991
2015,NUTS,2010,EE,0,0.4872
2016,NUTS,2010,EE,0,0.4536
2017,NUTS,2010,EE,0,0.4603
2018,NUTS,2010,EE,0,0.4988
2019,NUTS,2010,EE,0,0.4567
2011,NUTS,2010,EL,0,0.4361
2013,NUTS,2010,EL,0,0.4738
2015,NUTS,2010,EL,0,0.5158
2017,NUTS,2010,EL,0,0.4646
2019,NUTS,2010,EL,0,0.5447
2011,NUTS,2010,ES,0,0.3419
2012,NUTS,2010,ES,0,0.3261
2013,NUTS,2010,ES,0,0.3154
2014,NUTS,2010,ES,0,0.3128
2015,NUTS,2010,ES,0,0.3167
2016,NUTS,2010,ES,0,0.327
2017,NUTS,2010,ES,0,0.3358
2018,NUTS,2010,ES,0,0.3412
2019,NUTS,2010,ES,0,0.3542
2011,NUTS,2010,FR,0,0.2857
2012,NUTS,2010,FR,0,0.2847
2013,NUTS,2010,FR,0,0.2821
2014,NUTS,2010,FR,0,0.3287
2016,NUTS,2010,FR,0,0.3863
2017,NUTS,2010,FR,0,0.3931
2011,NUTS,2010,HR,0,0.2794
2012,NUTS,2010,HR,0,0.2775
2013,NUTS,2010,HR,0,0.2845
2014,NUTS,2010,HR,0,0.2564
2015,NUTS,2010,HR,0,0.284
2016,NUTS,2010,HR,0,0.3404
