year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_total_pc_gdp
2011,NUTS,2010,AT,0,2.67
2012,NUTS,2010,AT,0,2.91
2013,NUTS,2010,AT,0,2.95
2014,NUTS,2010,AT,0,3.08
2015,NUTS,2010,AT,0,3.05
2016,NUTS,2010,AT,0,3.12
2017,NUTS,2010,AT,0,3.06
2018,NUTS,2010,AT,0,3.09
2019,NUTS,2010,AT,0,3.13
2020,NUTS,2010,AT,0,3.2
2011,NUTS,2010,AT1,1,2.67
2013,NUTS,2010,AT1,1,2.7
2015,NUTS,2010,AT1,1,2.8
2017,NUTS,2010,AT1,1,2.79
2019,NUTS,2010,AT1,1,2.83
2011,NUTS,2010,AT11,2,0.81
2013,NUTS,2010,AT11,2,0.89
2015,NUTS,2010,AT11,2,0.99
2017,NUTS,2010,AT11,2,0.85
2019,NUTS,2010,AT11,2,0.87
2011,NUTS,2010,AT12,2,1.46
2013,NUTS,2010,AT12,2,1.6
2015,NUTS,2010,AT12,2,1.74
2017,NUTS,2010,AT12,2,1.8
2019,NUTS,2010,AT12,2,1.8
2011,NUTS,2010,AT13,2,3.56
2013,NUTS,2010,AT13,2,3.54
2015,NUTS,2010,AT13,2,3.63
2017,NUTS,2010,AT13,2,3.6
2019,NUTS,2010,AT13,2,3.65
2011,NUTS,2010,AT2,1,3.73
2013,NUTS,2010,AT2,1,4.24
2015,NUTS,2010,AT2,1,4.52
2017,NUTS,2010,AT2,1,4.31
2019,NUTS,2010,AT2,1,4.57
2011,NUTS,2010,AT21,2,2.74
2013,NUTS,2010,AT21,2,2.83
2015,NUTS,2010,AT21,2,3.13
2017,NUTS,2010,AT21,2,2.93
2019,NUTS,2010,AT21,2,3.22
2011,NUTS,2010,AT22,2,4.17
2013,NUTS,2010,AT22,2,4.85
2015,NUTS,2010,AT22,2,5.11
2017,NUTS,2010,AT22,2,4.88
2019,NUTS,2010,AT22,2,5.15
2011,NUTS,2010,AT3,1,2.16
2013,NUTS,2010,AT3,1,2.63
2015,NUTS,2010,AT3,1,2.64
2017,NUTS,2010,AT3,1,2.76
2019,NUTS,2010,AT3,1,2.79
2011,NUTS,2010,AT31,2,2.46
2013,NUTS,2010,AT31,2,3.14
2015,NUTS,2010,AT31,2,3.15
2017,NUTS,2010,AT31,2,3.48
2019,NUTS,2010,AT31,2,3.51
2011,NUTS,2010,AT32,2,1.25
2013,NUTS,2010,AT32,2,1.49
2015,NUTS,2010,AT32,2,1.5
2017,NUTS,2010,AT32,2,1.6
2019,NUTS,2010,AT32,2,1.7
2011,NUTS,2010,AT33,2,2.7
2013,NUTS,2010,AT33,2,3.12
2015,NUTS,2010,AT33,2,3.09
2017,NUTS,2010,AT33,2,2.9
2019,NUTS,2010,AT33,2,2.83
2011,NUTS,2010,AT34,2,1.42
2013,NUTS,2010,AT34,2,1.64
2015,NUTS,2010,AT34,2,1.77
2017,NUTS,2010,AT34,2,1.77
2019,NUTS,2010,AT34,2,1.82
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,0.27
2013,NUTS,2010,BA,0,0.32
2014,NUTS,2010,BA,0,0.26
2019,NUTS,2010,BA,0,0.19
2011,NUTS,2010,BE,0,2.17
2012,NUTS,2010,BE,0,2.28
2013,NUTS,2010,BE,0,2.33
2014,NUTS,2010,BE,0,2.37
2015,NUTS,2010,BE,0,2.43
2016,NUTS,2010,BE,0,2.52
2017,NUTS,2010,BE,0,2.67
2018,NUTS,2010,BE,0,2.86
2019,NUTS,2010,BE,0,3.16
2020,NUTS,2010,BE,0,3.48
2011,NUTS,2010,BE1,1,1.34
2012,NUTS,2010,BE1,1,1.4
2013,NUTS,2010,BE1,1,1.47
2014,NUTS,2010,BE1,1,1.62
2015,NUTS,2010,BE1,1,1.7
2016,NUTS,2010,BE1,1,1.9
2017,NUTS,2010,BE1,1,2.04
2018,NUTS,2010,BE1,1,2.25
2019,NUTS,2010,BE1,1,2.32
2011,NUTS,2010,BE10,2,1.34
2012,NUTS,2010,BE10,2,1.4
2013,NUTS,2010,BE10,2,1.47
2014,NUTS,2010,BE10,2,1.62
2015,NUTS,2010,BE10,2,1.7
2016,NUTS,2010,BE10,2,1.9
2017,NUTS,2010,BE10,2,2.04
2018,NUTS,2010,BE10,2,2.25
2019,NUTS,2010,BE10,2,2.32
2011,NUTS,2010,BE2,1,2.33
2012,NUTS,2010,BE2,1,2.5
2013,NUTS,2010,BE2,1,2.54
2014,NUTS,2010,BE2,1,2.59
2015,NUTS,2010,BE2,1,2.66
2016,NUTS,2010,BE2,1,2.74
2017,NUTS,2010,BE2,1,2.87
2018,NUTS,2010,BE2,1,2.94
2019,NUTS,2010,BE2,1,3.35
2011,NUTS,2010,BE21,2,2.66
2012,NUTS,2010,BE21,2,2.66
2013,NUTS,2010,BE21,2,2.68
2014,NUTS,2010,BE21,2,3.02
2015,NUTS,2010,BE21,2,3.12
2016,NUTS,2010,BE21,2,3.24
2017,NUTS,2010,BE21,2,3.45
2011,NUTS,2010,BE22,2,1.17
2012,NUTS,2010,BE22,2,1.22
2013,NUTS,2010,BE22,2,1.3
2014,NUTS,2010,BE22,2,1.32
2015,NUTS,2010,BE22,2,1.36
2016,NUTS,2010,BE22,2,1.49
2017,NUTS,2010,BE22,2,1.58
2011,NUTS,2010,BE23,2,2.27
2012,NUTS,2010,BE23,2,2.57
2013,NUTS,2010,BE23,2,2.68
2014,NUTS,2010,BE23,2,2.5
2015,NUTS,2010,BE23,2,2.49
2016,NUTS,2010,BE23,2,2.73
2017,NUTS,2010,BE23,2,2.7
2011,NUTS,2010,BE24,2,3.69
2012,NUTS,2010,BE24,2,3.94
2013,NUTS,2010,BE24,2,3.98
2014,NUTS,2010,BE24,2,4.16
2015,NUTS,2010,BE24,2,4.22
2016,NUTS,2010,BE24,2,4.0
2017,NUTS,2010,BE24,2,4.21
2011,NUTS,2010,BE25,2,1.06
2012,NUTS,2010,BE25,2,1.37
2013,NUTS,2010,BE25,2,1.37
2014,NUTS,2010,BE25,2,1.06
2015,NUTS,2010,BE25,2,1.12
2016,NUTS,2010,BE25,2,1.2
2017,NUTS,2010,BE25,2,1.34
2011,NUTS,2010,BE3,1,2.47
2012,NUTS,2010,BE3,1,2.47
2013,NUTS,2010,BE3,1,2.51
2014,NUTS,2010,BE3,1,2.43
2015,NUTS,2010,BE3,1,2.46
2016,NUTS,2010,BE3,1,2.49
2017,NUTS,2010,BE3,1,2.66
2018,NUTS,2010,BE3,1,3.15
2019,NUTS,2010,BE3,1,3.34
2011,NUTS,2010,BE31,2,8.24
2012,NUTS,2010,BE31,2,8.8
2013,NUTS,2010,BE31,2,8.56
2014,NUTS,2010,BE31,2,6.61
2015,NUTS,2010,BE31,2,6.33
2016,NUTS,2010,BE31,2,7.4
2017,NUTS,2010,BE31,2,7.73
2011,NUTS,2010,BE32,2,1.53
2012,NUTS,2010,BE32,2,1.34
2013,NUTS,2010,BE32,2,1.4
2014,NUTS,2010,BE32,2,1.63
2015,NUTS,2010,BE32,2,1.62
2016,NUTS,2010,BE32,2,1.27
2017,NUTS,2010,BE32,2,1.45
2011,NUTS,2010,BE33,2,1.57
2012,NUTS,2010,BE33,2,1.52
2013,NUTS,2010,BE33,2,1.61
2014,NUTS,2010,BE33,2,1.86
2015,NUTS,2010,BE33,2,2.08
2016,NUTS,2010,BE33,2,2.08
2017,NUTS,2010,BE33,2,2.19
2011,NUTS,2010,BE34,2,0.39
2012,NUTS,2010,BE34,2,0.27
2013,NUTS,2010,BE34,2,0.24
2014,NUTS,2010,BE34,2,0.72
2015,NUTS,2010,BE34,2,0.81
2016,NUTS,2010,BE34,2,0.27
2017,NUTS,2010,BE34,2,0.28
2011,NUTS,2010,BE35,2,1.21
2012,NUTS,2010,BE35,2,0.79
2013,NUTS,2010,BE35,2,0.78
2014,NUTS,2010,BE35,2,1.23
2015,NUTS,2010,BE35,2,1.25
2016,NUTS,2010,BE35,2,0.95
2017,NUTS,2010,BE35,2,1.02
2012,NUTS,2010,BEZ,1,0.0
2013,NUTS,2010,BEZ,1,0.0
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2018,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2012,NUTS,2010,BEZZ,2,0.0
2013,NUTS,2010,BEZZ,2,0.0
2014,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2018,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
2011,NUTS,2010,BG,0,0.53
2012,NUTS,2010,BG,0,0.6
2013,NUTS,2010,BG,0,0.63
2014,NUTS,2010,BG,0,0.79
2015,NUTS,2010,BG,0,0.95
2016,NUTS,2010,BG,0,0.77
2017,NUTS,2010,BG,0,0.74
2018,NUTS,2010,BG,0,0.75
2019,NUTS,2010,BG,0,0.83
2020,NUTS,2010,BG,0,0.85
2011,NUTS,2010,BG3,1,0.15
2012,NUTS,2010,BG3,1,0.16
2013,NUTS,2010,BG3,1,0.21
2014,NUTS,2010,BG3,1,0.25
2015,NUTS,2010,BG3,1,0.42
2016,NUTS,2010,BG3,1,0.4
2017,NUTS,2010,BG3,1,0.39
2018,NUTS,2010,BG3,1,0.38
2019,NUTS,2010,BG3,1,0.41
2011,NUTS,2010,BG31,2,0.12
2012,NUTS,2010,BG31,2,0.16
2013,NUTS,2010,BG31,2,0.18
2014,NUTS,2010,BG31,2,0.2
2015,NUTS,2010,BG31,2,0.55
2016,NUTS,2010,BG31,2,0.47
2017,NUTS,2010,BG31,2,0.45
2018,NUTS,2010,BG31,2,0.49
2019,NUTS,2010,BG31,2,0.41
2011,NUTS,2010,BG32,2,0.12
2012,NUTS,2010,BG32,2,0.11
2013,NUTS,2010,BG32,2,0.15
2014,NUTS,2010,BG32,2,0.15
2015,NUTS,2010,BG32,2,0.52
2016,NUTS,2010,BG32,2,0.41
2017,NUTS,2010,BG32,2,0.38
2018,NUTS,2010,BG32,2,0.32
2019,NUTS,2010,BG32,2,0.34
2011,NUTS,2010,BG33,2,0.2
2012,NUTS,2010,BG33,2,0.22
2013,NUTS,2010,BG33,2,0.33
2014,NUTS,2010,BG33,2,0.36
2015,NUTS,2010,BG33,2,0.37
2016,NUTS,2010,BG33,2,0.51
2017,NUTS,2010,BG33,2,0.48
2018,NUTS,2010,BG33,2,0.43
2019,NUTS,2010,BG33,2,0.51
2011,NUTS,2010,BG34,2,0.14
2012,NUTS,2010,BG34,2,0.15
2013,NUTS,2010,BG34,2,0.16
2014,NUTS,2010,BG34,2,0.26
2015,NUTS,2010,BG34,2,0.33
2016,NUTS,2010,BG34,2,0.27
2017,NUTS,2010,BG34,2,0.3
2018,NUTS,2010,BG34,2,0.32
2019,NUTS,2010,BG34,2,0.36
2011,NUTS,2010,BG4,1,0.76
2012,NUTS,2010,BG4,1,0.87
2013,NUTS,2010,BG4,1,0.9
2014,NUTS,2010,BG4,1,1.13
2015,NUTS,2010,BG4,1,1.27
2016,NUTS,2010,BG4,1,1.0
2017,NUTS,2010,BG4,1,0.95
2018,NUTS,2010,BG4,1,0.98
2019,NUTS,2010,BG4,1,1.06
2011,NUTS,2010,BG41,2,0.92
2012,NUTS,2010,BG41,2,1.06
2013,NUTS,2010,BG41,2,1.1
2014,NUTS,2010,BG41,2,1.39
2015,NUTS,2010,BG41,2,1.49
2016,NUTS,2010,BG41,2,1.14
2017,NUTS,2010,BG41,2,1.09
2018,NUTS,2010,BG41,2,1.13
2019,NUTS,2010,BG41,2,1.21
2011,NUTS,2010,BG42,2,0.2
2012,NUTS,2010,BG42,2,0.23
2013,NUTS,2010,BG42,2,0.21
2014,NUTS,2010,BG42,2,0.26
2015,NUTS,2010,BG42,2,0.51
2016,NUTS,2010,BG42,2,0.49
2017,NUTS,2010,BG42,2,0.48
2018,NUTS,2010,BG42,2,0.44
2019,NUTS,2010,BG42,2,0.54
2012,NUTS,2010,CH,0,2.85
2015,NUTS,2010,CH,0,3.04
2017,NUTS,2010,CH,0,3.03
2019,NUTS,2010,CH,0,3.15
2012,NUTS,2010,CH0,1,2.85
2015,NUTS,2010,CH0,1,3.04
2017,NUTS,2010,CH0,1,3.03
2019,NUTS,2010,CH0,1,3.15
2011,NUTS,2010,CN_X_HK,5,1.78
2012,NUTS,2010,CN_X_HK,5,1.91
2013,NUTS,2010,CN_X_HK,5,1.99
2014,NUTS,2010,CN_X_HK,5,2.02
2015,NUTS,2010,CN_X_HK,5,2.06
2016,NUTS,2010,CN_X_HK,5,2.1
2017,NUTS,2010,CN_X_HK,5,2.12
2018,NUTS,2010,CN_X_HK,5,2.14
2019,NUTS,2010,CN_X_HK,5,2.23
2011,NUTS,2010,CY,0,0.45
2012,NUTS,2010,CY,0,0.44
2013,NUTS,2010,CY,0,0.49
2014,NUTS,2010,CY,0,0.51
2015,NUTS,2010,CY,0,0.48
2016,NUTS,2010,CY,0,0.52
2017,NUTS,2010,CY,0,0.54
2018,NUTS,2010,CY,0,0.62
2019,NUTS,2010,CY,0,0.71
2020,NUTS,2010,CY,0,0.82
2011,NUTS,2010,CY0,1,0.45
2012,NUTS,2010,CY0,1,0.44
2013,NUTS,2010,CY0,1,0.49
2014,NUTS,2010,CY0,1,0.51
2015,NUTS,2010,CY0,1,0.48
2016,NUTS,2010,CY0,1,0.52
2017,NUTS,2010,CY0,1,0.54
2018,NUTS,2010,CY0,1,0.62
2019,NUTS,2010,CY0,1,0.71
2020,NUTS,2010,CY0,1,0.82
2011,NUTS,2010,CY00,2,0.45
2012,NUTS,2010,CY00,2,0.44
2013,NUTS,2010,CY00,2,0.49
2014,NUTS,2010,CY00,2,0.51
2015,NUTS,2010,CY00,2,0.48
2016,NUTS,2010,CY00,2,0.52
2017,NUTS,2010,CY00,2,0.54
2018,NUTS,2010,CY00,2,0.62
2019,NUTS,2010,CY00,2,0.71
2020,NUTS,2010,CY00,2,0.82
2011,NUTS,2010,CZ,0,1.54
2012,NUTS,2010,CZ,0,1.77
2013,NUTS,2010,CZ,0,1.88
2014,NUTS,2010,CZ,0,1.96
2015,NUTS,2010,CZ,0,1.92
2016,NUTS,2010,CZ,0,1.67
2017,NUTS,2010,CZ,0,1.77
2018,NUTS,2010,CZ,0,1.9
2019,NUTS,2010,CZ,0,1.93
2020,NUTS,2010,CZ,0,1.99
2011,NUTS,2010,CZ0,1,1.54
2012,NUTS,2010,CZ0,1,1.77
2013,NUTS,2010,CZ0,1,1.88
2014,NUTS,2010,CZ0,1,1.96
2015,NUTS,2010,CZ0,1,1.92
2016,NUTS,2010,CZ0,1,1.67
2017,NUTS,2010,CZ0,1,1.77
2018,NUTS,2010,CZ0,1,1.9
2019,NUTS,2010,CZ0,1,1.93
2020,NUTS,2010,CZ0,1,1.99
2011,NUTS,2010,CZ01,2,2.16
2012,NUTS,2010,CZ01,2,2.31
2013,NUTS,2010,CZ01,2,2.4
2014,NUTS,2010,CZ01,2,2.58
2015,NUTS,2010,CZ01,2,2.68
