year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_bes_rse_pc_emp_fte_f
2011,NUTS,2010,AT,0,0.1902
2013,NUTS,2010,AT,0,0.2137
2015,NUTS,2010,AT,0,0.2246
2017,NUTS,2010,AT,0,0.2439
2019,NUTS,2010,AT,0,0.2701
2011,NUTS,2010,AT1,1,0.2515
2013,NUTS,2010,AT1,1,0.2545
2015,NUTS,2010,AT1,1,0.2571
2017,NUTS,2010,AT1,1,0.2343
2019,NUTS,2010,AT1,1,0.2564
2011,NUTS,2010,AT11,2,0.0536
2013,NUTS,2010,AT11,2,0.0473
2015,NUTS,2010,AT11,2,0.0547
2017,NUTS,2010,AT11,2,0.0733
2019,NUTS,2010,AT11,2,0.0508
2011,NUTS,2010,AT12,2,0.1192
2013,NUTS,2010,AT12,2,0.1112
2015,NUTS,2010,AT12,2,0.1081
2017,NUTS,2010,AT12,2,0.109
2019,NUTS,2010,AT12,2,0.1561
2011,NUTS,2010,AT13,2,0.4128
2013,NUTS,2010,AT13,2,0.4228
2015,NUTS,2010,AT13,2,0.4323
2017,NUTS,2010,AT13,2,0.3794
2019,NUTS,2010,AT13,2,0.3816
2011,NUTS,2010,AT2,1,0.1948
2013,NUTS,2010,AT2,1,0.2219
2015,NUTS,2010,AT2,1,0.2426
2017,NUTS,2010,AT2,1,0.3152
2019,NUTS,2010,AT2,1,0.3784
2011,NUTS,2010,AT21,2,0.1465
2013,NUTS,2010,AT21,2,0.1298
2015,NUTS,2010,AT21,2,0.1741
2017,NUTS,2010,AT21,2,0.3233
2019,NUTS,2010,AT21,2,0.3747
2011,NUTS,2010,AT22,2,0.216
2013,NUTS,2010,AT22,2,0.2633
2015,NUTS,2010,AT22,2,0.2728
2017,NUTS,2010,AT22,2,0.3117
2019,NUTS,2010,AT22,2,0.38
2011,NUTS,2010,AT3,1,0.1105
2013,NUTS,2010,AT3,1,0.1552
2015,NUTS,2010,AT3,1,0.1683
2017,NUTS,2010,AT3,1,0.2071
2019,NUTS,2010,AT3,1,0.2182
2011,NUTS,2010,AT31,2,0.1074
2013,NUTS,2010,AT31,2,0.1625
2015,NUTS,2010,AT31,2,0.1753
2017,NUTS,2010,AT31,2,0.1883
2019,NUTS,2010,AT31,2,0.2425
2011,NUTS,2010,AT32,2,0.0693
2013,NUTS,2010,AT32,2,0.0788
2015,NUTS,2010,AT32,2,0.0876
2017,NUTS,2010,AT32,2,0.1144
2019,NUTS,2010,AT32,2,0.1429
2011,NUTS,2010,AT33,2,0.1698
2013,NUTS,2010,AT33,2,0.2224
2015,NUTS,2010,AT33,2,0.2476
2017,NUTS,2010,AT33,2,0.3534
2019,NUTS,2010,AT33,2,0.27
2011,NUTS,2010,AT34,2,0.0663
2013,NUTS,2010,AT34,2,0.1066
2015,NUTS,2010,AT34,2,0.104
2017,NUTS,2010,AT34,2,0.1286
2019,NUTS,2010,AT34,2,0.1354
2011,NUTS,2010,BE,0,0.2288
2011,NUTS,2010,BE1,1,0.2857
2011,NUTS,2010,BE10,2,0.2857
2011,NUTS,2010,BE2,1,0.227
2011,NUTS,2010,BE3,1,0.2104
2011,NUTS,2010,BG,0,0.0529
2012,NUTS,2010,BG,0,0.0676
2013,NUTS,2010,BG,0,0.0884
2014,NUTS,2010,BG,0,0.1045
2015,NUTS,2010,BG,0,0.1548
2016,NUTS,2010,BG,0,0.1758
2017,NUTS,2010,BG,0,0.165
2018,NUTS,2010,BG,0,0.1943
2019,NUTS,2010,BG,0,0.2075
2011,NUTS,2010,BG3,1,0.0179
2012,NUTS,2010,BG3,1,0.0267
2015,NUTS,2010,BG3,1,0.0856
2016,NUTS,2010,BG3,1,0.0757
2017,NUTS,2010,BG3,1,0.0835
2018,NUTS,2010,BG3,1,0.1041
2019,NUTS,2010,BG3,1,0.1094
2017,NUTS,2010,BG31,2,0.1171
2018,NUTS,2010,BG31,2,0.1459
2019,NUTS,2010,BG31,2,0.1477
2011,NUTS,2010,BG32,2,0.0093
2012,NUTS,2010,BG32,2,0.0247
2013,NUTS,2010,BG32,2,0.0365
2014,NUTS,2010,BG32,2,0.0465
2016,NUTS,2010,BG32,2,0.0703
2017,NUTS,2010,BG32,2,0.0991
2018,NUTS,2010,BG32,2,0.1247
2019,NUTS,2010,BG32,2,0.1199
2011,NUTS,2010,BG33,2,0.0178
2012,NUTS,2010,BG33,2,0.0221
2014,NUTS,2010,BG33,2,0.0152
2015,NUTS,2010,BG33,2,0.0772
2017,NUTS,2010,BG33,2,0.0798
2018,NUTS,2010,BG33,2,0.1004
2019,NUTS,2010,BG33,2,0.1166
2015,NUTS,2010,BG34,2,0.0791
2016,NUTS,2010,BG34,2,0.0521
2017,NUTS,2010,BG34,2,0.0541
2018,NUTS,2010,BG34,2,0.0661
2019,NUTS,2010,BG34,2,0.0725
2011,NUTS,2010,BG4,1,0.081
2012,NUTS,2010,BG4,1,0.0997
2015,NUTS,2010,BG4,1,0.2053
2016,NUTS,2010,BG4,1,0.2509
2017,NUTS,2010,BG4,1,0.2223
2018,NUTS,2010,BG4,1,0.256
2019,NUTS,2010,BG4,1,0.2742
2011,NUTS,2010,BG41,2,0.0973
2012,NUTS,2010,BG41,2,0.1357
2015,NUTS,2010,BG41,2,0.2863
2016,NUTS,2010,BG41,2,0.3565
2017,NUTS,2010,BG41,2,0.3071
2018,NUTS,2010,BG41,2,0.3506
2019,NUTS,2010,BG41,2,0.3798
2011,NUTS,2010,BG42,2,0.0513
2012,NUTS,2010,BG42,2,0.0377
2014,NUTS,2010,BG42,2,0.0281
2015,NUTS,2010,BG42,2,0.0615
2016,NUTS,2010,BG42,2,0.0634
2017,NUTS,2010,BG42,2,0.0766
2018,NUTS,2010,BG42,2,0.089
2019,NUTS,2010,BG42,2,0.0909
2011,NUTS,2010,CY,0,0.0305
2012,NUTS,2010,CY,0,0.0328
2013,NUTS,2010,CY,0,0.0371
2014,NUTS,2010,CY,0,0.0386
2015,NUTS,2010,CY,0,0.036
2016,NUTS,2010,CY,0,0.0416
2017,NUTS,2010,CY,0,0.0489
2018,NUTS,2010,CY,0,0.0656
2019,NUTS,2010,CY,0,0.0755
2011,NUTS,2010,CZ,0,0.0887
2012,NUTS,2010,CZ,0,0.0981
2013,NUTS,2010,CZ,0,0.1054
2014,NUTS,2010,CZ,0,0.1164
2015,NUTS,2010,CZ,0,0.1094
2016,NUTS,2010,CZ,0,0.1053
2017,NUTS,2010,CZ,0,0.1086
2018,NUTS,2010,CZ,0,0.1131
2019,NUTS,2010,CZ,0,0.122
2020,NUTS,2010,CZ,0,0.1345
2011,NUTS,2010,CZ0,1,0.0874
2012,NUTS,2010,CZ0,1,0.0966
2013,NUTS,2010,CZ0,1,0.1035
2014,NUTS,2010,CZ0,1,0.1144
2015,NUTS,2010,CZ0,1,0.1072
2016,NUTS,2010,CZ0,1,0.1029
2017,NUTS,2010,CZ0,1,0.1061
2018,NUTS,2010,CZ0,1,0.1101
2019,NUTS,2010,CZ0,1,0.1186
2020,NUTS,2010,CZ0,1,0.1309
2011,NUTS,2010,CZ01,2,0.155
2012,NUTS,2010,CZ01,2,0.1835
2013,NUTS,2010,CZ01,2,0.2197
2014,NUTS,2010,CZ01,2,0.2156
2015,NUTS,2010,CZ01,2,0.2185
2016,NUTS,2010,CZ01,2,0.2763
2017,NUTS,2010,CZ01,2,0.2417
2018,NUTS,2010,CZ01,2,0.2557
2019,NUTS,2010,CZ01,2,0.2565
2020,NUTS,2010,CZ01,2,0.2607
2011,NUTS,2010,CZ02,2,0.1505
2012,NUTS,2010,CZ02,2,0.1559
2013,NUTS,2010,CZ02,2,0.1246
2014,NUTS,2010,CZ02,2,0.1121
