year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_hes_rse_pc_act_hc_t
2015,NUTS,2010,DE2,1,0.5679
2016,NUTS,2010,DE2,1,0.5503
2017,NUTS,2010,DE2,1,0.5523
2018,NUTS,2010,DE2,1,0.5601
2019,NUTS,2010,DE2,1,0.5831
2011,NUTS,2010,DE21,2,0.7102
2012,NUTS,2010,DE21,2,0.729
2013,NUTS,2010,DE21,2,0.7468
2014,NUTS,2010,DE21,2,0.7481
2015,NUTS,2010,DE21,2,0.7533
2016,NUTS,2010,DE21,2,0.7085
2017,NUTS,2010,DE21,2,0.695
2018,NUTS,2010,DE21,2,0.7055
2019,NUTS,2010,DE21,2,0.7146
2011,NUTS,2010,DE22,2,0.1368
2012,NUTS,2010,DE22,2,0.1374
2013,NUTS,2010,DE22,2,0.151
2014,NUTS,2010,DE22,2,0.1623
2015,NUTS,2010,DE22,2,0.1632
2016,NUTS,2010,DE22,2,0.1744
2017,NUTS,2010,DE22,2,0.1747
2018,NUTS,2010,DE22,2,0.1963
2019,NUTS,2010,DE22,2,0.2076
2011,NUTS,2010,DE23,2,0.5159
2012,NUTS,2010,DE23,2,0.5316
2013,NUTS,2010,DE23,2,0.5242
2014,NUTS,2010,DE23,2,0.5296
2015,NUTS,2010,DE23,2,0.5298
2016,NUTS,2010,DE23,2,0.5318
2017,NUTS,2010,DE23,2,0.5373
2018,NUTS,2010,DE23,2,0.5484
2019,NUTS,2010,DE23,2,0.5577
2011,NUTS,2010,DE24,2,0.4502
2012,NUTS,2010,DE24,2,0.4711
2013,NUTS,2010,DE24,2,0.4774
2014,NUTS,2010,DE24,2,0.474
2015,NUTS,2010,DE24,2,0.4987
2016,NUTS,2010,DE24,2,0.4784
2017,NUTS,2010,DE24,2,0.4865
2018,NUTS,2010,DE24,2,0.5022
2019,NUTS,2010,DE24,2,0.506
2011,NUTS,2010,DE25,2,0.6374
2012,NUTS,2010,DE25,2,0.6846
2013,NUTS,2010,DE25,2,0.7405
2014,NUTS,2010,DE25,2,0.7379
2015,NUTS,2010,DE25,2,0.7505
2016,NUTS,2010,DE25,2,0.7475
2017,NUTS,2010,DE25,2,0.7681
2018,NUTS,2010,DE25,2,0.7627
2019,NUTS,2010,DE25,2,0.7938
2011,NUTS,2010,DE26,2,0.6103
2012,NUTS,2010,DE26,2,0.654
2013,NUTS,2010,DE26,2,0.6725
2014,NUTS,2010,DE26,2,0.6765
2015,NUTS,2010,DE26,2,0.671
2016,NUTS,2010,DE26,2,0.6731
2017,NUTS,2010,DE26,2,0.7045
2018,NUTS,2010,DE26,2,0.7055
2019,NUTS,2010,DE26,2,0.7212
2011,NUTS,2010,DE27,2,0.1499
2012,NUTS,2010,DE27,2,0.1606
2013,NUTS,2010,DE27,2,0.1644
2014,NUTS,2010,DE27,2,0.1701
2015,NUTS,2010,DE27,2,0.1812
2016,NUTS,2010,DE27,2,0.1776
2017,NUTS,2010,DE27,2,0.1798
2018,NUTS,2010,DE27,2,0.1831
2019,NUTS,2010,DE27,2,0.2682
2011,NUTS,2010,DE3,1,0.8527
2012,NUTS,2010,DE3,1,0.8828
2013,NUTS,2010,DE3,1,0.8729
2014,NUTS,2010,DE3,1,0.8535
2015,NUTS,2010,DE3,1,0.8732
2016,NUTS,2010,DE3,1,0.8513
2017,NUTS,2010,DE3,1,0.8322
2018,NUTS,2010,DE3,1,0.8299
2019,NUTS,2010,DE3,1,0.8483
2011,NUTS,2010,DE30,2,0.8527
2012,NUTS,2010,DE30,2,0.8828
2013,NUTS,2010,DE30,2,0.8729
2014,NUTS,2010,DE30,2,0.8535
2015,NUTS,2010,DE30,2,0.8732
2016,NUTS,2010,DE30,2,0.8513
2017,NUTS,2010,DE30,2,0.8322
2018,NUTS,2010,DE30,2,0.8299
2019,NUTS,2010,DE30,2,0.8483
2011,NUTS,2010,DE4,1,0.3116
2012,NUTS,2010,DE4,1,0.3321
2013,NUTS,2010,DE4,1,0.3429
2014,NUTS,2010,DE4,1,0.3537
2015,NUTS,2010,DE4,1,0.3548
2016,NUTS,2010,DE4,1,0.3523
2017,NUTS,2010,DE4,1,0.3796
2018,NUTS,2010,DE4,1,0.3814
2019,NUTS,2010,DE4,1,0.3885
2011,NUTS,2010,DE40,2,0.3116
2012,NUTS,2010,DE40,2,0.3321
2013,NUTS,2010,DE40,2,0.3429
2014,NUTS,2010,DE40,2,0.3537
2015,NUTS,2010,DE40,2,0.3548
2016,NUTS,2010,DE40,2,0.3523
2017,NUTS,2010,DE40,2,0.3796
2018,NUTS,2010,DE40,2,0.3814
2019,NUTS,2010,DE40,2,0.3885
2011,NUTS,2010,DE5,1,0.9509
2012,NUTS,2010,DE5,1,0.9491
2013,NUTS,2010,DE5,1,0.9692
2014,NUTS,2010,DE5,1,0.9644
2015,NUTS,2010,DE5,1,0.9531
2016,NUTS,2010,DE5,1,0.9144
2017,NUTS,2010,DE5,1,0.9245
2018,NUTS,2010,DE5,1,0.9059
2019,NUTS,2010,DE5,1,0.9098
2011,NUTS,2010,DE50,2,0.9509
2012,NUTS,2010,DE50,2,0.9491
2013,NUTS,2010,DE50,2,0.9692
2014,NUTS,2010,DE50,2,0.9644
2015,NUTS,2010,DE50,2,0.9531
2016,NUTS,2010,DE50,2,0.9144
2017,NUTS,2010,DE50,2,0.9245
2018,NUTS,2010,DE50,2,0.9059
2019,NUTS,2010,DE50,2,0.9098
2011,NUTS,2010,DE6,1,0.8031
2012,NUTS,2010,DE6,1,0.795
2013,NUTS,2010,DE6,1,0.842
2014,NUTS,2010,DE6,1,0.8225
2015,NUTS,2010,DE6,1,0.8526
2016,NUTS,2010,DE6,1,0.8494
2017,NUTS,2010,DE6,1,0.8634
2018,NUTS,2010,DE6,1,0.8806
2019,NUTS,2010,DE6,1,0.9338
2011,NUTS,2010,DE60,2,0.8031
2012,NUTS,2010,DE60,2,0.795
2013,NUTS,2010,DE60,2,0.842
2014,NUTS,2010,DE60,2,0.8225
2015,NUTS,2010,DE60,2,0.8526
2016,NUTS,2010,DE60,2,0.8494
2017,NUTS,2010,DE60,2,0.8634
2018,NUTS,2010,DE60,2,0.8806
2019,NUTS,2010,DE60,2,0.9338
2011,NUTS,2010,DE7,1,0.5399
2012,NUTS,2010,DE7,1,0.5416
2013,NUTS,2010,DE7,1,0.5554
2014,NUTS,2010,DE7,1,0.5561
2015,NUTS,2010,DE7,1,0.5535
2016,NUTS,2010,DE7,1,0.5431
2017,NUTS,2010,DE7,1,0.554
2018,NUTS,2010,DE7,1,0.5678
2019,NUTS,2010,DE7,1,0.5651
2011,NUTS,2010,DE71,2,0.4375
2012,NUTS,2010,DE71,2,0.4414
2013,NUTS,2010,DE71,2,0.4531
2014,NUTS,2010,DE71,2,0.4596
2015,NUTS,2010,DE71,2,0.4536
2016,NUTS,2010,DE71,2,0.446
2017,NUTS,2010,DE71,2,0.4575
2018,NUTS,2010,DE71,2,0.4701
2019,NUTS,2010,DE71,2,0.4608
2011,NUTS,2010,DE72,2,1.1068
2012,NUTS,2010,DE72,2,1.1205
2013,NUTS,2010,DE72,2,1.1511
2014,NUTS,2010,DE72,2,1.1295
2015,NUTS,2010,DE72,2,1.143
2016,NUTS,2010,DE72,2,1.1022
2017,NUTS,2010,DE72,2,1.1347
2018,NUTS,2010,DE72,2,1.1737
2019,NUTS,2010,DE72,2,1.1885
2011,NUTS,2010,DE73,2,0.3819
2012,NUTS,2010,DE73,2,0.3744
2013,NUTS,2010,DE73,2,0.3777
2014,NUTS,2010,DE73,2,0.3713
2015,NUTS,2010,DE73,2,0.3776
2016,NUTS,2010,DE73,2,0.3711
2017,NUTS,2010,DE73,2,0.3816
2018,NUTS,2010,DE73,2,0.3846
2019,NUTS,2010,DE73,2,0.3931
2011,NUTS,2010,DE8,1,0.5528
2012,NUTS,2010,DE8,1,0.5907
2013,NUTS,2010,DE8,1,0.6135
2014,NUTS,2010,DE8,1,0.6255
2015,NUTS,2010,DE8,1,0.6144
2016,NUTS,2010,DE8,1,0.6134
2017,NUTS,2010,DE8,1,0.6389
2018,NUTS,2010,DE8,1,0.6485
2019,NUTS,2010,DE8,1,0.649
2011,NUTS,2010,DE80,2,0.5528
2012,NUTS,2010,DE80,2,0.5907
2013,NUTS,2010,DE80,2,0.6135
2014,NUTS,2010,DE80,2,0.6255
2015,NUTS,2010,DE80,2,0.6144
2016,NUTS,2010,DE80,2,0.6134
2017,NUTS,2010,DE80,2,0.6389
2018,NUTS,2010,DE80,2,0.6485
2019,NUTS,2010,DE80,2,0.649
2011,NUTS,2010,DE9,1,0.4729
2012,NUTS,2010,DE9,1,0.4893
2013,NUTS,2010,DE9,1,0.5042
2014,NUTS,2010,DE9,1,0.508
2015,NUTS,2010,DE9,1,0.5064
2016,NUTS,2010,DE9,1,0.5013
2017,NUTS,2010,DE9,1,0.5196
2018,NUTS,2010,DE9,1,0.5279
2019,NUTS,2010,DE9,1,0.519
2011,NUTS,2010,DE91,2,0.9393
2012,NUTS,2010,DE91,2,0.9893
2013,NUTS,2010,DE91,2,1.0309
2014,NUTS,2010,DE91,2,1.0218
2015,NUTS,2010,DE91,2,1.012
2016,NUTS,2010,DE91,2,1.026
2017,NUTS,2010,DE91,2,1.0501
2018,NUTS,2010,DE91,2,1.0836
2019,NUTS,2010,DE91,2,1.0529
2011,NUTS,2010,DE92,2,0.6414
2012,NUTS,2010,DE92,2,0.6348
2013,NUTS,2010,DE92,2,0.6629
2014,NUTS,2010,DE92,2,0.6646
2015,NUTS,2010,DE92,2,0.6806
2016,NUTS,2010,DE92,2,0.6859
2017,NUTS,2010,DE92,2,0.699
2018,NUTS,2010,DE92,2,0.7044
2019,NUTS,2010,DE92,2,0.6944
2011,NUTS,2010,DE93,2,0.0905
2012,NUTS,2010,DE93,2,0.1169
2013,NUTS,2010,DE93,2,0.1151
2014,NUTS,2010,DE93,2,0.1064
2015,NUTS,2010,DE93,2,0.0807
2016,NUTS,2010,DE93,2,0.0805
2017,NUTS,2010,DE93,2,0.0824
2018,NUTS,2010,DE93,2,0.0833
2019,NUTS,2010,DE93,2,0.0748
2011,NUTS,2010,DE94,2,0.2913
2012,NUTS,2010,DE94,2,0.2991
2013,NUTS,2010,DE94,2,0.3026
2014,NUTS,2010,DE94,2,0.3312
2015,NUTS,2010,DE94,2,0.3367
2016,NUTS,2010,DE94,2,0.3084
2017,NUTS,2010,DE94,2,0.3424
2018,NUTS,2010,DE94,2,0.3384
2019,NUTS,2010,DE94,2,0.3428
2011,NUTS,2010,DEA,1,0.5531
2012,NUTS,2010,DEA,1,0.5748
2013,NUTS,2010,DEA,1,0.6033
2014,NUTS,2010,DEA,1,0.6214
2015,NUTS,2010,DEA,1,0.6318
2016,NUTS,2010,DEA,1,0.6369
2017,NUTS,2010,DEA,1,0.6633
2018,NUTS,2010,DEA,1,0.6777
2019,NUTS,2010,DEA,1,0.6778
2011,NUTS,2010,DEA1,2,0.3866
2012,NUTS,2010,DEA1,2,0.4229
2013,NUTS,2010,DEA1,2,0.4372
2014,NUTS,2010,DEA1,2,0.456
2015,NUTS,2010,DEA1,2,0.4626
2016,NUTS,2010,DEA1,2,0.4642
2017,NUTS,2010,DEA1,2,0.4809
2018,NUTS,2010,DEA1,2,0.5035
2019,NUTS,2010,DEA1,2,0.5079
2011,NUTS,2010,DEA2,2,0.8703
2012,NUTS,2010,DEA2,2,0.8961
2013,NUTS,2010,DEA2,2,0.958
2014,NUTS,2010,DEA2,2,0.9784
2015,NUTS,2010,DEA2,2,1.0094
2016,NUTS,2010,DEA2,2,0.9858
2017,NUTS,2010,DEA2,2,1.0249
2018,NUTS,2010,DEA2,2,1.0348
2019,NUTS,2010,DEA2,2,1.0261
2011,NUTS,2010,DEA3,2,0.5142
2012,NUTS,2010,DEA3,2,0.5357
2013,NUTS,2010,DEA3,2,0.5637
2014,NUTS,2010,DEA3,2,0.5573
2015,NUTS,2010,DEA3,2,0.5517
2016,NUTS,2010,DEA3,2,0.5349
2017,NUTS,2010,DEA3,2,0.5545
2018,NUTS,2010,DEA3,2,0.5596
2019,NUTS,2010,DEA3,2,0.5592
2011,NUTS,2010,DEA4,2,0.4171
2012,NUTS,2010,DEA4,2,0.4241
2013,NUTS,2010,DEA4,2,0.4411
2014,NUTS,2010,DEA4,2,0.4566
2015,NUTS,2010,DEA4,2,0.4464
2016,NUTS,2010,DEA4,2,0.4772
2017,NUTS,2010,DEA4,2,0.5126
2018,NUTS,2010,DEA4,2,0.5356
2019,NUTS,2010,DEA4,2,0.5387
2011,NUTS,2010,DEA5,2,0.5134
2012,NUTS,2010,DEA5,2,0.5185
2013,NUTS,2010,DEA5,2,0.5325
2014,NUTS,2010,DEA5,2,0.5658
2015,NUTS,2010,DEA5,2,0.5772
2016,NUTS,2010,DEA5,2,0.6111
2017,NUTS,2010,DEA5,2,0.6381
2018,NUTS,2010,DEA5,2,0.6512
2019,NUTS,2010,DEA5,2,0.6508
2011,NUTS,2010,DEB,1,0.4369
2012,NUTS,2010,DEB,1,0.4493
2013,NUTS,2010,DEB,1,0.4552
2014,NUTS,2010,DEB,1,0.4563
2015,NUTS,2010,DEB,1,0.4694
2016,NUTS,2010,DEB,1,0.4761
2017,NUTS,2010,DEB,1,0.4776
2018,NUTS,2010,DEB,1,0.4908
2019,NUTS,2010,DEB,1,0.4944
2011,NUTS,2010,DEB1,2,0.1409
2012,NUTS,2010,DEB1,2,0.1415
2013,NUTS,2010,DEB1,2,0.1486
2014,NUTS,2010,DEB1,2,0.1494
2015,NUTS,2010,DEB1,2,0.1534
2016,NUTS,2010,DEB1,2,0.1541
2017,NUTS,2010,DEB1,2,0.1619
