year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_gov_pc_act_fte_rse_t
2011,NUTS,2010,CZ,0,0.1285
2012,NUTS,2010,CZ,0,0.1247
2013,NUTS,2010,CZ,0,0.129
2014,NUTS,2010,CZ,0,0.1341
2015,NUTS,2010,CZ,0,0.1421
2016,NUTS,2010,CZ,0,0.1435
2017,NUTS,2010,CZ,0,0.1507
2018,NUTS,2010,CZ,0,0.1496
2019,NUTS,2010,CZ,0,0.1515
2020,NUTS,2010,CZ,0,0.1564
2011,NUTS,2010,CZ0,1,0.1266
2012,NUTS,2010,CZ0,1,0.1228
2013,NUTS,2010,CZ0,1,0.1267
2014,NUTS,2010,CZ0,1,0.1317
2015,NUTS,2010,CZ0,1,0.1392
2016,NUTS,2010,CZ0,1,0.1402
2017,NUTS,2010,CZ0,1,0.1471
2018,NUTS,2010,CZ0,1,0.1455
2019,NUTS,2010,CZ0,1,0.1472
2020,NUTS,2010,CZ0,1,0.1521
2011,NUTS,2010,CZ01,2,0.7455
2012,NUTS,2010,CZ01,2,0.7137
2013,NUTS,2010,CZ01,2,0.7112
2014,NUTS,2010,CZ01,2,0.7595
2015,NUTS,2010,CZ01,2,0.7566
2016,NUTS,2010,CZ01,2,0.7256
2017,NUTS,2010,CZ01,2,0.7694
2018,NUTS,2010,CZ01,2,0.7255
2019,NUTS,2010,CZ01,2,0.7214
2020,NUTS,2010,CZ01,2,0.7492
2011,NUTS,2010,CZ02,2,0.0739
2012,NUTS,2010,CZ02,2,0.0624
2013,NUTS,2010,CZ02,2,0.0767
2014,NUTS,2010,CZ02,2,0.0772
2015,NUTS,2010,CZ02,2,0.1111
2016,NUTS,2010,CZ02,2,0.139
2017,NUTS,2010,CZ02,2,0.1239
2018,NUTS,2010,CZ02,2,0.1393
2019,NUTS,2010,CZ02,2,0.1339
2020,NUTS,2010,CZ02,2,0.1332
2011,NUTS,2010,CZ03,2,0.0359
2012,NUTS,2010,CZ03,2,0.0356
2013,NUTS,2010,CZ03,2,0.0464
2014,NUTS,2010,CZ03,2,0.0587
2015,NUTS,2010,CZ03,2,0.056
2016,NUTS,2010,CZ03,2,0.0615
2017,NUTS,2010,CZ03,2,0.065
2018,NUTS,2010,CZ03,2,0.0624
2019,NUTS,2010,CZ03,2,0.0684
2020,NUTS,2010,CZ03,2,0.0716
2011,NUTS,2010,CZ04,2,0.0053
2012,NUTS,2010,CZ04,2,0.0063
2013,NUTS,2010,CZ04,2,0.0054
2014,NUTS,2010,CZ04,2,0.0055
2015,NUTS,2010,CZ04,2,0.0047
2016,NUTS,2010,CZ04,2,0.0042
2017,NUTS,2010,CZ04,2,0.0054
2018,NUTS,2010,CZ04,2,0.0062
2019,NUTS,2010,CZ04,2,0.0069
2020,NUTS,2010,CZ04,2,0.0063
2011,NUTS,2010,CZ05,2,0.0141
2012,NUTS,2010,CZ05,2,0.0118
2013,NUTS,2010,CZ05,2,0.0116
2014,NUTS,2010,CZ05,2,0.0124
2015,NUTS,2010,CZ05,2,0.013
2016,NUTS,2010,CZ05,2,0.0131
2017,NUTS,2010,CZ05,2,0.0124
2018,NUTS,2010,CZ05,2,0.0129
2019,NUTS,2010,CZ05,2,0.0152
2020,NUTS,2010,CZ05,2,0.0156
2011,NUTS,2010,CZ06,2,0.0965
2012,NUTS,2010,CZ06,2,0.1047
2013,NUTS,2010,CZ06,2,0.1148
2014,NUTS,2010,CZ06,2,0.0997
2015,NUTS,2010,CZ06,2,0.1209
2016,NUTS,2010,CZ06,2,0.1214
2017,NUTS,2010,CZ06,2,0.1209
2018,NUTS,2010,CZ06,2,0.1238
2019,NUTS,2010,CZ06,2,0.1275
2020,NUTS,2010,CZ06,2,0.1311
2011,NUTS,2010,CZ07,2,0.0037
2012,NUTS,2010,CZ07,2,0.0025
2013,NUTS,2010,CZ07,2,0.003
2014,NUTS,2010,CZ07,2,0.0036
2015,NUTS,2010,CZ07,2,0.0043
2016,NUTS,2010,CZ07,2,0.0048
2017,NUTS,2010,CZ07,2,0.0105
2018,NUTS,2010,CZ07,2,0.0112
2019,NUTS,2010,CZ07,2,0.0105
2020,NUTS,2010,CZ07,2,0.0109
2011,NUTS,2010,CZ08,2,0.0085
2012,NUTS,2010,CZ08,2,0.0082
2013,NUTS,2010,CZ08,2,0.0093
