year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_mge_p_mact
2011,NUTS,2010,AT,0,14.008
2012,NUTS,2010,AT,0,9.517
2011,NUTS,2010,AT1,1,18.023
2012,NUTS,2010,AT1,1,13.471
2011,NUTS,2010,AT11,2,3.592
2011,NUTS,2010,AT12,2,9.909
2012,NUTS,2010,AT12,2,10.314
2011,NUTS,2010,AT13,2,28.305
2012,NUTS,2010,AT13,2,18.703
2011,NUTS,2010,AT2,1,13.019
2012,NUTS,2010,AT2,1,5.802
2011,NUTS,2010,AT21,2,2.313
2012,NUTS,2010,AT21,2,1.658
2011,NUTS,2010,AT22,2,17.753
2012,NUTS,2010,AT22,2,7.658
2011,NUTS,2010,AT3,1,9.86
2012,NUTS,2010,AT3,1,7.046
2011,NUTS,2010,AT31,2,2.979
2012,NUTS,2010,AT31,2,1.866
2011,NUTS,2010,AT32,2,7.925
2012,NUTS,2010,AT32,2,4.757
2011,NUTS,2010,AT33,2,30.31
2012,NUTS,2010,AT33,2,20.027
2012,NUTS,2010,AT34,2,5.136
2011,NUTS,2010,BE,0,14.106
2012,NUTS,2010,BE,0,9.313
2011,NUTS,2010,BE1,1,8.711
2012,NUTS,2010,BE1,1,3.423
2011,NUTS,2010,BE10,2,8.711
2012,NUTS,2010,BE10,2,3.423
2011,NUTS,2010,BE2,1,14.594
2012,NUTS,2010,BE2,1,10.484
2011,NUTS,2010,BE21,2,4.192
2012,NUTS,2010,BE21,2,5.731
2011,NUTS,2010,BE22,2,2.757
2012,NUTS,2010,BE22,2,4.237
2011,NUTS,2010,BE23,2,40.526
2012,NUTS,2010,BE23,2,20.77
2011,NUTS,2010,BE24,2,16.753
2012,NUTS,2010,BE24,2,18.495
2011,NUTS,2010,BE25,2,3.963
2012,NUTS,2010,BE25,2,1.282
2011,NUTS,2010,BE3,1,14.802
2012,NUTS,2010,BE3,1,8.99
2011,NUTS,2010,BE31,2,67.316
2012,NUTS,2010,BE31,2,25.866
2011,NUTS,2010,BE32,2,13.242
2012,NUTS,2010,BE32,2,7.965
2011,NUTS,2010,BE33,2,6.948
2012,NUTS,2010,BE33,2,5.115
2012,NUTS,2010,BE34,2,0.81
