year,region_type,region_year_spec,region_id,region_level,hrst_st_rcat_hrsto_ths
2011,NUTS,2010,AT,0,1328.9
2012,NUTS,2010,AT,0,1390.0
2013,NUTS,2010,AT,0,1454.5
2014,NUTS,2010,AT,0,1463.0
2015,NUTS,2010,AT,0,1485.9
2016,NUTS,2010,AT,0,1520.8
2017,NUTS,2010,AT,0,1563.5
2018,NUTS,2010,AT,0,1603.3
2019,NUTS,2010,AT,0,1619.5
2020,NUTS,2010,AT,0,1652.3
2011,NUTS,2010,AT1,1,613.2
2012,NUTS,2010,AT1,1,631.6
2013,NUTS,2010,AT1,1,666.7
2014,NUTS,2010,AT1,1,679.1
2015,NUTS,2010,AT1,1,692.1
2016,NUTS,2010,AT1,1,705.6
2017,NUTS,2010,AT1,1,737.3
2018,NUTS,2010,AT1,1,743.3
2019,NUTS,2010,AT1,1,745.7
2020,NUTS,2010,AT1,1,766.2
2011,NUTS,2010,AT11,2,41.2
2012,NUTS,2010,AT11,2,41.5
2013,NUTS,2010,AT11,2,43.9
2014,NUTS,2010,AT11,2,44.1
2015,NUTS,2010,AT11,2,45.9
2016,NUTS,2010,AT11,2,44.5
2017,NUTS,2010,AT11,2,47.3
2018,NUTS,2010,AT11,2,46.8
2019,NUTS,2010,AT11,2,49.6
2020,NUTS,2010,AT11,2,53.0
2011,NUTS,2010,AT12,2,250.3
2012,NUTS,2010,AT12,2,256.4
2013,NUTS,2010,AT12,2,266.7
2014,NUTS,2010,AT12,2,279.4
2015,NUTS,2010,AT12,2,283.9
2016,NUTS,2010,AT12,2,283.0
2017,NUTS,2010,AT12,2,305.4
2018,NUTS,2010,AT12,2,310.3
2019,NUTS,2010,AT12,2,299.3
2020,NUTS,2010,AT12,2,314.6
2011,NUTS,2010,AT13,2,321.7
2012,NUTS,2010,AT13,2,333.8
2013,NUTS,2010,AT13,2,356.0
2014,NUTS,2010,AT13,2,355.6
2015,NUTS,2010,AT13,2,362.2
2016,NUTS,2010,AT13,2,378.1
2017,NUTS,2010,AT13,2,384.6
2018,NUTS,2010,AT13,2,386.1
2019,NUTS,2010,AT13,2,396.7
2020,NUTS,2010,AT13,2,398.7
2011,NUTS,2010,AT2,1,256.9
2012,NUTS,2010,AT2,1,264.4
2013,NUTS,2010,AT2,1,270.6
2014,NUTS,2010,AT2,1,272.0
2015,NUTS,2010,AT2,1,274.8
2016,NUTS,2010,AT2,1,282.2
2017,NUTS,2010,AT2,1,288.9
2018,NUTS,2010,AT2,1,302.0
2019,NUTS,2010,AT2,1,301.7
2020,NUTS,2010,AT2,1,306.6
2011,NUTS,2010,AT21,2,80.7
2012,NUTS,2010,AT21,2,82.5
2013,NUTS,2010,AT21,2,86.2
2014,NUTS,2010,AT21,2,84.0
2015,NUTS,2010,AT21,2,80.7
2016,NUTS,2010,AT21,2,86.3
2017,NUTS,2010,AT21,2,87.6
2018,NUTS,2010,AT21,2,92.9
2019,NUTS,2010,AT21,2,87.4
2020,NUTS,2010,AT21,2,92.4
2011,NUTS,2010,AT22,2,176.2
2012,NUTS,2010,AT22,2,181.9
2013,NUTS,2010,AT22,2,184.4
2014,NUTS,2010,AT22,2,188.0
2015,NUTS,2010,AT22,2,194.1
2016,NUTS,2010,AT22,2,196.0
2017,NUTS,2010,AT22,2,201.3
2018,NUTS,2010,AT22,2,209.1
2019,NUTS,2010,AT22,2,214.3
2020,NUTS,2010,AT22,2,214.2
2011,NUTS,2010,AT3,1,458.8
2012,NUTS,2010,AT3,1,494.0
2013,NUTS,2010,AT3,1,517.2
2014,NUTS,2010,AT3,1,511.9
2015,NUTS,2010,AT3,1,519.1
2016,NUTS,2010,AT3,1,532.9
2017,NUTS,2010,AT3,1,537.2
2018,NUTS,2010,AT3,1,558.0
2019,NUTS,2010,AT3,1,572.1
2020,NUTS,2010,AT3,1,579.4
2011,NUTS,2010,AT31,2,213.1
2012,NUTS,2010,AT31,2,223.8
2013,NUTS,2010,AT31,2,240.2
2014,NUTS,2010,AT31,2,240.9
2015,NUTS,2010,AT31,2,237.8
2016,NUTS,2010,AT31,2,244.4
2017,NUTS,2010,AT31,2,249.7
2018,NUTS,2010,AT31,2,261.1
2019,NUTS,2010,AT31,2,270.0
2020,NUTS,2010,AT31,2,268.3
2011,NUTS,2010,AT32,2,82.8
2012,NUTS,2010,AT32,2,88.1
2013,NUTS,2010,AT32,2,91.4
2014,NUTS,2010,AT32,2,88.6
2015,NUTS,2010,AT32,2,93.0
2016,NUTS,2010,AT32,2,95.8
2017,NUTS,2010,AT32,2,96.2
2018,NUTS,2010,AT32,2,96.7
2019,NUTS,2010,AT32,2,98.5
