year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_total_pc_act_hc_total_f
2017,NUTS,2010,BG,0,0.9882
2018,NUTS,2010,BG,0,1.0756
2019,NUTS,2010,BG,0,1.0827
2011,NUTS,2010,BG3,1,0.3829
2012,NUTS,2010,BG3,1,0.4127
2013,NUTS,2010,BG3,1,0.4344
2014,NUTS,2010,BG3,1,0.5167
2015,NUTS,2010,BG3,1,0.6187
2016,NUTS,2010,BG3,1,0.5939
2017,NUTS,2010,BG3,1,0.589
2018,NUTS,2010,BG3,1,0.6763
2019,NUTS,2010,BG3,1,0.6749
2011,NUTS,2010,BG31,2,0.2113
2012,NUTS,2010,BG31,2,0.3215
2013,NUTS,2010,BG31,2,0.2949
2014,NUTS,2010,BG31,2,0.2821
2015,NUTS,2010,BG31,2,0.4001
2016,NUTS,2010,BG31,2,0.4839
2017,NUTS,2010,BG31,2,0.4444
2018,NUTS,2010,BG31,2,0.5046
2019,NUTS,2010,BG31,2,0.4836
2011,NUTS,2010,BG32,2,0.4223
2012,NUTS,2010,BG32,2,0.396
2013,NUTS,2010,BG32,2,0.4345
2014,NUTS,2010,BG32,2,0.5374
2015,NUTS,2010,BG32,2,0.6661
2016,NUTS,2010,BG32,2,0.5434
2017,NUTS,2010,BG32,2,0.6111
2018,NUTS,2010,BG32,2,0.6654
2019,NUTS,2010,BG32,2,0.6137
2011,NUTS,2010,BG33,2,0.5233
2012,NUTS,2010,BG33,2,0.5536
2013,NUTS,2010,BG33,2,0.6005
2014,NUTS,2010,BG33,2,0.7894
2015,NUTS,2010,BG33,2,0.8918
2016,NUTS,2010,BG33,2,0.8428
2017,NUTS,2010,BG33,2,0.8238
2018,NUTS,2010,BG33,2,0.9866
2019,NUTS,2010,BG33,2,0.9659
2011,NUTS,2010,BG34,2,0.3465
2012,NUTS,2010,BG34,2,0.3582
2013,NUTS,2010,BG34,2,0.376
2014,NUTS,2010,BG34,2,0.4067
2015,NUTS,2010,BG34,2,0.4694
2016,NUTS,2010,BG34,2,0.4684
2017,NUTS,2010,BG34,2,0.4422
2018,NUTS,2010,BG34,2,0.5164
2019,NUTS,2010,BG34,2,0.5817
2011,NUTS,2010,BG4,1,0.9823
2012,NUTS,2010,BG4,1,0.9949
2013,NUTS,2010,BG4,1,0.9906
2014,NUTS,2010,BG4,1,1.0737
