year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_ht_gdp_beur
2011,NUTS,2010,AT,0,0.7
2012,NUTS,2010,AT,0,0.619
2011,NUTS,2010,AT1,1,0.665
2012,NUTS,2010,AT1,1,0.541
2011,NUTS,2010,AT11,2,0.457
2012,NUTS,2010,AT11,2,0.411
2011,NUTS,2010,AT112,3,0.503
2012,NUTS,2010,AT112,3,0.117
2011,NUTS,2010,AT113,3,0.533
2012,NUTS,2010,AT113,3,1.11
2011,NUTS,2010,AT12,2,0.638
2012,NUTS,2010,AT12,2,0.578
2011,NUTS,2010,AT121,3,0.57
2012,NUTS,2010,AT121,3,0.072
2011,NUTS,2010,AT122,3,0.299
2012,NUTS,2010,AT122,3,0.544
2011,NUTS,2010,AT123,3,0.65
2012,NUTS,2010,AT123,3,0.043
2011,NUTS,2010,AT124,3,0.097
2012,NUTS,2010,AT124,3,0.239
2011,NUTS,2010,AT125,3,0.551
2012,NUTS,2010,AT125,3,0.107
2011,NUTS,2010,AT126,3,1.19
2012,NUTS,2010,AT126,3,1.619
2011,NUTS,2010,AT127,3,0.737
2012,NUTS,2010,AT127,3,0.66
2011,NUTS,2010,AT13,2,0.7
2012,NUTS,2010,AT13,2,0.53
2011,NUTS,2010,AT130,3,0.7
2012,NUTS,2010,AT130,3,0.53
2011,NUTS,2010,AT2,1,0.765
2012,NUTS,2010,AT2,1,0.924
2011,NUTS,2010,AT21,2,0.27
2012,NUTS,2010,AT21,2,0.423
2011,NUTS,2010,AT211,3,0.313
2012,NUTS,2010,AT211,3,0.6
2011,NUTS,2010,AT212,3,0.321
2012,NUTS,2010,AT212,3,0.317
2011,NUTS,2010,AT213,3,0.118
2012,NUTS,2010,AT213,3,0.061
2011,NUTS,2010,AT22,2,0.984
2012,NUTS,2010,AT22,2,1.14
2011,NUTS,2010,AT221,3,1.843
2012,NUTS,2010,AT221,3,2.096
2011,NUTS,2010,AT222,3,0.302
2011,NUTS,2010,AT223,3,0.094
2012,NUTS,2010,AT223,3,0.186
2011,NUTS,2010,AT224,3,0.089
2012,NUTS,2010,AT224,3,0.229
2011,NUTS,2010,AT225,3,1.011
2012,NUTS,2010,AT225,3,1.227
2011,NUTS,2010,AT3,1,0.706
2012,NUTS,2010,AT3,1,0.543
2011,NUTS,2010,AT31,2,0.549
2012,NUTS,2010,AT31,2,0.476
2011,NUTS,2010,AT311,3,1.806
2012,NUTS,2010,AT311,3,0.826
2011,NUTS,2010,AT312,3,0.45
2012,NUTS,2010,AT312,3,0.517
2011,NUTS,2010,AT313,3,0.074
2012,NUTS,2010,AT313,3,0.148
2011,NUTS,2010,AT314,3,0.248
2012,NUTS,2010,AT314,3,0.041
2011,NUTS,2010,AT315,3,0.033
2012,NUTS,2010,AT315,3,0.483
2011,NUTS,2010,AT32,2,0.338
2012,NUTS,2010,AT32,2,0.222
2011,NUTS,2010,AT321,3,0.427
2011,NUTS,2010,AT323,3,0.456
2012,NUTS,2010,AT323,3,0.309
2011,NUTS,2010,AT33,2,0.849
2012,NUTS,2010,AT33,2,0.829
2011,NUTS,2010,AT332,3,1.522
2012,NUTS,2010,AT332,3,1.512
2011,NUTS,2010,AT333,3,0.761
2012,NUTS,2010,AT333,3,1.46
2011,NUTS,2010,AT334,3,0.912
2011,NUTS,2010,AT335,3,0.127
2012,NUTS,2010,AT335,3,0.36
2011,NUTS,2010,AT34,2,1.603
2012,NUTS,2010,AT34,2,0.764
2011,NUTS,2010,AT341,3,0.982
