year,region_type,region_year_spec,region_id,region_level,hrst_st_rcat_hrst_ths
2011,NUTS,2010,AT,0,1815.8
2012,NUTS,2010,AT,0,1885.9
2013,NUTS,2010,AT,0,1968.6
2014,NUTS,2010,AT,0,2341.4
2015,NUTS,2010,AT,0,2395.5
2016,NUTS,2010,AT,0,2469.2
2017,NUTS,2010,AT,0,2514.4
2018,NUTS,2010,AT,0,2559.7
2019,NUTS,2010,AT,0,2620.3
2020,NUTS,2010,AT,0,2648.2
2011,NUTS,2010,AT1,1,849.0
2012,NUTS,2010,AT1,1,867.8
2013,NUTS,2010,AT1,1,922.8
2014,NUTS,2010,AT1,1,1102.3
2015,NUTS,2010,AT1,1,1131.9
2016,NUTS,2010,AT1,1,1157.1
2017,NUTS,2010,AT1,1,1193.6
2018,NUTS,2010,AT1,1,1198.7
2019,NUTS,2010,AT1,1,1220.1
2020,NUTS,2010,AT1,1,1241.8
2011,NUTS,2010,AT11,2,55.0
2012,NUTS,2010,AT11,2,54.7
2013,NUTS,2010,AT11,2,57.8
2014,NUTS,2010,AT11,2,71.6
2015,NUTS,2010,AT11,2,74.7
2016,NUTS,2010,AT11,2,73.5
2017,NUTS,2010,AT11,2,76.6
2018,NUTS,2010,AT11,2,76.9
2019,NUTS,2010,AT11,2,81.2
2020,NUTS,2010,AT11,2,86.4
2011,NUTS,2010,AT12,2,340.7
2012,NUTS,2010,AT12,2,344.9
2013,NUTS,2010,AT12,2,356.6
2014,NUTS,2010,AT12,2,435.0
2015,NUTS,2010,AT12,2,454.2
2016,NUTS,2010,AT12,2,459.5
2017,NUTS,2010,AT12,2,477.1
2018,NUTS,2010,AT12,2,482.7
2019,NUTS,2010,AT12,2,481.2
2020,NUTS,2010,AT12,2,499.7
2011,NUTS,2010,AT13,2,453.3
2012,NUTS,2010,AT13,2,468.2
2013,NUTS,2010,AT13,2,508.3
2014,NUTS,2010,AT13,2,595.7
2015,NUTS,2010,AT13,2,603.1
2016,NUTS,2010,AT13,2,624.1
2017,NUTS,2010,AT13,2,639.8
2018,NUTS,2010,AT13,2,639.1
2019,NUTS,2010,AT13,2,657.7
2020,NUTS,2010,AT13,2,655.7
2011,NUTS,2010,AT2,1,346.8
2012,NUTS,2010,AT2,1,362.7
2013,NUTS,2010,AT2,1,364.7
2014,NUTS,2010,AT2,1,440.9
2015,NUTS,2010,AT2,1,453.2
2016,NUTS,2010,AT2,1,465.3
2017,NUTS,2010,AT2,1,466.8
2018,NUTS,2010,AT2,1,485.5
2019,NUTS,2010,AT2,1,490.4
2020,NUTS,2010,AT2,1,498.2
2011,NUTS,2010,AT21,2,108.7
2012,NUTS,2010,AT21,2,114.0
2013,NUTS,2010,AT21,2,116.4
2014,NUTS,2010,AT21,2,143.0
2015,NUTS,2010,AT21,2,141.9
2016,NUTS,2010,AT21,2,149.0
2017,NUTS,2010,AT21,2,148.1
2018,NUTS,2010,AT21,2,153.7
2019,NUTS,2010,AT21,2,152.7
2020,NUTS,2010,AT21,2,157.2
2011,NUTS,2010,AT22,2,238.0
2012,NUTS,2010,AT22,2,248.6
2013,NUTS,2010,AT22,2,248.2
2014,NUTS,2010,AT22,2,298.0
2015,NUTS,2010,AT22,2,311.3
2016,NUTS,2010,AT22,2,316.3
2017,NUTS,2010,AT22,2,318.7
2018,NUTS,2010,AT22,2,331.8
2019,NUTS,2010,AT22,2,337.7
2020,NUTS,2010,AT22,2,341.0
2011,NUTS,2010,AT3,1,620.1
2012,NUTS,2010,AT3,1,655.4
2013,NUTS,2010,AT3,1,681.2
2014,NUTS,2010,AT3,1,798.1
2015,NUTS,2010,AT3,1,810.4
