year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_total_t_hc_total
1998,NUTS,2010,AT,0,52956.0
2002,NUTS,2010,AT,0,65725.0
2004,NUTS,2010,AT,0,74191.0
2006,NUTS,2010,AT,0,83966.0
2007,NUTS,2010,AT,0,89458.0
2009,NUTS,2010,AT,0,96502.0
2011,NUTS,2010,AT,0,107949.0
2013,NUTS,2010,AT,0,117043.0
2015,NUTS,2010,AT,0,126171.0
2017,NUTS,2010,AT,0,131032.0
2019,NUTS,2010,AT,0,144117.0
2002,NUTS,2010,AT1,1,33961.0
2004,NUTS,2010,AT1,1,37403.0
2006,NUTS,2010,AT1,1,41049.0
2007,NUTS,2010,AT1,1,43141.0
2009,NUTS,2010,AT1,1,45594.0
2011,NUTS,2010,AT1,1,49531.0
2013,NUTS,2010,AT1,1,52475.0
2015,NUTS,2010,AT1,1,55598.0
2017,NUTS,2010,AT1,1,57193.0
2019,NUTS,2010,AT1,1,63361.0
2002,NUTS,2010,AT11,2,482.0
2004,NUTS,2010,AT11,2,540.0
2006,NUTS,2010,AT11,2,539.0
2007,NUTS,2010,AT11,2,639.0
2009,NUTS,2010,AT11,2,795.0
2011,NUTS,2010,AT11,2,1003.0
2013,NUTS,2010,AT11,2,1194.0
2015,NUTS,2010,AT11,2,1261.0
2017,NUTS,2010,AT11,2,1308.0
2019,NUTS,2010,AT11,2,1392.0
2002,NUTS,2010,AT12,2,4079.0
2004,NUTS,2010,AT12,2,4648.0
2006,NUTS,2010,AT12,2,5669.0
2007,NUTS,2010,AT12,2,5909.0
2009,NUTS,2010,AT12,2,7057.0
2011,NUTS,2010,AT12,2,8130.0
2013,NUTS,2010,AT12,2,9368.0
2015,NUTS,2010,AT12,2,10607.0
2017,NUTS,2010,AT12,2,11392.0
2019,NUTS,2010,AT12,2,12777.0
2002,NUTS,2010,AT13,2,29400.0
2004,NUTS,2010,AT13,2,32215.0
2006,NUTS,2010,AT13,2,34841.0
2007,NUTS,2010,AT13,2,36593.0
2009,NUTS,2010,AT13,2,37742.0
2011,NUTS,2010,AT13,2,40398.0
2013,NUTS,2010,AT13,2,41913.0
2015,NUTS,2010,AT13,2,43730.0
2017,NUTS,2010,AT13,2,44493.0
2019,NUTS,2010,AT13,2,49192.0
1998,NUTS,2010,AT2,1,11466.0
