year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_nr_smc
1977,NUTS,2010,AT,0,1.0
1981,NUTS,2010,AT,0,1.0
1982,NUTS,2010,AT,0,1.38
1983,NUTS,2010,AT,0,3.25
1984,NUTS,2010,AT,0,2.0
1985,NUTS,2010,AT,0,7.33
1986,NUTS,2010,AT,0,5.33
1987,NUTS,2010,AT,0,6.62
1988,NUTS,2010,AT,0,7.0
1989,NUTS,2010,AT,0,4.5
1990,NUTS,2010,AT,0,5.83
1991,NUTS,2010,AT,0,5.67
1992,NUTS,2010,AT,0,7.25
1993,NUTS,2010,AT,0,8.14
1994,NUTS,2010,AT,0,2.25
1995,NUTS,2010,AT,0,5.0
1996,NUTS,2010,AT,0,10.91
1997,NUTS,2010,AT,0,18.19
1998,NUTS,2010,AT,0,18.6
1999,NUTS,2010,AT,0,21.79
2000,NUTS,2010,AT,0,24.46
2001,NUTS,2010,AT,0,28.65
2002,NUTS,2010,AT,0,33.6
2003,NUTS,2010,AT,0,37.17
2004,NUTS,2010,AT,0,40.35
2005,NUTS,2010,AT,0,29.28
2006,NUTS,2010,AT,0,76.66
2007,NUTS,2010,AT,0,67.23
2008,NUTS,2010,AT,0,45.2
2009,NUTS,2010,AT,0,64.11
2010,NUTS,2010,AT,0,58.48
2011,NUTS,2010,AT,0,48.29
2012,NUTS,2010,AT,0,47.7
1977,NUTS,2010,AT1,1,1.0
1982,NUTS,2010,AT1,1,1.0
1983,NUTS,2010,AT1,1,2.0
1985,NUTS,2010,AT1,1,3.67
1986,NUTS,2010,AT1,1,2.17
1987,NUTS,2010,AT1,1,1.17
1988,NUTS,2010,AT1,1,1.5
1989,NUTS,2010,AT1,1,1.5
1991,NUTS,2010,AT1,1,2.97
1992,NUTS,2010,AT1,1,2.17
1994,NUTS,2010,AT1,1,1.33
1995,NUTS,2010,AT1,1,1.0
1996,NUTS,2010,AT1,1,1.5
1998,NUTS,2010,AT1,1,3.76
1999,NUTS,2010,AT1,1,2.33
2000,NUTS,2010,AT1,1,1.44
2001,NUTS,2010,AT1,1,6.08
2002,NUTS,2010,AT1,1,7.83
2003,NUTS,2010,AT1,1,5.58
2004,NUTS,2010,AT1,1,8.45
2005,NUTS,2010,AT1,1,1.58
2006,NUTS,2010,AT1,1,21.25
2007,NUTS,2010,AT1,1,30.58
2008,NUTS,2010,AT1,1,12.09
2009,NUTS,2010,AT1,1,5.0
2010,NUTS,2010,AT1,1,4.0
2011,NUTS,2010,AT1,1,6.0
2012,NUTS,2010,AT1,1,4.25
1996,NUTS,2010,AT11,2,0.56
2000,NUTS,2010,AT11,2,1.44
2002,NUTS,2010,AT11,2,0.5
2003,NUTS,2010,AT11,2,1.0
2004,NUTS,2010,AT11,2,1.53
2006,NUTS,2010,AT11,2,3.08
2007,NUTS,2010,AT11,2,2.67
2008,NUTS,2010,AT11,2,2.67
2009,NUTS,2010,AT11,2,3.0
2010,NUTS,2010,AT11,2,2.0
2011,NUTS,2010,AT11,2,2.0
2012,NUTS,2010,AT11,2,1.75
1996,NUTS,2010,AT112,3,0.17
2002,NUTS,2010,AT112,3,0.5
2006,NUTS,2010,AT112,3,0.33
2009,NUTS,2010,AT112,3,2.0
2011,NUTS,2010,AT112,3,1.5
1996,NUTS,2010,AT113,3,0.39
2000,NUTS,2010,AT113,3,1.44
2003,NUTS,2010,AT113,3,1.0
2004,NUTS,2010,AT113,3,1.53
2006,NUTS,2010,AT113,3,2.75
2007,NUTS,2010,AT113,3,2.67
2008,NUTS,2010,AT113,3,2.67
2009,NUTS,2010,AT113,3,1.0
2010,NUTS,2010,AT113,3,2.0
2011,NUTS,2010,AT113,3,0.5
2012,NUTS,2010,AT113,3,1.75
1986,NUTS,2010,AT12,2,1.0
1991,NUTS,2010,AT12,2,0.33
1992,NUTS,2010,AT12,2,0.33
1994,NUTS,2010,AT12,2,0.67
1995,NUTS,2010,AT12,2,0.33
1996,NUTS,2010,AT12,2,0.27
1998,NUTS,2010,AT12,2,1.0
1999,NUTS,2010,AT12,2,1.0
2001,NUTS,2010,AT12,2,2.0
2002,NUTS,2010,AT12,2,1.17
2004,NUTS,2010,AT12,2,0.4
2005,NUTS,2010,AT12,2,1.33
2006,NUTS,2010,AT12,2,2.83
2007,NUTS,2010,AT12,2,3.42
2008,NUTS,2010,AT12,2,3.33
2009,NUTS,2010,AT12,2,1.0
2010,NUTS,2010,AT12,2,2.0
2011,NUTS,2010,AT12,2,3.0
2012,NUTS,2010,AT12,2,0.75
1996,NUTS,2010,AT121,3,0.1
2006,NUTS,2010,AT121,3,0.25
2008,NUTS,2010,AT121,3,1.0
2009,NUTS,2010,AT121,3,1.0
2010,NUTS,2010,AT121,3,1.0
2011,NUTS,2010,AT121,3,2.5
2001,NUTS,2010,AT122,3,1.5
2011,NUTS,2010,AT122,3,0.5
2012,NUTS,2010,AT122,3,0.25
2002,NUTS,2010,AT123,3,0.67
2005,NUTS,2010,AT123,3,0.5
2006,NUTS,2010,AT123,3,1.0
2008,NUTS,2010,AT123,3,0.11
2006,NUTS,2010,AT124,3,0.75
2007,NUTS,2010,AT124,3,1.0
2005,NUTS,2010,AT125,3,0.5
2006,NUTS,2010,AT125,3,0.5
2007,NUTS,2010,AT125,3,1.67
2008,NUTS,2010,AT125,3,1.11
1986,NUTS,2010,AT126,3,1.0
1991,NUTS,2010,AT126,3,0.33
1992,NUTS,2010,AT126,3,0.33
1994,NUTS,2010,AT126,3,0.67
1995,NUTS,2010,AT126,3,0.33
1998,NUTS,2010,AT126,3,0.67
1999,NUTS,2010,AT126,3,1.0
2001,NUTS,2010,AT126,3,0.5
2002,NUTS,2010,AT126,3,0.5
2005,NUTS,2010,AT126,3,0.33
2007,NUTS,2010,AT126,3,0.25
2008,NUTS,2010,AT126,3,1.0
1996,NUTS,2010,AT127,3,0.17
1998,NUTS,2010,AT127,3,0.33
2004,NUTS,2010,AT127,3,0.4
2006,NUTS,2010,AT127,3,0.33
2007,NUTS,2010,AT127,3,0.5
2008,NUTS,2010,AT127,3,0.11
2010,NUTS,2010,AT127,3,1.0
2012,NUTS,2010,AT127,3,0.5
1977,NUTS,2010,AT13,2,1.0
1982,NUTS,2010,AT13,2,1.0
1983,NUTS,2010,AT13,2,2.0
1985,NUTS,2010,AT13,2,3.67
1986,NUTS,2010,AT13,2,1.17
1987,NUTS,2010,AT13,2,1.17
1988,NUTS,2010,AT13,2,1.5
1989,NUTS,2010,AT13,2,1.5
1991,NUTS,2010,AT13,2,2.63
1992,NUTS,2010,AT13,2,1.83
1994,NUTS,2010,AT13,2,0.67
1995,NUTS,2010,AT13,2,0.67
1996,NUTS,2010,AT13,2,0.68
1998,NUTS,2010,AT13,2,2.76
1999,NUTS,2010,AT13,2,1.33
2001,NUTS,2010,AT13,2,4.08
2002,NUTS,2010,AT13,2,6.17
2003,NUTS,2010,AT13,2,4.58
2004,NUTS,2010,AT13,2,6.52
2005,NUTS,2010,AT13,2,0.25
2006,NUTS,2010,AT13,2,15.33
2007,NUTS,2010,AT13,2,24.5
2008,NUTS,2010,AT13,2,6.09
2009,NUTS,2010,AT13,2,1.0
2011,NUTS,2010,AT13,2,1.0
2012,NUTS,2010,AT13,2,1.75
1977,NUTS,2010,AT130,3,1.0
1982,NUTS,2010,AT130,3,1.0
1983,NUTS,2010,AT130,3,2.0
1985,NUTS,2010,AT130,3,3.67
1986,NUTS,2010,AT130,3,1.17
1987,NUTS,2010,AT130,3,1.17
1988,NUTS,2010,AT130,3,1.5
1989,NUTS,2010,AT130,3,1.5
1991,NUTS,2010,AT130,3,2.63
1992,NUTS,2010,AT130,3,1.83
1994,NUTS,2010,AT130,3,0.67
1995,NUTS,2010,AT130,3,0.67
1996,NUTS,2010,AT130,3,0.68
1998,NUTS,2010,AT130,3,2.76
1999,NUTS,2010,AT130,3,1.33
2001,NUTS,2010,AT130,3,4.08
2002,NUTS,2010,AT130,3,6.17
2003,NUTS,2010,AT130,3,4.58
2004,NUTS,2010,AT130,3,6.52
2005,NUTS,2010,AT130,3,0.25
2006,NUTS,2010,AT130,3,15.33
2007,NUTS,2010,AT130,3,24.5
2008,NUTS,2010,AT130,3,6.09
2009,NUTS,2010,AT130,3,1.0
2011,NUTS,2010,AT130,3,1.0
2012,NUTS,2010,AT130,3,1.75
1981,NUTS,2010,AT2,1,1.0
1985,NUTS,2010,AT2,1,3.33
1986,NUTS,2010,AT2,1,1.17
1987,NUTS,2010,AT2,1,5.25
1988,NUTS,2010,AT2,1,2.25
1989,NUTS,2010,AT2,1,3.0
1990,NUTS,2010,AT2,1,1.0
1991,NUTS,2010,AT2,1,1.03
1992,NUTS,2010,AT2,1,0.83
1993,NUTS,2010,AT2,1,7.14
1994,NUTS,2010,AT2,1,0.67
1995,NUTS,2010,AT2,1,3.33
1996,NUTS,2010,AT2,1,7.65
1997,NUTS,2010,AT2,1,13.17
1998,NUTS,2010,AT2,1,9.67
1999,NUTS,2010,AT2,1,14.79
2000,NUTS,2010,AT2,1,13.97
2001,NUTS,2010,AT2,1,17.33
2002,NUTS,2010,AT2,1,20.83
2003,NUTS,2010,AT2,1,26.0
2004,NUTS,2010,AT2,1,25.73
2005,NUTS,2010,AT2,1,17.5
2006,NUTS,2010,AT2,1,42.18
2007,NUTS,2010,AT2,1,22.23
2008,NUTS,2010,AT2,1,21.19
2009,NUTS,2010,AT2,1,36.46
2010,NUTS,2010,AT2,1,20.93
2011,NUTS,2010,AT2,1,15.83
2012,NUTS,2010,AT2,1,27.87
1985,NUTS,2010,AT21,2,2.33
1986,NUTS,2010,AT21,2,1.17
1987,NUTS,2010,AT21,2,2.25
1988,NUTS,2010,AT21,2,1.25
1991,NUTS,2010,AT21,2,1.03
1992,NUTS,2010,AT21,2,0.33
1993,NUTS,2010,AT21,2,3.0
1994,NUTS,2010,AT21,2,0.67
1995,NUTS,2010,AT21,2,3.33
1996,NUTS,2010,AT21,2,2.33
1997,NUTS,2010,AT21,2,12.17
1998,NUTS,2010,AT21,2,8.67
1999,NUTS,2010,AT21,2,10.82
2000,NUTS,2010,AT21,2,8.5
2001,NUTS,2010,AT21,2,8.33
2002,NUTS,2010,AT21,2,12.83
2003,NUTS,2010,AT21,2,13.4
2004,NUTS,2010,AT21,2,7.37
2005,NUTS,2010,AT21,2,7.08
2006,NUTS,2010,AT21,2,5.5
2007,NUTS,2010,AT21,2,6.0
2008,NUTS,2010,AT21,2,2.5
2009,NUTS,2010,AT21,2,15.87
2010,NUTS,2010,AT21,2,2.5
2011,NUTS,2010,AT21,2,3.17
2012,NUTS,2010,AT21,2,1.5
1985,NUTS,2010,AT211,3,2.33
1986,NUTS,2010,AT211,3,1.17
1987,NUTS,2010,AT211,3,2.25
1988,NUTS,2010,AT211,3,1.25
1991,NUTS,2010,AT211,3,1.03
1992,NUTS,2010,AT211,3,0.33
1993,NUTS,2010,AT211,3,3.0
1994,NUTS,2010,AT211,3,0.67
1995,NUTS,2010,AT211,3,3.33
1996,NUTS,2010,AT211,3,2.33
1997,NUTS,2010,AT211,3,10.33
1998,NUTS,2010,AT211,3,6.67
1999,NUTS,2010,AT211,3,9.07
2000,NUTS,2010,AT211,3,7.5
2001,NUTS,2010,AT211,3,7.33
2002,NUTS,2010,AT211,3,9.33
2003,NUTS,2010,AT211,3,9.75
2004,NUTS,2010,AT211,3,5.37
2005,NUTS,2010,AT211,3,6.75
2006,NUTS,2010,AT211,3,3.0
2007,NUTS,2010,AT211,3,4.83
2008,NUTS,2010,AT211,3,1.0
2009,NUTS,2010,AT211,3,11.87
2010,NUTS,2010,AT211,3,2.5
2011,NUTS,2010,AT211,3,1.92
2012,NUTS,2010,AT211,3,1.5
1997,NUTS,2010,AT212,3,1.83
1998,NUTS,2010,AT212,3,2.0
1999,NUTS,2010,AT212,3,1.5
2000,NUTS,2010,AT212,3,1.0
2001,NUTS,2010,AT212,3,1.0
2002,NUTS,2010,AT212,3,1.0
2003,NUTS,2010,AT212,3,1.25
2004,NUTS,2010,AT212,3,1.0
2005,NUTS,2010,AT212,3,0.33
2006,NUTS,2010,AT212,3,1.5
2007,NUTS,2010,AT212,3,0.83
2008,NUTS,2010,AT212,3,1.5
2009,NUTS,2010,AT212,3,2.17
2011,NUTS,2010,AT212,3,1.0
1999,NUTS,2010,AT213,3,0.25
2002,NUTS,2010,AT213,3,2.5
2003,NUTS,2010,AT213,3,2.4
2004,NUTS,2010,AT213,3,1.0
2006,NUTS,2010,AT213,3,1.0
2007,NUTS,2010,AT213,3,0.33
2009,NUTS,2010,AT213,3,1.83
2011,NUTS,2010,AT213,3,0.25
1981,NUTS,2010,AT22,2,1.0
1985,NUTS,2010,AT22,2,1.0
1987,NUTS,2010,AT22,2,3.0
1988,NUTS,2010,AT22,2,1.0
1989,NUTS,2010,AT22,2,3.0
1990,NUTS,2010,AT22,2,1.0
1992,NUTS,2010,AT22,2,0.5
1993,NUTS,2010,AT22,2,4.14
1996,NUTS,2010,AT22,2,5.32
1997,NUTS,2010,AT22,2,1.0
1998,NUTS,2010,AT22,2,1.0
1999,NUTS,2010,AT22,2,3.98
2000,NUTS,2010,AT22,2,5.47
2001,NUTS,2010,AT22,2,9.0
2002,NUTS,2010,AT22,2,8.0
2003,NUTS,2010,AT22,2,12.6
2004,NUTS,2010,AT22,2,18.36
2005,NUTS,2010,AT22,2,10.42
2006,NUTS,2010,AT22,2,36.68
2007,NUTS,2010,AT22,2,16.23
2008,NUTS,2010,AT22,2,18.69
2009,NUTS,2010,AT22,2,20.59
2010,NUTS,2010,AT22,2,18.43
2011,NUTS,2010,AT22,2,12.67
2012,NUTS,2010,AT22,2,26.37
1981,NUTS,2010,AT221,3,1.0
1985,NUTS,2010,AT221,3,0.75
1987,NUTS,2010,AT221,3,2.13
1988,NUTS,2010,AT221,3,0.67
1989,NUTS,2010,AT221,3,3.0
1990,NUTS,2010,AT221,3,1.0
1992,NUTS,2010,AT221,3,0.5
1993,NUTS,2010,AT221,3,4.14
1996,NUTS,2010,AT221,3,2.76
1997,NUTS,2010,AT221,3,1.0
1998,NUTS,2010,AT221,3,1.0
1999,NUTS,2010,AT221,3,2.39
2000,NUTS,2010,AT221,3,4.47
2001,NUTS,2010,AT221,3,5.42
2002,NUTS,2010,AT221,3,3.0
2003,NUTS,2010,AT221,3,9.5
2004,NUTS,2010,AT221,3,11.35
2005,NUTS,2010,AT221,3,5.42
2006,NUTS,2010,AT221,3,18.22
2007,NUTS,2010,AT221,3,8.23
2008,NUTS,2010,AT221,3,3.92
2009,NUTS,2010,AT221,3,12.88
2010,NUTS,2010,AT221,3,10.15
2011,NUTS,2010,AT221,3,7.67
2012,NUTS,2010,AT221,3,18.7
1996,NUTS,2010,AT222,3,1.0
2008,NUTS,2010,AT222,3,0.14
2009,NUTS,2010,AT222,3,0.14
2011,NUTS,2010,AT222,3,0.5
1999,NUTS,2010,AT223,3,0.33
2001,NUTS,2010,AT223,3,0.33
2004,NUTS,2010,AT223,3,0.5
2005,NUTS,2010,AT223,3,0.33
2006,NUTS,2010,AT223,3,2.5
2008,NUTS,2010,AT223,3,1.88
2009,NUTS,2010,AT223,3,0.5
2010,NUTS,2010,AT223,3,0.33
2011,NUTS,2010,AT223,3,0.5
2012,NUTS,2010,AT223,3,1.03
2001,NUTS,2010,AT224,3,0.33
2002,NUTS,2010,AT224,3,0.5
2004,NUTS,2010,AT224,3,0.14
2005,NUTS,2010,AT224,3,0.33
2006,NUTS,2010,AT224,3,3.46
2007,NUTS,2010,AT224,3,0.75
2008,NUTS,2010,AT224,3,3.0
2009,NUTS,2010,AT224,3,0.33
2010,NUTS,2010,AT224,3,0.17
2012,NUTS,2010,AT224,3,0.7
1985,NUTS,2010,AT225,3,0.25
1987,NUTS,2010,AT225,3,0.87
1988,NUTS,2010,AT225,3,0.33
1996,NUTS,2010,AT225,3,1.17
1999,NUTS,2010,AT225,3,1.25
2000,NUTS,2010,AT225,3,1.0
2001,NUTS,2010,AT225,3,2.92
2002,NUTS,2010,AT225,3,4.5
2003,NUTS,2010,AT225,3,3.1
2004,NUTS,2010,AT225,3,6.37
2005,NUTS,2010,AT225,3,4.33
2006,NUTS,2010,AT225,3,12.5
2007,NUTS,2010,AT225,3,7.25
2008,NUTS,2010,AT225,3,9.33
2009,NUTS,2010,AT225,3,6.74
2010,NUTS,2010,AT225,3,6.62
2011,NUTS,2010,AT225,3,4.0
2012,NUTS,2010,AT225,3,5.94
1996,NUTS,2010,AT226,3,0.39
2008,NUTS,2010,AT226,3,0.42
2010,NUTS,2010,AT226,3,1.17
1982,NUTS,2010,AT3,1,0.38
1983,NUTS,2010,AT3,1,1.25
1984,NUTS,2010,AT3,1,2.0
1985,NUTS,2010,AT3,1,0.33
1986,NUTS,2010,AT3,1,2.0
1987,NUTS,2010,AT3,1,0.2
1988,NUTS,2010,AT3,1,3.25
1990,NUTS,2010,AT3,1,4.83
1991,NUTS,2010,AT3,1,1.67
1992,NUTS,2010,AT3,1,4.25
1993,NUTS,2010,AT3,1,1.0
1994,NUTS,2010,AT3,1,0.25
1995,NUTS,2010,AT3,1,0.67
1996,NUTS,2010,AT3,1,1.75
1997,NUTS,2010,AT3,1,5.03
1998,NUTS,2010,AT3,1,4.83
1999,NUTS,2010,AT3,1,4.67
2000,NUTS,2010,AT3,1,8.98
2001,NUTS,2010,AT3,1,5.23
2002,NUTS,2010,AT3,1,4.31
2003,NUTS,2010,AT3,1,5.58
2004,NUTS,2010,AT3,1,6.17
2005,NUTS,2010,AT3,1,10.2
2006,NUTS,2010,AT3,1,11.98
2007,NUTS,2010,AT3,1,13.42
2008,NUTS,2010,AT3,1,10.08
2009,NUTS,2010,AT3,1,22.49
2010,NUTS,2010,AT3,1,31.88
2011,NUTS,2010,AT3,1,26.46
2012,NUTS,2010,AT3,1,15.33
1982,NUTS,2010,AT31,2,0.38
1983,NUTS,2010,AT31,2,1.25
1984,NUTS,2010,AT31,2,1.0
1985,NUTS,2010,AT31,2,0.33
1986,NUTS,2010,AT31,2,1.0
1987,NUTS,2010,AT31,2,0.2
1988,NUTS,2010,AT31,2,2.0
1990,NUTS,2010,AT31,2,0.83
1991,NUTS,2010,AT31,2,0.67
1992,NUTS,2010,AT31,2,2.0
1995,NUTS,2010,AT31,2,0.67
1996,NUTS,2010,AT31,2,0.5
1997,NUTS,2010,AT31,2,2.13
1998,NUTS,2010,AT31,2,1.83
1999,NUTS,2010,AT31,2,2.67
2000,NUTS,2010,AT31,2,3.73
2001,NUTS,2010,AT31,2,1.65
2002,NUTS,2010,AT31,2,3.17
2003,NUTS,2010,AT31,2,2.83
2004,NUTS,2010,AT31,2,5.17
2005,NUTS,2010,AT31,2,8.72
2006,NUTS,2010,AT31,2,8.06
2007,NUTS,2010,AT31,2,6.42
2008,NUTS,2010,AT31,2,5.73
2009,NUTS,2010,AT31,2,14.49
2010,NUTS,2010,AT31,2,23.06
2011,NUTS,2010,AT31,2,15.96
2012,NUTS,2010,AT31,2,7.23
1982,NUTS,2010,AT311,3,0.38
1983,NUTS,2010,AT311,3,0.25
1985,NUTS,2010,AT311,3,0.33
1987,NUTS,2010,AT311,3,0.2
1988,NUTS,2010,AT311,3,1.0
1990,NUTS,2010,AT311,3,0.83
1991,NUTS,2010,AT311,3,0.67
1992,NUTS,2010,AT311,3,2.0
1995,NUTS,2010,AT311,3,0.67
1996,NUTS,2010,AT311,3,0.5
1997,NUTS,2010,AT311,3,2.13
1998,NUTS,2010,AT311,3,0.5
1999,NUTS,2010,AT311,3,2.67
2000,NUTS,2010,AT311,3,0.25
2001,NUTS,2010,AT311,3,0.65
2003,NUTS,2010,AT311,3,1.5
2004,NUTS,2010,AT311,3,2.0
2005,NUTS,2010,AT311,3,3.0
2006,NUTS,2010,AT311,3,2.03
2007,NUTS,2010,AT311,3,0.33
2008,NUTS,2010,AT311,3,2.25
2009,NUTS,2010,AT311,3,12.0
2010,NUTS,2010,AT311,3,21.27
2011,NUTS,2010,AT311,3,12.37
2012,NUTS,2010,AT311,3,6.14
1984,NUTS,2010,AT312,3,1.0
1986,NUTS,2010,AT312,3,1.0
1988,NUTS,2010,AT312,3,1.0
1998,NUTS,2010,AT312,3,1.33
2000,NUTS,2010,AT312,3,3.33
2001,NUTS,2010,AT312,3,1.0
2002,NUTS,2010,AT312,3,3.17
2003,NUTS,2010,AT312,3,0.83
2004,NUTS,2010,AT312,3,3.17
2005,NUTS,2010,AT312,3,5.72
2006,NUTS,2010,AT312,3,5.83
2007,NUTS,2010,AT312,3,5.22
2008,NUTS,2010,AT312,3,2.48
2009,NUTS,2010,AT312,3,1.99
2010,NUTS,2010,AT312,3,1.39
2011,NUTS,2010,AT312,3,1.92
2012,NUTS,2010,AT312,3,0.83
2006,NUTS,2010,AT313,3,0.2
2009,NUTS,2010,AT313,3,0.5
2007,NUTS,2010,AT314,3,0.38
2011,NUTS,2010,AT314,3,1.42
2012,NUTS,2010,AT314,3,0.25
1983,NUTS,2010,AT315,3,1.0
2000,NUTS,2010,AT315,3,0.14
2003,NUTS,2010,AT315,3,0.5
2007,NUTS,2010,AT315,3,0.5
2008,NUTS,2010,AT315,3,1.0
2010,NUTS,2010,AT315,3,0.4
2011,NUTS,2010,AT315,3,0.25
1986,NUTS,2010,AT32,2,1.0
2007,NUTS,2010,AT32,2,1.0
2009,NUTS,2010,AT32,2,0.33
2012,NUTS,2010,AT32,2,1.33
1986,NUTS,2010,AT323,3,1.0
2007,NUTS,2010,AT323,3,1.0
2009,NUTS,2010,AT323,3,0.33
2012,NUTS,2010,AT323,3,1.33
1984,NUTS,2010,AT33,2,1.0
1990,NUTS,2010,AT33,2,4.0
1993,NUTS,2010,AT33,2,1.0
1997,NUTS,2010,AT33,2,1.0
1998,NUTS,2010,AT33,2,2.0
1999,NUTS,2010,AT33,2,1.0
2000,NUTS,2010,AT33,2,2.0
2003,NUTS,2010,AT33,2,2.5
2004,NUTS,2010,AT33,2,1.0
2005,NUTS,2010,AT33,2,0.48
2006,NUTS,2010,AT33,2,0.25
2007,NUTS,2010,AT33,2,4.0
2008,NUTS,2010,AT33,2,1.45
2009,NUTS,2010,AT33,2,4.33
2010,NUTS,2010,AT33,2,4.42
2011,NUTS,2010,AT33,2,0.5
2012,NUTS,2010,AT33,2,1.82
1984,NUTS,2010,AT331,3,1.0
2000,NUTS,2010,AT331,3,1.0
2003,NUTS,2010,AT331,3,2.0
2007,NUTS,2010,AT331,3,1.75
1990,NUTS,2010,AT332,3,1.0
1998,NUTS,2010,AT332,3,1.0
1999,NUTS,2010,AT332,3,1.0
2000,NUTS,2010,AT332,3,1.0
2003,NUTS,2010,AT332,3,0.5
2004,NUTS,2010,AT332,3,1.0
2005,NUTS,2010,AT332,3,0.48
2006,NUTS,2010,AT332,3,0.25
2007,NUTS,2010,AT332,3,1.0
2008,NUTS,2010,AT332,3,1.0
2009,NUTS,2010,AT332,3,4.0
2010,NUTS,2010,AT332,3,1.0
2011,NUTS,2010,AT332,3,0.5
2012,NUTS,2010,AT332,3,1.65
2008,NUTS,2010,AT333,3,0.2
1990,NUTS,2010,AT335,3,3.0
1993,NUTS,2010,AT335,3,1.0
1997,NUTS,2010,AT335,3,1.0
1998,NUTS,2010,AT335,3,1.0
2007,NUTS,2010,AT335,3,1.25
2008,NUTS,2010,AT335,3,0.25
2009,NUTS,2010,AT335,3,0.33
2010,NUTS,2010,AT335,3,3.42
2012,NUTS,2010,AT335,3,0.17
1988,NUTS,2010,AT34,2,1.25
1991,NUTS,2010,AT34,2,1.0
1992,NUTS,2010,AT34,2,2.25
1994,NUTS,2010,AT34,2,0.25
1996,NUTS,2010,AT34,2,1.25
1997,NUTS,2010,AT34,2,1.9
1998,NUTS,2010,AT34,2,1.0
1999,NUTS,2010,AT34,2,1.0
2000,NUTS,2010,AT34,2,3.25
2001,NUTS,2010,AT34,2,3.58
2002,NUTS,2010,AT34,2,1.14
2003,NUTS,2010,AT34,2,0.25
2005,NUTS,2010,AT34,2,1.0
2006,NUTS,2010,AT34,2,3.67
2007,NUTS,2010,AT34,2,2.0
2008,NUTS,2010,AT34,2,2.9
2009,NUTS,2010,AT34,2,3.33
2010,NUTS,2010,AT34,2,4.4
2011,NUTS,2010,AT34,2,10.0
2012,NUTS,2010,AT34,2,4.95
1998,NUTS,2010,AT341,3,1.0
2009,NUTS,2010,AT341,3,1.5
2010,NUTS,2010,AT341,3,1.4
2011,NUTS,2010,AT341,3,2.83
2012,NUTS,2010,AT341,3,1.33
1988,NUTS,2010,AT342,3,1.25
1991,NUTS,2010,AT342,3,1.0
1992,NUTS,2010,AT342,3,2.25
1994,NUTS,2010,AT342,3,0.25
1996,NUTS,2010,AT342,3,1.25
1997,NUTS,2010,AT342,3,1.9
1999,NUTS,2010,AT342,3,1.0
2000,NUTS,2010,AT342,3,3.25
2001,NUTS,2010,AT342,3,3.58
2002,NUTS,2010,AT342,3,1.14
2003,NUTS,2010,AT342,3,0.25
2005,NUTS,2010,AT342,3,1.0
2006,NUTS,2010,AT342,3,3.67
2007,NUTS,2010,AT342,3,2.0
2008,NUTS,2010,AT342,3,2.9
2009,NUTS,2010,AT342,3,1.83
2010,NUTS,2010,AT342,3,3.0
2011,NUTS,2010,AT342,3,7.17
2012,NUTS,2010,AT342,3,3.62
1998,NUTS,2010,ATX,1,0.33
2000,NUTS,2010,ATX,1,0.07
2006,NUTS,2010,ATX,1,0.58
2008,NUTS,2010,ATX,1,0.83
2009,NUTS,2010,ATX,1,0.17
2010,NUTS,2010,ATX,1,1.67
2012,NUTS,2010,ATX,1,0.25
1998,NUTS,2010,ATXX,2,0.33
2000,NUTS,2010,ATXX,2,0.07
2006,NUTS,2010,ATXX,2,0.58
2008,NUTS,2010,ATXX,2,0.83
2009,NUTS,2010,ATXX,2,0.17
2010,NUTS,2010,ATXX,2,1.67
2012,NUTS,2010,ATXX,2,0.25
1998,NUTS,2010,ATXXX,3,0.33
2000,NUTS,2010,ATXXX,3,0.07
2006,NUTS,2010,ATXXX,3,0.58
2008,NUTS,2010,ATXXX,3,0.83
2009,NUTS,2010,ATXXX,3,0.17
2010,NUTS,2010,ATXXX,3,1.67
2012,NUTS,2010,ATXXX,3,0.25
2002,NUTS,2010,ATZ,1,0.63
2006,NUTS,2010,ATZ,1,0.67
2007,NUTS,2010,ATZ,1,1.0
2008,NUTS,2010,ATZ,1,1.0
2002,NUTS,2010,ATZZ,2,0.63
2006,NUTS,2010,ATZZ,2,0.67
2007,NUTS,2010,ATZZ,2,1.0
2008,NUTS,2010,ATZZ,2,1.0
2002,NUTS,2010,ATZZZ,3,0.63
2006,NUTS,2010,ATZZZ,3,0.67
2007,NUTS,2010,ATZZZ,3,1.0
2008,NUTS,2010,ATZZZ,3,1.0
1978,NUTS,2010,BE,0,1.0
1979,NUTS,2010,BE,0,1.0
1980,NUTS,2010,BE,0,1.0
1981,NUTS,2010,BE,0,3.5
1982,NUTS,2010,BE,0,4.0
1983,NUTS,2010,BE,0,4.0
1984,NUTS,2010,BE,0,5.0
1985,NUTS,2010,BE,0,1.75
1986,NUTS,2010,BE,0,1.0
1987,NUTS,2010,BE,0,4.0
1988,NUTS,2010,BE,0,6.32
1989,NUTS,2010,BE,0,8.04
1990,NUTS,2010,BE,0,8.17
1991,NUTS,2010,BE,0,5.25
1992,NUTS,2010,BE,0,4.33
1993,NUTS,2010,BE,0,8.89
1994,NUTS,2010,BE,0,3.71
1995,NUTS,2010,BE,0,16.78
1996,NUTS,2010,BE,0,9.48
1997,NUTS,2010,BE,0,29.75
1998,NUTS,2010,BE,0,39.26
1999,NUTS,2010,BE,0,37.95
2000,NUTS,2010,BE,0,31.4
2001,NUTS,2010,BE,0,48.85
2002,NUTS,2010,BE,0,46.01
2003,NUTS,2010,BE,0,52.33
