year,region_type,region_year_spec,region_id,region_level,hrst_st_rcat_pc_pop_hrst
2011,NUTS,2010,AT,0,28.4
2012,NUTS,2010,AT,0,29.3
2013,NUTS,2010,AT,0,30.4
2014,NUTS,2010,AT,0,35.9
2015,NUTS,2010,AT,0,36.5
2016,NUTS,2010,AT,0,37.3
2017,NUTS,2010,AT,0,38.0
2018,NUTS,2010,AT,0,38.6
2019,NUTS,2010,AT,0,39.4
2020,NUTS,2010,AT,0,39.7
2011,NUTS,2010,AT1,1,30.8
2012,NUTS,2010,AT1,1,31.2
2013,NUTS,2010,AT1,1,32.8
2014,NUTS,2010,AT1,1,38.9
2015,NUTS,2010,AT1,1,39.7
2016,NUTS,2010,AT1,1,40.1
2017,NUTS,2010,AT1,1,41.3
2018,NUTS,2010,AT1,1,41.3
2019,NUTS,2010,AT1,1,41.9
2020,NUTS,2010,AT1,1,42.5
2011,NUTS,2010,AT11,2,25.4
2012,NUTS,2010,AT11,2,25.1
2013,NUTS,2010,AT11,2,26.4
2014,NUTS,2010,AT11,2,32.7
2015,NUTS,2010,AT11,2,34.1
2016,NUTS,2010,AT11,2,33.5
2017,NUTS,2010,AT11,2,34.9
2018,NUTS,2010,AT11,2,35.0
2019,NUTS,2010,AT11,2,36.8
2020,NUTS,2010,AT11,2,38.9
2011,NUTS,2010,AT12,2,27.9
2012,NUTS,2010,AT12,2,28.1
2013,NUTS,2010,AT12,2,28.9
2014,NUTS,2010,AT12,2,35.2
2015,NUTS,2010,AT12,2,36.7
2016,NUTS,2010,AT12,2,36.9
2017,NUTS,2010,AT12,2,38.4
2018,NUTS,2010,AT12,2,38.8
2019,NUTS,2010,AT12,2,38.6
2020,NUTS,2010,AT12,2,39.8
2011,NUTS,2010,AT13,2,34.4
2012,NUTS,2010,AT13,2,35.1
2013,NUTS,2010,AT13,2,37.4
2014,NUTS,2010,AT13,2,43.2
2015,NUTS,2010,AT13,2,43.2
2016,NUTS,2010,AT13,2,43.9
2017,NUTS,2010,AT13,2,44.7
2018,NUTS,2010,AT13,2,44.4
2019,NUTS,2010,AT13,2,45.6
2020,NUTS,2010,AT13,2,45.3
2011,NUTS,2010,AT2,1,25.8
2012,NUTS,2010,AT2,1,26.9
2013,NUTS,2010,AT2,1,26.9
2014,NUTS,2010,AT2,1,32.5
2015,NUTS,2010,AT2,1,33.4
2016,NUTS,2010,AT2,1,34.3
2017,NUTS,2010,AT2,1,34.5
2018,NUTS,2010,AT2,1,35.9
2019,NUTS,2010,AT2,1,36.3
2020,NUTS,2010,AT2,1,36.8
2011,NUTS,2010,AT21,2,25.7
2012,NUTS,2010,AT21,2,26.9
2013,NUTS,2010,AT21,2,27.5
2014,NUTS,2010,AT21,2,33.7
2015,NUTS,2010,AT21,2,33.5
2016,NUTS,2010,AT21,2,35.2
2017,NUTS,2010,AT21,2,35.3
2018,NUTS,2010,AT21,2,36.7
2019,NUTS,2010,AT21,2,36.5
2020,NUTS,2010,AT21,2,37.5
2011,NUTS,2010,AT22,2,25.8
2012,NUTS,2010,AT22,2,26.8
2013,NUTS,2010,AT22,2,26.7
2014,NUTS,2010,AT22,2,32.0
2015,NUTS,2010,AT22,2,33.4
2016,NUTS,2010,AT22,2,33.8
2017,NUTS,2010,AT22,2,34.1
2018,NUTS,2010,AT22,2,35.6
2019,NUTS,2010,AT22,2,36.2
2020,NUTS,2010,AT22,2,36.5
2011,NUTS,2010,AT3,1,27.0
2012,NUTS,2010,AT3,1,28.4
2013,NUTS,2010,AT3,1,29.3
2014,NUTS,2010,AT3,1,34.2
2015,NUTS,2010,AT3,1,34.5
2016,NUTS,2010,AT3,1,35.8
2017,NUTS,2010,AT3,1,36.1
2018,NUTS,2010,AT3,1,36.9
2019,NUTS,2010,AT3,1,38.2
2020,NUTS,2010,AT3,1,37.9
2011,NUTS,2010,AT31,2,26.6
2012,NUTS,2010,AT31,2,27.4
2013,NUTS,2010,AT31,2,28.9
2014,NUTS,2010,AT31,2,33.7
2015,NUTS,2010,AT31,2,34.2
2016,NUTS,2010,AT31,2,36.0
2017,NUTS,2010,AT31,2,36.1
2018,NUTS,2010,AT31,2,36.9
2019,NUTS,2010,AT31,2,39.3
2020,NUTS,2010,AT31,2,37.7
2011,NUTS,2010,AT32,2,28.7
2012,NUTS,2010,AT32,2,30.2
2013,NUTS,2010,AT32,2,31.0
2014,NUTS,2010,AT32,2,36.1
2015,NUTS,2010,AT32,2,36.5
2016,NUTS,2010,AT32,2,37.1
2017,NUTS,2010,AT32,2,37.7
2018,NUTS,2010,AT32,2,37.9
2019,NUTS,2010,AT32,2,38.3
2020,NUTS,2010,AT32,2,38.8
2011,NUTS,2010,AT33,2,26.4
2012,NUTS,2010,AT33,2,28.3
2013,NUTS,2010,AT33,2,28.5
2014,NUTS,2010,AT33,2,34.1
2015,NUTS,2010,AT33,2,33.8
2016,NUTS,2010,AT33,2,34.3
2017,NUTS,2010,AT33,2,35.2
2018,NUTS,2010,AT33,2,36.8
2019,NUTS,2010,AT33,2,37.3
2020,NUTS,2010,AT33,2,38.3
2011,NUTS,2010,AT34,2,27.5
2012,NUTS,2010,AT34,2,29.8
2013,NUTS,2010,AT34,2,30.1
2014,NUTS,2010,AT34,2,33.3
2015,NUTS,2010,AT34,2,34.2
2016,NUTS,2010,AT34,2,35.5
2017,NUTS,2010,AT34,2,35.5
2018,NUTS,2010,AT34,2,35.3
2019,NUTS,2010,AT34,2,35.5
2020,NUTS,2010,AT34,2,36.3
2011,NUTS,2010,BE,0,34.3
2012,NUTS,2010,BE,0,35.0
2013,NUTS,2010,BE,0,34.8
2014,NUTS,2010,BE,0,35.9
2015,NUTS,2010,BE,0,35.7
2016,NUTS,2010,BE,0,36.2
2017,NUTS,2010,BE,0,38.6
2018,NUTS,2010,BE,0,38.9
2019,NUTS,2010,BE,0,39.0
2020,NUTS,2010,BE,0,40.3
2011,NUTS,2010,BE1,1,39.5
2012,NUTS,2010,BE1,1,39.7
2013,NUTS,2010,BE1,1,38.4
2014,NUTS,2010,BE1,1,40.2
2015,NUTS,2010,BE1,1,40.1
2016,NUTS,2010,BE1,1,41.0
2017,NUTS,2010,BE1,1,43.4
2018,NUTS,2010,BE1,1,44.1
2019,NUTS,2010,BE1,1,43.3
2020,NUTS,2010,BE1,1,45.4
2011,NUTS,2010,BE10,2,39.5
2012,NUTS,2010,BE10,2,39.7
2013,NUTS,2010,BE10,2,38.4
2014,NUTS,2010,BE10,2,40.2
2015,NUTS,2010,BE10,2,40.1
2016,NUTS,2010,BE10,2,41.0
2017,NUTS,2010,BE10,2,43.4
2018,NUTS,2010,BE10,2,44.1
2019,NUTS,2010,BE10,2,43.3
2020,NUTS,2010,BE10,2,45.4
2011,NUTS,2010,BE2,1,34.9
2012,NUTS,2010,BE2,1,35.5
2013,NUTS,2010,BE2,1,35.5
2014,NUTS,2010,BE2,1,36.7
2015,NUTS,2010,BE2,1,36.4
2016,NUTS,2010,BE2,1,36.9
2017,NUTS,2010,BE2,1,39.5
2018,NUTS,2010,BE2,1,39.4
2019,NUTS,2010,BE2,1,39.7
2020,NUTS,2010,BE2,1,41.1
2011,NUTS,2010,BE21,2,34.0
2012,NUTS,2010,BE21,2,35.7
2013,NUTS,2010,BE21,2,35.7
2014,NUTS,2010,BE21,2,37.9
2015,NUTS,2010,BE21,2,36.7
2016,NUTS,2010,BE21,2,34.7
2017,NUTS,2010,BE21,2,37.7
2018,NUTS,2010,BE21,2,38.7
2019,NUTS,2010,BE21,2,39.2
2020,NUTS,2010,BE21,2,40.4
2011,NUTS,2010,BE22,2,31.3
2012,NUTS,2010,BE22,2,32.6
2013,NUTS,2010,BE22,2,30.8
2014,NUTS,2010,BE22,2,32.4
2015,NUTS,2010,BE22,2,33.7
2016,NUTS,2010,BE22,2,33.1
2017,NUTS,2010,BE22,2,34.8
2018,NUTS,2010,BE22,2,34.3
2019,NUTS,2010,BE22,2,35.7
2020,NUTS,2010,BE22,2,36.8
2011,NUTS,2010,BE23,2,35.6
2012,NUTS,2010,BE23,2,35.4
2013,NUTS,2010,BE23,2,36.6
2014,NUTS,2010,BE23,2,36.6
2015,NUTS,2010,BE23,2,36.9
2016,NUTS,2010,BE23,2,38.2
2017,NUTS,2010,BE23,2,40.6
2018,NUTS,2010,BE23,2,40.7
2019,NUTS,2010,BE23,2,39.6
2020,NUTS,2010,BE23,2,42.2
2011,NUTS,2010,BE24,2,41.0
2012,NUTS,2010,BE24,2,42.0
2013,NUTS,2010,BE24,2,42.1
2014,NUTS,2010,BE24,2,42.8
2015,NUTS,2010,BE24,2,42.3
2016,NUTS,2010,BE24,2,44.2
2017,NUTS,2010,BE24,2,47.3
2018,NUTS,2010,BE24,2,46.0
2019,NUTS,2010,BE24,2,46.7
2020,NUTS,2010,BE24,2,47.6
2011,NUTS,2010,BE25,2,32.0
2012,NUTS,2010,BE25,2,31.5
2013,NUTS,2010,BE25,2,31.2
2014,NUTS,2010,BE25,2,32.7
2015,NUTS,2010,BE25,2,32.1
2016,NUTS,2010,BE25,2,34.4
2017,NUTS,2010,BE25,2,36.7
2018,NUTS,2010,BE25,2,36.7
2019,NUTS,2010,BE25,2,36.9
2020,NUTS,2010,BE25,2,37.5
2011,NUTS,2010,BE3,1,31.7
2012,NUTS,2010,BE3,1,32.6
2013,NUTS,2010,BE3,1,32.4
2014,NUTS,2010,BE3,1,33.1
2015,NUTS,2010,BE3,1,33.0
2016,NUTS,2010,BE3,1,33.5
2017,NUTS,2010,BE3,1,35.6
2018,NUTS,2010,BE3,1,36.1
2019,NUTS,2010,BE3,1,36.4
2020,NUTS,2010,BE3,1,37.3
2011,NUTS,2010,BE31,2,50.6
2012,NUTS,2010,BE31,2,47.9
2013,NUTS,2010,BE31,2,47.8
2014,NUTS,2010,BE31,2,47.6
2015,NUTS,2010,BE31,2,50.4
2016,NUTS,2010,BE31,2,47.8
2017,NUTS,2010,BE31,2,52.0
2018,NUTS,2010,BE31,2,53.2
2019,NUTS,2010,BE31,2,52.3
2020,NUTS,2010,BE31,2,54.1
2011,NUTS,2010,BE32,2,26.1
2012,NUTS,2010,BE32,2,27.9
2013,NUTS,2010,BE32,2,28.1
2014,NUTS,2010,BE32,2,27.9
2015,NUTS,2010,BE32,2,27.5
2016,NUTS,2010,BE32,2,29.4
2017,NUTS,2010,BE32,2,30.6
2018,NUTS,2010,BE32,2,30.7
2019,NUTS,2010,BE32,2,31.3
2020,NUTS,2010,BE32,2,31.0
2011,NUTS,2010,BE33,2,31.6
2012,NUTS,2010,BE33,2,31.6
2013,NUTS,2010,BE33,2,32.3
2014,NUTS,2010,BE33,2,32.6
