year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pnp_rse_pc_act_fte_t
2019,NUTS,2010,CZ,0,0.0031
2020,NUTS,2010,CZ,0,0.0034
2011,NUTS,2010,CZ0,1,0.0038
2012,NUTS,2010,CZ0,1,0.004
2013,NUTS,2010,CZ0,1,0.0035
2014,NUTS,2010,CZ0,1,0.0038
2015,NUTS,2010,CZ0,1,0.0032
2016,NUTS,2010,CZ0,1,0.0027
2017,NUTS,2010,CZ0,1,0.0036
2018,NUTS,2010,CZ0,1,0.0031
2019,NUTS,2010,CZ0,1,0.003
2020,NUTS,2010,CZ0,1,0.0033
2011,NUTS,2010,CZ01,2,0.0149
2012,NUTS,2010,CZ01,2,0.016
2013,NUTS,2010,CZ01,2,0.0157
2014,NUTS,2010,CZ01,2,0.0156
2015,NUTS,2010,CZ01,2,0.0127
2016,NUTS,2010,CZ01,2,0.0128
2017,NUTS,2010,CZ01,2,0.0141
2018,NUTS,2010,CZ01,2,0.0117
2019,NUTS,2010,CZ01,2,0.0132
2020,NUTS,2010,CZ01,2,0.0148
2011,NUTS,2010,CZ02,2,0.0008
2012,NUTS,2010,CZ02,2,0.0008
2013,NUTS,2010,CZ02,2,0.0021
2014,NUTS,2010,CZ02,2,0.0011
2015,NUTS,2010,CZ02,2,0.0014
2016,NUTS,2010,CZ02,2,0.001
2017,NUTS,2010,CZ02,2,0.0006
2018,NUTS,2010,CZ02,2,0.0004
2019,NUTS,2010,CZ02,2,0.0003
2020,NUTS,2010,CZ02,2,0.0004
2011,NUTS,2010,CZ03,2,0.0021
2012,NUTS,2010,CZ03,2,0.0029
2013,NUTS,2010,CZ03,2,0.0019
2014,NUTS,2010,CZ03,2,0.0054
2015,NUTS,2010,CZ03,2,0.0079
2016,NUTS,2010,CZ03,2,0.0054
2017,NUTS,2010,CZ03,2,0.0085
2018,NUTS,2010,CZ03,2,0.0083
2019,NUTS,2010,CZ03,2,0.0054
2020,NUTS,2010,CZ03,2,0.0061
2011,NUTS,2010,CZ04,2,0.0
2012,NUTS,2010,CZ04,2,0.0
2013,NUTS,2010,CZ04,2,0.0
2014,NUTS,2010,CZ04,2,0.0
2015,NUTS,2010,CZ04,2,0.0
2016,NUTS,2010,CZ04,2,0.0
2017,NUTS,2010,CZ04,2,0.0
2018,NUTS,2010,CZ04,2,0.0001
2019,NUTS,2010,CZ04,2,0.0001
2020,NUTS,2010,CZ04,2,0.0001
2011,NUTS,2010,CZ05,2,0.0043
2012,NUTS,2010,CZ05,2,0.0043
2013,NUTS,2010,CZ05,2,0.0021
2014,NUTS,2010,CZ05,2,0.0008
2015,NUTS,2010,CZ05,2,0.0
2016,NUTS,2010,CZ05,2,0.0001
2017,NUTS,2010,CZ05,2,0.0014
2019,NUTS,2010,CZ05,2,0.0007
2020,NUTS,2010,CZ05,2,0.0014
