year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pc_emp_fte_total_total_t
1998,NUTS,2010,AT,0,0.857
2002,NUTS,2010,AT,0,1.0563
2004,NUTS,2010,AT,0,1.1748
2005,NUTS,2010,AT,0,1.2833
2006,NUTS,2010,AT,0,1.3052
2007,NUTS,2010,AT,0,1.3782
2008,NUTS,2010,AT,0,1.4766
2009,NUTS,2010,AT,0,1.4438
2010,NUTS,2010,AT,0,1.5194
2011,NUTS,2010,AT,0,1.5362
2012,NUTS,2010,AT,0,1.6219
2013,NUTS,2010,AT,0,1.6423
2014,NUTS,2010,AT,0,1.7387
2015,NUTS,2010,AT,0,1.7551
2016,NUTS,2010,AT,0,1.8143
2017,NUTS,2010,AT,0,1.8162
2018,NUTS,2010,AT,0,1.891
2019,NUTS,2010,AT,0,1.9547
2020,NUTS,2010,AT,0,1.9548
2002,NUTS,2010,AT1,1,1.2758
2004,NUTS,2010,AT1,1,1.385
2006,NUTS,2010,AT1,1,1.4764
2007,NUTS,2010,AT1,1,1.5407
2009,NUTS,2010,AT1,1,1.5388
2011,NUTS,2010,AT1,1,1.5774
2013,NUTS,2010,AT1,1,1.5749
2015,NUTS,2010,AT1,1,1.6468
2017,NUTS,2010,AT1,1,1.6942
2019,NUTS,2010,AT1,1,1.8241
2002,NUTS,2010,AT11,2,0.2441
2004,NUTS,2010,AT11,2,0.2749
2006,NUTS,2010,AT11,2,0.2623
2007,NUTS,2010,AT11,2,0.291
2009,NUTS,2010,AT11,2,0.3469
2011,NUTS,2010,AT11,2,0.4284
2013,NUTS,2010,AT11,2,0.497
2015,NUTS,2010,AT11,2,0.5425
2017,NUTS,2010,AT11,2,0.5568
2019,NUTS,2010,AT11,2,0.5778
2002,NUTS,2010,AT12,2,0.3932
2004,NUTS,2010,AT12,2,0.4463
2006,NUTS,2010,AT12,2,0.5435
2007,NUTS,2010,AT12,2,0.5639
2009,NUTS,2010,AT12,2,0.6233
2011,NUTS,2010,AT12,2,0.6821
2013,NUTS,2010,AT12,2,0.7476
2015,NUTS,2010,AT12,2,0.838
2017,NUTS,2010,AT12,2,0.9052
2019,NUTS,2010,AT12,2,1.035
2002,NUTS,2010,AT13,2,2.3249
2004,NUTS,2010,AT13,2,2.5274
2006,NUTS,2010,AT13,2,2.6282
2007,NUTS,2010,AT13,2,2.766
2009,NUTS,2010,AT13,2,2.6749
2011,NUTS,2010,AT13,2,2.6808
2013,NUTS,2010,AT13,2,2.5695
2015,NUTS,2010,AT13,2,2.6301
2017,NUTS,2010,AT13,2,2.6451
2019,NUTS,2010,AT13,2,2.7601
2002,NUTS,2010,AT2,1,1.1494
2004,NUTS,2010,AT2,1,1.3219
2006,NUTS,2010,AT2,1,1.451
2007,NUTS,2010,AT2,1,1.5249
2009,NUTS,2010,AT2,1,1.6194
2011,NUTS,2010,AT2,1,1.8053
2013,NUTS,2010,AT2,1,2.0056
2015,NUTS,2010,AT2,1,2.197
2017,NUTS,2010,AT2,1,2.2995
2019,NUTS,2010,AT2,1,2.4716
2002,NUTS,2010,AT21,2,0.6612
2004,NUTS,2010,AT21,2,0.821
2006,NUTS,2010,AT21,2,0.9473
2007,NUTS,2010,AT21,2,0.9975
2009,NUTS,2010,AT21,2,1.0658
2011,NUTS,2010,AT21,2,1.1885
2013,NUTS,2010,AT21,2,1.2381
2015,NUTS,2010,AT21,2,1.2928
2017,NUTS,2010,AT21,2,1.3068
2019,NUTS,2010,AT21,2,1.4425
2002,NUTS,2010,AT22,2,1.3756
2004,NUTS,2010,AT22,2,1.5455
2006,NUTS,2010,AT22,2,1.6739
2007,NUTS,2010,AT22,2,1.7601
2009,NUTS,2010,AT22,2,1.8674
2011,NUTS,2010,AT22,2,2.0764
2013,NUTS,2010,AT22,2,2.3436
2015,NUTS,2010,AT22,2,2.5915
2017,NUTS,2010,AT22,2,2.7304
2019,NUTS,2010,AT22,2,2.9149
2002,NUTS,2010,AT3,1,0.7664
2004,NUTS,2010,AT3,1,0.8986
2006,NUTS,2010,AT3,1,0.9936
2007,NUTS,2010,AT3,1,1.0606
2009,NUTS,2010,AT3,1,1.1714
2011,NUTS,2010,AT3,1,1.2711
2013,NUTS,2010,AT3,1,1.4403
2015,NUTS,2010,AT3,1,1.548
2017,NUTS,2010,AT3,1,1.6096
2019,NUTS,2010,AT3,1,1.7342
2002,NUTS,2010,AT31,2,0.7948
2004,NUTS,2010,AT31,2,0.9425
2006,NUTS,2010,AT31,2,1.0759
2007,NUTS,2010,AT31,2,1.1661
2009,NUTS,2010,AT31,2,1.2759
2011,NUTS,2010,AT31,2,1.4052
2013,NUTS,2010,AT31,2,1.6588
2015,NUTS,2010,AT31,2,1.7849
2017,NUTS,2010,AT31,2,1.8248
2019,NUTS,2010,AT31,2,1.9924
2002,NUTS,2010,AT32,2,0.5288
2004,NUTS,2010,AT32,2,0.6362
2006,NUTS,2010,AT32,2,0.7277
2007,NUTS,2010,AT32,2,0.7496
2009,NUTS,2010,AT32,2,0.8429
2011,NUTS,2010,AT32,2,0.9502
2013,NUTS,2010,AT32,2,1.0936
2015,NUTS,2010,AT32,2,1.1901
2017,NUTS,2010,AT32,2,1.3084
2019,NUTS,2010,AT32,2,1.4214
2002,NUTS,2010,AT33,2,0.9166
2004,NUTS,2010,AT33,2,1.0976
2006,NUTS,2010,AT33,2,1.1191
2007,NUTS,2010,AT33,2,1.1769
2009,NUTS,2010,AT33,2,1.2908
2011,NUTS,2010,AT33,2,1.4044
2013,NUTS,2010,AT33,2,1.4676
2015,NUTS,2010,AT33,2,1.518
2017,NUTS,2010,AT33,2,1.6012
2019,NUTS,2010,AT33,2,1.6496
2002,NUTS,2010,AT34,2,0.7304
2004,NUTS,2010,AT34,2,0.7348
2006,NUTS,2010,AT34,2,0.8213
2007,NUTS,2010,AT34,2,0.8816
2009,NUTS,2010,AT34,2,1.0102
2011,NUTS,2010,AT34,2,0.9622
2013,NUTS,2010,AT34,2,1.0543
2015,NUTS,2010,AT34,2,1.2138
2017,NUTS,2010,AT34,2,1.2487
2019,NUTS,2010,AT34,2,1.3744
1993,NUTS,2010,BE,0,0.9902
1994,NUTS,2010,BE,0,1.0393
1995,NUTS,2010,BE,0,1.0583
1996,NUTS,2010,BE,0,1.1234
1997,NUTS,2010,BE,0,1.1519
1998,NUTS,2010,BE,0,1.1951
1999,NUTS,2010,BE,0,1.2429
2000,NUTS,2010,BE,0,1.3125
2001,NUTS,2010,BE,0,1.3873
2002,NUTS,2010,BE,0,1.2862
2003,NUTS,2010,BE,0,1.2912
2004,NUTS,2010,BE,0,1.2701
2005,NUTS,2010,BE,0,1.2745
2006,NUTS,2010,BE,0,1.3162
2007,NUTS,2010,BE,0,1.3331
2008,NUTS,2010,BE,0,1.3248
2009,NUTS,2010,BE,0,1.3615
2010,NUTS,2010,BE,0,1.3497
2011,NUTS,2010,BE,0,1.407
2012,NUTS,2010,BE,0,1.496
2013,NUTS,2010,BE,0,1.5139
2014,NUTS,2010,BE,0,1.6187
2015,NUTS,2010,BE,0,1.7231
2016,NUTS,2010,BE,0,1.7324
2017,NUTS,2010,BE,0,1.8026
2018,NUTS,2010,BE,0,1.8854
2019,NUTS,2010,BE,0,1.9603
2020,NUTS,2010,BE,0,2.1815
2002,NUTS,2010,BE1,1,2.1649
2003,NUTS,2010,BE1,1,2.0934
2004,NUTS,2010,BE1,1,2.0775
2005,NUTS,2010,BE1,1,2.0818
2006,NUTS,2010,BE1,1,2.3536
2007,NUTS,2010,BE1,1,2.3735
2008,NUTS,2010,BE1,1,2.2606
2009,NUTS,2010,BE1,1,2.284
2010,NUTS,2010,BE1,1,2.0753
2011,NUTS,2010,BE1,1,2.1161
2013,NUTS,2010,BE1,1,2.517
2014,NUTS,2010,BE1,1,2.5744
2015,NUTS,2010,BE1,1,2.7882
2016,NUTS,2010,BE1,1,2.8746
2017,NUTS,2010,BE1,1,2.9226
2018,NUTS,2010,BE1,1,3.444
2019,NUTS,2010,BE1,1,3.5296
2002,NUTS,2010,BE10,2,2.1649
2003,NUTS,2010,BE10,2,2.0934
2004,NUTS,2010,BE10,2,2.0775
2005,NUTS,2010,BE10,2,2.0818
2006,NUTS,2010,BE10,2,2.3536
2007,NUTS,2010,BE10,2,2.3735
2008,NUTS,2010,BE10,2,2.2606
2009,NUTS,2010,BE10,2,2.284
2010,NUTS,2010,BE10,2,2.0753
2011,NUTS,2010,BE10,2,2.1161
2013,NUTS,2010,BE10,2,2.517
2014,NUTS,2010,BE10,2,2.5744
2015,NUTS,2010,BE10,2,2.7882
2016,NUTS,2010,BE10,2,2.8746
2017,NUTS,2010,BE10,2,2.9226
2018,NUTS,2010,BE10,2,3.444
2019,NUTS,2010,BE10,2,3.5296
2002,NUTS,2010,BE2,1,1.2747
2003,NUTS,2010,BE2,1,1.2721
2004,NUTS,2010,BE2,1,1.2725
2005,NUTS,2010,BE2,1,1.2787
2006,NUTS,2010,BE2,1,1.306
2007,NUTS,2010,BE2,1,1.3161
2008,NUTS,2010,BE2,1,1.3168
2009,NUTS,2010,BE2,1,1.3512
2010,NUTS,2010,BE2,1,1.3634
2011,NUTS,2010,BE2,1,1.4209
2013,NUTS,2010,BE2,1,1.5049
2014,NUTS,2010,BE2,1,1.597
2015,NUTS,2010,BE2,1,1.6527
2016,NUTS,2010,BE2,1,1.7152
2017,NUTS,2010,BE2,1,1.7955
2018,NUTS,2010,BE2,1,1.8622
2019,NUTS,2010,BE2,1,1.997
2006,NUTS,2010,BE21,2,1.4846
2007,NUTS,2010,BE21,2,1.4441
2008,NUTS,2010,BE21,2,1.3267
2009,NUTS,2010,BE21,2,1.3807
2010,NUTS,2010,BE21,2,1.4219
2011,NUTS,2010,BE21,2,1.505
2013,NUTS,2010,BE21,2,1.451
2014,NUTS,2010,BE21,2,1.591
2015,NUTS,2010,BE21,2,1.6492
2006,NUTS,2010,BE22,2,0.5892
2007,NUTS,2010,BE22,2,0.6045
2008,NUTS,2010,BE22,2,0.5493
2009,NUTS,2010,BE22,2,0.5881
2010,NUTS,2010,BE22,2,0.6041
2011,NUTS,2010,BE22,2,0.6314
2013,NUTS,2010,BE22,2,0.7398
2014,NUTS,2010,BE22,2,0.8481
2015,NUTS,2010,BE22,2,0.8803
2006,NUTS,2010,BE23,2,1.3348
2007,NUTS,2010,BE23,2,1.3988
2008,NUTS,2010,BE23,2,1.4344
2009,NUTS,2010,BE23,2,1.4819
2010,NUTS,2010,BE23,2,1.5002
2011,NUTS,2010,BE23,2,1.554
2013,NUTS,2010,BE23,2,1.6752
2014,NUTS,2010,BE23,2,1.7977
2015,NUTS,2010,BE23,2,1.8367
2006,NUTS,2010,BE24,2,2.1898
2007,NUTS,2010,BE24,2,2.2158
2008,NUTS,2010,BE24,2,2.4256
2009,NUTS,2010,BE24,2,2.4328
2010,NUTS,2010,BE24,2,2.4691
2011,NUTS,2010,BE24,2,2.495
2013,NUTS,2010,BE24,2,2.6421
2014,NUTS,2010,BE24,2,2.7433
2015,NUTS,2010,BE24,2,2.826
2006,NUTS,2010,BE25,2,0.6878
2007,NUTS,2010,BE25,2,0.6883
2008,NUTS,2010,BE25,2,0.6537
2009,NUTS,2010,BE25,2,0.6637
2010,NUTS,2010,BE25,2,0.6098
2011,NUTS,2010,BE25,2,0.6807
2013,NUTS,2010,BE25,2,0.8362
2014,NUTS,2010,BE25,2,0.7885
2015,NUTS,2010,BE25,2,0.8518
2002,NUTS,2010,BE3,1,1.0597
2003,NUTS,2010,BE3,1,1.088
2004,NUTS,2010,BE3,1,0.9907
2005,NUTS,2010,BE3,1,0.9898
2006,NUTS,2010,BE3,1,1.0046
2007,NUTS,2010,BE3,1,1.0292
2008,NUTS,2010,BE3,1,1.0272
2009,NUTS,2010,BE3,1,1.0635
2010,NUTS,2010,BE3,1,1.058
2011,NUTS,2010,BE3,1,1.118
2013,NUTS,2010,BE3,1,1.1732
