year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_bes_rse_pc_act_fte_f
2011,NUTS,2010,AT,0,0.181
2013,NUTS,2010,AT,0,0.2018
2015,NUTS,2010,AT,0,0.2119
2017,NUTS,2010,AT,0,0.2309
2019,NUTS,2010,AT,0,0.2577
2011,NUTS,2010,AT1,1,0.2367
2013,NUTS,2010,AT1,1,0.2373
2015,NUTS,2010,AT1,1,0.2395
2017,NUTS,2010,AT1,1,0.2189
2019,NUTS,2010,AT1,1,0.2408
2011,NUTS,2010,AT11,2,0.0514
2013,NUTS,2010,AT11,2,0.0451
2015,NUTS,2010,AT11,2,0.0515
2017,NUTS,2010,AT11,2,0.0691
2019,NUTS,2010,AT11,2,0.0487
2011,NUTS,2010,AT12,2,0.1139
2013,NUTS,2010,AT12,2,0.1055
2015,NUTS,2010,AT12,2,0.1028
2017,NUTS,2010,AT12,2,0.1044
2019,NUTS,2010,AT12,2,0.1499
2011,NUTS,2010,AT13,2,0.3822
2013,NUTS,2010,AT13,2,0.3865
2015,NUTS,2010,AT13,2,0.3943
2017,NUTS,2010,AT13,2,0.3457
2019,NUTS,2010,AT13,2,0.35
2011,NUTS,2010,AT2,1,0.1872
2013,NUTS,2010,AT2,1,0.2107
2015,NUTS,2010,AT2,1,0.2302
2017,NUTS,2010,AT2,1,0.3017
2019,NUTS,2010,AT2,1,0.364
2011,NUTS,2010,AT21,2,0.1398
2013,NUTS,2010,AT21,2,0.1226
2015,NUTS,2010,AT21,2,0.164
2017,NUTS,2010,AT21,2,0.3077
2019,NUTS,2010,AT21,2,0.3581
2011,NUTS,2010,AT22,2,0.2082
2013,NUTS,2010,AT22,2,0.2506
2015,NUTS,2010,AT22,2,0.2598
2017,NUTS,2010,AT22,2,0.299
2019,NUTS,2010,AT22,2,0.3665
2011,NUTS,2010,AT3,1,0.1067
2013,NUTS,2010,AT3,1,0.1494
2015,NUTS,2010,AT3,1,0.1622
2017,NUTS,2010,AT3,1,0.1997
2019,NUTS,2010,AT3,1,0.2125
2011,NUTS,2010,AT31,2,0.1036
2013,NUTS,2010,AT31,2,0.1555
2015,NUTS,2010,AT31,2,0.1683
2017,NUTS,2010,AT31,2,0.1813
2019,NUTS,2010,AT31,2,0.2355
2011,NUTS,2010,AT32,2,0.067
2013,NUTS,2010,AT32,2,0.0767
2015,NUTS,2010,AT32,2,0.0846
2017,NUTS,2010,AT32,2,0.1112
2019,NUTS,2010,AT32,2,0.1399
2011,NUTS,2010,AT33,2,0.165
2013,NUTS,2010,AT33,2,0.215
2015,NUTS,2010,AT33,2,0.2401
2017,NUTS,2010,AT33,2,0.3395
2019,NUTS,2010,AT33,2,0.2643
2011,NUTS,2010,AT34,2,0.0629
2013,NUTS,2010,AT34,2,0.1029
2015,NUTS,2010,AT34,2,0.1002
2017,NUTS,2010,AT34,2,0.1242
2019,NUTS,2010,AT34,2,0.1309
2011,NUTS,2010,BE,0,0.2121
2011,NUTS,2010,BE1,1,0.2417
2011,NUTS,2010,BE10,2,0.2417
2011,NUTS,2010,BE2,1,0.2172
2011,NUTS,2010,BE3,1,0.1892
2011,NUTS,2010,BG,0,0.047
2012,NUTS,2010,BG,0,0.0595
2013,NUTS,2010,BG,0,0.077
2014,NUTS,2010,BG,0,0.0926
2015,NUTS,2010,BG,0,0.1401
2016,NUTS,2010,BG,0,0.1617
2017,NUTS,2010,BG,0,0.1534
2018,NUTS,2010,BG,0,0.1832
2019,NUTS,2010,BG,0,0.1971
2011,NUTS,2010,BG3,1,0.0158
2012,NUTS,2010,BG3,1,0.0233
2015,NUTS,2010,BG3,1,0.0767
2016,NUTS,2010,BG3,1,0.0687
2017,NUTS,2010,BG3,1,0.0765
2018,NUTS,2010,BG3,1,0.0971
2019,NUTS,2010,BG3,1,0.1031
2017,NUTS,2010,BG31,2,0.1049
2018,NUTS,2010,BG31,2,0.1326
2019,NUTS,2010,BG31,2,0.1338
2011,NUTS,2010,BG32,2,0.0082
2012,NUTS,2010,BG32,2,0.0219
2013,NUTS,2010,BG32,2,0.0314
2014,NUTS,2010,BG32,2,0.0411
2016,NUTS,2010,BG32,2,0.0645
2017,NUTS,2010,BG32,2,0.0931
2018,NUTS,2010,BG32,2,0.1173
2019,NUTS,2010,BG32,2,0.1143
2011,NUTS,2010,BG33,2,0.0152
2012,NUTS,2010,BG33,2,0.0183
2014,NUTS,2010,BG33,2,0.0133
2015,NUTS,2010,BG33,2,0.0687
2017,NUTS,2010,BG33,2,0.0713
2018,NUTS,2010,BG33,2,0.0926
2019,NUTS,2010,BG33,2,0.1089
2015,NUTS,2010,BG34,2,0.071
2016,NUTS,2010,BG34,2,0.048
2017,NUTS,2010,BG34,2,0.0505
2018,NUTS,2010,BG34,2,0.0629
2019,NUTS,2010,BG34,2,0.0701
2011,NUTS,2010,BG4,1,0.0742
2012,NUTS,2010,BG4,1,0.0908
2015,NUTS,2010,BG4,1,0.1916
2016,NUTS,2010,BG4,1,0.2383
2017,NUTS,2010,BG4,1,0.2139
2018,NUTS,2010,BG4,1,0.2487
2019,NUTS,2010,BG4,1,0.2679
2011,NUTS,2010,BG41,2,0.0912
2012,NUTS,2010,BG41,2,0.1257
2015,NUTS,2010,BG41,2,0.2709
2016,NUTS,2010,BG41,2,0.3406
2017,NUTS,2010,BG41,2,0.2973
2018,NUTS,2010,BG41,2,0.3422
2019,NUTS,2010,BG41,2,0.3723
2011,NUTS,2010,BG42,2,0.0452
2012,NUTS,2010,BG42,2,0.0333
2014,NUTS,2010,BG42,2,0.0249
2015,NUTS,2010,BG42,2,0.056
2016,NUTS,2010,BG42,2,0.0596
2017,NUTS,2010,BG42,2,0.073
2018,NUTS,2010,BG42,2,0.0857
2019,NUTS,2010,BG42,2,0.0884
2011,NUTS,2010,CY,0,0.0281
2012,NUTS,2010,CY,0,0.0291
2013,NUTS,2010,CY,0,0.0314
2014,NUTS,2010,CY,0,0.0329
2015,NUTS,2010,CY,0,0.0307
2016,NUTS,2010,CY,0,0.0359
2017,NUTS,2010,CY,0,0.0434
2018,NUTS,2010,CY,0,0.0596
2019,NUTS,2010,CY,0,0.0694
2011,NUTS,2010,CZ,0,0.0817
2012,NUTS,2010,CZ,0,0.09
2013,NUTS,2010,CZ,0,0.0966
2014,NUTS,2010,CZ,0,0.1077
2015,NUTS,2010,CZ,0,0.1027
2016,NUTS,2010,CZ,0,0.1003
2017,NUTS,2010,CZ,0,0.1047
2018,NUTS,2010,CZ,0,0.1098
2019,NUTS,2010,CZ,0,0.119
2020,NUTS,2010,CZ,0,0.1305
2011,NUTS,2010,CZ0,1,0.0805
2012,NUTS,2010,CZ0,1,0.0887
2013,NUTS,2010,CZ0,1,0.0949
2014,NUTS,2010,CZ0,1,0.1059
2015,NUTS,2010,CZ0,1,0.1006
2016,NUTS,2010,CZ0,1,0.0981
2017,NUTS,2010,CZ0,1,0.1023
2018,NUTS,2010,CZ0,1,0.107
2019,NUTS,2010,CZ0,1,0.1158
2020,NUTS,2010,CZ0,1,0.1271
2011,NUTS,2010,CZ01,2,0.1491
2012,NUTS,2010,CZ01,2,0.1773
2013,NUTS,2010,CZ01,2,0.2129
2014,NUTS,2010,CZ01,2,0.2098
2015,NUTS,2010,CZ01,2,0.2114
2016,NUTS,2010,CZ01,2,0.2706
2017,NUTS,2010,CZ01,2,0.2366
2018,NUTS,2010,CZ01,2,0.2508
2019,NUTS,2010,CZ01,2,0.2527
2020,NUTS,2010,CZ01,2,0.2539
2011,NUTS,2010,CZ02,2,0.1414
2012,NUTS,2010,CZ02,2,0.1469
2013,NUTS,2010,CZ02,2,0.1171
2014,NUTS,2010,CZ02,2,0.1052
2015,NUTS,2010,CZ02,2,0.1083
2016,NUTS,2010,CZ02,2,0.0553
2017,NUTS,2010,CZ02,2,0.079
2018,NUTS,2010,CZ02,2,0.0929
2019,NUTS,2010,CZ02,2,0.1003
2020,NUTS,2010,CZ02,2,0.1069
2011,NUTS,2010,CZ03,2,0.0327
2012,NUTS,2010,CZ03,2,0.0377
2013,NUTS,2010,CZ03,2,0.0438
2014,NUTS,2010,CZ03,2,0.0456
2015,NUTS,2010,CZ03,2,0.049
2016,NUTS,2010,CZ03,2,0.0511
2017,NUTS,2010,CZ03,2,0.0566
2018,NUTS,2010,CZ03,2,0.0632
2019,NUTS,2010,CZ03,2,0.0732
2020,NUTS,2010,CZ03,2,0.0754
2011,NUTS,2010,CZ04,2,0.0261
2012,NUTS,2010,CZ04,2,0.0274
2013,NUTS,2010,CZ04,2,0.0393
2014,NUTS,2010,CZ04,2,0.0312
2015,NUTS,2010,CZ04,2,0.0317
2016,NUTS,2010,CZ04,2,0.0312
2017,NUTS,2010,CZ04,2,0.0359
2018,NUTS,2010,CZ04,2,0.035
2019,NUTS,2010,CZ04,2,0.0371
2020,NUTS,2010,CZ04,2,0.0353
2011,NUTS,2010,CZ05,2,0.0785
2012,NUTS,2010,CZ05,2,0.1022
2013,NUTS,2010,CZ05,2,0.1014
2014,NUTS,2010,CZ05,2,0.0927
2015,NUTS,2010,CZ05,2,0.1019
2016,NUTS,2010,CZ05,2,0.0971
2017,NUTS,2010,CZ05,2,0.1152
2018,NUTS,2010,CZ05,2,0.1026
2019,NUTS,2010,CZ05,2,0.1022
2020,NUTS,2010,CZ05,2,0.1202
2011,NUTS,2010,CZ06,2,0.0969
2012,NUTS,2010,CZ06,2,0.0862
2013,NUTS,2010,CZ06,2,0.1173
2014,NUTS,2010,CZ06,2,0.2095
2015,NUTS,2010,CZ06,2,0.1498
2016,NUTS,2010,CZ06,2,0.1331
2017,NUTS,2010,CZ06,2,0.1314
2018,NUTS,2010,CZ06,2,0.1402
2019,NUTS,2010,CZ06,2,0.159
2020,NUTS,2010,CZ06,2,0.192
2011,NUTS,2010,CZ07,2,0.0603
2012,NUTS,2010,CZ07,2,0.0589
2013,NUTS,2010,CZ07,2,0.0588
2014,NUTS,2010,CZ07,2,0.0608
2015,NUTS,2010,CZ07,2,0.0682
2016,NUTS,2010,CZ07,2,0.0613
2017,NUTS,2010,CZ07,2,0.0584
2018,NUTS,2010,CZ07,2,0.0588
2019,NUTS,2010,CZ07,2,0.0815
2020,NUTS,2010,CZ07,2,0.0924
2011,NUTS,2010,CZ08,2,0.038
2012,NUTS,2010,CZ08,2,0.0481
2013,NUTS,2010,CZ08,2,0.0382
2014,NUTS,2010,CZ08,2,0.0365
2015,NUTS,2010,CZ08,2,0.0432
2016,NUTS,2010,CZ08,2,0.0471
2017,NUTS,2010,CZ08,2,0.0647
2018,NUTS,2010,CZ08,2,0.0669
2019,NUTS,2010,CZ08,2,0.0718
2020,NUTS,2010,CZ08,2,0.0802
2011,NUTS,2010,DE,0,0.1435
2013,NUTS,2010,DE,0,0.1451
2015,NUTS,2010,DE,0,0.1743
2017,NUTS,2010,DE,0,0.1868
2019,NUTS,2010,DE,0,0.2055
2017,NUTS,2010,DE1,1,0.3504
2019,NUTS,2010,DE1,1,0.3699
2017,NUTS,2010,DE11,2,0.513
2019,NUTS,2010,DE11,2,0.5201
2017,NUTS,2010,DE12,2,0.3019
2019,NUTS,2010,DE12,2,0.3141
2017,NUTS,2010,DE13,2,0.1467
2019,NUTS,2010,DE13,2,0.1696
2017,NUTS,2010,DE14,2,0.3158
2019,NUTS,2010,DE14,2,0.365
2017,NUTS,2010,DE2,1,0.2186
2019,NUTS,2010,DE2,1,0.2492
2017,NUTS,2010,DE21,2,0.3416
2019,NUTS,2010,DE21,2,0.3943
2017,NUTS,2010,DE22,2,0.079
2019,NUTS,2010,DE22,2,0.0909
2017,NUTS,2010,DE23,2,0.16
