year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_bes_rse_pc_act_fte_f
2019,NUTS,2010,DE23,2,0.2061
2017,NUTS,2010,DE24,2,0.1254
2019,NUTS,2010,DE24,2,0.1588
2017,NUTS,2010,DE25,2,0.218
2019,NUTS,2010,DE25,2,0.2441
2017,NUTS,2010,DE26,2,0.1758
2019,NUTS,2010,DE26,2,0.1792
2017,NUTS,2010,DE27,2,0.1085
2019,NUTS,2010,DE27,2,0.1058
2017,NUTS,2010,DE3,1,0.2179
2019,NUTS,2010,DE3,1,0.2324
2017,NUTS,2010,DE30,2,0.2179
2019,NUTS,2010,DE30,2,0.2324
2017,NUTS,2010,DE4,1,0.0748
2019,NUTS,2010,DE4,1,0.0787
2017,NUTS,2010,DE40,2,0.0748
2019,NUTS,2010,DE40,2,0.0787
2017,NUTS,2010,DE5,1,0.1633
2019,NUTS,2010,DE5,1,0.2014
2017,NUTS,2010,DE50,2,0.1633
2019,NUTS,2010,DE50,2,0.2014
2017,NUTS,2010,DE6,1,0.1788
2019,NUTS,2010,DE6,1,0.1894
2017,NUTS,2010,DE60,2,0.1788
2019,NUTS,2010,DE60,2,0.1894
2017,NUTS,2010,DE7,1,0.2175
2019,NUTS,2010,DE7,1,0.2294
2017,NUTS,2010,DE71,2,0.2795
2019,NUTS,2010,DE71,2,0.2987
2017,NUTS,2010,DE72,2,0.1334
2019,NUTS,2010,DE72,2,0.1244
2017,NUTS,2010,DE73,2,0.0809
2019,NUTS,2010,DE73,2,0.0814
2017,NUTS,2010,DE8,1,0.0551
2019,NUTS,2010,DE8,1,0.0702
2017,NUTS,2010,DE80,2,0.0551
2019,NUTS,2010,DE80,2,0.0702
2017,NUTS,2010,DE9,1,0.1204
2019,NUTS,2010,DE9,1,0.1307
2017,NUTS,2010,DE91,2,0.3289
2019,NUTS,2010,DE91,2,0.3549
2017,NUTS,2010,DE92,2,0.1113
2019,NUTS,2010,DE92,2,0.1169
2017,NUTS,2010,DE93,2,0.0457
2019,NUTS,2010,DE93,2,0.0516
2017,NUTS,2010,DE94,2,0.0498
2019,NUTS,2010,DE94,2,0.0587
2017,NUTS,2010,DEA,1,0.1318
2019,NUTS,2010,DEA,1,0.1467
2017,NUTS,2010,DEA1,2,0.203
2019,NUTS,2010,DEA1,2,0.2284
2017,NUTS,2010,DEA2,2,0.1367
2019,NUTS,2010,DEA2,2,0.1597
2017,NUTS,2010,DEA3,2,0.0521
2019,NUTS,2010,DEA3,2,0.0567
2017,NUTS,2010,DEA4,2,0.129
2019,NUTS,2010,DEA4,2,0.1434
2017,NUTS,2010,DEA5,2,0.0814
2019,NUTS,2010,DEA5,2,0.0827
2017,NUTS,2010,DEB,1,0.1439
2019,NUTS,2010,DEB,1,0.1718
2017,NUTS,2010,DEB1,2,0.0501
2019,NUTS,2010,DEB1,2,0.0601
2017,NUTS,2010,DEB2,2,0.0464
2019,NUTS,2010,DEB2,2,0.0467
2017,NUTS,2010,DEB3,2,0.2396
2019,NUTS,2010,DEB3,2,0.2874
2017,NUTS,2010,DEC,1,0.1254
2019,NUTS,2010,DEC,1,0.1267
2017,NUTS,2010,DEC0,2,0.1254
2019,NUTS,2010,DEC0,2,0.1267
2017,NUTS,2010,DED,1,0.1327
2019,NUTS,2010,DED,1,0.1441
2017,NUTS,2010,DED2,2,0.1727
2019,NUTS,2010,DED2,2,0.1958
2017,NUTS,2010,DED4,2,0.1373
2019,NUTS,2010,DED4,2,0.1481
2017,NUTS,2010,DED5,2,0.0687
2019,NUTS,2010,DED5,2,0.0648
2017,NUTS,2010,DEE,1,0.0514
2019,NUTS,2010,DEE,1,0.0626
2017,NUTS,2010,DEE0,2,0.0514
2019,NUTS,2010,DEE0,2,0.0626
2017,NUTS,2010,DEF,1,0.0754
2019,NUTS,2010,DEF,1,0.079
2017,NUTS,2010,DEF0,2,0.0754
2019,NUTS,2010,DEF0,2,0.079
2017,NUTS,2010,DEG,1,0.1156
2019,NUTS,2010,DEG,1,0.1263
2017,NUTS,2010,DEG0,2,0.1156
2019,NUTS,2010,DEG0,2,0.1263
2011,NUTS,2010,DK,0,0.4476
2012,NUTS,2010,DK,0,0.4535
2013,NUTS,2010,DK,0,0.4877
2015,NUTS,2010,DK,0,0.4697
2017,NUTS,2010,DK,0,0.5592
2019,NUTS,2010,DK,0,0.4919
2011,NUTS,2010,DK0,1,0.4397
2012,NUTS,2010,DK0,1,0.4445
2013,NUTS,2010,DK0,1,0.4978
2015,NUTS,2010,DK0,1,0.4609
2017,NUTS,2010,DK0,1,0.5477
2019,NUTS,2010,DK0,1,0.4819
2011,NUTS,2010,DK01,2,1.0184
2013,NUTS,2010,DK01,2,1.1064
2015,NUTS,2010,DK01,2,0.9955
2017,NUTS,2010,DK01,2,1.2917
2019,NUTS,2010,DK01,2,1.0118
2011,NUTS,2010,DK02,2,0.1127
2013,NUTS,2010,DK02,2,0.2008
2015,NUTS,2010,DK02,2,0.1074
2017,NUTS,2010,DK02,2,0.1404
2019,NUTS,2010,DK02,2,0.1552
2011,NUTS,2010,DK03,2,0.2218
2013,NUTS,2010,DK03,2,0.2188
2015,NUTS,2010,DK03,2,0.3632
2017,NUTS,2010,DK03,2,0.1911
2019,NUTS,2010,DK03,2,0.2358
2011,NUTS,2010,DK04,2,0.1475
2013,NUTS,2010,DK04,2,0.2227
2015,NUTS,2010,DK04,2,0.1295
2017,NUTS,2010,DK04,2,0.1612
2019,NUTS,2010,DK04,2,0.2618
2011,NUTS,2010,DK05,2,0.0463
2013,NUTS,2010,DK05,2,0.0286
2015,NUTS,2010,DK05,2,0.0359
2017,NUTS,2010,DK05,2,0.0489
2019,NUTS,2010,DK05,2,0.068
2011,NUTS,2010,EE,0,0.1316
2012,NUTS,2010,EE,0,0.1268
2013,NUTS,2010,EE,0,0.1252
2014,NUTS,2010,EE,0,0.1177
2015,NUTS,2010,EE,0,0.1078
2016,NUTS,2010,EE,0,0.1122
2017,NUTS,2010,EE,0,0.1302
2018,NUTS,2010,EE,0,0.1415
2019,NUTS,2010,EE,0,0.1601
2011,NUTS,2010,EL,0,0.0639
2013,NUTS,2010,EL,0,0.0556
2015,NUTS,2010,EL,0,0.0676
2017,NUTS,2010,EL,0,0.1379
2019,NUTS,2010,EL,0,0.1581
2011,NUTS,2010,EL3,1,0.0968
2011,NUTS,2010,EL30,2,0.0968
2011,NUTS,2010,EL4,1,0.006
2011,NUTS,2010,EL41,2,0.0002
2011,NUTS,2010,EL42,2,0.0001
2011,NUTS,2010,EL43,2,0.0103
2011,NUTS,2010,EL5,1,0.0716
2011,NUTS,2010,EL51,2,0.0064
2011,NUTS,2010,EL52,2,0.1107
2011,NUTS,2010,EL53,2,0.0187
2011,NUTS,2010,EL54,2,0.0067
2011,NUTS,2010,EL6,1,0.0213
2011,NUTS,2010,EL61,2,0.0036
2011,NUTS,2010,EL62,2,0.0007
2011,NUTS,2010,EL63,2,0.0389
2011,NUTS,2010,EL64,2,0.0434
2011,NUTS,2010,EL65,2,0.0127
2011,NUTS,2010,ES,0,0.1289
2012,NUTS,2010,ES,0,0.1278
2013,NUTS,2010,ES,0,0.1313
2014,NUTS,2010,ES,0,0.131
2015,NUTS,2010,ES,0,0.1327
2016,NUTS,2010,ES,0,0.1373
2017,NUTS,2010,ES,0,0.1478
2018,NUTS,2010,ES,0,0.1628
2019,NUTS,2010,ES,0,0.1659
2011,NUTS,2010,ES1,1,0.0826
2012,NUTS,2010,ES1,1,0.0812
2013,NUTS,2010,ES1,1,0.0851
2014,NUTS,2010,ES1,1,0.0865
2015,NUTS,2010,ES1,1,0.0836
2016,NUTS,2010,ES1,1,0.0908
2017,NUTS,2010,ES1,1,0.1109
2018,NUTS,2010,ES1,1,0.1246
2019,NUTS,2010,ES1,1,0.1277
2011,NUTS,2010,ES11,2,0.075
2012,NUTS,2010,ES11,2,0.0789
2013,NUTS,2010,ES11,2,0.0828
2014,NUTS,2010,ES11,2,0.0864
2015,NUTS,2010,ES11,2,0.0832
2016,NUTS,2010,ES11,2,0.0935
2017,NUTS,2010,ES11,2,0.1174
2018,NUTS,2010,ES11,2,0.1372
2019,NUTS,2010,ES11,2,0.1384
2011,NUTS,2010,ES12,2,0.1174
2012,NUTS,2010,ES12,2,0.1073
2013,NUTS,2010,ES12,2,0.1096
2014,NUTS,2010,ES12,2,0.1082
2015,NUTS,2010,ES12,2,0.1005
2016,NUTS,2010,ES12,2,0.1014
2017,NUTS,2010,ES12,2,0.1141
2018,NUTS,2010,ES12,2,0.1192
2019,NUTS,2010,ES12,2,0.123
2011,NUTS,2010,ES13,2,0.0565
2012,NUTS,2010,ES13,2,0.0468
2013,NUTS,2010,ES13,2,0.0524
2014,NUTS,2010,ES13,2,0.0484
2015,NUTS,2010,ES13,2,0.0562
2016,NUTS,2010,ES13,2,0.0593
2017,NUTS,2010,ES13,2,0.0756
2018,NUTS,2010,ES13,2,0.074
2019,NUTS,2010,ES13,2,0.0848
2011,NUTS,2010,ES2,1,0.2953
2012,NUTS,2010,ES2,1,0.2957
2013,NUTS,2010,ES2,1,0.3045
2014,NUTS,2010,ES2,1,0.3042
2015,NUTS,2010,ES2,1,0.3035
2016,NUTS,2010,ES2,1,0.3104
2017,NUTS,2010,ES2,1,0.3387
2018,NUTS,2010,ES2,1,0.3427
2019,NUTS,2010,ES2,1,0.3532
2011,NUTS,2010,ES21,2,0.4471
2012,NUTS,2010,ES21,2,0.4604
2013,NUTS,2010,ES21,2,0.4697
2014,NUTS,2010,ES21,2,0.4628
2015,NUTS,2010,ES21,2,0.4563
2016,NUTS,2010,ES21,2,0.4617
2017,NUTS,2010,ES21,2,0.5215
2018,NUTS,2010,ES21,2,0.537
2019,NUTS,2010,ES21,2,0.5456
2011,NUTS,2010,ES22,2,0.2499
2012,NUTS,2010,ES22,2,0.2387
2013,NUTS,2010,ES22,2,0.2457
2014,NUTS,2010,ES22,2,0.2315
2015,NUTS,2010,ES22,2,0.2746
2016,NUTS,2010,ES22,2,0.2731
2017,NUTS,2010,ES22,2,0.255
2018,NUTS,2010,ES22,2,0.2393
2019,NUTS,2010,ES22,2,0.2642
2011,NUTS,2010,ES23,2,0.1202
2012,NUTS,2010,ES23,2,0.1094
2013,NUTS,2010,ES23,2,0.093
2014,NUTS,2010,ES23,2,0.1134
2015,NUTS,2010,ES23,2,0.1097
2016,NUTS,2010,ES23,2,0.1009
2017,NUTS,2010,ES23,2,0.0946
2018,NUTS,2010,ES23,2,0.1045
2019,NUTS,2010,ES23,2,0.1046
2011,NUTS,2010,ES24,2,0.0995
2012,NUTS,2010,ES24,2,0.096
2013,NUTS,2010,ES24,2,0.1118
2014,NUTS,2010,ES24,2,0.1252
2015,NUTS,2010,ES24,2,0.1116
2016,NUTS,2010,ES24,2,0.1303
2017,NUTS,2010,ES24,2,0.1382
2018,NUTS,2010,ES24,2,0.1313
2019,NUTS,2010,ES24,2,0.1383
2011,NUTS,2010,ES3,1,0.219
2012,NUTS,2010,ES3,1,0.2175
2013,NUTS,2010,ES3,1,0.2347
2014,NUTS,2010,ES3,1,0.2267
2015,NUTS,2010,ES3,1,0.2258
2016,NUTS,2010,ES3,1,0.2297
2017,NUTS,2010,ES3,1,0.2432
2018,NUTS,2010,ES3,1,0.2767
2019,NUTS,2010,ES3,1,0.2794
2011,NUTS,2010,ES30,2,0.219
2012,NUTS,2010,ES30,2,0.2175
2013,NUTS,2010,ES30,2,0.2347
2014,NUTS,2010,ES30,2,0.2267
2015,NUTS,2010,ES30,2,0.2258
2016,NUTS,2010,ES30,2,0.2297
2017,NUTS,2010,ES30,2,0.2432
2018,NUTS,2010,ES30,2,0.2767
2019,NUTS,2010,ES30,2,0.2794
2011,NUTS,2010,ES4,1,0.0729
2012,NUTS,2010,ES4,1,0.073
2013,NUTS,2010,ES4,1,0.0648
2014,NUTS,2010,ES4,1,0.0669
2015,NUTS,2010,ES4,1,0.0658
2016,NUTS,2010,ES4,1,0.0693
2017,NUTS,2010,ES4,1,0.0753
2018,NUTS,2010,ES4,1,0.0771
2019,NUTS,2010,ES4,1,0.0854
2011,NUTS,2010,ES41,2,0.1049
2012,NUTS,2010,ES41,2,0.1147
2013,NUTS,2010,ES41,2,0.0943
2014,NUTS,2010,ES41,2,0.0988
2015,NUTS,2010,ES41,2,0.1014
2016,NUTS,2010,ES41,2,0.0991
2017,NUTS,2010,ES41,2,0.1071
2018,NUTS,2010,ES41,2,0.119
2019,NUTS,2010,ES41,2,0.1376
2011,NUTS,2010,ES42,2,0.055
2012,NUTS,2010,ES42,2,0.0464
2013,NUTS,2010,ES42,2,0.044
2014,NUTS,2010,ES42,2,0.0472
2015,NUTS,2010,ES42,2,0.0425
2016,NUTS,2010,ES42,2,0.056
2017,NUTS,2010,ES42,2,0.0593
2018,NUTS,2010,ES42,2,0.0439
2019,NUTS,2010,ES42,2,0.0515
2011,NUTS,2010,ES43,2,0.0299
2012,NUTS,2010,ES43,2,0.0262
2013,NUTS,2010,ES43,2,0.0366
2014,NUTS,2010,ES43,2,0.03
2015,NUTS,2010,ES43,2,0.0276
2016,NUTS,2010,ES43,2,0.0246
2017,NUTS,2010,ES43,2,0.0319
2018,NUTS,2010,ES43,2,0.0455
2019,NUTS,2010,ES43,2,0.0317
2011,NUTS,2010,ES5,1,0.1277
2012,NUTS,2010,ES5,1,0.1257
2013,NUTS,2010,ES5,1,0.1278
2014,NUTS,2010,ES5,1,0.131
2015,NUTS,2010,ES5,1,0.1392
2016,NUTS,2010,ES5,1,0.1448
2017,NUTS,2010,ES5,1,0.1549
2018,NUTS,2010,ES5,1,0.1734
2019,NUTS,2010,ES5,1,0.1758
2011,NUTS,2010,ES51,2,0.1662
2012,NUTS,2010,ES51,2,0.1679
2013,NUTS,2010,ES51,2,0.1728
2014,NUTS,2010,ES51,2,0.1753
2015,NUTS,2010,ES51,2,0.1955
2016,NUTS,2010,ES51,2,0.1992
2017,NUTS,2010,ES51,2,0.2126
2018,NUTS,2010,ES51,2,0.2353
2019,NUTS,2010,ES51,2,0.2305
2011,NUTS,2010,ES52,2,0.0938
2012,NUTS,2010,ES52,2,0.0863
2013,NUTS,2010,ES52,2,0.0851
2014,NUTS,2010,ES52,2,0.0894
2015,NUTS,2010,ES52,2,0.0824
2016,NUTS,2010,ES52,2,0.0911
2017,NUTS,2010,ES52,2,0.097
2018,NUTS,2010,ES52,2,0.1131
2019,NUTS,2010,ES52,2,0.1261
2011,NUTS,2010,ES53,2,0.0089
2012,NUTS,2010,ES53,2,0.0104
2013,NUTS,2010,ES53,2,0.0076
2014,NUTS,2010,ES53,2,0.0101
2015,NUTS,2010,ES53,2,0.0098
2016,NUTS,2010,ES53,2,0.0157
2017,NUTS,2010,ES53,2,0.0157
2018,NUTS,2010,ES53,2,0.0216
2019,NUTS,2010,ES53,2,0.0249
2011,NUTS,2010,ES6,1,0.0541
2012,NUTS,2010,ES6,1,0.0549
2013,NUTS,2010,ES6,1,0.0583
2014,NUTS,2010,ES6,1,0.0582
2015,NUTS,2010,ES6,1,0.056
2016,NUTS,2010,ES6,1,0.0562
2017,NUTS,2010,ES6,1,0.0575
2018,NUTS,2010,ES6,1,0.0624
2019,NUTS,2010,ES6,1,0.0605
2011,NUTS,2010,ES61,2,0.0554
2012,NUTS,2010,ES61,2,0.0557
2013,NUTS,2010,ES61,2,0.0597
2014,NUTS,2010,ES61,2,0.059
2015,NUTS,2010,ES61,2,0.0558
2016,NUTS,2010,ES61,2,0.0551
2017,NUTS,2010,ES61,2,0.0556
2018,NUTS,2010,ES61,2,0.0579
2019,NUTS,2010,ES61,2,0.0545
2011,NUTS,2010,ES62,2,0.0519
2012,NUTS,2010,ES62,2,0.0557
2013,NUTS,2010,ES62,2,0.0556
2014,NUTS,2010,ES62,2,0.0584
2015,NUTS,2010,ES62,2,0.0628
2016,NUTS,2010,ES62,2,0.068
2017,NUTS,2010,ES62,2,0.0737
2018,NUTS,2010,ES62,2,0.0946
2019,NUTS,2010,ES62,2,0.1005
2012,NUTS,2010,ES63,2,0.0
2015,NUTS,2010,ES63,2,0.0
2012,NUTS,2010,ES64,2,0.0
2015,NUTS,2010,ES64,2,0.0
