year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_total_rse_t_pc_act_hc
2011,NUTS,2010,AT,0,1.5655
2013,NUTS,2010,AT,0,1.6697
2015,NUTS,2010,AT,0,1.7992
2017,NUTS,2010,AT,0,1.8789
2019,NUTS,2010,AT,0,2.0706
2011,NUTS,2010,AT1,1,1.7779
2013,NUTS,2010,AT1,1,1.8927
2015,NUTS,2010,AT1,1,1.9655
2017,NUTS,2010,AT1,1,2.0116
2019,NUTS,2010,AT1,1,2.178
2011,NUTS,2010,AT11,2,0.3477
2013,NUTS,2010,AT11,2,0.4511
2015,NUTS,2010,AT11,2,0.4719
2017,NUTS,2010,AT11,2,0.5038
2019,NUTS,2010,AT11,2,0.5625
2011,NUTS,2010,AT12,2,0.5204
2013,NUTS,2010,AT12,2,0.5633
2015,NUTS,2010,AT12,2,0.6229
2017,NUTS,2010,AT12,2,0.6693
2019,NUTS,2010,AT12,2,0.8209
2011,NUTS,2010,AT13,2,3.2377
2013,NUTS,2010,AT13,2,3.3706
2015,NUTS,2010,AT13,2,3.4523
2017,NUTS,2010,AT13,2,3.4715
2019,NUTS,2010,AT13,2,3.6205
2011,NUTS,2010,AT2,1,1.799
2013,NUTS,2010,AT2,1,1.8121
2015,NUTS,2010,AT2,1,2.0628
2017,NUTS,2010,AT2,1,2.1696
2019,NUTS,2010,AT2,1,2.5374
2011,NUTS,2010,AT21,2,0.9981
2013,NUTS,2010,AT21,2,0.9974
2015,NUTS,2010,AT21,2,1.0974
2017,NUTS,2010,AT21,2,1.189
2019,NUTS,2010,AT21,2,1.3938
2011,NUTS,2010,AT22,2,2.1531
2013,NUTS,2010,AT22,2,2.1739
2015,NUTS,2010,AT22,2,2.49
2017,NUTS,2010,AT22,2,2.5961
2019,NUTS,2010,AT22,2,3.0326
2011,NUTS,2010,AT3,1,1.1386
2013,NUTS,2010,AT3,1,1.2774
2015,NUTS,2010,AT3,1,1.3946
2017,NUTS,2010,AT3,1,1.5032
2019,NUTS,2010,AT3,1,1.6202
2011,NUTS,2010,AT31,2,1.0385
2013,NUTS,2010,AT31,2,1.2064
2015,NUTS,2010,AT31,2,1.3321
2017,NUTS,2010,AT31,2,1.4009
2019,NUTS,2010,AT31,2,1.5734
2011,NUTS,2010,AT32,2,1.1131
2013,NUTS,2010,AT32,2,1.2023
2015,NUTS,2010,AT32,2,1.3675
2017,NUTS,2010,AT32,2,1.58
2019,NUTS,2010,AT32,2,1.6635
2011,NUTS,2010,AT33,2,1.6465
2013,NUTS,2010,AT33,2,1.7142
2015,NUTS,2010,AT33,2,1.803
2017,NUTS,2010,AT33,2,1.9622
2019,NUTS,2010,AT33,2,2.0598
2011,NUTS,2010,AT34,2,0.5886
2013,NUTS,2010,AT34,2,0.8034
2015,NUTS,2010,AT34,2,0.8863
2017,NUTS,2010,AT34,2,0.9074
2019,NUTS,2010,AT34,2,0.9026
2011,NUTS,2010,BE,0,1.3113
2013,NUTS,2010,BE,0,1.3598
2015,NUTS,2010,BE,0,1.4954
2017,NUTS,2010,BE,0,1.5952
2019,NUTS,2010,BE,0,1.8177
2011,NUTS,2010,BE1,1,2.2201
2013,NUTS,2010,BE1,1,2.5375
2015,NUTS,2010,BE1,1,2.6245
2017,NUTS,2010,BE1,1,2.8068
2019,NUTS,2010,BE1,1,3.3493
2011,NUTS,2010,BE10,2,2.2201
2013,NUTS,2010,BE10,2,2.5375
2015,NUTS,2010,BE10,2,2.6245
2017,NUTS,2010,BE10,2,2.8068
2019,NUTS,2010,BE10,2,3.3493
2011,NUTS,2010,BE2,1,1.2734
2013,NUTS,2010,BE2,1,1.3492
2015,NUTS,2010,BE2,1,1.5122
2017,NUTS,2010,BE2,1,1.5798
2019,NUTS,2010,BE2,1,1.8378
2011,NUTS,2010,BE21,2,1.3499
2013,NUTS,2010,BE21,2,1.2598
2015,NUTS,2010,BE21,2,1.403
2011,NUTS,2010,BE22,2,0.5495
2013,NUTS,2010,BE22,2,0.6652
2015,NUTS,2010,BE22,2,0.8523
2011,NUTS,2010,BE23,2,1.425
2013,NUTS,2010,BE23,2,1.5747
2015,NUTS,2010,BE23,2,1.7692
2011,NUTS,2010,BE24,2,2.3477
2013,NUTS,2010,BE24,2,2.4385
2015,NUTS,2010,BE24,2,2.7132
2011,NUTS,2010,BE25,2,0.4723
2013,NUTS,2010,BE25,2,0.6419
2015,NUTS,2010,BE25,2,0.6688
2011,NUTS,2010,BE3,1,1.0476
2013,NUTS,2010,BE3,1,0.9473
2015,NUTS,2010,BE3,1,1.0253
2017,NUTS,2010,BE3,1,1.1453
2019,NUTS,2010,BE3,1,1.1587
2011,NUTS,2010,BE31,2,3.2855
2013,NUTS,2010,BE31,2,3.291
2015,NUTS,2010,BE31,2,3.1095
2011,NUTS,2010,BE32,2,0.6719
2013,NUTS,2010,BE32,2,0.5107
2015,NUTS,2010,BE32,2,0.674
2011,NUTS,2010,BE33,2,1.0324
2013,NUTS,2010,BE33,2,0.9705
2015,NUTS,2010,BE33,2,1.0181
2011,NUTS,2010,BE34,2,0.1951
2013,NUTS,2010,BE34,2,0.0836
2015,NUTS,2010,BE34,2,0.1355
2011,NUTS,2010,BE35,2,0.6966
2013,NUTS,2010,BE35,2,0.5647
2015,NUTS,2010,BE35,2,0.7027
2011,NUTS,2010,BG,0,0.449
2012,NUTS,2010,BG,0,0.4616
