year,region_type,region_year_spec,region_id,region_level,social_media_lq
2020,NUTS,2016,FRG0,2,1.73
2020,NUTS,2016,FRH0,2,2.46
2020,NUTS,2016,FRK2,2,0.9
2020,NUTS,2016,FRL0,2,2.08
2020,NUTS,2016,HU11,2,3.37
2020,NUTS,2016,HU21,2,24.95
2020,NUTS,2016,HU23,2,7.62
2020,NUTS,2016,IE05,2,2.35
2020,NUTS,2016,ITC1,2,1.59
2020,NUTS,2016,ITC4,2,0.54
2020,NUTS,2016,ITF3,2,1.11
2020,NUTS,2016,ITF4,2,0.53
2020,NUTS,2016,ITF6,2,2.17
2020,NUTS,2016,ITH2,2,7.7
2020,NUTS,2016,ITH3,2,0.65
2020,NUTS,2016,ITH5,2,0.64
2020,NUTS,2016,ITI1,2,1.18
2020,NUTS,2016,ITI4,2,0.38
2020,NUTS,2016,LU00,2,12.92
2020,NUTS,2016,LV00,2,3.65
2020,NUTS,2016,NL21,2,2.78
2020,NUTS,2016,NL22,2,1.1
2020,NUTS,2016,NL32,2,0.35
2020,NUTS,2016,NL33,2,0.55
2020,NUTS,2016,NL42,2,3.23
2020,NUTS,2016,NO06,2,1.63
2020,NUTS,2016,PL41,2,2.97
2020,NUTS,2016,PL51,2,7.58
2020,NUTS,2016,PL71,2,1.97
2020,NUTS,2016,PL91,2,0.56
2020,NUTS,2016,PT16,2,1.37
2020,NUTS,2016,RO11,2,5.36
2020,NUTS,2016,SE11,2,0.26
2020,NUTS,2016,SE12,2,0.56
2020,NUTS,2016,SE21,2,6.83
2020,NUTS,2016,SE22,2,2.13
2020,NUTS,2016,TR10,2,2.04
2020,NUTS,2016,TR51,2,2.04
2020,NUTS,2016,UKD3,2,0.95
2020,NUTS,2016,UKD4,2,1.4
2020,NUTS,2016,UKD7,2,0.39
2020,NUTS,2016,UKE1,2,4.86
2020,NUTS,2016,UKE2,2,1.31
2020,NUTS,2016,UKE3,2,1.6
2020,NUTS,2016,UKE4,2,2.36
2020,NUTS,2016,UKF1,2,0.98
2020,NUTS,2016,UKG1,2,0.78
2020,NUTS,2016,UKG3,2,0.68
2020,NUTS,2016,UKH1,2,1.23
2020,NUTS,2016,UKH2,2,1.1
2020,NUTS,2016,UKH3,2,5.4
2020,NUTS,2016,UKI3,2,0.84
2020,NUTS,2016,UKI4,2,1.47
2020,NUTS,2016,UKI5,2,3.91
2020,NUTS,2016,UKJ1,2,1.0
2020,NUTS,2016,UKJ2,2,1.12
2020,NUTS,2016,UKJ3,2,0.54
2020,NUTS,2016,UKK1,2,1.05
2020,NUTS,2016,UKL1,2,2.66
2020,NUTS,2016,UKM5,2,2.24
2020,NUTS,2016,UKM7,2,1.94
2020,NUTS,2016,UKM8,2,0.9
2020,NUTS,2016,UKN0,2,2.31
2020,NUTS,2016,AT130,3,1.45
2020,NUTS,2016,AT221,3,1.44
2020,NUTS,2016,AT312,3,4.23
2020,NUTS,2016,AT332,3,3.27
2020,NUTS,2016,BE213,3,12.85
2020,NUTS,2016,CH011,3,1.89
2020,NUTS,2016,CH013,3,0.82
2020,NUTS,2016,CH040,3,2.3
2020,NUTS,2016,CH055,3,5.06
2020,NUTS,2016,CH070,3,19.04
2020,NUTS,2016,CY000,3,1.37
2020,NUTS,2016,DE122,3,1.99
2020,NUTS,2016,DE125,3,1.9
2020,NUTS,2016,DE126,3,9.16
2020,NUTS,2016,DE134,3,103.38
2020,NUTS,2016,DE138,3,6.29
2020,NUTS,2016,DE142,3,2.44
2020,NUTS,2016,DE144,3,1.67
2020,NUTS,2016,DE212,3,1.14
2020,NUTS,2016,DE21H,3,28.95
2020,NUTS,2016,DE300,3,1.97
2020,NUTS,2016,DE501,3,11.37
2020,NUTS,2016,DE600,3,0.88
2020,NUTS,2016,DE721,3,2.98
2020,NUTS,2016,DE803,3,5.06
2020,NUTS,2016,DE911,3,5.1
2020,NUTS,2016,DE91C,3,1.22
2020,NUTS,2016,DEA13,3,6.28
2020,NUTS,2016,DEA22,3,3.4
2020,NUTS,2016,DEA2C,3,22.44
2020,NUTS,2016,DEA2D,3,1.46
2020,NUTS,2016,DEA33,3,4.2
2020,NUTS,2016,DEA41,3,3.93
2020,NUTS,2016,DEA47,3,6.96
2020,NUTS,2016,DEA51,3,1.84
2020,NUTS,2016,DEB32,3,7.66
2020,NUTS,2016,DED41,3,4.36
2020,NUTS,2016,DK011,3,0.38
2020,NUTS,2016,DK012,3,3.8
2020,NUTS,2016,DK031,3,1.19
2020,NUTS,2016,EE008,3,5.5
2020,NUTS,2016,EL303,3,1.18
2020,NUTS,2016,EL522,3,1.47
2020,NUTS,2016,ES120,3,5.48
2020,NUTS,2016,ES220,3,3.32
2020,NUTS,2016,ES412,3,21.28
2020,NUTS,2016,ES511,3,0.86
2020,NUTS,2016,ES618,3,2.12
2020,NUTS,2016,FI1B1,3,0.69
2020,NUTS,2016,FI1C1,3,1.52
2020,NUTS,2016,FR101,3,0.88
2020,NUTS,2016,FR103,3,6.49
2020,NUTS,2016,FR104,3,0.38
2020,NUTS,2016,FRF31,3,2.56
2020,NUTS,2016,FRG04,3,7.7
2020,NUTS,2016,FRH03,3,2.83
2020,NUTS,2016,FRK24,3,9.16
2020,NUTS,2016,FRL04,3,2.14
2020,NUTS,2016,HU110,3,3.37
2020,NUTS,2016,HU213,3,24.95
2020,NUTS,2016,HU231,3,7.78
2020,NUTS,2016,IE053,3,4.36
2020,NUTS,2016,ITC11,3,1.87
2020,NUTS,2016,ITC4C,3,0.69
2020,NUTS,2016,ITF33,3,1.46
2020,NUTS,2016,ITF47,3,0.7
2020,NUTS,2016,ITF65,3,72.37
2020,NUTS,2016,ITH20,3,7.7
2020,NUTS,2016,ITH35,3,7.54
2020,NUTS,2016,ITH36,3,0.48
2020,NUTS,2016,ITH55,3,1.35
2020,NUTS,2016,ITI14,3,1.15
2020,NUTS,2016,ITI17,3,1.73
2020,NUTS,2016,ITI43,3,0.38
2020,NUTS,2016,LU000,3,12.92
2020,NUTS,2016,LV006,3,3.75
2020,NUTS,2016,NL213,3,2.78
2020,NUTS,2016,NL221,3,2.3
2020,NUTS,2016,NL226,3,0.94
2020,NUTS,2016,NL329,3,0.35
2020,NUTS,2016,NL333,3,1.41
2020,NUTS,2016,NL337,3,0.72
2020,NUTS,2016,NL423,3,3.23
2020,NUTS,2016,NO060,3,1.63
2020,NUTS,2016,PL415,3,2.97
2020,NUTS,2016,PL514,3,7.58
2020,NUTS,2016,PL711,3,1.97
2020,NUTS,2016,PL911,3,0.56
2020,NUTS,2016,PT16E,3,3.37
2020,NUTS,2016,RO113,3,5.98
2020,NUTS,2016,SE110,3,0.26
2020,NUTS,2016,SE121,3,0.85
2020,NUTS,2016,SE213,3,13.16
2020,NUTS,2016,SE224,3,2.19
2020,NUTS,2016,TR100,3,2.04
2020,NUTS,2016,TR510,3,2.04
2020,NUTS,2016,UKD33,3,1.09
2020,NUTS,2016,UKD47,3,17.23
2020,NUTS,2016,UKD72,3,0.4
2020,NUTS,2016,UKE11,3,5.74
2020,NUTS,2016,UKE21,3,1.32
2020,NUTS,2016,UKE32,3,1.67
2020,NUTS,2016,UKE42,3,3.02
2020,NUTS,2016,UKF14,3,1.25
2020,NUTS,2016,UKG13,3,0.81
2020,NUTS,2016,UKG31,3,0.41
2020,NUTS,2016,UKG39,3,5.06
2020,NUTS,2016,UKH12,3,1.23
2020,NUTS,2016,UKH17,3,1.34
2020,NUTS,2016,UKH21,3,10.34
2020,NUTS,2016,UKH23,3,0.62
2020,NUTS,2016,UKH34,3,7.66
2020,NUTS,2016,UKI31,3,1.07
