year,region_type,region_year_spec,region_id,region_level,mental_health_lq
2020,NUTS,2016,AT,0,1.09
2020,NUTS,2016,BE,0,0.78
2020,NUTS,2016,CH,0,1.04
2020,NUTS,2016,CY,0,0.8
2020,NUTS,2016,CZ,0,0.44
2020,NUTS,2016,DE,0,0.59
2020,NUTS,2016,DK,0,0.49
2020,NUTS,2016,EL,0,1.96
2020,NUTS,2016,ES,0,0.51
2020,NUTS,2016,FI,0,0.41
2020,NUTS,2016,FR,0,0.25
2020,NUTS,2016,HR,0,1.42
2020,NUTS,2016,HU,0,0.4
2020,NUTS,2016,IE,0,0.35
2020,NUTS,2016,IS,0,1.05
2020,NUTS,2016,IT,0,0.38
2020,NUTS,2016,NL,0,0.66
2020,NUTS,2016,NO,0,2.25
2020,NUTS,2016,PL,0,0.72
2020,NUTS,2016,PT,0,1.17
2020,NUTS,2016,RS,0,0.98
2020,NUTS,2016,SE,0,0.62
2020,NUTS,2016,SI,0,1.77
2020,NUTS,2016,TR,0,0.67
2020,NUTS,2016,UK,0,1.95
2020,NUTS,2016,AT1,1,0.93
2020,NUTS,2016,AT2,1,2.44
2020,NUTS,2016,AT3,1,0.6
2020,NUTS,2016,BE1,1,0.41
2020,NUTS,2016,BE2,1,1.04
2020,NUTS,2016,BE3,1,0.57
2020,NUTS,2016,CH0,1,1.04
2020,NUTS,2016,CY0,1,0.8
2020,NUTS,2016,CZ0,1,0.44
2020,NUTS,2016,DE1,1,0.38
2020,NUTS,2016,DE2,1,0.25
2020,NUTS,2016,DE3,1,1.01
2020,NUTS,2016,DE4,1,1.25
2020,NUTS,2016,DE6,1,0.52
2020,NUTS,2016,DE7,1,0.26
2020,NUTS,2016,DE9,1,0.63
2020,NUTS,2016,DEA,1,0.65
2020,NUTS,2016,DEC,1,2.73
2020,NUTS,2016,DED,1,0.69
2020,NUTS,2016,DEE,1,3.28
2020,NUTS,2016,DK0,1,0.49
2020,NUTS,2016,EL3,1,2.03
2020,NUTS,2016,EL5,1,3.35
2020,NUTS,2016,EL6,1,1.03
2020,NUTS,2016,ES2,1,0.48
2020,NUTS,2016,ES3,1,0.37
2020,NUTS,2016,ES4,1,0.47
2020,NUTS,2016,ES5,1,0.65
2020,NUTS,2016,ES6,1,0.9
2020,NUTS,2016,FI1,1,0.41
2020,NUTS,2016,FR1,1,0.13
2020,NUTS,2016,FRG,1,1.02
2020,NUTS,2016,FRI,1,2.21
2020,NUTS,2016,FRL,1,0.41
2020,NUTS,2016,HR0,1,1.42
2020,NUTS,2016,HU3,1,1.59
2020,NUTS,2016,IE0,1,0.35
2020,NUTS,2016,IS0,1,1.05
2020,NUTS,2016,ITC,1,0.45
2020,NUTS,2016,ITF,1,0.34
2020,NUTS,2016,ITH,1,0.3
2020,NUTS,2016,ITI,1,0.42
2020,NUTS,2016,NL1,1,2.59
2020,NUTS,2016,NL2,1,0.59
2020,NUTS,2016,NL3,1,0.5
2020,NUTS,2016,NO0,1,2.25
2020,NUTS,2016,PL2,1,0.54
2020,NUTS,2016,PL9,1,1.97
2020,NUTS,2016,PT1,1,1.18
2020,NUTS,2016,RS1,1,1.19
2020,NUTS,2016,SE1,1,0.73
2020,NUTS,2016,SE2,1,0.25
2020,NUTS,2016,SE3,1,0.95
2020,NUTS,2016,SI0,1,1.77
2020,NUTS,2016,TR1,1,1.2
2020,NUTS,2016,TR5,1,1.1
2020,NUTS,2016,TR6,1,1.88
2020,NUTS,2016,UKC,1,0.37
2020,NUTS,2016,UKD,1,1.26
2020,NUTS,2016,UKE,1,1.35
2020,NUTS,2016,UKF,1,2.35
2020,NUTS,2016,UKG,1,1.98
2020,NUTS,2016,UKH,1,1.92
2020,NUTS,2016,UKI,1,2.92
2020,NUTS,2016,UKJ,1,1.84
2020,NUTS,2016,UKK,1,1.78
2020,NUTS,2016,UKL,1,1.54
2020,NUTS,2016,UKM,1,1.01
2020,NUTS,2016,AT12,2,2.89
2020,NUTS,2016,AT13,2,0.64
2020,NUTS,2016,AT22,2,2.54
2020,NUTS,2016,AT33,2,0.96
2020,NUTS,2016,BE10,2,0.41
2020,NUTS,2016,BE21,2,1.78
2020,NUTS,2016,BE23,2,1.01
2020,NUTS,2016,BE32,2,3.08
2020,NUTS,2016,CH01,2,0.76
2020,NUTS,2016,CH02,2,2.63
2020,NUTS,2016,CH04,2,1.2
2020,NUTS,2016,CY00,2,0.8
2020,NUTS,2016,CZ04,2,70.81
2020,NUTS,2016,CZ06,2,0.58
2020,NUTS,2016,DE12,2,0.35
2020,NUTS,2016,DE14,2,0.82
2020,NUTS,2016,DE21,2,0.33
2020,NUTS,2016,DE30,2,1.01
2020,NUTS,2016,DE40,2,1.25
2020,NUTS,2016,DE60,2,0.52
2020,NUTS,2016,DE71,2,0.55
2020,NUTS,2016,DE92,2,1.72
2020,NUTS,2016,DEA1,2,0.79
2020,NUTS,2016,DEA2,2,0.39
2020,NUTS,2016,DEA3,2,3.69
2020,NUTS,2016,DEC0,2,2.73
2020,NUTS,2016,DED4,2,0.6
2020,NUTS,2016,DED5,2,1.12
2020,NUTS,2016,DEE0,2,3.28
2020,NUTS,2016,DK01,2,0.52
2020,NUTS,2016,DK03,2,0.7
2020,NUTS,2016,DK04,2,0.46
2020,NUTS,2016,EL30,2,2.03
2020,NUTS,2016,EL52,2,3.45
2020,NUTS,2016,EL54,2,6.39
2020,NUTS,2016,EL63,2,2.11
2020,NUTS,2016,ES24,2,1.76
2020,NUTS,2016,ES30,2,0.37
2020,NUTS,2016,ES41,2,0.58
2020,NUTS,2016,ES51,2,0.31
2020,NUTS,2016,ES52,2,1.54
2020,NUTS,2016,ES61,2,1.34
2020,NUTS,2016,FI1B,2,0.81
2020,NUTS,2016,FR10,2,0.13
2020,NUTS,2016,FRG0,2,1.02
2020,NUTS,2016,FRI1,2,2.96
2020,NUTS,2016,FRL0,2,0.41
2020,NUTS,2016,HR04,2,1.95
2020,NUTS,2016,HU33,2,2.89
2020,NUTS,2016,IE06,2,0.6
2020,NUTS,2016,IS00,2,1.05
2020,NUTS,2016,ITC3,2,0.45
2020,NUTS,2016,ITC4,2,0.53
2020,NUTS,2016,ITF1,2,1.4
2020,NUTS,2016,ITF4,2,0.31
2020,NUTS,2016,ITH2,2,1.13
2020,NUTS,2016,ITH3,2,0.57
2020,NUTS,2016,ITI1,2,0.17
2020,NUTS,2016,ITI4,2,0.67
2020,NUTS,2016,NL11,2,2.61
2020,NUTS,2016,NL21,2,1.63
2020,NUTS,2016,NL22,2,0.49
2020,NUTS,2016,NL31,2,0.68
2020,NUTS,2016,NL32,2,0.41
2020,NUTS,2016,NL33,2,0.48
2020,NUTS,2016,NO01,2,3.33
2020,NUTS,2016,NO03,2,9.88
2020,NUTS,2016,NO04,2,4.45
2020,NUTS,2016,PL21,2,0.84
2020,NUTS,2016,PL91,2,1.97
2020,NUTS,2016,PT11,2,1.1
2020,NUTS,2016,PT16,2,0.8
2020,NUTS,2016,PT17,2,1.47
2020,NUTS,2016,RS12,2,5.31
2020,NUTS,2016,SE11,2,0.92
2020,NUTS,2016,SE12,2,0.33
2020,NUTS,2016,SE22,2,0.62
2020,NUTS,2016,SE33,2,1.14
2020,NUTS,2016,SI04,2,2.02
2020,NUTS,2016,TR10,2,1.2
2020,NUTS,2016,TR51,2,1.2
2020,NUTS,2016,TR62,2,3.17
2020,NUTS,2016,UKC2,2,0.93
2020,NUTS,2016,UKD3,2,0.74
2020,NUTS,2016,UKD4,2,2.47
2020,NUTS,2016,UKD7,2,1.61
2020,NUTS,2016,UKE2,2,3.07
2020,NUTS,2016,UKE3,2,1.88
2020,NUTS,2016,UKE4,2,0.55
2020,NUTS,2016,UKF1,2,2.89
2020,NUTS,2016,UKF2,2,1.93
2020,NUTS,2016,UKG1,2,1.83
2020,NUTS,2016,UKG2,2,3.59
2020,NUTS,2016,UKG3,2,1.79
2020,NUTS,2016,UKH1,2,1.21
2020,NUTS,2016,UKH2,2,4.2
2020,NUTS,2016,UKH3,2,4.76
2020,NUTS,2016,UKI3,2,3.34
2020,NUTS,2016,UKI4,2,1.08
2020,NUTS,2016,UKI7,2,1.14
2020,NUTS,2016,UKJ1,2,1.54
2020,NUTS,2016,UKJ2,2,2.31
2020,NUTS,2016,UKJ3,2,2.21
2020,NUTS,2016,UKJ4,2,4.0
2020,NUTS,2016,UKK1,2,1.85
2020,NUTS,2016,UKK2,2,2.31
2020,NUTS,2016,UKK3,2,10.89
2020,NUTS,2016,UKK4,2,1.05
2020,NUTS,2016,UKL1,2,3.12
2020,NUTS,2016,UKL2,2,0.76
2020,NUTS,2016,UKM7,2,0.71
2020,NUTS,2016,UKM8,2,1.84
2020,NUTS,2016,AT124,3,12.68
2020,NUTS,2016,AT130,3,0.64
2020,NUTS,2016,AT221,3,2.54
2020,NUTS,2016,AT332,3,0.96
2020,NUTS,2016,BE100,3,0.41
2020,NUTS,2016,BE211,3,2.36
2020,NUTS,2016,BE234,3,1.01
2020,NUTS,2016,BE323,3,3.08
2020,NUTS,2016,CH011,3,0.83
2020,NUTS,2016,CH013,3,0.72
2020,NUTS,2016,CH021,3,3.22
2020,NUTS,2016,CH040,3,1.2
2020,NUTS,2016,CY000,3,0.8
2020,NUTS,2016,CZ042,3,70.81
2020,NUTS,2016,CZ064,3,0.58
2020,NUTS,2016,DE125,3,0.56
2020,NUTS,2016,DE142,3,0.72
2020,NUTS,2016,DE144,3,0.98
2020,NUTS,2016,DE212,3,0.33
2020,NUTS,2016,DE300,3,1.01
2020,NUTS,2016,DE402,3,10.62
2020,NUTS,2016,DE600,3,0.52
2020,NUTS,2016,DE712,3,0.73
2020,NUTS,2016,DE929,3,1.74
2020,NUTS,2016,DEA13,3,0.92
2020,NUTS,2016,DEA22,3,1.0
2020,NUTS,2016,DEA33,3,3.69
2020,NUTS,2016,DEC01,3,2.73
2020,NUTS,2016,DED41,3,0.73
2020,NUTS,2016,DED51,3,1.12
2020,NUTS,2016,DEE03,3,6.28
2020,NUTS,2016,DK011,3,0.68
2020,NUTS,2016,DK031,3,0.7
2020,NUTS,2016,DK042,3,0.46
2020,NUTS,2016,EL303,3,2.08
2020,NUTS,2016,EL522,3,3.45
2020,NUTS,2016,EL543,3,6.39
2020,NUTS,2016,EL632,3,2.11
2020,NUTS,2016,ES243,3,1.76
2020,NUTS,2016,ES300,3,0.37
2020,NUTS,2016,ES415,3,2.5
2020,NUTS,2016,ES511,3,0.17
2020,NUTS,2016,ES514,3,5.98
2020,NUTS,2016,ES523,3,2.08
2020,NUTS,2016,ES614,3,2.27
2020,NUTS,2016,ES617,3,2.89
2020,NUTS,2016,FI1B1,3,0.81
2020,NUTS,2016,FR101,3,0.52
2020,NUTS,2016,FRG04,3,4.52
2020,NUTS,2016,FRI12,3,3.06
2020,NUTS,2016,FRL04,3,0.42
2020,NUTS,2016,HR041,3,2.14
2020,NUTS,2016,HU333,3,2.89
2020,NUTS,2016,IE061,3,0.34
2020,NUTS,2016,IE062,3,3.32
2020,NUTS,2016,IS001,3,1.06
2020,NUTS,2016,ITC33,3,0.45
2020,NUTS,2016,ITC41,3,1.16
2020,NUTS,2016,ITC4C,3,0.61
2020,NUTS,2016,ITF11,3,3.19
2020,NUTS,2016,ITF46,3,1.6
2020,NUTS,2016,ITH20,3,1.13
2020,NUTS,2016,ITH36,3,0.85
2020,NUTS,2016,ITI17,3,0.51
2020,NUTS,2016,ITI43,3,0.68
2020,NUTS,2016,NL113,3,2.61
2020,NUTS,2016,NL213,3,1.63
2020,NUTS,2016,NL226,3,0.55
2020,NUTS,2016,NL310,3,0.68
2020,NUTS,2016,NL329,3,0.41
2020,NUTS,2016,NL337,3,1.27
2020,NUTS,2016,NO011,3,3.42
2020,NUTS,2016,NO012,3,2.66
2020,NUTS,2016,NO032,3,16.34
2020,NUTS,2016,NO042,3,6.44
2020,NUTS,2016,NO043,3,3.45
2020,NUTS,2016,PL213,3,0.84
