year,region_type,region_year_spec,region_id,region_level,image_detection_lq
2020,NUTS,2016,PL911,3,1.62
2020,NUTS,2016,SI041,3,5.33
2020,NUTS,2016,TR100,3,2.93
2020,NUTS,2016,TR222,3,126.04
2020,NUTS,2016,TR510,3,3.91
2020,NUTS,2016,TR811,3,148.54
2020,NUTS,2016,TR834,3,115.53
2020,NUTS,2016,UKD33,3,1.04
2020,NUTS,2016,UKD44,3,11.06
2020,NUTS,2016,UKD47,3,49.51
2020,NUTS,2016,UKE41,3,19.26
2020,NUTS,2016,UKE42,3,1.74
2020,NUTS,2016,UKF14,3,1.79
2020,NUTS,2016,UKF21,3,3.77
2020,NUTS,2016,UKG31,3,4.69
2020,NUTS,2016,UKG39,3,14.54
2020,NUTS,2016,UKH12,3,0.89
2020,NUTS,2016,UKH21,3,29.71
2020,NUTS,2016,UKI31,3,3.59
2020,NUTS,2016,UKI33,3,0.61
2020,NUTS,2016,UKI74,3,8.09
2020,NUTS,2016,UKJ13,3,15.87
2020,NUTS,2016,UKJ14,3,0.77
2020,NUTS,2016,UKJ25,3,3.07
2020,NUTS,2016,UKM75,3,0.87
2021,NUTS,2021,CY,0,16.52
2021,NUTS,2021,DE,0,2.42
2021,NUTS,2021,ES,0,0.9
2021,NUTS,2021,IT,0,0.91
2021,NUTS,2021,SK,0,54.46
2021,NUTS,2021,TR,0,2.39
2021,NUTS,2021,UK,0,1.06
2021,NUTS,2021,CY0,1,16.52
2021,NUTS,2021,DE2,1,9.24
2021,NUTS,2021,DE3,1,4.62
2021,NUTS,2021,ES6,1,7.83
2021,NUTS,2021,ITC,1,2.46
2021,NUTS,2021,SK0,1,54.46
2021,NUTS,2021,TR2,1,81.25
2021,NUTS,2021,UKG,1,3.39
2021,NUTS,2021,UKH,1,1.84
2021,NUTS,2021,UKI,1,2.38
2021,NUTS,2021,CY00,2,16.52
2021,NUTS,2021,DE21,2,13.41
2021,NUTS,2021,DE30,2,4.62
2021,NUTS,2021,ES61,2,11.17
2021,NUTS,2021,ITC1,2,7.93
2021,NUTS,2021,ITC4,2,1.67
2021,NUTS,2021,SK04,2,719.65
2021,NUTS,2021,TR22,2,186.58
2021,NUTS,2021,UKG1,2,14.48
2021,NUTS,2021,UKH1,2,2.56
2021,NUTS,2021,UKI3,2,2.93
2021,NUTS,2021,CY000,3,16.52
2021,NUTS,2021,DE212,3,13.68
2021,NUTS,2021,DE300,3,4.62
2021,NUTS,2021,ES614,3,29.29
2021,NUTS,2021,ITC11,3,9.5
2021,NUTS,2021,ITC4C,3,2.17
2021,NUTS,2021,SK042,3,719.65
2021,NUTS,2021,TR222,3,419.8
2021,NUTS,2021,UKG13,3,15.08
2021,NUTS,2021,UKH12,3,2.92
2021,NUTS,2021,UKI31,3,5.7
2021,NUTS,2021,UKI33,3,3.7
