year,region_type,region_year_spec,region_id,region_level,impact_studies_3_lq
2020,NUTS,2016,AT,0,0.48
2020,NUTS,2016,BE,0,0.98
2020,NUTS,2016,CH,0,0.83
2020,NUTS,2016,CZ,0,0.65
2020,NUTS,2016,DE,0,1.42
2020,NUTS,2016,DK,0,0.1
2020,NUTS,2016,EE,0,1.26
2020,NUTS,2016,EL,0,1.19
2020,NUTS,2016,ES,0,1.01
2020,NUTS,2016,FI,0,0.81
2020,NUTS,2016,FR,0,0.67
2020,NUTS,2016,IS,0,2.07
2020,NUTS,2016,IT,0,0.98
2020,NUTS,2016,LU,0,1.5
2020,NUTS,2016,NL,0,1.53
2020,NUTS,2016,NO,0,0.63
2020,NUTS,2016,PL,0,0.1
2020,NUTS,2016,RS,0,1.94
2020,NUTS,2016,SE,0,2.63
2020,NUTS,2016,TR,0,0.44
2020,NUTS,2016,UK,0,1.03
2020,NUTS,2016,AT1,1,0.18
2020,NUTS,2016,AT3,1,1.79
2020,NUTS,2016,BE1,1,1.2
2020,NUTS,2016,BE2,1,1.23
2020,NUTS,2016,CH0,1,0.83
2020,NUTS,2016,CZ0,1,0.65
2020,NUTS,2016,DE1,1,1.26
2020,NUTS,2016,DE2,1,0.82
2020,NUTS,2016,DE3,1,2.57
2020,NUTS,2016,DE6,1,2.05
2020,NUTS,2016,DE7,1,1.27
2020,NUTS,2016,DE9,1,1.24
2020,NUTS,2016,DEA,1,2.14
2020,NUTS,2016,DED,1,1.14
2020,NUTS,2016,DEF,1,4.51
2020,NUTS,2016,DK0,1,0.1
2020,NUTS,2016,EE0,1,1.26
2020,NUTS,2016,EL3,1,2.34
2020,NUTS,2016,EL6,1,1.02
2020,NUTS,2016,ES1,1,0.71
2020,NUTS,2016,ES2,1,0.96
2020,NUTS,2016,ES3,1,1.19
2020,NUTS,2016,ES4,1,0.93
2020,NUTS,2016,ES5,1,0.86
2020,NUTS,2016,ES6,1,1.19
2020,NUTS,2016,FI1,1,0.81
2020,NUTS,2016,FR1,1,0.8
2020,NUTS,2016,FRF,1,0.99
2020,NUTS,2016,FRL,1,2.01
2020,NUTS,2016,IS0,1,2.07
2020,NUTS,2016,ITC,1,1.43
2020,NUTS,2016,ITF,1,0.33
2020,NUTS,2016,ITH,1,0.95
2020,NUTS,2016,ITI,1,0.89
2020,NUTS,2016,LU0,1,1.5
2020,NUTS,2016,NL1,1,4.69
2020,NUTS,2016,NL2,1,1.74
2020,NUTS,2016,NL3,1,0.99
2020,NUTS,2016,NL4,1,1.08
2020,NUTS,2016,NO0,1,0.63
2020,NUTS,2016,PL9,1,0.32
2020,NUTS,2016,RS1,1,1.18
2020,NUTS,2016,RS2,1,5.45
2020,NUTS,2016,SE1,1,3.21
2020,NUTS,2016,SE2,1,1.96
2020,NUTS,2016,TR1,1,1.18
2020,NUTS,2016,TR4,1,1.48
2020,NUTS,2016,TR5,1,0.36
2020,NUTS,2016,UKC,1,1.09
2020,NUTS,2016,UKD,1,1.6
2020,NUTS,2016,UKE,1,0.13
2020,NUTS,2016,UKF,1,0.58
2020,NUTS,2016,UKG,1,0.37
2020,NUTS,2016,UKH,1,1.34
2020,NUTS,2016,UKI,1,1.11
2020,NUTS,2016,UKJ,1,0.81
2020,NUTS,2016,UKK,1,0.27
2020,NUTS,2016,UKL,1,0.25
2020,NUTS,2016,UKM,1,2.09
2020,NUTS,2016,UKN,1,2.01
