year,region_type,region_year_spec,region_id,region_level,antiviral_drugs_lq
2020,NUTS,2016,AT,0,0.91
2020,NUTS,2016,BE,0,0.42
2020,NUTS,2016,BG,0,2.66
2020,NUTS,2016,CH,0,0.74
2020,NUTS,2016,CZ,0,1.64
2020,NUTS,2016,DE,0,2.19
2020,NUTS,2016,DK,0,0.55
2020,NUTS,2016,EE,0,2.41
2020,NUTS,2016,EL,0,0.57
2020,NUTS,2016,ES,0,0.7
2020,NUTS,2016,FI,0,0.39
2020,NUTS,2016,FR,0,1.27
2020,NUTS,2016,HU,0,1.52
2020,NUTS,2016,IE,0,1.0
2020,NUTS,2016,IT,0,0.34
2020,NUTS,2016,LU,0,2.86
2020,NUTS,2016,NL,0,1.75
2020,NUTS,2016,NO,0,0.3
2020,NUTS,2016,PL,0,0.96
2020,NUTS,2016,RO,0,1.19
2020,NUTS,2016,SE,0,0.39
2020,NUTS,2016,SI,0,3.33
2020,NUTS,2016,TR,0,1.05
2020,NUTS,2016,UK,0,0.98
2020,NUTS,2016,AT1,1,0.7
2020,NUTS,2016,AT2,1,1.53
2020,NUTS,2016,AT3,1,1.14
2020,NUTS,2016,BE2,1,0.78
2020,NUTS,2016,BG4,1,2.98
2020,NUTS,2016,CH0,1,0.74
2020,NUTS,2016,CZ0,1,1.64
2020,NUTS,2016,DE1,1,1.68
2020,NUTS,2016,DE2,1,2.81
2020,NUTS,2016,DE3,1,1.91
2020,NUTS,2016,DE6,1,11.71
2020,NUTS,2016,DE7,1,2.91
2020,NUTS,2016,DE9,1,1.77
2020,NUTS,2016,DEA,1,1.23
2020,NUTS,2016,DEF,1,17.2
2020,NUTS,2016,DK0,1,0.55
2020,NUTS,2016,EE0,1,2.41
2020,NUTS,2016,EL3,1,1.27
2020,NUTS,2016,ES2,1,0.91
2020,NUTS,2016,ES3,1,0.52
2020,NUTS,2016,ES4,1,2.65
2020,NUTS,2016,ES5,1,0.62
2020,NUTS,2016,ES6,1,0.57
2020,NUTS,2016,FI1,1,0.39
2020,NUTS,2016,FR1,1,0.89
2020,NUTS,2016,FRE,1,2.34
2020,NUTS,2016,FRF,1,1.88
2020,NUTS,2016,FRG,1,1.91
2020,NUTS,2016,FRJ,1,2.14
2020,NUTS,2016,FRK,1,2.0
2020,NUTS,2016,FRL,1,3.06
2020,NUTS,2016,HU1,1,2.44
2020,NUTS,2016,IE0,1,1.0
2020,NUTS,2016,ITC,1,0.08
2020,NUTS,2016,ITF,1,0.21
2020,NUTS,2016,ITG,1,1.73
2020,NUTS,2016,ITH,1,0.42
2020,NUTS,2016,ITI,1,0.45
2020,NUTS,2016,LU0,1,2.86
2020,NUTS,2016,NL1,1,1.63
2020,NUTS,2016,NL2,1,0.83
2020,NUTS,2016,NL3,1,2.55
2020,NUTS,2016,NO0,1,0.3
2020,NUTS,2016,PL2,1,3.02
2020,NUTS,2016,PL6,1,1.65
2020,NUTS,2016,PL9,1,0.62
2020,NUTS,2016,RO3,1,2.52
2020,NUTS,2016,SE1,1,0.39
2020,NUTS,2016,SE2,1,0.47
2020,NUTS,2016,SI0,1,3.33
2020,NUTS,2016,TR1,1,2.25
2020,NUTS,2016,TR4,1,2.82
2020,NUTS,2016,TR6,1,3.54
2020,NUTS,2016,TR7,1,4.44
2020,NUTS,2016,UKD,1,0.51
2020,NUTS,2016,UKE,1,1.53
2020,NUTS,2016,UKF,1,0.28
2020,NUTS,2016,UKG,1,0.47
2020,NUTS,2016,UKH,1,1.98
2020,NUTS,2016,UKI,1,0.49
2020,NUTS,2016,UKJ,1,2.19
2020,NUTS,2016,UKK,1,1.03
2020,NUTS,2016,UKM,1,0.32
2020,NUTS,2016,UKN,1,1.28
2020,NUTS,2016,AT13,2,0.8
2020,NUTS,2016,AT22,2,1.59
2020,NUTS,2016,AT31,2,4.68
2020,NUTS,2016,BE21,2,1.12
2020,NUTS,2016,BE24,2,2.49
2020,NUTS,2016,BG41,2,3.15
2020,NUTS,2016,CH01,2,0.48
2020,NUTS,2016,CH02,2,1.41
2020,NUTS,2016,CH03,2,0.73
2020,NUTS,2016,CH04,2,0.85
2020,NUTS,2016,CZ01,2,1.7
2020,NUTS,2016,CZ06,2,1.09
2020,NUTS,2016,CZ08,2,17.77
2020,NUTS,2016,DE12,2,3.31
2020,NUTS,2016,DE13,2,1.01
2020,NUTS,2016,DE14,2,0.77
2020,NUTS,2016,DE21,2,3.11
2020,NUTS,2016,DE25,2,1.68
2020,NUTS,2016,DE26,2,5.78
2020,NUTS,2016,DE30,2,1.91
2020,NUTS,2016,DE60,2,11.71
2020,NUTS,2016,DE71,2,3.1
2020,NUTS,2016,DE72,2,5.11
2020,NUTS,2016,DE92,2,3.23
2020,NUTS,2016,DE94,2,7.48
2020,NUTS,2016,DEA2,2,2.17
2020,NUTS,2016,DEF0,2,17.2
2020,NUTS,2016,DK01,2,0.98
2020,NUTS,2016,EE00,2,2.41
2020,NUTS,2016,EL30,2,1.27
2020,NUTS,2016,ES24,2,3.32
2020,NUTS,2016,ES30,2,0.52
2020,NUTS,2016,ES41,2,3.27
2020,NUTS,2016,ES52,2,1.45
2020,NUTS,2016,ES53,2,15.38
2020,NUTS,2016,ES62,2,1.72
2020,NUTS,2016,FI1B,2,0.76
2020,NUTS,2016,FR10,2,0.89
2020,NUTS,2016,FRE1,2,2.93
2020,NUTS,2016,FRF1,2,1.54
2020,NUTS,2016,FRF3,2,2.81
2020,NUTS,2016,FRG0,2,1.91
2020,NUTS,2016,FRJ1,2,2.78
2020,NUTS,2016,FRK2,2,2.0
2020,NUTS,2016,FRL0,2,3.06
2020,NUTS,2016,HU11,2,2.48
2020,NUTS,2016,IE05,2,3.89
2020,NUTS,2016,ITC4,2,0.1
2020,NUTS,2016,ITF3,2,0.61
2020,NUTS,2016,ITG1,2,1.89
2020,NUTS,2016,ITG2,2,1.47
2020,NUTS,2016,ITH3,2,0.36
2020,NUTS,2016,ITH4,2,0.95
2020,NUTS,2016,ITH5,2,0.36
2020,NUTS,2016,ITI1,2,0.33
2020,NUTS,2016,ITI4,2,0.63
2020,NUTS,2016,LU00,2,2.86
2020,NUTS,2016,NL11,2,1.64
2020,NUTS,2016,NL22,2,0.91
2020,NUTS,2016,NL31,2,0.64
2020,NUTS,2016,NL32,2,2.31
2020,NUTS,2016,NL33,2,3.63
2020,NUTS,2016,NO05,2,1.73
2020,NUTS,2016,PL21,2,1.57
2020,NUTS,2016,PL22,2,5.59
2020,NUTS,2016,PL63,2,3.03
2020,NUTS,2016,PL91,2,0.62
2020,NUTS,2016,RO32,2,2.53
2020,NUTS,2016,SE11,2,0.29
2020,NUTS,2016,SE12,2,0.62
2020,NUTS,2016,SE23,2,0.86
2020,NUTS,2016,SI04,2,3.81
2020,NUTS,2016,TR10,2,2.25
2020,NUTS,2016,TR42,2,4.44
2020,NUTS,2016,TR62,2,5.97
2020,NUTS,2016,TR72,2,6.4
2020,NUTS,2016,UKD3,2,0.7
2020,NUTS,2016,UKD7,2,0.43
2020,NUTS,2016,UKE2,2,4.33
2020,NUTS,2016,UKE3,2,1.77
2020,NUTS,2016,UKE4,2,0.52
2020,NUTS,2016,UKF3,2,7.69
2020,NUTS,2016,UKG1,2,1.72
2020,NUTS,2016,UKH1,2,2.57
2020,NUTS,2016,UKI3,2,0.46
2020,NUTS,2016,UKI4,2,0.81
2020,NUTS,2016,UKJ1,2,2.21
2020,NUTS,2016,UKJ2,2,1.86
2020,NUTS,2016,UKJ3,2,2.38
2020,NUTS,2016,UKJ4,2,2.51
2020,NUTS,2016,UKK1,2,1.54
2020,NUTS,2016,UKM7,2,0.27
2020,NUTS,2016,UKM8,2,0.5
2020,NUTS,2016,UKN0,2,1.28
2020,NUTS,2016,AT130,3,0.8
2020,NUTS,2016,AT221,3,1.59
2020,NUTS,2016,AT312,3,4.68
2020,NUTS,2016,BE213,3,4.73
2020,NUTS,2016,BE242,3,5.59
2020,NUTS,2016,BG411,3,3.17
2020,NUTS,2016,CH011,3,0.52
2020,NUTS,2016,CH013,3,0.45
2020,NUTS,2016,CH021,3,1.73
2020,NUTS,2016,CH033,3,8.25
2020,NUTS,2016,CH040,3,0.85
2020,NUTS,2016,CZ010,3,1.7
2020,NUTS,2016,CZ064,3,1.09
2020,NUTS,2016,CZ080,3,17.77
2020,NUTS,2016,DE125,3,5.26
2020,NUTS,2016,DE131,3,1.23
2020,NUTS,2016,DE144,3,1.84
2020,NUTS,2016,DE212,3,3.14
2020,NUTS,2016,DE252,3,1.71
2020,NUTS,2016,DE263,3,5.78
2020,NUTS,2016,DE300,3,1.91
2020,NUTS,2016,DE600,3,11.71
2020,NUTS,2016,DE711,3,18.6
2020,NUTS,2016,DE712,3,2.73
2020,NUTS,2016,DE721,3,9.87
2020,NUTS,2016,DE929,3,3.28
2020,NUTS,2016,DE943,3,7.77
2020,NUTS,2016,DEA22,3,2.82
2020,NUTS,2016,DEA26,3,7.88
2020,NUTS,2016,DEA2D,3,1.61
2020,NUTS,2016,DEF03,3,20.12
2020,NUTS,2016,DK011,3,1.28
2020,NUTS,2016,EE008,3,3.04
2020,NUTS,2016,EL303,3,1.31
2020,NUTS,2016,ES243,3,3.32
2020,NUTS,2016,ES300,3,0.52
2020,NUTS,2016,ES413,3,6.25
2020,NUTS,2016,ES523,3,1.96
2020,NUTS,2016,ES532,3,15.38
2020,NUTS,2016,ES620,3,1.72
2020,NUTS,2016,FI1B1,3,0.76
2020,NUTS,2016,FR101,3,1.96
2020,NUTS,2016,FR104,3,0.63
2020,NUTS,2016,FRE11,3,3.17
2020,NUTS,2016,FRF11,3,1.6
2020,NUTS,2016,FRF31,3,2.83
2020,NUTS,2016,FRG04,3,8.51
2020,NUTS,2016,FRJ13,3,2.9
2020,NUTS,2016,FRK24,3,10.12
2020,NUTS,2016,FRK26,3,1.26
2020,NUTS,2016,FRL04,3,3.16
2020,NUTS,2016,HU110,3,2.48
2020,NUTS,2016,IE051,3,3.57
2020,NUTS,2016,IE052,3,13.11
2020,NUTS,2016,IE053,3,2.41
2020,NUTS,2016,ITC4C,3,0.13
2020,NUTS,2016,ITF33,3,0.81
2020,NUTS,2016,ITG17,3,3.45
2020,NUTS,2016,ITG27,3,2.52
2020,NUTS,2016,ITH35,3,8.33
2020,NUTS,2016,ITH44,3,1.36
2020,NUTS,2016,ITH55,3,0.74
2020,NUTS,2016,ITI14,3,0.63
2020,NUTS,2016,ITI43,3,0.64
2020,NUTS,2016,LU000,3,2.86
2020,NUTS,2016,NL113,3,1.64
2020,NUTS,2016,NL226,3,1.04
2020,NUTS,2016,NL310,3,0.64
2020,NUTS,2016,NL329,3,2.32
2020,NUTS,2016,NL333,3,1.56
2020,NUTS,2016,NL337,3,7.17
2020,NUTS,2016,NL33C,3,1.52
2020,NUTS,2016,NO051,3,1.73
2020,NUTS,2016,PL213,3,1.57
2020,NUTS,2016,PL229,3,18.6
2020,NUTS,2016,PL22A,3,3.7
2020,NUTS,2016,PL633,3,3.03
2020,NUTS,2016,PL911,3,0.62
2020,NUTS,2016,RO321,3,2.54
2020,NUTS,2016,SE110,3,0.29
2020,NUTS,2016,SE121,3,0.94
2020,NUTS,2016,SE232,3,0.88
2020,NUTS,2016,SI041,3,4.1
2020,NUTS,2016,TR100,3,2.25
2020,NUTS,2016,TR421,3,38.09
2020,NUTS,2016,TR622,3,10.66
2020,NUTS,2016,TR721,3,8.33
2020,NUTS,2016,UKD33,3,0.8
2020,NUTS,2016,UKD72,3,0.45
2020,NUTS,2016,UKE21,3,4.39
2020,NUTS,2016,UKE32,3,1.84
2020,NUTS,2016,UKE42,3,0.67
2020,NUTS,2016,UKF30,3,7.69
2020,NUTS,2016,UKG13,3,1.8
2020,NUTS,2016,UKH12,3,2.72
2020,NUTS,2016,UKH17,3,1.48
2020,NUTS,2016,UKI31,3,0.79
2020,NUTS,2016,UKI32,3,0.19
2020,NUTS,2016,UKI33,3,0.47
2020,NUTS,2016,UKI42,3,1.15
2020,NUTS,2016,UKJ14,3,2.38
2020,NUTS,2016,UKJ25,3,3.54
2020,NUTS,2016,UKJ32,3,3.26
2020,NUTS,2016,UKJ44,3,2.94
2020,NUTS,2016,UKK11,3,1.09
2020,NUTS,2016,UKK12,3,1.76
2020,NUTS,2016,UKK14,3,17.02
2020,NUTS,2016,UKM75,3,0.33
2020,NUTS,2016,UKM82,3,0.52
2020,NUTS,2016,UKN06,3,1.56
2021,NUTS,2021,BE,0,1.88
2021,NUTS,2021,CH,0,1.89
2021,NUTS,2021,DE,0,0.36
2021,NUTS,2021,DK,0,1.58
2021,NUTS,2021,EE,0,25.09
2021,NUTS,2021,ES,0,1.07
2021,NUTS,2021,IT,0,0.54
2021,NUTS,2021,NL,0,2.9
2021,NUTS,2021,NO,0,2.73
2021,NUTS,2021,SE,0,2.38
2021,NUTS,2021,UK,0,1.25
2021,NUTS,2021,BE3,1,10.26
2021,NUTS,2021,CH0,1,1.89
2021,NUTS,2021,DEA,1,1.97
2021,NUTS,2021,DK0,1,1.58
2021,NUTS,2021,EE0,1,25.09
2021,NUTS,2021,ES4,1,7.48
2021,NUTS,2021,ES5,1,1.72
2021,NUTS,2021,ITC,1,0.73
2021,NUTS,2021,ITH,1,1.27
2021,NUTS,2021,NL2,1,3.07
2021,NUTS,2021,NL3,1,3.89
2021,NUTS,2021,NO0,1,2.73
2021,NUTS,2021,SE1,1,3.57
2021,NUTS,2021,UKD,1,2.92
2021,NUTS,2021,UKE,1,2.19
2021,NUTS,2021,UKH,1,3.27
2021,NUTS,2021,UKI,1,0.47
2021,NUTS,2021,UKJ,1,1.76
2021,NUTS,2021,UKM,1,1.39
2021,NUTS,2021,BE33,2,28.43
2021,NUTS,2021,CH04,2,7.18
2021,NUTS,2021,DEA5,2,14.71
2021,NUTS,2021,DK01,2,2.96
2021,NUTS,2021,EE00,2,25.09
2021,NUTS,2021,ES41,2,10.19
2021,NUTS,2021,ES52,2,6.46
2021,NUTS,2021,ITC3,2,6.59
2021,NUTS,2021,ITH3,2,3.26
2021,NUTS,2021,NL22,2,3.4
2021,NUTS,2021,NL31,2,6.26
2021,NUTS,2021,NL33,2,5.88
