year,region_type,region_year_spec,region_id,region_level,indirect_impacts_lq
2020,NUTS,2016,FI1B,2,0.71
2020,NUTS,2016,FR10,2,0.36
2020,NUTS,2016,HR04,2,3.44
2020,NUTS,2016,IE05,2,3.64
2020,NUTS,2016,IE06,2,1.6
2020,NUTS,2016,ITC3,2,3.16
2020,NUTS,2016,ITC4,2,0.38
2020,NUTS,2016,ITF1,2,1.23
2020,NUTS,2016,ITG1,2,0.89
2020,NUTS,2016,ITH5,2,0.33
2020,NUTS,2016,ITI1,2,0.3
2020,NUTS,2016,NL11,2,2.3
2020,NUTS,2016,NL21,2,8.63
2020,NUTS,2016,NL22,2,0.85
2020,NUTS,2016,NL33,2,1.13
2020,NUTS,2016,NO01,2,1.6
2020,NUTS,2016,NO05,2,1.62
2020,NUTS,2016,PL41,2,3.07
2020,NUTS,2016,PL51,2,1.96
2020,NUTS,2016,PL61,2,4.4
2020,NUTS,2016,PL63,2,2.83
2020,NUTS,2016,PL91,2,0.58
2020,NUTS,2016,PT11,2,2.92
2020,NUTS,2016,PT17,2,2.58
2020,NUTS,2016,SE11,2,0.81
2020,NUTS,2016,SE12,2,0.58
2020,NUTS,2016,TR10,2,1.05
2020,NUTS,2016,TR41,2,7.2
2020,NUTS,2016,TR51,2,0.7
2020,NUTS,2016,UKC1,2,1.07
2020,NUTS,2016,UKC2,2,3.28
2020,NUTS,2016,UKD3,2,2.61
2020,NUTS,2016,UKD4,2,1.45
2020,NUTS,2016,UKD6,2,15.59
2020,NUTS,2016,UKD7,2,3.24
2020,NUTS,2016,UKE1,2,5.02
2020,NUTS,2016,UKE2,2,1.35
2020,NUTS,2016,UKE3,2,0.83
2020,NUTS,2016,UKE4,2,1.95
2020,NUTS,2016,UKF1,2,2.03
2020,NUTS,2016,UKF2,2,3.4
2020,NUTS,2016,UKG2,2,4.22
2020,NUTS,2016,UKG3,2,3.15
2020,NUTS,2016,UKH1,2,1.28
2020,NUTS,2016,UKH2,2,1.71
2020,NUTS,2016,UKI3,2,2.54
2020,NUTS,2016,UKI4,2,3.04
2020,NUTS,2016,UKJ1,2,0.77
2020,NUTS,2016,UKJ2,2,0.58
2020,NUTS,2016,UKJ3,2,3.89
2020,NUTS,2016,UKJ4,2,7.04
2020,NUTS,2016,UKK1,2,5.42
